"Net Name","Pass/Fail","Operation","Driver Comp Ref Des & Pin Name","Receiver Comp Ref Des & Pin Name","Rise Rail Overshoot, [mV]","Rise Rail Overshoot Limit, [mV]","Rise Rail Overshoot Margin, [mV]","Rise Rail Overshoot, [Pass/Fail]","Rise Rail Overshoot Trace Point, [ns]","Fall Rail Undershoot, [mV]","Fall Rail Undershoot Limit, [mV]","Fall Rail Undershoot Margin, [mV]","Fall Rail Undershoot, [Pass/Fail]","Fall Rail Undershoot Trace Point, [ns]","Rise Rail Overshoot Area, [V*ns]","Rise Rail Overshoot Area Limit, [V*ns]","Rise Rail Overshoot Area Margin, [V*ns]","Rise Rail Overshoot Area, [Pass/Fail]","Rise Rail Overshoot Area Trace Point, [ns]","Fall Rail Undershoot Area, [V*ns]","Fall Rail Undershoot Area Limit, [V*ns]","Fall Rail Undershoot Area Margin, [V*ns]","Fall Rail Undershoot Area, [Pass/Fail]","Fall Rail Undershoot Area Trace Point, [ns]","Rise Rail Overshoot Area (2), [V*ns]","Rise Rail Overshoot Area (2) Limit, [V*ns]","Rise Rail Overshoot Area (2) Margin, [V*ns]","Rise Rail Overshoot Area (2), [Pass/Fail]","Rise Rail Overshoot Area (2) Trace Point, [ns]","Fall Rail Undershoot Area (2), [V*ns]","Fall Rail Undershoot Area (2) Limit, [V*ns]","Fall Rail Undershoot Area (2) Margin, [V*ns]","Fall Rail Undershoot Area (2), [Pass/Fail]","Fall Rail Undershoot Area (2) Trace Point, [ns]","Monotonic, [Pass/Fail]","Monotonic Trace Point, [ns]","VIH/L(AC) Min Limit, [Pass/Fail]","VIH/L(AC) Min Limit, Trace Point, [ns]","VIH/L(DC) Monotonicity, [Pass/Fail]","VIH/L(DC) Monotonicity Trace Point, [ns]","Vref Threshold Multi Cross, [Pass/Fail]","Max Slew Time, [ps]","Max Slew Time, [Pass/Fail]","VIX Limit Low, mV","VIX Limit Hi, mV","VIX Margin, mV","VIX, [Pass/Fail]","VIX Trace Point, [ns]","VID(AC) Limit, mV","VID(AC) Margin, mV","VID(AC), [Pass/Fail]","VID(AC) Trace Point, [ns]","VID(DC) Limit, mV","VID(DC), [Pass/Fail]","VID(DC) Trace Point, [ns]","Vdd/2, mV","VSEL Limit, mV","VSEL Margin, mV","VSEL, [Pass/Fail]","VSEL Trace Point, [ns]","VSEH Limit, mV","VSEH Margin, mV","VSEH, [Pass/Fail]","VSEH Trace Point, [ns]","TVAC/TDVAC Min Time Over AC, ps","TVAC/TDVAC Time Limit, ps","TVAC/TDVAC Margin, ps","TVAC/TDVAC, [Pass/Fail]","TVAC/TDVAC Trace Point, [ns]"
"DDR_A15_CAS","Pass","Write rank(1,1)","U1.M4","U2.M8"," 151.4"," 300.0"," 148.6","Pass"," 4.560"," 217.4"," 300.0","  82.6","Pass","63.300","0.0320","0.2550","0.2230","Pass","10.797","0.0538","0.2644","0.2106","Pass","27.032","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  32.6","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A16_RAS","Pass","Write rank(1,1)","U1.M5","U2.L8"," 155.5"," 300.0"," 144.5","Pass","54.561"," 224.1"," 300.0","  75.9","Pass","39.549","0.0329","0.2550","0.2221","Pass","27.048","0.0566","0.2644","0.2078","Pass","25.780","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  32.6","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A2","Pass","Write rank(1,1)","U1.K3","U2.R3"," 169.0"," 300.0"," 131.0","Pass","53.407"," 235.0"," 300.0","  65.0","Pass","69.647","0.0392","0.2550","0.2158","Pass","53.326","0.0644","0.2644","0.2000","Pass","52.061","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  30.2","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A3","Pass","Write rank(1,1)","U1.L5","U2.N7"," 146.3"," 300.0"," 153.7","Pass","48.298"," 218.4"," 300.0","  81.6","Pass","62.039","0.0307","0.2550","0.2243","Pass","63.285","0.0535","0.2644","0.2109","Pass","42.020","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  30.2","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A4","Pass","Write rank(1,1)","U1.K4","U2.N3"," 160.7"," 300.0"," 139.3","Pass","59.559"," 227.8"," 300.0","  72.2","Pass"," 5.807","0.0349","0.2550","0.2201","Pass","59.550","0.0583","0.2644","0.2061","Pass","10.784","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  30.2","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A5","Pass","Write rank(1,1)","U1.K1","U2.P8"," 165.1"," 300.0"," 134.9","Pass","27.215"," 216.6"," 300.0","  83.4","Pass","40.955","0.0432","0.2550","0.2118","Pass","42.114","0.0706","0.2644","0.1938","Pass"," 3.353","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  32.6","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A6","Pass","Write rank(1,1)","U1.R2","U2.P2"," 156.5"," 300.0"," 143.5","Pass","42.150"," 224.2"," 300.0","  75.8","Pass","47.134","0.0354","0.2550","0.2196","Pass"," 4.574","0.0601","0.2644","0.2043","Pass","73.309","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  27.9","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A7","Pass","Write rank(1,1)","U1.P2","U2.R8"," 179.9"," 300.0"," 120.1","Pass","22.190"," 235.7"," 300.0","  64.3","Pass","35.929","0.0450","0.2550","0.2100","Pass","22.099","0.0710","0.2644","0.1934","Pass","42.090","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  32.6","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A8","Pass","Write rank(1,1)","U1.P1","U2.R2"," 187.8"," 300.0"," 112.2","Pass","38.451"," 241.3"," 300.0","  58.7","Pass","53.435","0.0489","0.2550","0.2061","Pass","48.360","0.0759","0.2644","0.1885","Pass","42.100","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  30.2","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A9","Pass","Write rank(1,1)","U1.P4","U2.R7"," 153.1"," 300.0"," 146.9","Pass","15.805"," 219.0"," 300.0","  81.0","Pass","73.298","0.0328","0.2550","0.2222","Pass"," 3.297","0.0549","0.2644","0.2095","Pass","62.031","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  30.2","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
