"Net Name","Pass/Fail","Operation","Driver Comp Ref Des & Pin Name","Receiver Comp Ref Des & Pin Name","Associated Clk/Strobe Net Name","Associated Clk/Strobe Driver Comp Ref Des & Pin Name","Associated Clk/Strobe Receiver Comp Ref Des & Pin Name","Clk/Strobe Crossing Threshold Time, [ns]","Average Center Voltage, Vcent(pin_mid), [mV]","Upper Eye Mask, Vcent(pin_mid) + VdIVW_Total/2, [mV]","Lower Eye Mask, Vcent(pin_mid) - VdIVW_Total/2, [mV]","Half Eye-Mask Width, TdIVW/2, [ps]","Output Delay Uncertainty, [ps]","Measured Setup Time, [ps]","Setup Time Margin, [ps]","Setup Time Margin with Output Delay Uncertainty, [ps]","Measured Hold Time, [ps]","Hold Time Margin, [ps]","Hold Time Margin with Output Delay Uncertainty, [ps]","Min Voltage Above/Below Eye-Mask, [mV]","Peak Voltage Above/Below Vcent(pin_mid), [mV]","VIHL_AC/2 Limit, [mV]","Peak Voltage Above/Below Vcent(pin_mid) Margin, [mV]","Vcent(pin_mid) to Vcent(pin_mid) Pulse Width, [ps]","Pulse Width Limit, tdIPW, [ps]","Pulse Width Margin, [ps]","Pulse Width Margin with Output Delay Uncertainty, [ps]","Min Slew Rate, [V/ns]","Min Slew Rate Limit, SRIN_VdIVW_min, [V/ns]","Min Slew Rate Margin, [V/ns]","Max Slew Rate, [V/ns]","Max Slew Rate Limit, SRIN_VdIVW_max, [V/ns]","Max Slew Rate Margin, [V/ns]","Min Slew Rate (2), [V/ns]","Min Slew Rate (2) Limit, SRIN_VdIVW_min, [V/ns]","Min Slew Rate (2) Margin, [V/ns]","Max Slew Rate (2), [V/ns]","Max Slew Rate (2) Limit, SRIN_VdIVW_max, [V/ns]","Max Slew Rate (2) Margin, [V/ns]","Eye Mask Shape"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 7.954"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","378.214"," 545.5","  93.0"," 452.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 8.578"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A"," 328.5"," 266.0"," 260.0","408.059"," 524.1","  93.0"," 431.1","N/A","N/A","N/A","N/A"," 4.778"," 1.000"," 3.778"," 4.778"," 9.000"," 4.222","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 9.204"," 700.3"," 768.3"," 632.3","    62","   6.0"," 268.9"," 206.4"," 200.4","N/A","N/A","N/A","695.453"," 867.8","  93.0"," 774.8","N/A","N/A","N/A","N/A"," 4.778"," 1.000"," 3.778"," 4.778"," 9.000"," 4.222"," 4.944"," 0.956"," 3.988"," 4.944"," 9.000"," 4.056","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 9.828"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","573.157"," 741.4","  93.0"," 648.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","10.454"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","610.970"," 726.4","  93.0"," 633.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","11.078"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","631.019"," 708.3","  93.0"," 615.3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","11.703"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","631.084"," 702.3","  93.0"," 609.3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","12.328"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","631.092"," 701.0","  93.0"," 608.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","12.954"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A"," 395.5"," 333.0"," 327.0","631.536"," 700.6","  93.0"," 607.6","N/A","N/A","N/A","N/A"," 4.655"," 1.000"," 3.655"," 4.655"," 9.000"," 4.345","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","13.578"," 700.3"," 768.3"," 632.3","    62","   6.0"," 199.7"," 137.2"," 131.2"," 308.2"," 245.7"," 239.7","418.256"," 591.6","  93.0"," 498.6"," 534.3","   363"," 171.8"," 159.8"," 4.655"," 1.000"," 3.655"," 5.631"," 9.000"," 3.369"," 4.584"," 0.931"," 3.653"," 4.584"," 9.000"," 4.416","Eye-Rectangle"
