.HEADER
..NAMES
Time,V U1.U3
.DATA
2.3823e-09,1.1502
2.3920e-09,1.1492
2.4016e-09,1.1486
2.4113e-09,1.1485
2.4209e-09,1.1489
2.4305e-09,1.1500
2.4402e-09,1.1518
2.4498e-09,1.1542
2.4595e-09,1.1570
2.4691e-09,1.1601
2.4788e-09,1.1632
2.4884e-09,1.1663
2.4981e-09,1.1690
2.5077e-09,1.1713
2.5173e-09,1.1732
2.5270e-09,1.1746
2.5366e-09,1.1757
2.5463e-09,1.1766
2.5559e-09,1.1772
2.5656e-09,1.1777
2.5752e-09,1.1782
2.5849e-09,1.1788
2.5945e-09,1.1796
2.6042e-09,1.1805
2.6138e-09,1.1816
2.6234e-09,1.1829
2.6331e-09,1.1842
2.6427e-09,1.1855
2.6524e-09,1.1868
2.6620e-09,1.1880
2.6717e-09,1.1890
2.6813e-09,1.1895
2.6910e-09,1.1896
2.7006e-09,1.1893
2.7102e-09,1.1886
2.7199e-09,1.1878
2.7295e-09,1.1871
2.7392e-09,1.1866
2.7488e-09,1.1864
2.7585e-09,1.1866
2.7681e-09,1.1873
2.7778e-09,1.1885
2.7874e-09,1.1901
2.7970e-09,1.1921
2.8067e-09,1.1942
2.8163e-09,1.1962
2.8260e-09,1.1981
2.8356e-09,1.1998
2.8453e-09,1.2012
2.8549e-09,1.2023
2.8646e-09,1.2027
2.8742e-09,1.2008
2.8839e-09,1.1943
2.8935e-09,1.1803
2.9031e-09,1.1560
2.9128e-09,1.1195
2.9224e-09,1.0705
2.9321e-09,1.0103
2.9417e-09,0.9402
2.9514e-09,0.8625
2.9610e-09,0.7790
2.9707e-09,0.6914
2.9803e-09,0.6013
2.9900e-09,0.5102
2.9996e-09,0.4199
3.0092e-09,0.3320
3.0189e-09,0.2477
3.0285e-09,0.1685
3.0382e-09,0.0952
3.0478e-09,0.0286
3.0575e-09,-0.0306
3.0671e-09,-0.0819
3.0768e-09,-0.1251
3.0864e-09,-0.1610
3.0960e-09,-0.1903
3.1057e-09,-0.2135
3.1153e-09,-0.2315
3.1250e-09,-0.2446
3.1346e-09,-0.2535
3.1443e-09,-0.2591
3.1539e-09,-0.2621
3.1636e-09,-0.2633
3.1732e-09,-0.2631
3.1828e-09,-0.2617
3.1925e-09,-0.2597
3.2021e-09,-0.2575
3.2118e-09,-0.2556
3.2214e-09,-0.2546
3.2311e-09,-0.2549
3.2407e-09,-0.2567
3.2504e-09,-0.2596
3.2600e-09,-0.2633
3.2697e-09,-0.2669
3.2793e-09,-0.2697
3.2889e-09,-0.2709
3.2986e-09,-0.2704
3.3082e-09,-0.2681
3.3179e-09,-0.2648
3.3275e-09,-0.2612
3.3372e-09,-0.2585
3.3468e-09,-0.2571
3.3565e-09,-0.2575
3.3661e-09,-0.2594
3.3757e-09,-0.2622
3.3854e-09,-0.2653
3.3950e-09,-0.2682
3.4047e-09,-0.2709
3.4143e-09,-0.2732
3.4240e-09,-0.2752
3.4336e-09,-0.2765
3.4433e-09,-0.2768
3.4529e-09,-0.2757
3.4626e-09,-0.2729
3.4722e-09,-0.2678
3.4818e-09,-0.2598
3.4915e-09,-0.2475
3.5011e-09,-0.2300
3.5108e-09,-0.2064
3.5204e-09,-0.1763
3.5301e-09,-0.1394
3.5397e-09,-0.0956
3.5494e-09,-0.0451
3.5590e-09,0.0120
3.5687e-09,0.0751
3.5783e-09,0.1432
3.5879e-09,0.2149
3.5976e-09,0.2886
3.6072e-09,0.3630
3.6169e-09,0.4367
3.6265e-09,0.5089
3.6362e-09,0.5784
3.6458e-09,0.6443
3.6555e-09,0.7057
3.6651e-09,0.7617
3.6747e-09,0.8118
3.6844e-09,0.8559
3.6940e-09,0.8947
3.7037e-09,0.9287
3.7133e-09,0.9590
3.7230e-09,0.9863
3.7326e-09,1.0113
3.7423e-09,1.0342
3.7519e-09,1.0553
3.7616e-09,1.0743
3.7712e-09,1.0913
3.7808e-09,1.1061
3.7905e-09,1.1189
3.8001e-09,1.1299
3.8098e-09,1.1395
3.8194e-09,1.1482
3.8291e-09,1.1562
3.8387e-09,1.1639
3.8484e-09,1.1711
3.8580e-09,1.1778
3.8676e-09,1.1840
3.8773e-09,1.1895
3.8869e-09,1.1945
3.8966e-09,1.1990
3.9062e-09,1.2030
3.9159e-09,1.2065
3.9255e-09,1.2098
3.9352e-09,1.2129
3.9448e-09,1.2160
3.9545e-09,1.2193
3.9641e-09,1.2227
3.9737e-09,1.2258
3.9834e-09,1.2284
3.9930e-09,1.2302
4.0027e-09,1.2312
4.0123e-09,1.2314
4.0220e-09,1.2305
4.0316e-09,1.2284
4.0413e-09,1.2250
4.0509e-09,1.2202
4.0605e-09,1.2140
4.0702e-09,1.2065
4.0798e-09,1.1979
4.0895e-09,1.1883
4.0991e-09,1.1776
4.1088e-09,1.1651
4.1184e-09,1.1494
4.1281e-09,1.1288
4.1377e-09,1.1018
4.1474e-09,1.0671
4.1570e-09,1.0238
4.1666e-09,0.9721
4.1763e-09,0.9128
4.1859e-09,0.8469
4.1956e-09,0.7756
4.2052e-09,0.7000
4.2149e-09,0.6215
4.2245e-09,0.5413
4.2342e-09,0.4606
4.2438e-09,0.3810
4.2534e-09,0.3037
4.2631e-09,0.2296
4.2727e-09,0.1596
4.2824e-09,0.0943
4.2920e-09,0.0343
4.3017e-09,-0.0202
4.3113e-09,-0.0684
4.3210e-09,-0.1102
4.3306e-09,-0.1457
4.3402e-09,-0.1755
4.3499e-09,-0.2001
4.3595e-09,-0.2201
4.3692e-09,-0.2357
4.3788e-09,-0.2471
4.3885e-09,-0.2548
4.3981e-09,-0.2594
4.4078e-09,-0.2618
4.4174e-09,-0.2624
4.4271e-09,-0.2620
4.4367e-09,-0.2610
4.4463e-09,-0.2600
4.4560e-09,-0.2593
4.4656e-09,-0.2592
4.4753e-09,-0.2600
4.4849e-09,-0.2619
4.4946e-09,-0.2645
4.5042e-09,-0.2675
4.5139e-09,-0.2704
4.5235e-09,-0.2726
4.5331e-09,-0.2736
4.5428e-09,-0.2734
4.5524e-09,-0.2723
4.5621e-09,-0.2705
4.5717e-09,-0.2687
4.5814e-09,-0.2673
4.5910e-09,-0.2665
4.6007e-09,-0.2664
4.6103e-09,-0.2668
4.6200e-09,-0.2675
4.6296e-09,-0.2683
4.6392e-09,-0.2689
4.6489e-09,-0.2694
4.6585e-09,-0.2696
4.6682e-09,-0.2693
4.6778e-09,-0.2683
4.6875e-09,-0.2665
4.6971e-09,-0.2635
4.7068e-09,-0.2592
4.7164e-09,-0.2536
4.7261e-09,-0.2468
4.7357e-09,-0.2385
4.7453e-09,-0.2288
4.7550e-09,-0.2178
4.7646e-09,-0.2055
4.7743e-09,-0.1922
4.7839e-09,-0.1782
4.7936e-09,-0.1637
4.8032e-09,-0.1491
4.8129e-09,-0.1344
4.8225e-09,-0.1197
4.8321e-09,-0.1048
4.8418e-09,-0.0899
4.8514e-09,-0.0749
4.8611e-09,-0.0603
4.8707e-09,-0.0461
4.8804e-09,-0.0327
4.8900e-09,-0.0201
4.8997e-09,-0.0088
4.9093e-09,0.0012
4.9190e-09,0.0096
4.9286e-09,0.0163
4.9382e-09,0.0215
4.9479e-09,0.0256
4.9575e-09,0.0289
4.9672e-09,0.0317
4.9768e-09,0.0343
4.9865e-09,0.0368
4.9961e-09,0.0393
5.0058e-09,0.0417
5.0154e-09,0.0439
5.0250e-09,0.0459
5.0347e-09,0.0477
5.0443e-09,0.0495
5.0540e-09,0.0511
5.0636e-09,0.0528
5.0733e-09,0.0543
5.0829e-09,0.0558
5.0926e-09,0.0570
5.1022e-09,0.0579
5.1119e-09,0.0586
5.1215e-09,0.0590
5.1311e-09,0.0592
5.1408e-09,0.0594
5.1504e-09,0.0597
5.1601e-09,0.0600
5.1697e-09,0.0606
5.1794e-09,0.0615
5.1890e-09,0.0627
5.1987e-09,0.0643
5.2083e-09,0.0661
5.2179e-09,0.0680
5.2276e-09,0.0698
5.2372e-09,0.0713
5.2469e-09,0.0724
5.2565e-09,0.0731
5.2662e-09,0.0736
5.2758e-09,0.0737
5.2855e-09,0.0738
5.2951e-09,0.0737
5.3047e-09,0.0735
5.3144e-09,0.0730
5.3240e-09,0.0722
5.3337e-09,0.0710
5.3433e-09,0.0692
5.3530e-09,0.0667
5.3626e-09,0.0633
5.3723e-09,0.0597
5.3819e-09,0.0572
5.3916e-09,0.0571
5.4012e-09,0.0602
5.4108e-09,0.0677
5.4205e-09,0.0804
5.4301e-09,0.0993
5.4398e-09,0.1254
5.4494e-09,0.1594
5.4591e-09,0.2009
5.4687e-09,0.2488
5.4784e-09,0.3016
5.4880e-09,0.3582
5.4976e-09,0.4174
5.5073e-09,0.4780
5.5169e-09,0.5390
5.5266e-09,0.5993
5.5362e-09,0.6577
5.5459e-09,0.7133
5.5555e-09,0.7656
5.5652e-09,0.8140
5.5748e-09,0.8586
5.5845e-09,0.8992
5.5941e-09,0.9361
5.6037e-09,0.9696
5.6134e-09,0.9997
5.6230e-09,1.0270
5.6327e-09,1.0515
5.6423e-09,1.0735
5.6520e-09,1.0931
5.6616e-09,1.1105
5.6713e-09,1.1258
5.6809e-09,1.1390
5.6905e-09,1.1503
5.7002e-09,1.1601
5.7098e-09,1.1685
5.7195e-09,1.1761
5.7291e-09,1.1830
5.7388e-09,1.1897
5.7484e-09,1.1963
5.7581e-09,1.2028
5.7677e-09,1.2093
5.7774e-09,1.2155
5.7870e-09,1.2213
5.7966e-09,1.2264
5.8063e-09,1.2306
5.8159e-09,1.2337
5.8256e-09,1.2360
5.8352e-09,1.2376
5.8449e-09,1.2388
5.8545e-09,1.2399
5.8642e-09,1.2410
5.8738e-09,1.2424
5.8835e-09,1.2442
5.8931e-09,1.2466
5.9027e-09,1.2495
5.9124e-09,1.2526
5.9220e-09,1.2554
5.9317e-09,1.2575
5.9413e-09,1.2585
5.9510e-09,1.2584
5.9606e-09,1.2572
5.9703e-09,1.2546
5.9799e-09,1.2504
5.9895e-09,1.2445
5.9992e-09,1.2372
6.0088e-09,1.2286
6.0185e-09,1.2192
6.0281e-09,1.2095
6.0378e-09,1.1999
6.0474e-09,1.1907
6.0571e-09,1.1821
6.0667e-09,1.1745
6.0764e-09,1.1680
6.0860e-09,1.1626
6.0956e-09,1.1583
6.1053e-09,1.1551
6.1149e-09,1.1526
6.1246e-09,1.1508
6.1342e-09,1.1495
6.1439e-09,1.1487
6.1535e-09,1.1483
6.1632e-09,1.1485
6.1728e-09,1.1492
6.1824e-09,1.1504
6.1921e-09,1.1523
6.2017e-09,1.1547
6.2114e-09,1.1575
6.2210e-09,1.1606
6.2307e-09,1.1638
6.2403e-09,1.1668
6.2500e-09,1.1696
6.2596e-09,1.1719
6.2693e-09,1.1737
6.2789e-09,1.1750
6.2885e-09,1.1760
6.2982e-09,1.1768
6.3078e-09,1.1773
6.3175e-09,1.1778
6.3271e-09,1.1783
6.3368e-09,1.1789
6.3464e-09,1.1797
6.3561e-09,1.1808
6.3657e-09,1.1820
6.3753e-09,1.1833
6.3850e-09,1.1846
6.3946e-09,1.1858
6.4043e-09,1.1871
6.4139e-09,1.1881
6.4236e-09,1.1889
6.4332e-09,1.1893
6.4429e-09,1.1892
6.4525e-09,1.1887
6.4621e-09,1.1881
6.4718e-09,1.1874
6.4814e-09,1.1868
6.4911e-09,1.1865
6.5007e-09,1.1865
6.5104e-09,1.1869
6.5200e-09,1.1878
6.5297e-09,1.1890
6.5393e-09,1.1907
6.5490e-09,1.1926
6.5586e-09,1.1947
6.5682e-09,1.1967
6.5779e-09,1.1985
6.5875e-09,1.2001
6.5972e-09,1.2016
6.6068e-09,1.2026
6.6165e-09,1.2027
6.6261e-09,1.2000
6.6358e-09,1.1923
6.6454e-09,1.1764
6.6550e-09,1.1498
6.6647e-09,1.1107
6.6743e-09,1.0595
6.6840e-09,0.9972
6.6936e-09,0.9255
6.7033e-09,0.8465
6.7129e-09,0.7621
6.7226e-09,0.6738
