.HEADER
..NAMES
Time,V U2.L3
.DATA
5.7004e-09,1.2229
5.7237e-09,1.2176
5.7469e-09,1.2114
5.7702e-09,1.2072
5.7935e-09,1.2051
5.8168e-09,1.2036
5.8400e-09,1.2028
5.8633e-09,1.2037
5.8866e-09,1.2070
5.9098e-09,1.2114
5.9331e-09,1.2146
5.9564e-09,1.2146
5.9796e-09,1.2108
6.0029e-09,1.2043
6.0262e-09,1.1973
6.0494e-09,1.1917
6.0727e-09,1.1884
6.0960e-09,1.1869
6.1192e-09,1.1872
6.1425e-09,1.1898
6.1658e-09,1.1946
6.1890e-09,1.2002
6.2123e-09,1.2044
6.2356e-09,1.2056
6.2588e-09,1.2044
6.2821e-09,1.2021
6.3054e-09,1.1999
6.3286e-09,1.1984
6.3519e-09,1.1976
6.3752e-09,1.1974
6.3984e-09,1.1980
6.4217e-09,1.1999
6.4450e-09,1.2031
6.4682e-09,1.2067
6.4915e-09,1.2093
6.5148e-09,1.2097
6.5380e-09,1.2080
6.5613e-09,1.2030
6.5846e-09,1.1819
6.6078e-09,1.1268
6.6311e-09,1.0119
6.6544e-09,0.8552
6.6776e-09,0.7079
6.7009e-09,0.5724
6.7242e-09,0.4223
6.7474e-09,0.2675
6.7707e-09,0.1324
6.7940e-09,0.0301
6.8172e-09,-0.0382
6.8405e-09,-0.0777
6.8638e-09,-0.1006
6.8870e-09,-0.1192
6.9103e-09,-0.1404
6.9336e-09,-0.1636
6.9568e-09,-0.1792
6.9801e-09,-0.1795
7.0034e-09,-0.1672
7.0266e-09,-0.1502
7.0499e-09,-0.1276
7.0732e-09,-0.0856
7.0964e-09,-0.0213
7.1197e-09,0.0452
7.1430e-09,0.0950
7.1662e-09,0.1270
7.1895e-09,0.1466
7.2128e-09,0.1563
7.2360e-09,0.1572
7.2593e-09,0.1496
7.2826e-09,0.1337
7.3058e-09,0.1117
7.3291e-09,0.0887
7.3524e-09,0.0721
7.3756e-09,0.0662
7.3989e-09,0.0667
7.4222e-09,0.0630
7.4454e-09,0.0486
7.4687e-09,0.0271
7.4920e-09,0.0060
7.5152e-09,-0.0138
7.5385e-09,-0.0357
7.5618e-09,-0.0581
7.5850e-09,-0.0745
7.6083e-09,-0.0798
7.6316e-09,-0.0737
7.6548e-09,-0.0594
7.6781e-09,-0.0423
7.7014e-09,-0.0272
7.7246e-09,-0.0165
7.7479e-09,-0.0091
7.7712e-09,-0.0021
7.7944e-09,0.0046
7.8177e-09,0.0086
7.8410e-09,0.0129
7.8642e-09,0.0378
7.8875e-09,0.1208
7.9108e-09,0.2628
7.9340e-09,0.4155
