.HEADER
..NAMES
Time,V U1.V6
.DATA
2.4305e-09,-0.0510
2.4402e-09,-0.0999
2.4498e-09,-0.1405
2.4595e-09,-0.1731
2.4691e-09,-0.1989
2.4788e-09,-0.2185
2.4884e-09,-0.2328
2.4981e-09,-0.2422
2.5077e-09,-0.2477
2.5173e-09,-0.2504
2.5270e-09,-0.2513
2.5366e-09,-0.2510
2.5463e-09,-0.2498
2.5559e-09,-0.2479
2.5656e-09,-0.2457
2.5752e-09,-0.2436
2.5849e-09,-0.2424
2.5945e-09,-0.2424
2.6042e-09,-0.2440
2.6138e-09,-0.2472
2.6234e-09,-0.2518
2.6331e-09,-0.2573
2.6427e-09,-0.2628
2.6524e-09,-0.2676
2.6620e-09,-0.2708
2.6717e-09,-0.2720
2.6813e-09,-0.2714
2.6910e-09,-0.2695
2.7006e-09,-0.2671
2.7102e-09,-0.2650
2.7199e-09,-0.2637
2.7295e-09,-0.2633
2.7392e-09,-0.2639
2.7488e-09,-0.2652
2.7585e-09,-0.2670
2.7681e-09,-0.2691
2.7778e-09,-0.2714
2.7874e-09,-0.2734
2.7970e-09,-0.2748
2.8067e-09,-0.2752
2.8163e-09,-0.2744
2.8260e-09,-0.2721
2.8356e-09,-0.2681
2.8453e-09,-0.2620
2.8549e-09,-0.2529
2.8646e-09,-0.2396
2.8742e-09,-0.2209
2.8839e-09,-0.1963
2.8935e-09,-0.1655
2.9031e-09,-0.1284
2.9128e-09,-0.0848
2.9224e-09,-0.0346
2.9321e-09,0.0222
2.9417e-09,0.0849
2.9514e-09,0.1523
2.9610e-09,0.2227
2.9707e-09,0.2949
2.9803e-09,0.3676
2.9900e-09,0.4398
2.9996e-09,0.5107
3.0092e-09,0.5790
3.0189e-09,0.6435
3.0285e-09,0.7031
3.0382e-09,0.7572
3.0478e-09,0.8055
3.0575e-09,0.8480
3.0671e-09,0.8852
3.0768e-09,0.9177
3.0864e-09,0.9464
3.0960e-09,0.9719
3.1057e-09,0.9950
3.1153e-09,1.0162
3.1250e-09,1.0358
3.1346e-09,1.0538
3.1443e-09,1.0702
3.1539e-09,1.0850
3.1636e-09,1.0984
3.1732e-09,1.1105
3.1828e-09,1.1216
3.1925e-09,1.1317
3.2021e-09,1.1411
3.2118e-09,1.1498
3.2214e-09,1.1579
3.2311e-09,1.1656
3.2407e-09,1.1728
3.2504e-09,1.1795
3.2600e-09,1.1855
3.2697e-09,1.1907
3.2793e-09,1.1953
3.2889e-09,1.1994
3.2986e-09,1.2031
3.3082e-09,1.2068
3.3179e-09,1.2105
3.3275e-09,1.2139
3.3372e-09,1.2169
3.3468e-09,1.2194
3.3565e-09,1.2213
3.3661e-09,1.2224
3.3757e-09,1.2228
3.3854e-09,1.2221
3.3950e-09,1.2202
3.4047e-09,1.2168
3.4143e-09,1.2120
3.4240e-09,1.2062
3.4336e-09,1.1994
3.4433e-09,1.1919
3.4529e-09,1.1835
3.4626e-09,1.1742
3.4722e-09,1.1639
3.4818e-09,1.1531
3.4915e-09,1.1422
3.5011e-09,1.1317
3.5108e-09,1.1220
3.5204e-09,1.1136
3.5301e-09,1.1066
3.5397e-09,1.1014
3.5494e-09,1.0981
3.5590e-09,1.0966
3.5687e-09,1.0968
3.5783e-09,1.0984
3.5879e-09,1.1011
3.5976e-09,1.1047
3.6072e-09,1.1091
3.6169e-09,1.1141
3.6265e-09,1.1194
3.6362e-09,1.1250
3.6458e-09,1.1307
3.6555e-09,1.1363
3.6651e-09,1.1417
3.6747e-09,1.1469
3.6844e-09,1.1517
3.6940e-09,1.1560
3.7037e-09,1.1597
3.7133e-09,1.1628
3.7230e-09,1.1655
3.7326e-09,1.1678
3.7423e-09,1.1698
3.7519e-09,1.1717
3.7616e-09,1.1734
3.7712e-09,1.1750
3.7808e-09,1.1764
3.7905e-09,1.1777
3.8001e-09,1.1788
3.8098e-09,1.1799
3.8194e-09,1.1808
3.8291e-09,1.1816
3.8387e-09,1.1823
3.8484e-09,1.1830
3.8580e-09,1.1838
3.8676e-09,1.1848
3.8773e-09,1.1860
3.8869e-09,1.1872
3.8966e-09,1.1883
3.9062e-09,1.1891
3.9159e-09,1.1898
3.9255e-09,1.1903
3.9352e-09,1.1908
3.9448e-09,1.1915
3.9545e-09,1.1923
3.9641e-09,1.1934
3.9737e-09,1.1947
3.9834e-09,1.1963
3.9930e-09,1.1983
4.0027e-09,1.2006
4.0123e-09,1.2030
4.0220e-09,1.2054
4.0316e-09,1.2077
4.0413e-09,1.2099
4.0509e-09,1.2119
4.0605e-09,1.2137
4.0702e-09,1.2152
4.0798e-09,1.2164
4.0895e-09,1.2172
4.0991e-09,1.2177
4.1088e-09,1.2173
4.1184e-09,1.2149
4.1281e-09,1.2084
4.1377e-09,1.1953
4.1474e-09,1.1727
4.1570e-09,1.1387
4.1666e-09,1.0927
4.1763e-09,1.0351
4.1859e-09,0.9669
4.1956e-09,0.8899
4.2052e-09,0.8057
4.2149e-09,0.7163
4.2245e-09,0.6237
4.2342e-09,0.5300
4.2438e-09,0.4372
4.2534e-09,0.3467
4.2631e-09,0.2602
4.2727e-09,0.1790
4.2824e-09,0.1041
4.2920e-09,0.0362
4.3017e-09,-0.0237
4.3113e-09,-0.0752
4.3210e-09,-0.1184
4.3306e-09,-0.1536
4.3402e-09,-0.1818
4.3499e-09,-0.2040
4.3595e-09,-0.2207
4.3692e-09,-0.2325
4.3788e-09,-0.2401
4.3885e-09,-0.2444
4.3981e-09,-0.2465
4.4078e-09,-0.2472
4.4174e-09,-0.2469
4.4271e-09,-0.2456
4.4367e-09,-0.2437
4.4463e-09,-0.2418
4.4560e-09,-0.2404
4.4656e-09,-0.2402
4.4753e-09,-0.2415
4.4849e-09,-0.2445
4.4946e-09,-0.2488
4.5042e-09,-0.2542
4.5139e-09,-0.2599
4.5235e-09,-0.2651
4.5331e-09,-0.2689
4.5428e-09,-0.2710
4.5524e-09,-0.2713
4.5621e-09,-0.2701
4.5717e-09,-0.2682
4.5814e-09,-0.2665
4.5910e-09,-0.2654
4.6007e-09,-0.2653
4.6103e-09,-0.2660
4.6200e-09,-0.2674
4.6296e-09,-0.2693
4.6392e-09,-0.2714
4.6489e-09,-0.2736
4.6585e-09,-0.2755
4.6682e-09,-0.2769
4.6778e-09,-0.2773
4.6875e-09,-0.2766
4.6971e-09,-0.2745
4.7068e-09,-0.2708
4.7164e-09,-0.2652
4.7261e-09,-0.2571
4.7357e-09,-0.2453
4.7453e-09,-0.2285
4.7550e-09,-0.2061
4.7646e-09,-0.1776
4.7743e-09,-0.1431
4.7839e-09,-0.1022
4.7936e-09,-0.0548
4.8032e-09,-0.0009
4.8129e-09,0.0593
4.8225e-09,0.1247
4.8321e-09,0.1939
4.8418e-09,0.2653
4.8514e-09,0.3379
4.8611e-09,0.4105
4.8707e-09,0.4821
4.8804e-09,0.5517
4.8900e-09,0.6180
4.8997e-09,0.6798
4.9093e-09,0.7362
4.9190e-09,0.7868
4.9286e-09,0.8316
4.9382e-09,0.8710
4.9479e-09,0.9055
4.9575e-09,0.9358
4.9672e-09,0.9626
4.9768e-09,0.9869
4.9865e-09,1.0090
4.9961e-09,1.0294
5.0058e-09,1.0480
5.0154e-09,1.0650
5.0250e-09,1.0803
5.0347e-09,1.0941
5.0443e-09,1.1066
5.0540e-09,1.1180
5.0636e-09,1.1284
5.0733e-09,1.1380
5.0829e-09,1.1469
5.0926e-09,1.1553
5.1022e-09,1.1632
5.1119e-09,1.1706
5.1215e-09,1.1775
5.1311e-09,1.1839
5.1408e-09,1.1895
5.1504e-09,1.1944
5.1601e-09,1.1987
5.1697e-09,1.2027
5.1794e-09,1.2064
5.1890e-09,1.2102
5.1987e-09,1.2137
5.2083e-09,1.2168
5.2179e-09,1.2194
5.2276e-09,1.2213
5.2372e-09,1.2225
5.2469e-09,1.2229
5.2565e-09,1.2225
5.2662e-09,1.2209
5.2758e-09,1.2180
5.2855e-09,1.2137
5.2951e-09,1.2083
5.3047e-09,1.2020
5.3144e-09,1.1949
5.3240e-09,1.1870
5.3337e-09,1.1781
5.3433e-09,1.1681
5.3530e-09,1.1569
5.3626e-09,1.1435
5.3723e-09,1.1264
5.3819e-09,1.1039
5.3916e-09,1.0743
5.4012e-09,1.0364
5.4108e-09,0.9897
5.4205e-09,0.9347
5.4301e-09,0.8720
5.4398e-09,0.8027
5.4494e-09,0.7281
5.4591e-09,0.6496
5.4687e-09,0.5686
5.4784e-09,0.4868
5.4880e-09,0.4059
5.4976e-09,0.3270
5.5073e-09,0.2514
5.5169e-09,0.1799
5.5266e-09,0.1133
5.5362e-09,0.0520
5.5459e-09,-0.0032
5.5555e-09,-0.0519
5.5652e-09,-0.0940
5.5748e-09,-0.1295
5.5845e-09,-0.1589
5.5941e-09,-0.1831
5.6037e-09,-0.2026
5.6134e-09,-0.2176
5.6230e-09,-0.2286
5.6327e-09,-0.2361
5.6423e-09,-0.2408
5.6520e-09,-0.2436
5.6616e-09,-0.2452
5.6713e-09,-0.2457
5.6809e-09,-0.2455
5.6905e-09,-0.2451
5.7002e-09,-0.2451
5.7098e-09,-0.2458
5.7195e-09,-0.2477
5.7291e-09,-0.2508
5.7388e-09,-0.2547
5.7484e-09,-0.2590
5.7581e-09,-0.2635
5.7677e-09,-0.2674
5.7774e-09,-0.2704
5.7870e-09,-0.2722
5.7966e-09,-0.2726
5.8063e-09,-0.2719
5.8159e-09,-0.2705
5.8256e-09,-0.2690
5.8352e-09,-0.2677
5.8449e-09,-0.2668
5.8545e-09,-0.2664
5.8642e-09,-0.2663
5.8738e-09,-0.2665
5.8835e-09,-0.2668
5.8931e-09,-0.2672
5.9027e-09,-0.2673
5.9124e-09,-0.2669
5.9220e-09,-0.2658
5.9317e-09,-0.2637
5.9413e-09,-0.2605
5.9510e-09,-0.2561
5.9606e-09,-0.2505
5.9703e-09,-0.2435
5.9799e-09,-0.2351
5.9895e-09,-0.2250
5.9992e-09,-0.2134
6.0088e-09,-0.2005
6.0185e-09,-0.1865
6.0281e-09,-0.1717
6.0378e-09,-0.1564
6.0474e-09,-0.1409
6.0571e-09,-0.1253
6.0667e-09,-0.1097
6.0764e-09,-0.0944
6.0860e-09,-0.0795
6.0956e-09,-0.0651
6.1053e-09,-0.0512
6.1149e-09,-0.0379
6.1246e-09,-0.0253
6.1342e-09,-0.0134
6.1439e-09,-0.0028
6.1535e-09,0.0064
6.1632e-09,0.0139
6.1728e-09,0.0198
6.1824e-09,0.0242
6.1921e-09,0.0275
6.2017e-09,0.0298
6.2114e-09,0.0314
6.2210e-09,0.0328
6.2307e-09,0.0341
6.2403e-09,0.0355
6.2500e-09,0.0371
6.2596e-09,0.0389
6.2693e-09,0.0408
6.2789e-09,0.0427
6.2885e-09,0.0447
6.2982e-09,0.0469
6.3078e-09,0.0491
6.3175e-09,0.0512
6.3271e-09,0.0533
6.3368e-09,0.0551
6.3464e-09,0.0567
6.3561e-09,0.0582
6.3657e-09,0.0594
6.3753e-09,0.0603
6.3850e-09,0.0610
6.3946e-09,0.0616
6.4043e-09,0.0621
6.4139e-09,0.0627
6.4236e-09,0.0636
6.4332e-09,0.0648
6.4429e-09,0.0664
6.4525e-09,0.0682
6.4621e-09,0.0701
6.4718e-09,0.0719
6.4814e-09,0.0735
6.4911e-09,0.0748
6.5007e-09,0.0757
6.5104e-09,0.0761
6.5200e-09,0.0761
6.5297e-09,0.0756
6.5393e-09,0.0748
6.5490e-09,0.0738
6.5586e-09,0.0725
6.5682e-09,0.0710
6.5779e-09,0.0692
6.5875e-09,0.0669
6.5972e-09,0.0640
6.6068e-09,0.0603
6.6165e-09,0.0563
6.6261e-09,0.0532
6.6358e-09,0.0521
6.6454e-09,0.0541
6.6550e-09,0.0601
6.6647e-09,0.0709
6.6743e-09,0.0876
6.6840e-09,0.1115
6.6936e-09,0.1437
6.7033e-09,0.1837
6.7129e-09,0.2308
6.7226e-09,0.2834
6.7322e-09,0.3404
6.7419e-09,0.4006
