.HEADER
..NAMES
Time,V U1.V5
.DATA
2.3534e-09,0.3447
2.3630e-09,0.4177
2.3727e-09,0.4886
2.3823e-09,0.5564
2.3920e-09,0.6204
2.4016e-09,0.6801
2.4113e-09,0.7351
2.4209e-09,0.7855
2.4305e-09,0.8315
2.4402e-09,0.8735
2.4498e-09,0.9116
2.4595e-09,0.9461
2.4691e-09,0.9769
2.4788e-09,1.0042
2.4884e-09,1.0280
2.4981e-09,1.0486
2.5077e-09,1.0664
2.5173e-09,1.0818
2.5270e-09,1.0953
2.5366e-09,1.1073
2.5463e-09,1.1181
2.5559e-09,1.1281
2.5656e-09,1.1375
2.5752e-09,1.1465
2.5849e-09,1.1551
2.5945e-09,1.1633
2.6042e-09,1.1712
2.6138e-09,1.1786
2.6234e-09,1.1853
2.6331e-09,1.1911
2.6427e-09,1.1958
2.6524e-09,1.1991
2.6620e-09,1.2011
2.6717e-09,1.2019
2.6813e-09,1.2016
2.6910e-09,1.2006
2.7006e-09,1.1991
2.7102e-09,1.1975
2.7199e-09,1.1960
2.7295e-09,1.1950
2.7392e-09,1.1948
2.7488e-09,1.1953
2.7585e-09,1.1964
2.7681e-09,1.1973
2.7778e-09,1.1973
2.7874e-09,1.1958
2.7970e-09,1.1927
2.8067e-09,1.1881
2.8163e-09,1.1821
2.8260e-09,1.1751
2.8356e-09,1.1674
2.8453e-09,1.1593
2.8549e-09,1.1510
2.8646e-09,1.1431
2.8742e-09,1.1357
2.8839e-09,1.1292
2.8935e-09,1.1235
2.9031e-09,1.1188
2.9128e-09,1.1148
2.9224e-09,1.1117
2.9321e-09,1.1094
2.9417e-09,1.1079
2.9514e-09,1.1074
2.9610e-09,1.1077
2.9707e-09,1.1089
2.9803e-09,1.1108
2.9900e-09,1.1136
2.9996e-09,1.1171
3.0092e-09,1.1214
3.0189e-09,1.1264
3.0285e-09,1.1320
3.0382e-09,1.1380
3.0478e-09,1.1442
3.0575e-09,1.1502
3.0671e-09,1.1556
3.0768e-09,1.1604
3.0864e-09,1.1643
3.0960e-09,1.1672
3.1057e-09,1.1692
3.1153e-09,1.1706
3.1250e-09,1.1714
3.1346e-09,1.1720
3.1443e-09,1.1726
3.1539e-09,1.1735
3.1636e-09,1.1750
3.1732e-09,1.1770
3.1828e-09,1.1795
3.1925e-09,1.1823
3.2021e-09,1.1851
3.2118e-09,1.1877
3.2214e-09,1.1899
3.2311e-09,1.1915
3.2407e-09,1.1927
3.2504e-09,1.1935
3.2600e-09,1.1942
3.2697e-09,1.1947
3.2793e-09,1.1950
3.2889e-09,1.1954
3.2986e-09,1.1957
3.3082e-09,1.1961
3.3179e-09,1.1967
3.3275e-09,1.1975
3.3372e-09,1.1984
3.3468e-09,1.1993
3.3565e-09,1.2002
3.3661e-09,1.2010
3.3757e-09,1.2017
3.3854e-09,1.2024
3.3950e-09,1.2030
3.4047e-09,1.2036
3.4143e-09,1.2041
3.4240e-09,1.2047
3.4336e-09,1.2055
3.4433e-09,1.2065
3.4529e-09,1.2078
3.4626e-09,1.2092
3.4722e-09,1.2108
3.4818e-09,1.2123
3.4915e-09,1.2136
3.5011e-09,1.2144
3.5108e-09,1.2147
3.5204e-09,1.2144
3.5301e-09,1.2136
3.5397e-09,1.2124
3.5494e-09,1.2108
3.5590e-09,1.2090
3.5687e-09,1.2072
3.5783e-09,1.2056
3.5879e-09,1.2042
