.HEADER
..NAMES
Time,V U1.H6
.DATA
2.3534e-09,0.3465
2.3630e-09,0.4138
2.3727e-09,0.4802
2.3823e-09,0.5444
2.3920e-09,0.6055
2.4016e-09,0.6627
2.4113e-09,0.7154
2.4209e-09,0.7636
2.4305e-09,0.8070
2.4402e-09,0.8457
2.4498e-09,0.8799
2.4595e-09,0.9099
2.4691e-09,0.9362
2.4788e-09,0.9594
2.4884e-09,0.9800
2.4981e-09,0.9985
2.5077e-09,1.0153
2.5173e-09,1.0306
2.5270e-09,1.0449
2.5366e-09,1.0583
2.5463e-09,1.0710
2.5559e-09,1.0831
2.5656e-09,1.0946
2.5752e-09,1.1054
2.5849e-09,1.1155
2.5945e-09,1.1247
2.6042e-09,1.1332
2.6138e-09,1.1411
2.6234e-09,1.1484
2.6331e-09,1.1552
2.6427e-09,1.1616
2.6524e-09,1.1676
2.6620e-09,1.1733
2.6717e-09,1.1787
2.6813e-09,1.1835
2.6910e-09,1.1878
2.7006e-09,1.1912
2.7102e-09,1.1936
2.7199e-09,1.1949
2.7295e-09,1.1951
2.7392e-09,1.1940
2.7488e-09,1.1917
2.7585e-09,1.1883
2.7681e-09,1.1838
2.7778e-09,1.1783
2.7874e-09,1.1720
2.7970e-09,1.1649
2.8067e-09,1.1571
2.8163e-09,1.1487
2.8260e-09,1.1398
2.8356e-09,1.1304
2.8453e-09,1.1209
2.8549e-09,1.1113
2.8646e-09,1.1020
2.8742e-09,1.0932
2.8839e-09,1.0851
2.8935e-09,1.0779
2.9031e-09,1.0718
2.9128e-09,1.0670
2.9224e-09,1.0635
2.9321e-09,1.0615
2.9417e-09,1.0610
2.9514e-09,1.0618
2.9610e-09,1.0640
2.9707e-09,1.0675
2.9803e-09,1.0722
2.9900e-09,1.0779
2.9996e-09,1.0846
3.0092e-09,1.0919
3.0189e-09,1.0997
3.0285e-09,1.1076
3.0382e-09,1.1154
3.0478e-09,1.1229
3.0575e-09,1.1298
3.0671e-09,1.1360
3.0768e-09,1.1415
3.0864e-09,1.1462
3.0960e-09,1.1501
3.1057e-09,1.1533
3.1153e-09,1.1560
3.1250e-09,1.1582
3.1346e-09,1.1602
3.1443e-09,1.1618
3.1539e-09,1.1632
3.1636e-09,1.1645
3.1732e-09,1.1657
3.1828e-09,1.1668
3.1925e-09,1.1678
3.2021e-09,1.1688
3.2118e-09,1.1699
3.2214e-09,1.1710
3.2311e-09,1.1723
3.2407e-09,1.1739
3.2504e-09,1.1756
3.2600e-09,1.1776
3.2697e-09,1.1798
3.2793e-09,1.1822
3.2889e-09,1.1848
3.2986e-09,1.1875
3.3082e-09,1.1903
3.3179e-09,1.1933
3.3275e-09,1.1963
3.3372e-09,1.1993
3.3468e-09,1.2023
3.3565e-09,1.2054
3.3661e-09,1.2083
3.3757e-09,1.2111
3.3854e-09,1.2136
3.3950e-09,1.2159
3.4047e-09,1.2177
3.4143e-09,1.2192
3.4240e-09,1.2201
3.4336e-09,1.2207
3.4433e-09,1.2209
3.4529e-09,1.2207
