.HEADER
..NAMES
Time,V U1.U2
.DATA
2.3437e-09,-0.0117
2.3534e-09,-0.0103
2.3630e-09,-0.0090
2.3727e-09,-0.0078
2.3823e-09,-0.0068
2.3920e-09,-0.0060
2.4016e-09,-0.0054
2.4113e-09,-0.0049
2.4209e-09,-0.0045
2.4305e-09,-0.0040
2.4402e-09,-0.0035
2.4498e-09,-0.0029
2.4595e-09,-0.0023
2.4691e-09,-0.0016
2.4788e-09,-0.0010
2.4884e-09,-0.0005
2.4981e-09,0.0000
2.5077e-09,0.0005
2.5173e-09,0.0010
2.5270e-09,0.0016
2.5366e-09,0.0023
2.5463e-09,0.0030
2.5559e-09,0.0038
2.5656e-09,0.0046
2.5752e-09,0.0053
2.5849e-09,0.0058
2.5945e-09,0.0062
2.6042e-09,0.0064
2.6138e-09,0.0065
2.6234e-09,0.0064
2.6331e-09,0.0061
2.6427e-09,0.0057
2.6524e-09,0.0052
2.6620e-09,0.0046
2.6717e-09,0.0040
2.6813e-09,0.0035
2.6910e-09,0.0030
2.7006e-09,0.0027
2.7102e-09,0.0025
2.7199e-09,0.0026
2.7295e-09,0.0027
2.7392e-09,0.0030
2.7488e-09,0.0034
2.7585e-09,0.0038
2.7681e-09,0.0043
2.7778e-09,0.0048
2.7874e-09,0.0053
2.7970e-09,0.0059
2.8067e-09,0.0064
2.8163e-09,0.0069
2.8260e-09,0.0073
2.8356e-09,0.0076
2.8453e-09,0.0078
2.8549e-09,0.0078
2.8646e-09,0.0078
2.8742e-09,0.0077
2.8839e-09,0.0076
2.8935e-09,0.0074
2.9031e-09,0.0071
2.9128e-09,0.0068
2.9224e-09,0.0064
2.9321e-09,0.0060
2.9417e-09,0.0054
2.9514e-09,0.0049
2.9610e-09,0.0044
2.9707e-09,0.0040
2.9803e-09,0.0037
2.9900e-09,0.0034
2.9996e-09,0.0033
3.0092e-09,0.0033
3.0189e-09,0.0033
3.0285e-09,0.0033
3.0382e-09,0.0033
3.0478e-09,0.0032
3.0575e-09,0.0032
3.0671e-09,0.0031
3.0768e-09,0.0029
3.0864e-09,0.0027
3.0960e-09,0.0024
3.1057e-09,0.0021
3.1153e-09,0.0017
3.1250e-09,0.0014
3.1346e-09,0.0010
3.1443e-09,0.0006
3.1539e-09,0.0003
3.1636e-09,0.0000
3.1732e-09,-0.0002
3.1828e-09,-0.0004
3.1925e-09,-0.0005
3.2021e-09,-0.0006
3.2118e-09,-0.0006
3.2214e-09,-0.0006
3.2311e-09,-0.0006
3.2407e-09,-0.0005
3.2504e-09,-0.0004
3.2600e-09,-0.0003
3.2697e-09,-0.0001
3.2793e-09,0.0001
3.2889e-09,0.0002
3.2986e-09,0.0004
3.3082e-09,0.0005
3.3179e-09,0.0006
3.3275e-09,0.0006
3.3372e-09,0.0006
3.3468e-09,0.0006
3.3565e-09,0.0006
3.3661e-09,0.0004
3.3757e-09,0.0002
3.3854e-09,-0.0000
3.3950e-09,-0.0003
3.4047e-09,-0.0006
3.4143e-09,-0.0008
3.4240e-09,-0.0010
3.4336e-09,-0.0012
3.4433e-09,-0.0013
3.4529e-09,-0.0013
3.4626e-09,-0.0013
3.4722e-09,-0.0013
3.4818e-09,-0.0014
3.4915e-09,-0.0014
3.5011e-09,-0.0008
3.5108e-09,0.0016
3.5204e-09,0.0067
3.5301e-09,0.0155
3.5397e-09,0.0284
3.5494e-09,0.0465
3.5590e-09,0.0705
3.5687e-09,0.1012
3.5783e-09,0.1389
3.5879e-09,0.1832
3.5976e-09,0.2332
3.6072e-09,0.2877
3.6169e-09,0.3451
3.6265e-09,0.4047
3.6362e-09,0.4654
3.6458e-09,0.5267
3.6555e-09,0.5875
3.6651e-09,0.6473
3.6747e-09,0.7054
3.6844e-09,0.7611
3.6940e-09,0.8136
3.7037e-09,0.8625
3.7133e-09,0.9074
3.7230e-09,0.9480
3.7326e-09,0.9842
3.7423e-09,1.0162
3.7519e-09,1.0440
3.7616e-09,1.0679
3.7712e-09,1.0882
3.7808e-09,1.1051
3.7905e-09,1.1192
3.8001e-09,1.1308
3.8098e-09,1.1405
3.8194e-09,1.1487
3.8291e-09,1.1560
3.8387e-09,1.1627
3.8484e-09,1.1693
3.8580e-09,1.1758
3.8676e-09,1.1823
3.8773e-09,1.1890
3.8869e-09,1.1955
3.8966e-09,1.2016
3.9062e-09,1.2071
3.9159e-09,1.2118
3.9255e-09,1.2152
3.9352e-09,1.2173
3.9448e-09,1.2181
3.9545e-09,1.2177
3.9641e-09,1.2165
3.9737e-09,1.2149
3.9834e-09,1.2133
3.9930e-09,1.2119
4.0027e-09,1.2108
4.0123e-09,1.2104
4.0220e-09,1.2106
4.0316e-09,1.2116
4.0413e-09,1.2131
