"Net Name","Pass/Fail","Operation","Driver Comp Ref Des & Pin Name","Receiver Comp Ref Des & Pin Name","Rise Rail Overshoot, [mV]","Rise Rail Overshoot Limit, [mV]","Rise Rail Overshoot Margin, [mV]","Rise Rail Overshoot, [Pass/Fail]","Rise Rail Overshoot Trace Point, [ns]","Fall Rail Undershoot, [mV]","Fall Rail Undershoot Limit, [mV]","Fall Rail Undershoot Margin, [mV]","Fall Rail Undershoot, [Pass/Fail]","Fall Rail Undershoot Trace Point, [ns]","Rise Rail Overshoot Area, [V*ns]","Rise Rail Overshoot Area Limit, [V*ns]","Rise Rail Overshoot Area Margin, [V*ns]","Rise Rail Overshoot Area, [Pass/Fail]","Rise Rail Overshoot Area Trace Point, [ns]","Fall Rail Undershoot Area, [V*ns]","Fall Rail Undershoot Area Limit, [V*ns]","Fall Rail Undershoot Area Margin, [V*ns]","Fall Rail Undershoot Area, [Pass/Fail]","Fall Rail Undershoot Area Trace Point, [ns]","Rise Rail Overshoot Area (2), [V*ns]","Rise Rail Overshoot Area (2) Limit, [V*ns]","Rise Rail Overshoot Area (2) Margin, [V*ns]","Rise Rail Overshoot Area (2), [Pass/Fail]","Rise Rail Overshoot Area (2) Trace Point, [ns]","Fall Rail Undershoot Area (2), [V*ns]","Fall Rail Undershoot Area (2) Limit, [V*ns]","Fall Rail Undershoot Area (2) Margin, [V*ns]","Fall Rail Undershoot Area (2), [Pass/Fail]","Fall Rail Undershoot Area (2) Trace Point, [ns]","Monotonic, [Pass/Fail]","Monotonic Trace Point, [ns]","VIH/L(AC) Min Limit, [Pass/Fail]","VIH/L(AC) Min Limit, Trace Point, [ns]","VIH/L(DC) Monotonicity, [Pass/Fail]","VIH/L(DC) Monotonicity Trace Point, [ns]","Vref Threshold Multi Cross, [Pass/Fail]","Max Slew Time, [ps]","Max Slew Time, [Pass/Fail]","VIX Limit Low, mV","VIX Limit Hi, mV","VIX Margin, mV","VIX, [Pass/Fail]","VIX Trace Point, [ns]","VID(AC) Limit, mV","VID(AC) Margin, mV","VID(AC), [Pass/Fail]","VID(AC) Trace Point, [ns]","VID(DC) Limit, mV","VID(DC), [Pass/Fail]","VID(DC) Trace Point, [ns]","Vdd/2, mV","VSEL Limit, mV","VSEL Margin, mV","VSEL, [Pass/Fail]","VSEL Trace Point, [ns]","VSEH Limit, mV","VSEH Margin, mV","VSEH, [Pass/Fail]","VSEH Trace Point, [ns]","TVAC/TDVAC Min Time Over AC, ps","TVAC/TDVAC Time Limit, ps","TVAC/TDVAC Margin, ps","TVAC/TDVAC, [Pass/Fail]","TVAC/TDVAC Trace Point, [ns]"
"DDR_CLK_P","Pass","Write rank(1,1)","U1.L1&L2","U2.K7&K8","   0.0"," 300.0"," 300.0","Pass","N/A","   0.0"," 300.0"," 300.0","Pass","N/A","0.0000","0.0750","0.0750","Pass","N/A","0.0000","0.0762","0.0762","Pass","N/A","0.0000","0.0025","0.0025","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","N/A","N/A","N/A","N/A","Pass","  44.2","Pass"," 480.0"," 720.0","  89.8","Pass","29.137"," 180.0"," 537.3","Pass"," 3.188"," 150.0","Pass","N/A"," 600.0"," 500.0"," 266.4","Pass"," 3.183"," 700.0"," 238.4","Pass"," 2.766","   365","   120","   245","Pass"," 1.032"
"DDR_LDQS_P","Pass","Write rank(1,1)","U1.E1&E2","U2.G3&F3","  21.3"," 400.0"," 378.7","Pass"," 1.457","   0.0"," 400.0"," 400.0","Pass","N/A","0.0015","0.0700","0.0685","Pass"," 1.924","0.0000","0.0700","0.0700","Pass","N/A","0.0000","0.0100","0.0100","Pass","N/A","0.0000","0.0100","0.0100","Pass","N/A","Pass","N/A","N/A","N/A","N/A","N/A","Pass","N/A","N/A"," 698.9","1035.3"," 162.5","Pass"," 0.875","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_UDQS_P","Pass","Write rank(1,1)","U1.V1&V2","U2.B7&A7","  13.1"," 400.0"," 386.9","Pass"," 1.147","   0.0"," 400.0"," 400.0","Pass","N/A","0.0005","0.0700","0.0695","Pass"," 1.145","0.0000","0.0700","0.0700","Pass","N/A","0.0000","0.0100","0.0100","Pass","N/A","0.0000","0.0100","0.0100","Pass","N/A","Pass","N/A","N/A","N/A","N/A","N/A","Pass","N/A","N/A"," 686.4","1021.3"," 145.5","Pass"," 1.687","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A0","Pass","Write rank(1,1)","U1.J1","U2.P3"," 124.4"," 300.0"," 175.6","Pass","39.249"," 197.0"," 300.0"," 103.0","Pass","29.833","0.0308","0.1699","0.1391","Pass"," 0.819","0.0560","0.1762","0.1202","Pass","49.951","0.0000","0.0055","0.0055","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  27.9","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A1","Pass","Write rank(1,1)","U1.J2","U2.P7"," 172.7"," 300.0"," 127.3","Pass","44.231"," 248.1"," 300.0","  51.9","Pass","47.548","0.0392","0.1699","0.1307","Pass"," 4.176","0.0636","0.1762","0.1126","Pass","34.149","0.0000","0.0055","0.0055","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  32.6","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A10","Pass","Write rank(1,1)","U1.R5","U2.M3"," 129.8"," 300.0"," 170.2","Pass","23.311"," 193.8"," 300.0"," 106.2","Pass"," 0.779","0.0235","0.1699","0.1464","Pass","49.930","0.0454","0.1762","0.1308","Pass"," 0.760","0.0000","0.0055","0.0055","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  37.2","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A11","Pass","Write rank(1,1)","U1.P5","U2.T2"," 127.3"," 300.0"," 172.7","Pass","22.471"," 197.8"," 300.0"," 102.2","Pass","40.780","0.0237","0.1699","0.1462","Pass","38.286","0.0463","0.1762","0.1299","Pass"," 0.776","0.0000","0.0055","0.0055","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  44.2","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A12","Pass","Write rank(1,1)","U1.R6","U2.M7"," 135.3"," 300.0"," 164.7","Pass"," 2.469"," 198.2"," 300.0"," 101.8","Pass","26.603","0.0241","0.1699","0.1458","Pass"," 0.782","0.0451","0.1762","0.1311","Pass","35.745","0.0000","0.0055","0.0055","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  41.9","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A13","Pass","Write rank(1,1)","U1.R1","U2.T8"," 147.4"," 300.0"," 152.6","Pass","35.920"," 212.4"," 300.0","  87.6","Pass","31.739","0.0363","0.1699","0.1336","Pass","44.172","0.0643","0.1762","0.1119","Pass","39.150","0.0000","0.0055","0.0055","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  39.6","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_A14_WEn","Pass","Write rank(1,1)","U1.N3","U2.L2"," 152.1"," 300.0"," 147.9","Pass","42.551"," 196.5"," 300.0"," 103.5","Pass","43.372","0.0267","0.1699","0.1432","Pass"," 0.804","0.0500","0.1762","0.1262","Pass","34.941","0.0000","0.0055","0.0055","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  32.6","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
