"Net Name","Pass/Fail","Operation","Driver Comp Ref Des & Pin Name","Receiver Comp Ref Des & Pin Name","Associated Clk/Strobe Net Name","Associated Clk/Strobe Driver Comp Ref Des & Pin Name","Associated Clk/Strobe Receiver Comp Ref Des & Pin Name","Clk/Strobe Crossing Threshold Time, [ns]","Average Center Voltage, Vcent(pin_mid), [mV]","Upper Eye Mask, Vcent(pin_mid) + VdIVW_Total/2, [mV]","Lower Eye Mask, Vcent(pin_mid) - VdIVW_Total/2, [mV]","Half Eye-Mask Width, TdIVW/2, [ps]","Output Delay Uncertainty, [ps]","Measured Setup Time, [ps]","Setup Time Margin, [ps]","Setup Time Margin with Output Delay Uncertainty, [ps]","Measured Hold Time, [ps]","Hold Time Margin, [ps]","Hold Time Margin with Output Delay Uncertainty, [ps]","Min Voltage Above/Below Eye-Mask, [mV]","Peak Voltage Above/Below Vcent(pin_mid), [mV]","VIHL_AC/2 Limit, [mV]","Peak Voltage Above/Below Vcent(pin_mid) Margin, [mV]","Vcent(pin_mid) to Vcent(pin_mid) Pulse Width, [ps]","Pulse Width Limit, tdIPW, [ps]","Pulse Width Margin, [ps]","Pulse Width Margin with Output Delay Uncertainty, [ps]","Min Slew Rate, [V/ns]","Min Slew Rate Limit, SRIN_VdIVW_min, [V/ns]","Min Slew Rate Margin, [V/ns]","Max Slew Rate, [V/ns]","Max Slew Rate Limit, SRIN_VdIVW_max, [V/ns]","Max Slew Rate Margin, [V/ns]","Min Slew Rate (2), [V/ns]","Min Slew Rate (2) Limit, SRIN_VdIVW_min, [V/ns]","Min Slew Rate (2) Margin, [V/ns]","Max Slew Rate (2), [V/ns]","Max Slew Rate (2) Limit, SRIN_VdIVW_max, [V/ns]","Max Slew Rate (2) Margin, [V/ns]","Eye Mask Shape"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 1.296"," 691.7"," 756.7"," 626.7","    42","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","532.119"," 846.2","  80.0"," 766.2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 1.712"," 691.7"," 756.7"," 626.7","    42","   6.0","N/A","N/A","N/A"," 278.7"," 237.0"," 231.0","612.387"," 729.7","  80.0"," 649.7","N/A","N/A","N/A","N/A"," 4.916"," 1.000"," 3.916"," 4.916"," 9.000"," 4.084","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 2.129"," 691.7"," 756.7"," 626.7","    42","   6.0"," 111.5","  69.9","  63.9"," 237.8"," 196.1"," 190.1","311.908"," 558.0","  80.0"," 478.0"," 374.1","   242"," 132.6"," 120.6"," 4.916"," 1.000"," 3.916"," 5.741"," 9.000"," 3.259"," 4.890"," 0.983"," 3.907"," 4.890"," 9.000"," 4.110","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 2.545"," 691.7"," 756.7"," 626.7","    42","   6.0"," 156.1"," 114.4"," 108.4"," 280.1"," 238.4"," 232.4","669.418"," 925.8","  80.0"," 845.8"," 457.4","   242"," 215.8"," 203.8"," 5.741"," 1.000"," 4.741"," 6.504"," 9.000"," 2.496"," 5.954"," 1.148"," 4.806"," 5.954"," 9.000"," 3.046","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 2.962"," 691.7"," 756.7"," 626.7","    42","   6.0"," 116.6","  75.0","  69.0","N/A","N/A","N/A","489.773"," 763.0","  80.0"," 683.0","N/A","N/A","N/A","N/A"," 6.504"," 1.000"," 5.504"," 6.504"," 9.000"," 2.496"," 6.864"," 1.301"," 5.563"," 6.864"," 9.000"," 2.136","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 3.378"," 691.7"," 756.7"," 626.7","    42","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","248.898"," 671.0","  80.0"," 591.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 3.795"," 691.7"," 756.7"," 626.7","    42","   6.0","N/A","N/A","N/A"," 220.3"," 178.6"," 172.6","463.334"," 569.1","  80.0"," 489.1","N/A","N/A","N/A","N/A"," 5.158"," 1.000"," 4.158"," 5.158"," 9.000"," 3.842","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 4.211"," 691.7"," 756.7"," 626.7","    42","   6.0"," 170.9"," 129.2"," 123.2","N/A","N/A","N/A","622.365"," 888.8","  80.0"," 808.8","N/A","N/A","N/A","N/A"," 5.158"," 1.000"," 4.158"," 5.158"," 9.000"," 3.842"," 5.193"," 1.032"," 4.162"," 5.193"," 9.000"," 3.807","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 4.628"," 691.7"," 756.7"," 626.7","    42","   6.0","N/A","N/A","N/A"," 274.5"," 232.8"," 226.8","521.223"," 864.1","  80.0"," 784.1","N/A","N/A","N/A","N/A"," 4.401"," 1.000"," 3.401"," 4.401"," 9.000"," 4.599","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 5.044"," 691.7"," 756.7"," 626.7","    42","   6.0"," 112.3","  70.6","  64.6","N/A","N/A","N/A","242.996"," 577.1","  80.0"," 497.1","N/A","N/A","N/A","N/A"," 4.401"," 1.000"," 3.401"," 4.401"," 9.000"," 4.599"," 3.985"," 0.880"," 3.105"," 3.985"," 9.000"," 5.015","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 5.461"," 691.7"," 756.7"," 626.7","    42","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","340.986"," 579.7","  80.0"," 499.7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 5.877"," 691.7"," 756.7"," 626.7","    42","   6.0","N/A","N/A","N/A"," 218.3"," 176.7"," 170.7","418.926"," 536.5","  80.0"," 456.5","N/A","N/A","N/A","N/A"," 5.075"," 1.000"," 4.075"," 5.075"," 9.000"," 3.925","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 6.294"," 691.7"," 756.7"," 626.7","    42","   6.0"," 172.7"," 131.0"," 125.0","N/A","N/A","N/A","593.192"," 875.0","  80.0"," 795.0","N/A","N/A","N/A","N/A"," 5.075"," 1.000"," 4.075"," 5.075"," 9.000"," 3.925"," 5.152"," 1.015"," 4.137"," 5.152"," 9.000"," 3.848","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 6.710"," 691.7"," 756.7"," 626.7","    42","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","527.749"," 862.8","  80.0"," 782.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 7.127"," 691.7"," 756.7"," 626.7","    42","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","613.750"," 735.1","  80.0"," 655.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 7.543"," 691.7"," 756.7"," 626.7","    42","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","629.957"," 715.3","  80.0"," 635.3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3"," 7.960"," 691.7"," 756.7"," 626.7","    42","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","626.968"," 695.6","  80.0"," 615.6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
