.HEADER
..NAMES
Time,V U1.V1&V2
.DATA
0.0e+00,-0.6916
2.33e-11,-0.6916
4.65e-11,-0.6916
6.98e-11,-0.6916
9.31e-11,-0.6916
1.163e-10,-0.6916
1.396e-10,-0.6916
1.629e-10,-0.6916
1.861e-10,-0.6916
2.094e-10,-0.6916
2.327e-10,-0.6916
2.559e-10,-0.6916
2.792e-10,-0.6916
3.025e-10,-0.6916
3.257e-10,-0.6916
3.490e-10,-0.6916
3.723e-10,-0.6916
3.955e-10,-0.6916
4.188e-10,-0.6916
4.421e-10,-0.6916
4.653e-10,-0.6916
4.886e-10,-0.6916
5.119e-10,-0.6916
5.351e-10,-0.6916
5.584e-10,-0.6916
5.817e-10,-0.6916
6.049e-10,-0.6916
6.282e-10,-0.6916
6.515e-10,-0.6916
6.747e-10,-0.6916
6.980e-10,-0.6916
7.213e-10,-0.6916
7.445e-10,-0.6916
7.678e-10,-0.6888
7.911e-10,-0.6477
8.143e-10,-0.5306
8.376e-10,-0.2026
8.609e-10,0.0883
8.841e-10,0.2922
9.074e-10,0.4269
9.307e-10,0.4992
9.539e-10,0.5230
9.772e-10,0.5258
1.0005e-09,0.5390
1.0237e-09,0.5631
1.0470e-09,0.5892
1.0703e-09,0.6146
1.0935e-09,0.6442
1.1168e-09,0.6739
1.1401e-09,0.6922
1.1633e-09,0.6924
1.1866e-09,0.6791
1.2099e-09,0.6627
1.2332e-09,0.6475
1.2564e-09,0.6269
1.2797e-09,0.5980
1.3030e-09,0.5721
1.3262e-09,0.5599
1.3495e-09,0.5605
1.3728e-09,0.5682
1.3960e-09,0.5773
1.4193e-09,0.5532
1.4426e-09,0.4307
1.4658e-09,0.1043
1.4891e-09,-0.1647
1.5124e-09,-0.3368
1.5356e-09,-0.4472
1.5589e-09,-0.5128
1.5822e-09,-0.5354
1.6054e-09,-0.5423
1.6287e-09,-0.5585
1.6520e-09,-0.5817
1.6752e-09,-0.6056
1.6985e-09,-0.6283
1.7218e-09,-0.6534
1.7450e-09,-0.6764
1.7683e-09,-0.6877
1.7916e-09,-0.6823
1.8148e-09,-0.6649
1.8381e-09,-0.6462
1.8614e-09,-0.6304
1.8846e-09,-0.6117
1.9079e-09,-0.5862
1.9312e-09,-0.5643
1.9544e-09,-0.5557
1.9777e-09,-0.5600
2.0010e-09,-0.5718
2.0242e-09,-0.5819
2.0475e-09,-0.5502
2.0708e-09,-0.3980
2.0940e-09,-0.0720
2.1173e-09,0.1982
2.1406e-09,0.3567
2.1638e-09,0.4701
2.1871e-09,0.5241
2.2104e-09,0.5392
2.2336e-09,0.5455
2.2569e-09,0.5629
2.2802e-09,0.5865
2.3034e-09,0.6081
2.3267e-09,0.6298
2.3500e-09,0.6562
2.3732e-09,0.6803
2.3965e-09,0.6903
2.4198e-09,0.6825
2.4430e-09,0.6648
2.4663e-09,0.6481
2.4896e-09,0.6333
2.5128e-09,0.6130
2.5361e-09,0.5864
2.5594e-09,0.5662
2.5826e-09,0.5599
2.6059e-09,0.5645
2.6292e-09,0.5748
2.6524e-09,0.5785
2.6757e-09,0.5397
2.6990e-09,0.3549
2.7222e-09,0.0225
2.7455e-09,-0.2107
2.7688e-09,-0.3694
2.7920e-09,-0.4729
2.8153e-09,-0.5213
2.8386e-09,-0.5363
2.8618e-09,-0.5459
2.8851e-09,-0.5644
2.9084e-09,-0.5874
2.9316e-09,-0.6101
2.9549e-09,-0.6338
