.HEADER
..NAMES
Time,V U1.F1
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0027
3.955e-10,0.0027
4.188e-10,0.0027
4.421e-10,0.0027
4.653e-10,0.0027
4.886e-10,0.0165
5.119e-10,0.0625
5.351e-10,0.2013
5.584e-10,0.3475
5.817e-10,0.4663
6.049e-10,0.5480
6.282e-10,0.6061
6.515e-10,0.6297
6.747e-10,0.6337
6.980e-10,0.6339
7.213e-10,0.6342
7.445e-10,0.6312
7.678e-10,0.6287
7.911e-10,0.6326
8.143e-10,0.6415
8.376e-10,0.6491
8.609e-10,0.6531
8.841e-10,0.6564
9.074e-10,0.6587
9.307e-10,0.6555
9.539e-10,0.6464
9.772e-10,0.6372
1.0005e-09,0.6330
1.0237e-09,0.6320
1.0470e-09,0.6366
1.0703e-09,0.6535
1.0935e-09,0.6874
1.1168e-09,0.7359
1.1401e-09,0.7946
1.1633e-09,0.8615
1.1866e-09,0.9334
1.2099e-09,1.0027
1.2332e-09,1.0617
1.2564e-09,1.1094
1.2797e-09,1.1482
1.3030e-09,1.1777
1.3262e-09,1.1966
1.3495e-09,1.2068
1.3728e-09,1.2129
1.3960e-09,1.2170
1.4193e-09,1.2183
1.4426e-09,1.2177
1.4658e-09,1.2186
1.4891e-09,1.2228
1.5124e-09,1.2285
1.5356e-09,1.2341
1.5589e-09,1.2398
1.5822e-09,1.2456
1.6054e-09,1.2488
1.6287e-09,1.2470
1.6520e-09,1.2399
1.6752e-09,1.2284
1.6985e-09,1.2128
1.7218e-09,1.1937
1.7450e-09,1.1743
1.7683e-09,1.1582
1.7916e-09,1.1470
1.8148e-09,1.1406
1.8381e-09,1.1392
1.8614e-09,1.1427
1.8846e-09,1.1496
1.9079e-09,1.1575
1.9312e-09,1.1654
1.9544e-09,1.1737
1.9777e-09,1.1818
2.0010e-09,1.1885
2.0242e-09,1.1927
2.0475e-09,1.1949
2.0708e-09,1.1958
2.0940e-09,1.1948
2.1173e-09,1.1921
2.1406e-09,1.1891
2.1638e-09,1.1874
2.1871e-09,1.1876
2.2104e-09,1.1895
2.2336e-09,1.1936
2.2569e-09,1.2000
2.2802e-09,1.2079
2.3034e-09,1.2155
2.3267e-09,1.2213
2.3500e-09,1.1938
2.3732e-09,1.1373
2.3965e-09,0.9773
2.4198e-09,0.8174
2.4430e-09,0.7028
2.4663e-09,0.6207
2.4896e-09,0.5684
2.5128e-09,0.5451
2.5361e-09,0.5387
2.5594e-09,0.5350
2.5826e-09,0.5316
2.6059e-09,0.5320
2.6292e-09,0.5332
2.6524e-09,0.5299
2.6757e-09,0.5228
2.6990e-09,0.5179
2.7222e-09,0.5171
2.7455e-09,0.5162
2.7688e-09,0.5158
2.7920e-09,0.5187
2.8153e-09,0.5251
2.8386e-09,0.5306
2.8618e-09,0.5313
2.8851e-09,0.5281
2.9084e-09,0.5190
2.9316e-09,0.4983
2.9549e-09,0.4624
2.9782e-09,0.4136
3.0014e-09,0.3564
3.0247e-09,0.2924
3.0480e-09,0.2243
3.0712e-09,0.1598
3.0945e-09,0.1053
3.1178e-09,0.0617
3.1410e-09,0.0264
3.1643e-09,-0.0008
3.1876e-09,-0.0185
3.2108e-09,-0.0287
3.2341e-09,-0.0355
3.2574e-09,-0.0409
3.2806e-09,-0.0437
3.3039e-09,-0.0443
3.3272e-09,-0.0458
3.3504e-09,-0.0497
3.3737e-09,-0.0545
3.3970e-09,-0.0586
3.4202e-09,-0.0625
3.4435e-09,-0.0664
3.4668e-09,-0.0681
3.4901e-09,-0.0651
3.5133e-09,-0.0571
3.5366e-09,-0.0447
3.5599e-09,-0.0284
3.5831e-09,-0.0088
3.6064e-09,0.0188
3.6297e-09,0.0710
3.6529e-09,0.2034
3.6762e-09,0.3723
3.6995e-09,0.5051
3.7227e-09,0.5970
3.7460e-09,0.6548
3.7693e-09,0.6787
3.7925e-09,0.6784
3.8158e-09,0.6699
3.8391e-09,0.6628
3.8623e-09,0.6544
3.8856e-09,0.6468
3.9089e-09,0.6461
3.9321e-09,0.6531
3.9554e-09,0.6625
3.9787e-09,0.6695
4.0019e-09,0.6754
4.0252e-09,0.6798
4.0485e-09,0.6782
4.0717e-09,0.6680
4.0950e-09,0.6536
4.1183e-09,0.6409
4.1415e-09,0.6301
4.1648e-09,0.6238
4.1881e-09,0.6298
4.2113e-09,0.6550
4.2346e-09,0.6995
4.2579e-09,0.7587
4.2811e-09,0.8291
4.3044e-09,0.9069
4.3277e-09,0.9838
4.3509e-09,1.0508
4.3742e-09,1.1049
4.3975e-09,1.1481
4.4207e-09,1.1813
4.4440e-09,1.2033
