.HEADER
..NAMES
Time,V U1.R1
.DATA
5.6771e-09,0.6554
5.7004e-09,0.6579
5.7237e-09,0.6643
5.7469e-09,0.6814
5.7702e-09,0.7168
5.7935e-09,0.7709
5.8168e-09,0.8378
5.8400e-09,0.9118
5.8633e-09,0.9881
5.8866e-09,1.0606
5.9098e-09,1.1233
5.9331e-09,1.1725
5.9564e-09,1.2073
5.9796e-09,1.2287
6.0029e-09,1.2394
6.0262e-09,1.2422
6.0494e-09,1.2407
6.0727e-09,1.2389
6.0960e-09,1.2393
6.1192e-09,1.2415
6.1425e-09,1.2441
6.1658e-09,1.2463
6.1890e-09,1.2481
6.2123e-09,1.2502
6.2356e-09,1.2532
6.2588e-09,1.2566
6.2821e-09,1.2577
6.3054e-09,1.2535
6.3286e-09,1.2428
6.3519e-09,1.2265
6.3752e-09,1.2063
6.3984e-09,1.1759
6.4217e-09,1.1112
6.4450e-09,0.9961
6.4682e-09,0.8104
6.4915e-09,0.6627
6.5148e-09,0.5669
6.5380e-09,0.5049
6.5613e-09,0.4766
6.5846e-09,0.4735
6.6078e-09,0.4811
6.6311e-09,0.4915
6.6544e-09,0.4996
6.6776e-09,0.5036
6.7009e-09,0.5048
6.7242e-09,0.5044
6.7474e-09,0.5026
6.7707e-09,0.5005
6.7940e-09,0.4997
6.8172e-09,0.4996
6.8405e-09,0.5001
6.8638e-09,0.5003
6.8870e-09,0.5000
6.9103e-09,0.4992
6.9336e-09,0.4972
6.9568e-09,0.4922
6.9801e-09,0.4786
7.0034e-09,0.4490
7.0266e-09,0.4011
7.0499e-09,0.3395
7.0732e-09,0.2692
7.0964e-09,0.1939
7.1197e-09,0.1195
7.1430e-09,0.0531
7.1662e-09,0.0002
7.1895e-09,-0.0368
7.2128e-09,-0.0590
7.2360e-09,-0.0693
7.2593e-09,-0.0711
7.2826e-09,-0.0681
7.3058e-09,-0.0643
7.3291e-09,-0.0627
7.3524e-09,-0.0633
7.3756e-09,-0.0649
7.3989e-09,-0.0666
7.4222e-09,-0.0684
7.4454e-09,-0.0706
7.4687e-09,-0.0733
7.4920e-09,-0.0765
7.5152e-09,-0.0782
7.5385e-09,-0.0754
7.5618e-09,-0.0665
7.5850e-09,-0.0517
7.6083e-09,-0.0320
7.6316e-09,-0.0081
7.6548e-09,0.0186
7.6781e-09,0.0599
7.7014e-09,0.1446
7.7246e-09,0.3122
7.7479e-09,0.4640
7.7712e-09,0.5772
7.7944e-09,0.6477
7.8177e-09,0.6838
7.8410e-09,0.6931
7.8642e-09,0.6895
7.8875e-09,0.6812
7.9108e-09,0.6741
7.9340e-09,0.6695
7.9573e-09,0.6686
7.9806e-09,0.6697
8.0038e-09,0.6723
8.0271e-09,0.6752
8.0504e-09,0.6760
8.0736e-09,0.6745
8.0969e-09,0.6719
8.1202e-09,0.6692
8.1435e-09,0.6664
8.1667e-09,0.6641
8.1900e-09,0.6632
8.2133e-09,0.6636
8.2365e-09,0.6706
8.2598e-09,0.6933
8.2831e-09,0.7370
8.3063e-09,0.7987
8.3296e-09,0.8721
8.3529e-09,0.9518
8.3761e-09,1.0315
8.3994e-09,1.1037
8.4227e-09,1.1624
8.4459e-09,1.2049
8.4692e-09,1.2311
8.4925e-09,1.2437
8.5157e-09,1.2463
8.5390e-09,1.2429
8.5623e-09,1.2382
8.5855e-09,1.2359
8.6088e-09,1.2366
8.6321e-09,1.2390
8.6553e-09,1.2414
8.6786e-09,1.2437
8.7019e-09,1.2461
8.7251e-09,1.2495
8.7484e-09,1.2543
8.7717e-09,1.2585
8.7949e-09,1.2589
8.8182e-09,1.2527
8.8415e-09,1.2397
8.8647e-09,1.2210
8.8880e-09,1.1979
8.9113e-09,1.1439
8.9345e-09,1.0646
8.9578e-09,0.8882
8.9811e-09,0.7196
9.0043e-09,0.5976
9.0276e-09,0.5209
9.0509e-09,0.4784
9.0741e-09,0.4692
9.0974e-09,0.4767
9.1207e-09,0.4890
9.1439e-09,0.5000
9.1672e-09,0.5064
9.1905e-09,0.5082
9.2137e-09,0.5076
9.2370e-09,0.5053
9.2603e-09,0.5021
9.2835e-09,0.5001
9.3068e-09,0.4991
9.3301e-09,0.4989
9.3533e-09,0.4987
9.3766e-09,0.4981
9.3999e-09,0.4972
9.4231e-09,0.4959
9.4464e-09,0.4933
9.4697e-09,0.4858
9.4929e-09,0.4659
9.5162e-09,0.4276
9.5395e-09,0.3725
9.5627e-09,0.3056
9.5860e-09,0.2309
9.6093e-09,0.1536
9.6325e-09,0.0808
9.6558e-09,0.0196
9.6791e-09,-0.0258
9.7023e-09,-0.0548
9.7256e-09,-0.0696
9.7489e-09,-0.0737
9.7721e-09,-0.0711
9.7954e-09,-0.0660
9.8187e-09,-0.0622
9.8419e-09,-0.0615
9.8652e-09,-0.0627
9.8885e-09,-0.0646
9.9117e-09,-0.0665
9.9350e-09,-0.0685
9.9583e-09,-0.0709
9.9815e-09,-0.0741
1.00048e-08,-0.0771
1.00281e-08,-0.0773
1.00513e-08,-0.0720
1.00746e-08,-0.0605
1.00979e-08,-0.0434
1.01211e-08,-0.0212
1.01444e-08,0.0047
1.01677e-08,0.0314
1.01909e-08,0.0548
1.02142e-08,0.0710
1.02375e-08,0.0781
1.02607e-08,0.0759
1.02840e-08,0.0659
1.03073e-08,0.0509
1.03305e-08,0.0345
1.03538e-08,0.0208
1.03771e-08,0.0117
1.04003e-08,0.0074
1.04236e-08,0.0067
1.04469e-08,0.0082
1.04702e-08,0.0110
1.04934e-08,0.0142
1.05167e-08,0.0172
1.05400e-08,0.0197
1.05632e-08,0.0210
1.05865e-08,0.0206
1.06098e-08,0.0183
1.06330e-08,0.0142
1.06563e-08,0.0078
1.06796e-08,-0.0010
1.07028e-08,-0.0116
1.07261e-08,-0.0226
1.07494e-08,-0.0317
1.07726e-08,-0.0369
1.07959e-08,-0.0371
1.08192e-08,-0.0320
1.08424e-08,-0.0224
1.08657e-08,-0.0107
1.08890e-08,0.0006
1.09122e-08,0.0092
1.09355e-08,0.0140
1.09588e-08,0.0149
1.09820e-08,0.0126
1.10053e-08,0.0082
1.10286e-08,0.0029
1.10518e-08,-0.0020
1.10751e-08,-0.0054
1.10984e-08,-0.0071
1.11216e-08,-0.0072
1.11449e-08,-0.0062
1.11682e-08,-0.0045
1.11914e-08,-0.0024
1.12147e-08,0.0005
1.12380e-08,0.0042
1.12612e-08,0.0086
1.12845e-08,0.0131
1.13078e-08,0.0168
1.13310e-08,0.0186
1.13543e-08,0.0178
1.13776e-08,0.0141
1.14008e-08,0.0081
1.14241e-08,0.0012
1.14474e-08,-0.0053
1.14706e-08,-0.0100
1.14939e-08,-0.0123
1.15172e-08,-0.0117
1.15404e-08,-0.0086
1.15637e-08,-0.0040
1.15870e-08,0.0010
1.16102e-08,0.0051
1.16335e-08,0.0076
1.16568e-08,0.0082
1.16800e-08,0.0073
1.17033e-08,0.0056
1.17266e-08,0.0036
1.17498e-08,0.0018
1.17731e-08,0.0001
1.17964e-08,-0.0016
1.18196e-08,-0.0033
1.18429e-08,-0.0049
1.18662e-08,-0.0060
1.18894e-08,-0.0065
1.19127e-08,-0.0057
1.19360e-08,-0.0037
1.19592e-08,-0.0006
1.19825e-08,0.0030
1.20058e-08,0.0065
1.20290e-08,0.0091
1.20523e-08,0.0102
1.20756e-08,0.0093
1.20988e-08,0.0068
1.21221e-08,0.0032
1.21454e-08,-0.0004
1.21686e-08,-0.0033
1.21919e-08,-0.0048
1.22152e-08,-0.0048
1.22384e-08,-0.0036
1.22617e-08,-0.0018
1.22850e-08,0.0002
1.23082e-08,0.0019
1.23315e-08,0.0031
1.23548e-08,0.0039
1.23780e-08,0.0042
1.24013e-08,0.0043
1.24246e-08,0.0043
1.24478e-08,0.0041
1.24711e-08,0.0035
1.24944e-08,0.0026
1.25176e-08,0.0012
1.25409e-08,-0.0005
1.25642e-08,-0.0023
1.25874e-08,-0.0036
1.26107e-08,-0.0040
1.26340e-08,-0.0034
1.26572e-08,-0.0017
1.26805e-08,0.0005
1.27038e-08,0.0029
1.27270e-08,0.0047
1.27503e-08,0.0056
1.27736e-08,0.0055
1.27968e-08,0.0044
1.28201e-08,0.0028
1.28434e-08,0.0011
1.28667e-08,-0.0003
1.28899e-08,-0.0012
1.29132e-08,-0.0014
1.29365e-08,-0.0012
1.29597e-08,-0.0007
1.29830e-08,-0.0001
1.30063e-08,0.0003
1.30295e-08,0.0007
1.30528e-08,0.0011
1.30761e-08,0.0016
1.30993e-08,0.0023
1.31226e-08,0.0030
1.31459e-08,0.0036
1.31691e-08,0.0037
1.31924e-08,0.0034
1.32157e-08,0.0025
1.32389e-08,0.0012
1.32622e-08,-0.0002
1.32855e-08,-0.0013
1.33087e-08,-0.0018
1.33320e-08,-0.0017
1.33553e-08,-0.0009
1.33785e-08,0.0002
1.34018e-08,0.0015
1.34251e-08,0.0026
1.34483e-08,0.0032
1.34716e-08,0.0033
1.34949e-08,0.0029
1.35181e-08,0.0022
1.35414e-08,0.0016
1.35647e-08,0.0011
1.35879e-08,0.0007
1.36112e-08,0.0006
1.36345e-08,0.0005
1.36577e-08,0.0004
1.36810e-08,0.0003
1.37043e-08,0.0001
1.37275e-08,0.0001
1.37508e-08,0.0003
1.37741e-08,0.0007
1.37973e-08,0.0013
1.38206e-08,0.0020
1.38439e-08,0.0026
1.38671e-08,0.0030
1.38904e-08,0.0029
1.39137e-08,0.0059
1.39369e-08,0.0323
1.39602e-08,0.1170
1.39835e-08,0.2673
1.40067e-08,0.4034
1.40300e-08,0.5017
1.40533e-08,0.5774
1.40765e-08,0.6277
1.40998e-08,0.6524
1.41231e-08,0.6627
1.41463e-08,0.6649
1.41696e-08,0.6636
1.41929e-08,0.6613
1.42161e-08,0.6595
1.42394e-08,0.6579
1.42627e-08,0.6574
1.42859e-08,0.6564
1.43092e-08,0.6544
1.43325e-08,0.6521
1.43557e-08,0.6510
1.43790e-08,0.6517
1.44023e-08,0.6547
1.44255e-08,0.6613
1.44488e-08,0.6714
1.44721e-08,0.6849
1.44953e-08,0.7060
1.45186e-08,0.7407
1.45419e-08,0.7898
1.45651e-08,0.8486
1.45884e-08,0.9126
1.46117e-08,0.9787
1.46349e-08,1.0432
1.46582e-08,1.1014
1.46815e-08,1.1498
1.47047e-08,1.1867
1.47280e-08,1.2122
1.47513e-08,1.2280
1.47745e-08,1.2361
1.47978e-08,1.2392
1.48211e-08,1.2403
1.48443e-08,1.2419
1.48676e-08,1.2440
1.48909e-08,1.2457
1.49141e-08,1.2466
1.49374e-08,1.2469
1.49607e-08,1.2471
1.49839e-08,1.2476
1.50072e-08,1.2484
1.50305e-08,1.2477
1.50537e-08,1.2431
1.50770e-08,1.2339
1.51003e-08,1.2208
1.51236e-08,1.2052
1.51468e-08,1.1878
1.51701e-08,1.1699
1.51934e-08,1.1537
1.52166e-08,1.1415
1.52399e-08,1.1350
1.52632e-08,1.1349
1.52864e-08,1.1405
1.53097e-08,1.1504
1.53330e-08,1.1624
1.53562e-08,1.1739
1.53795e-08,1.1828
1.54028e-08,1.1885
1.54260e-08,1.1918
1.54493e-08,1.1935
1.54726e-08,1.1940
1.54958e-08,1.1935
1.55191e-08,1.1924
1.55424e-08,1.1911
1.55656e-08,1.1903
1.55889e-08,1.1908
1.56122e-08,1.1928
1.56354e-08,1.1962
1.56587e-08,1.2006
1.56820e-08,1.2061
1.57052e-08,1.2125
1.57285e-08,1.2192
1.57518e-08,1.2249
1.57750e-08,1.2283
1.57983e-08,1.2285
1.58216e-08,1.2253
1.58448e-08,1.2190
1.58681e-08,1.2110
1.58914e-08,1.2028
1.59146e-08,1.1962
1.59379e-08,1.1920
1.59612e-08,1.1902
1.59844e-08,1.1905
1.60077e-08,1.1924
1.60310e-08,1.1954
1.60542e-08,1.1987
1.60775e-08,1.2016
1.61008e-08,1.2035
1.61240e-08,1.2043
1.61473e-08,1.2039
1.61706e-08,1.2030
1.61938e-08,1.2016
1.62171e-08,1.1998
1.62404e-08,1.1976
1.62636e-08,1.1950
1.62869e-08,1.1923
1.63102e-08,1.1902
1.63334e-08,1.1892
1.63567e-08,1.1899
1.63800e-08,1.1924
1.64032e-08,1.1963
1.64265e-08,1.2009
1.64498e-08,1.2052
1.64730e-08,1.2084
1.64963e-08,1.2101
1.65196e-08,1.2102
1.65428e-08,1.2087
1.65661e-08,1.2059
1.65894e-08,1.2026
1.66126e-08,1.1996
1.66359e-08,1.1974
1.66592e-08,1.1964
1.66824e-08,1.1966
1.67057e-08,1.1974
1.67290e-08,1.1987
1.67522e-08,1.1999
1.67755e-08,1.2012
1.67988e-08,1.2024
1.68220e-08,1.2035
1.68453e-08,1.2046
1.68686e-08,1.2053
1.68918e-08,1.2053
1.69151e-08,1.2047
1.69384e-08,1.2033
1.69616e-08,1.2012
1.69849e-08,1.1990
1.70082e-08,1.1969
1.70314e-08,1.1953
1.70547e-08,1.1946
1.70780e-08,1.1950
1.71012e-08,1.1965
1.71245e-08,1.1987
1.71478e-08,1.2012
1.71710e-08,1.2032
1.71943e-08,1.2045
1.72176e-08,1.2047
1.72408e-08,1.2042
1.72641e-08,1.2031
1.72874e-08,1.2018
1.73106e-08,1.2006
1.73339e-08,1.1996
1.73572e-08,1.1989
1.73804e-08,1.1985
1.74037e-08,1.1984
1.74270e-08,1.1985
1.74502e-08,1.1988
1.74735e-08,1.1994
1.74968e-08,1.2001
1.75201e-08,1.2010
1.75433e-08,1.2020
1.75666e-08,1.2030
1.75899e-08,1.2038
1.76131e-08,1.2040
1.76364e-08,1.2036
1.76597e-08,1.2026
1.76829e-08,1.2011
1.77062e-08,1.1996
1.77295e-08,1.1984
1.77527e-08,1.1978
1.77760e-08,1.1978
1.77993e-08,1.1984
1.78225e-08,1.1993
1.78458e-08,1.2004
1.78691e-08,1.2014
1.78923e-08,1.2021
1.79156e-08,1.2025
1.79389e-08,1.2024
1.79621e-08,1.2022
1.79854e-08,1.2017
1.80087e-08,1.2013
1.80319e-08,1.2009
1.80552e-08,1.2005
1.80785e-08,1.2002
1.81017e-08,1.1998
1.81250e-08,1.1994
1.81483e-08,1.1991
1.81715e-08,1.1991
1.81948e-08,1.1994
1.82181e-08,1.2000
1.82413e-08,1.2008
1.82646e-08,1.2016
1.82879e-08,1.2023
1.83111e-08,1.2026
1.83344e-08,1.2026
1.83577e-08,1.2021
1.83809e-08,1.2014
1.84042e-08,1.2005
1.84275e-08,1.1998
1.84507e-08,1.1993
1.84740e-08,1.1992
1.84973e-08,1.1994
1.85205e-08,1.1998
1.85438e-08,1.2003
1.85671e-08,1.2007
1.85903e-08,1.2010
1.86136e-08,1.2012
1.86369e-08,1.2013
1.86601e-08,1.2013
1.86834e-08,1.2014
1.87067e-08,1.2014
1.87299e-08,1.2013
1.87532e-08,1.2011
1.87765e-08,1.2008
1.87997e-08,1.2005
1.88230e-08,1.2000
1.88463e-08,1.1997
1.88695e-08,1.1995
1.88928e-08,1.1996
1.89161e-08,1.1999
1.89393e-08,1.2004
1.89626e-08,1.2009
1.89859e-08,1.2014
1.90091e-08,1.2017
1.90324e-08,1.2017
1.90557e-08,1.2015
1.90789e-08,1.2011
1.91022e-08,1.2007
1.91255e-08,1.2004
1.91487e-08,1.2002
1.91720e-08,1.2001
1.91953e-08,1.2001
1.92185e-08,1.2002
1.92418e-08,1.2003
1.92651e-08,1.2004
1.92883e-08,1.2005
1.93116e-08,1.2006
1.93349e-08,1.2007
1.93581e-08,1.2008
1.93814e-08,1.2010
1.94047e-08,1.2011
1.94279e-08,1.2012
1.94512e-08,1.2011
1.94745e-08,1.2010
1.94977e-08,1.2007
1.95210e-08,1.2004
1.95443e-08,1.2001
1.95675e-08,1.1999
1.95908e-08,1.1999
1.96141e-08,1.2001
1.96373e-08,1.2003
1.96606e-08,1.2006
1.96839e-08,1.2009
1.97071e-08,1.2010
1.97304e-08,1.2011
1.97537e-08,1.2010
1.97769e-08,1.2009
1.98002e-08,1.2007
1.98235e-08,1.2006
1.98468e-08,1.2005
1.98700e-08,1.2004
1.98933e-08,1.2004
1.99166e-08,1.2004
1.99398e-08,1.2004
1.99631e-08,1.2004
1.99864e-08,1.2003
2.00096e-08,1.2003
2.00329e-08,1.2004
2.00562e-08,1.2005
2.00794e-08,1.2007
2.01027e-08,1.2009
2.01260e-08,1.2009
2.01492e-08,1.1938
2.01725e-08,1.1503
2.01958e-08,1.0551
2.02190e-08,0.8866
2.02423e-08,0.7396
2.02656e-08,0.6428
2.02888e-08,0.5730
2.03121e-08,0.5318
2.03354e-08,0.5125
2.03586e-08,0.5056
2.03819e-08,0.5055
2.04052e-08,0.5075
2.04284e-08,0.5092
2.04517e-08,0.5099
2.04750e-08,0.5104
2.04982e-08,0.5106
2.05215e-08,0.5110
2.05448e-08,0.5127
2.05680e-08,0.5144
2.05913e-08,0.5151
2.06146e-08,0.5130
2.06378e-08,0.5085
2.06611e-08,0.5015
2.06844e-08,0.4916
2.07076e-08,0.4775
2.07309e-08,0.4549
2.07542e-08,0.4183
2.07774e-08,0.3670
2.08007e-08,0.3064
2.08240e-08,0.2417
2.08472e-08,0.1761
2.08705e-08,0.1132
2.08938e-08,0.0573
2.09170e-08,0.0121
2.09403e-08,-0.0212
2.09636e-08,-0.0429
2.09868e-08,-0.0554
2.10101e-08,-0.0611
2.10334e-08,-0.0628
2.10566e-08,-0.0636
2.10799e-08,-0.0654
2.11032e-08,-0.0682
2.11264e-08,-0.0704
2.11497e-08,-0.0715
2.11730e-08,-0.0717
2.11962e-08,-0.0718
2.12195e-08,-0.0721
2.12428e-08,-0.0722
2.12660e-08,-0.0703
2.12893e-08,-0.0640
2.13126e-08,-0.0526
2.13358e-08,-0.0369
2.13591e-08,-0.0186
2.13824e-08,0.0014
2.14056e-08,0.0224
2.14289e-08,0.0584
2.14522e-08,0.1332
2.14754e-08,0.2988
2.14987e-08,0.4509
2.15220e-08,0.5624
