.HEADER
..NAMES
Time,V U1.V6
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0027
3.955e-10,0.0027
4.188e-10,0.0027
4.421e-10,0.0027
4.653e-10,0.0027
4.886e-10,0.0166
5.119e-10,0.0627
5.351e-10,0.2024
5.584e-10,0.3490
5.817e-10,0.4656
6.049e-10,0.5389
6.282e-10,0.5903
6.515e-10,0.6176
6.747e-10,0.6311
6.980e-10,0.6390
7.213e-10,0.6449
7.445e-10,0.6501
7.678e-10,0.6558
7.911e-10,0.6607
8.143e-10,0.6643
8.376e-10,0.6666
8.609e-10,0.6663
8.841e-10,0.6636
9.074e-10,0.6595
9.307e-10,0.6556
9.539e-10,0.6518
9.772e-10,0.6481
1.0005e-09,0.6492
1.0237e-09,0.6606
1.0470e-09,0.6869
1.0703e-09,0.7315
1.0935e-09,0.7929
1.1168e-09,0.8648
1.1401e-09,0.9395
1.1633e-09,1.0091
1.1866e-09,1.0681
1.2099e-09,1.1142
1.2332e-09,1.1483
1.2564e-09,1.1730
1.2797e-09,1.1903
1.3030e-09,1.2023
1.3262e-09,1.2113
1.3495e-09,1.2196
1.3728e-09,1.2281
1.3960e-09,1.2362
1.4193e-09,1.2430
1.4426e-09,1.2484
1.4658e-09,1.2529
1.4891e-09,1.2567
1.5124e-09,1.2593
1.5356e-09,1.2591
1.5589e-09,1.2537
1.5822e-09,1.2417
1.6054e-09,1.2230
1.6287e-09,1.1995
1.6520e-09,1.1754
1.6752e-09,1.1553
1.6985e-09,1.1421
1.7218e-09,1.1366
1.7450e-09,1.1376
1.7683e-09,1.1434
1.7916e-09,1.1519
1.8148e-09,1.1610
1.8381e-09,1.1688
1.8614e-09,1.1741
1.8846e-09,1.1771
1.9079e-09,1.1782
1.9312e-09,1.1787
1.9544e-09,1.1792
1.9777e-09,1.1800
2.0010e-09,1.1811
2.0242e-09,1.1822
2.0475e-09,1.1835
2.0708e-09,1.1858
2.0940e-09,1.1903
2.1173e-09,1.1979
2.1406e-09,1.2078
2.1638e-09,1.2180
2.1871e-09,1.2262
2.2104e-09,1.2308
2.2336e-09,1.2310
2.2569e-09,1.2272
2.2802e-09,1.2207
2.3034e-09,1.2132
2.3267e-09,1.2062
2.3500e-09,1.1699
2.3732e-09,1.1091
2.3965e-09,0.9487
2.4198e-09,0.7944
2.4430e-09,0.6897
2.4663e-09,0.6222
2.4896e-09,0.5814
2.5128e-09,0.5565
2.5361e-09,0.5427
2.5594e-09,0.5333
2.5826e-09,0.5258
2.6059e-09,0.5185
2.6292e-09,0.5104
2.6524e-09,0.5022
2.6757e-09,0.4948
2.6990e-09,0.4896
2.7222e-09,0.4888
2.7455e-09,0.4924
2.7688e-09,0.4994
2.7920e-09,0.5076
2.8153e-09,0.5154
2.8386e-09,0.5223
2.8618e-09,0.5231
2.8851e-09,0.5097
2.9084e-09,0.4782
2.9316e-09,0.4271
2.9549e-09,0.3601
2.9782e-09,0.2922
3.0014e-09,0.2604
3.0247e-09,0.3242
3.0480e-09,0.4411
3.0712e-09,0.5163
3.0945e-09,0.5665
3.1178e-09,0.5939
3.1410e-09,0.6011
3.1643e-09,0.6016
3.1876e-09,0.5986
3.2108e-09,0.5947
3.2341e-09,0.5904
3.2574e-09,0.5859
3.2806e-09,0.5816
3.3039e-09,0.5766
3.3272e-09,0.5710
3.3504e-09,0.5636
3.3737e-09,0.5556
3.3970e-09,0.5513
3.4202e-09,0.5550
3.4435e-09,0.5686
3.4668e-09,0.5907
3.4901e-09,0.6216
3.5133e-09,0.6627
3.5366e-09,0.7134
3.5599e-09,0.7738
3.5831e-09,0.8432
3.6064e-09,0.9169
3.6297e-09,0.9890
3.6529e-09,1.0534
3.6762e-09,1.1056
3.6995e-09,1.1454
3.7227e-09,1.1744
3.7460e-09,1.1958
3.7693e-09,1.2115
3.7925e-09,1.2226
3.8158e-09,1.2307
3.8391e-09,1.2381
3.8623e-09,1.2457
3.8856e-09,1.2527
3.9089e-09,1.2576
3.9321e-09,1.2589
3.9554e-09,1.2562
3.9787e-09,1.2496
4.0019e-09,1.2406
4.0252e-09,1.2301
4.0485e-09,1.2182
4.0717e-09,1.2046
4.0950e-09,1.1886
4.1183e-09,1.1709
4.1415e-09,1.1541
4.1648e-09,1.1412
4.1881e-09,1.1344
4.2113e-09,1.1258
4.2346e-09,1.0874
4.2579e-09,0.9993
4.2811e-09,0.8375
4.3044e-09,0.7044
4.3277e-09,0.6194
4.3509e-09,0.5666
4.3742e-09,0.5361
4.3975e-09,0.5191
4.4207e-09,0.5095
4.4440e-09,0.5036
4.4673e-09,0.5006
4.4905e-09,0.4993
