.HEADER
..NAMES
Time,V U1.Y1
.DATA
5.7469e-09,0.5332
5.7702e-09,0.5458
5.7935e-09,0.5592
5.8168e-09,0.5727
5.8400e-09,0.5871
5.8633e-09,0.6003
5.8866e-09,0.6100
5.9098e-09,0.6143
5.9331e-09,0.6118
5.9564e-09,0.6024
5.9796e-09,0.5858
6.0029e-09,0.5597
6.0262e-09,0.5205
6.0494e-09,0.4678
6.0727e-09,0.4053
6.0960e-09,0.3362
6.1192e-09,0.2635
6.1425e-09,0.1932
6.1658e-09,0.1319
6.1890e-09,0.0816
6.2123e-09,0.0417
6.2356e-09,0.0107
6.2588e-09,-0.0121
6.2821e-09,-0.0284
6.3054e-09,-0.0407
6.3286e-09,-0.0518
6.3519e-09,-0.0628
6.3752e-09,-0.0734
6.3984e-09,-0.0830
6.4217e-09,-0.0917
6.4450e-09,-0.0988
6.4682e-09,-0.1041
6.4915e-09,-0.1075
6.5148e-09,-0.1088
6.5380e-09,-0.1069
6.5613e-09,-0.1008
6.5846e-09,-0.0894
6.6078e-09,-0.0720
6.6311e-09,-0.0498
6.6544e-09,-0.0258
6.6776e-09,-0.0033
6.7009e-09,0.0159
6.7242e-09,0.0302
6.7474e-09,0.0387
6.7707e-09,0.0416
6.7940e-09,0.0399
6.8172e-09,0.0358
6.8405e-09,0.0310
6.8638e-09,0.0268
6.8870e-09,0.0240
6.9103e-09,0.0234
6.9336e-09,0.0245
6.9568e-09,0.0266
6.9801e-09,0.0288
7.0034e-09,0.0311
7.0266e-09,0.0335
7.0499e-09,0.0357
7.0732e-09,0.0370
7.0964e-09,0.0365
7.1197e-09,0.0330
7.1430e-09,0.0265
7.1662e-09,0.0172
7.1895e-09,0.0063
7.2128e-09,-0.0047
7.2360e-09,-0.0141
7.2593e-09,-0.0207
7.2826e-09,-0.0237
7.3058e-09,-0.0232
7.3291e-09,-0.0199
7.3524e-09,-0.0103
7.3756e-09,0.0238
7.3989e-09,0.1185
7.4222e-09,0.2787
7.4454e-09,0.4136
7.4687e-09,0.5169
7.4920e-09,0.5962
7.5152e-09,0.6411
7.5385e-09,0.6657
7.5618e-09,0.6768
7.5850e-09,0.6788
7.6083e-09,0.6757
7.6316e-09,0.6688
7.6548e-09,0.6611
7.6781e-09,0.6546
7.7014e-09,0.6512
7.7246e-09,0.6487
7.7479e-09,0.6471
7.7712e-09,0.6475
7.7944e-09,0.6499
7.8177e-09,0.6530
7.8410e-09,0.6557
7.8642e-09,0.6571
7.8875e-09,0.6575
7.9108e-09,0.6626
7.9340e-09,0.6789
7.9573e-09,0.7091
7.9806e-09,0.7533
8.0038e-09,0.8111
8.0271e-09,0.8772
8.0504e-09,0.9444
8.0736e-09,1.0070
8.0969e-09,1.0626
8.1202e-09,1.1105
8.1435e-09,1.1497
8.1667e-09,1.1796
8.1900e-09,1.2008
8.2133e-09,1.2156
8.2365e-09,1.2261
8.2598e-09,1.2334
8.2831e-09,1.2378
8.3063e-09,1.2402
8.3296e-09,1.2416
8.3529e-09,1.2431
8.3761e-09,1.2466
8.3994e-09,1.2530
8.4227e-09,1.2617
8.4459e-09,1.2703
8.4692e-09,1.2761
8.4925e-09,1.2755
8.5157e-09,1.2666
8.5390e-09,1.2506
8.5623e-09,1.2305
8.5855e-09,1.2092
8.6088e-09,1.1889
8.6321e-09,1.1719
8.6553e-09,1.1597
8.6786e-09,1.1532
8.7019e-09,1.1517
8.7251e-09,1.1540
8.7484e-09,1.1589
8.7717e-09,1.1651
8.7949e-09,1.1715
8.8182e-09,1.1774
8.8415e-09,1.1827
8.8647e-09,1.1875
8.8880e-09,1.1911
8.9113e-09,1.1924
8.9345e-09,1.1906
8.9578e-09,1.1858
8.9811e-09,1.1796
9.0043e-09,1.1741
9.0276e-09,1.1715
9.0509e-09,1.1730
9.0741e-09,1.1788
9.0974e-09,1.1880
9.1207e-09,1.1990
9.1439e-09,1.2099
9.1672e-09,1.2189
9.1905e-09,1.2250
9.2137e-09,1.2275
9.2370e-09,1.2267
9.2603e-09,1.2229
9.2835e-09,1.2176
9.3068e-09,1.2120
9.3301e-09,1.2070
9.3533e-09,1.2028
9.3766e-09,1.1992
9.3999e-09,1.1963
9.4231e-09,1.1945
9.4464e-09,1.1941
9.4697e-09,1.1958
9.4929e-09,1.1994
9.5162e-09,1.2043
9.5395e-09,1.2093
9.5627e-09,1.2130
9.5860e-09,1.2142
9.6093e-09,1.2127
9.6325e-09,1.2086
9.6558e-09,1.2029
9.6791e-09,1.1966
9.7023e-09,1.1908
9.7256e-09,1.1868
9.7489e-09,1.1851
9.7721e-09,1.1859
9.7954e-09,1.1887
