.HEADER
..NAMES
Time,V U1.U3
.DATA
5.6771e-09,0.6753
5.7004e-09,0.6793
5.7237e-09,0.6822
5.7469e-09,0.6846
5.7702e-09,0.6871
5.7935e-09,0.6884
5.8168e-09,0.6872
5.8400e-09,0.6820
5.8633e-09,0.6715
5.8866e-09,0.6570
5.9098e-09,0.6421
5.9331e-09,0.6303
5.9564e-09,0.6224
5.9796e-09,0.6179
6.0029e-09,0.6212
6.0262e-09,0.6377
6.0494e-09,0.6706
6.0727e-09,0.7202
6.0960e-09,0.7852
6.1192e-09,0.8592
6.1425e-09,0.9341
6.1658e-09,1.0037
6.1890e-09,1.0629
6.2123e-09,1.1100
6.2356e-09,1.1459
6.2588e-09,1.1724
6.2821e-09,1.1909
6.3054e-09,1.2031
6.3286e-09,1.2122
6.3519e-09,1.2217
6.3752e-09,1.2327
6.3984e-09,1.2439
6.4217e-09,1.2536
6.4450e-09,1.2616
6.4682e-09,1.2678
6.4915e-09,1.2719
6.5148e-09,1.2732
6.5380e-09,1.2711
6.5613e-09,1.2635
6.5846e-09,1.2494
6.6078e-09,1.2291
6.6311e-09,1.2048
6.6544e-09,1.1803
6.6776e-09,1.1600
6.7009e-09,1.1461
6.7242e-09,1.1092
6.7474e-09,1.0513
6.7707e-09,0.8953
6.7940e-09,0.7470
6.8172e-09,0.6458
6.8405e-09,0.5774
6.8638e-09,0.5359
6.8870e-09,0.5134
6.9103e-09,0.4998
6.9336e-09,0.4917
6.9568e-09,0.4862
6.9801e-09,0.4821
7.0034e-09,0.4790
7.0266e-09,0.4770
7.0499e-09,0.4764
7.0732e-09,0.4781
7.0964e-09,0.4847
7.1197e-09,0.4965
7.1430e-09,0.5117
7.1662e-09,0.5260
7.1895e-09,0.5375
7.2128e-09,0.5460
7.2360e-09,0.5476
7.2593e-09,0.5339
7.2826e-09,0.5008
7.3058e-09,0.4493
7.3291e-09,0.3818
7.3524e-09,0.3057
7.3756e-09,0.2302
7.3989e-09,0.1620
7.4222e-09,0.1057
7.4454e-09,0.0624
7.4687e-09,0.0301
7.4920e-09,0.0057
7.5152e-09,-0.0121
7.5385e-09,-0.0245
7.5618e-09,-0.0333
7.5850e-09,-0.0416
7.6083e-09,-0.0512
7.6316e-09,-0.0615
7.6548e-09,-0.0714
7.6781e-09,-0.0807
7.7014e-09,-0.0896
7.7246e-09,-0.0972
7.7479e-09,-0.1017
7.7712e-09,-0.1015
7.7944e-09,-0.0942
7.8177e-09,-0.0784
7.8410e-09,-0.0551
7.8642e-09,-0.0270
7.8875e-09,0.0014
7.9108e-09,0.0248
7.9340e-09,0.0406
7.9573e-09,0.0488
7.9806e-09,0.0510
8.0038e-09,0.0489
8.0271e-09,0.0439
8.0504e-09,0.0377
8.0736e-09,0.0321
8.0969e-09,0.0282
8.1202e-09,0.0263
8.1435e-09,0.0262
8.1667e-09,0.0275
8.1900e-09,0.0294
8.2133e-09,0.0315
8.2365e-09,0.0334
8.2598e-09,0.0349
8.2831e-09,0.0353
8.3063e-09,0.0334
8.3296e-09,0.0279
8.3529e-09,0.0180
8.3761e-09,0.0051
8.3994e-09,-0.0081
8.4227e-09,-0.0189
8.4459e-09,-0.0257
8.4692e-09,-0.0278
8.4925e-09,-0.0259
8.5157e-09,-0.0211
8.5390e-09,-0.0150
8.5623e-09,-0.0090
8.5855e-09,-0.0042
8.6088e-09,-0.0009
8.6321e-09,0.0006
8.6553e-09,0.0003
8.6786e-09,-0.0011
8.7019e-09,-0.0029
8.7251e-09,-0.0045
8.7484e-09,-0.0058
8.7717e-09,-0.0069
8.7949e-09,-0.0080
8.8182e-09,-0.0083
8.8415e-09,-0.0069
8.8647e-09,-0.0034
8.8880e-09,0.0020
8.9113e-09,0.0081
8.9345e-09,0.0136
8.9578e-09,0.0170
8.9811e-09,0.0178
9.0043e-09,0.0159
9.0276e-09,0.0122
9.0509e-09,0.0078
9.0741e-09,0.0036
9.0974e-09,0.0002
9.1207e-09,-0.0019
9.1439e-09,-0.0025
9.1672e-09,-0.0018
9.1905e-09,-0.0002
9.2137e-09,0.0015
9.2370e-09,0.0149
9.2603e-09,0.0614
9.2835e-09,0.1904
9.3068e-09,0.3435
9.3301e-09,0.4568
9.3533e-09,0.5389
9.3766e-09,0.5943
9.3999e-09,0.6250
9.4231e-09,0.6378
9.4464e-09,0.6426
9.4697e-09,0.6451
9.4929e-09,0.6476
9.5162e-09,0.6518
9.5395e-09,0.6570
9.5627e-09,0.6621
9.5860e-09,0.6667
9.6093e-09,0.6690
9.6325e-09,0.6678
9.6558e-09,0.6643
9.6791e-09,0.6600
9.7023e-09,0.6556
9.7256e-09,0.6505
9.7489e-09,0.6480
9.7721e-09,0.6554
9.7954e-09,0.6776
9.8187e-09,0.7160
9.8419e-09,0.7716
9.8652e-09,0.8393
9.8885e-09,0.9114
9.9117e-09,0.9819
9.9350e-09,1.0448
9.9583e-09,1.0966
9.9815e-09,1.1370
1.00048e-08,1.1671
1.00281e-08,1.1883
1.00513e-08,1.2020
1.00746e-08,1.2105
1.00979e-08,1.2172
1.01211e-08,1.2242
1.01444e-08,1.2311
1.01677e-08,1.2374
1.01909e-08,1.2433
1.02142e-08,1.2498
1.02375e-08,1.2566
1.02607e-08,1.2625
1.02840e-08,1.2660
1.03073e-08,1.2645
1.03305e-08,1.2558
1.03538e-08,1.2399
1.03771e-08,1.2181
1.04003e-08,1.1938
1.04236e-08,1.1714
1.04469e-08,1.1542
1.04702e-08,1.1205
1.04934e-08,1.0627
1.05167e-08,0.9234
1.05400e-08,0.7659
1.05632e-08,0.6576
1.05865e-08,0.5855
1.06098e-08,0.5424
1.06330e-08,0.5178
1.06563e-08,0.5052
1.06796e-08,0.4986
1.07028e-08,0.4943
1.07261e-08,0.4902
1.07494e-08,0.4858
1.07726e-08,0.4814
1.07959e-08,0.4778
1.08192e-08,0.4764
1.08424e-08,0.4797
1.08657e-08,0.4890
1.08890e-08,0.5031
1.09122e-08,0.5180
1.09355e-08,0.5311
1.09588e-08,0.5418
1.09820e-08,0.5470
1.10053e-08,0.5381
1.10286e-08,0.5095
1.10518e-08,0.4618
1.10751e-08,0.3969
1.10984e-08,0.3248
1.11216e-08,0.2810
1.11449e-08,0.3207
1.11682e-08,0.4356
1.11914e-08,0.5182
1.12147e-08,0.5734
1.12380e-08,0.6021
1.12612e-08,0.6125
1.12845e-08,0.6149
1.13078e-08,0.6112
1.13310e-08,0.6057
1.13543e-08,0.5991
1.13776e-08,0.5905
1.14008e-08,0.5818
1.14241e-08,0.5727
1.14474e-08,0.5628
1.14706e-08,0.5518
1.14939e-08,0.5408
1.15172e-08,0.5328
1.15404e-08,0.5329
1.15637e-08,0.5443
1.15870e-08,0.5652
1.16102e-08,0.5938
1.16335e-08,0.6331
1.16568e-08,0.6835
1.16800e-08,0.7428
1.17033e-08,0.8095
1.17266e-08,0.8530
1.17498e-08,0.8623
1.17731e-08,0.7628
1.17964e-08,0.6661
1.18196e-08,0.6049
1.18429e-08,0.5644
1.18662e-08,0.5468
1.18894e-08,0.5437
