.HEADER
..NAMES
Time,V U1.E3
.DATA
5.7469e-09,1.1965
5.7702e-09,1.1972
5.7935e-09,1.1988
5.8168e-09,1.2011
5.8400e-09,1.2032
5.8633e-09,1.2046
5.8866e-09,1.2052
5.9098e-09,1.2050
5.9331e-09,1.2039
5.9564e-09,1.2022
5.9796e-09,1.2003
6.0029e-09,1.1987
6.0262e-09,1.1975
6.0494e-09,1.1967
6.0727e-09,1.1965
6.0960e-09,1.1968
6.1192e-09,1.1972
6.1425e-09,1.1977
6.1658e-09,1.1984
6.1890e-09,1.1992
6.2123e-09,1.2000
6.2356e-09,1.2008
6.2588e-09,1.2016
6.2821e-09,1.2022
6.3054e-09,1.2022
6.3286e-09,1.2016
6.3519e-09,1.2006
6.3752e-09,1.1995
6.3984e-09,1.1983
6.4217e-09,1.1976
6.4450e-09,1.1974
6.4682e-09,1.1978
6.4915e-09,1.1986
6.5148e-09,1.1996
6.5380e-09,1.2005
6.5613e-09,1.2012
6.5846e-09,1.2016
6.6078e-09,1.2016
6.6311e-09,1.2015
6.6544e-09,1.2013
6.6776e-09,1.2009
6.7009e-09,1.2006
6.7242e-09,1.2003
6.7474e-09,1.2000
6.7707e-09,1.1996
6.7940e-09,1.1992
6.8172e-09,1.1989
6.8405e-09,1.1987
6.8638e-09,1.1987
6.8870e-09,1.1991
6.9103e-09,1.1997
6.9336e-09,1.2004
6.9568e-09,1.2010
6.9801e-09,1.2013
7.0034e-09,1.2013
7.0266e-09,1.2010
7.0499e-09,1.2004
7.0732e-09,1.1998
7.0964e-09,1.1994
7.1197e-09,1.1991
7.1430e-09,1.1991
7.1662e-09,1.1992
7.1895e-09,1.1994
7.2128e-09,1.1996
7.2360e-09,1.1997
7.2593e-09,1.1998
7.2826e-09,1.2000
7.3058e-09,1.2001
7.3291e-09,1.2002
7.3524e-09,1.2004
7.3756e-09,1.2006
7.3989e-09,1.2006
7.4222e-09,1.2006
7.4454e-09,1.2003
7.4687e-09,1.2000
7.4920e-09,1.1996
7.5152e-09,1.1993
7.5385e-09,1.1992
7.5618e-09,1.1993
7.5850e-09,1.1995
7.6083e-09,1.1998
7.6316e-09,1.2002
7.6548e-09,1.2004
7.6781e-09,1.2005
7.7014e-09,1.2004
7.7246e-09,1.2003
7.7479e-09,1.2001
7.7712e-09,1.2000
7.7944e-09,1.1999
7.8177e-09,1.1999
7.8410e-09,1.1999
7.8642e-09,1.1999
7.8875e-09,1.1998
7.9108e-09,1.1997
7.9340e-09,1.1996
7.9573e-09,1.1996
7.9806e-09,1.1997
8.0038e-09,1.1998
8.0271e-09,1.2000
8.0504e-09,1.2002
8.0736e-09,1.2004
8.0969e-09,1.2004
8.1202e-09,1.2003
8.1435e-09,1.2001
8.1667e-09,1.1999
8.1900e-09,1.1998
8.2133e-09,1.1996
8.2365e-09,1.1996
8.2598e-09,1.1997
8.2831e-09,1.1999
8.3063e-09,1.2000
8.3296e-09,1.2000
8.3529e-09,1.2000
8.3761e-09,1.2000
8.3994e-09,1.2000
8.4227e-09,1.2000
8.4459e-09,1.2000
8.4692e-09,1.2001
8.4925e-09,1.2001
8.5157e-09,1.2001
8.5390e-09,1.2001
8.5623e-09,1.2000
8.5855e-09,1.1929
8.6088e-09,1.1518
8.6321e-09,1.0590
8.6553e-09,0.8868
8.6786e-09,0.7491
8.7019e-09,0.6582
