.HEADER
..NAMES
Time,V U1.E3
.DATA
2.3920e-09,0.4247
2.4016e-09,0.3325
2.4113e-09,0.2434
2.4209e-09,0.1592
2.4305e-09,0.0812
2.4402e-09,0.0105
2.4498e-09,-0.0526
2.4595e-09,-0.1076
2.4691e-09,-0.1541
2.4788e-09,-0.1914
2.4884e-09,-0.2196
2.4981e-09,-0.2394
2.5077e-09,-0.2521
2.5173e-09,-0.2588
2.5270e-09,-0.2609
2.5366e-09,-0.2594
2.5463e-09,-0.2557
2.5559e-09,-0.2506
2.5656e-09,-0.2447
2.5752e-09,-0.2385
2.5849e-09,-0.2326
2.5945e-09,-0.2271
2.6042e-09,-0.2223
2.6138e-09,-0.2182
2.6234e-09,-0.2150
2.6331e-09,-0.2129
2.6427e-09,-0.2123
2.6524e-09,-0.2129
2.6620e-09,-0.2151
2.6717e-09,-0.2188
2.6813e-09,-0.2240
2.6910e-09,-0.2306
2.7006e-09,-0.2382
2.7102e-09,-0.2462
2.7199e-09,-0.2545
2.7295e-09,-0.2625
2.7392e-09,-0.2697
2.7488e-09,-0.2760
2.7585e-09,-0.2810
2.7681e-09,-0.2848
2.7778e-09,-0.2872
2.7874e-09,-0.2884
2.7970e-09,-0.2884
2.8067e-09,-0.2870
2.8163e-09,-0.2844
2.8260e-09,-0.2807
2.8356e-09,-0.2758
2.8453e-09,-0.2695
2.8549e-09,-0.2612
2.8646e-09,-0.2503
2.8742e-09,-0.2366
2.8839e-09,-0.2197
2.8935e-09,-0.1987
2.9031e-09,-0.1720
2.9128e-09,-0.1386
2.9224e-09,-0.0979
2.9321e-09,-0.0497
2.9417e-09,0.0060
2.9514e-09,0.0689
2.9610e-09,0.1384
2.9707e-09,0.2132
2.9803e-09,0.2917
2.9900e-09,0.3724
2.9996e-09,0.4535
3.0092e-09,0.5334
3.0189e-09,0.6102
3.0285e-09,0.6826
3.0382e-09,0.7494
3.0478e-09,0.8097
3.0575e-09,0.8632
3.0671e-09,0.9095
3.0768e-09,0.9489
3.0864e-09,0.9820
3.0960e-09,1.0093
3.1057e-09,1.0314
3.1153e-09,1.0490
3.1250e-09,1.0630
3.1346e-09,1.0741
3.1443e-09,1.0828
3.1539e-09,1.0897
3.1636e-09,1.0953
3.1732e-09,1.1001
3.1828e-09,1.1044
3.1925e-09,1.1085
3.2021e-09,1.1124
3.2118e-09,1.1162
3.2214e-09,1.1200
3.2311e-09,1.1239
3.2407e-09,1.1278
3.2504e-09,1.1320
3.2600e-09,1.1364
3.2697e-09,1.1413
3.2793e-09,1.1469
3.2889e-09,1.1530
3.2986e-09,1.1596
3.3082e-09,1.1666
3.3179e-09,1.1740
3.3275e-09,1.1816
3.3372e-09,1.1893
3.3468e-09,1.1968
3.3565e-09,1.2038
3.3661e-09,1.2100
3.3757e-09,1.2153
3.3854e-09,1.2195
3.3950e-09,1.2221
3.4047e-09,1.2231
3.4143e-09,1.2224
3.4240e-09,1.2199
3.4336e-09,1.2159
3.4433e-09,1.2102
3.4529e-09,1.2029
3.4626e-09,1.1941
3.4722e-09,1.1838
3.4818e-09,1.1723
3.4915e-09,1.1595
3.5011e-09,1.1458
3.5108e-09,1.1313
3.5204e-09,1.1165
3.5301e-09,1.1016
3.5397e-09,1.0871
3.5494e-09,1.0735
3.5590e-09,1.0611
3.5687e-09,1.0503
3.5783e-09,1.0412
3.5879e-09,1.0341
3.5976e-09,1.0292
3.6072e-09,1.0266
3.6169e-09,1.0263
3.6265e-09,1.0282
3.6362e-09,1.0322
3.6458e-09,1.0382
3.6555e-09,1.0460
3.6651e-09,1.0551
3.6747e-09,1.0653
3.6844e-09,1.0762
3.6940e-09,1.0875
3.7037e-09,1.0990
3.7133e-09,1.1104
3.7230e-09,1.1213
3.7326e-09,1.1316
3.7423e-09,1.1410
