.HEADER
..NAMES
Time,V U2.H7
.DATA
5.6539e-09,1.2068
5.6771e-09,1.1619
5.7004e-09,1.0878
5.7237e-09,0.9922
5.7469e-09,0.8824
5.7702e-09,0.7559
5.7935e-09,0.6321
5.8168e-09,0.5076
5.8400e-09,0.3817
5.8633e-09,0.2636
5.8866e-09,0.1560
5.9098e-09,0.0660
5.9331e-09,-0.0018
5.9564e-09,-0.0497
5.9796e-09,-0.0826
6.0029e-09,-0.1053
6.0262e-09,-0.1225
6.0494e-09,-0.1372
6.0727e-09,-0.1492
6.0960e-09,-0.1582
6.1192e-09,-0.1639
6.1425e-09,-0.1652
6.1658e-09,-0.1645
6.1890e-09,-0.1618
6.2123e-09,-0.1553
6.2356e-09,-0.1424
6.2588e-09,-0.1200
6.2821e-09,-0.0882
6.3054e-09,-0.0432
6.3286e-09,0.0250
6.3519e-09,0.1187
6.3752e-09,0.2279
6.3984e-09,0.3542
6.4217e-09,0.4828
6.4450e-09,0.6072
6.4682e-09,0.7343
6.4915e-09,0.8527
6.5148e-09,0.9593
6.5380e-09,1.0498
6.5613e-09,1.1187
6.5846e-09,1.1690
6.6078e-09,1.2047
6.6311e-09,1.2285
6.6544e-09,1.2444
6.6776e-09,1.2562
6.7009e-09,1.2664
6.7242e-09,1.2754
6.7474e-09,1.2821
6.7707e-09,1.2844
6.7940e-09,1.2827
6.8172e-09,1.2786
6.8405e-09,1.2714
6.8638e-09,1.2597
6.8870e-09,1.2407
6.9103e-09,1.2141
6.9336e-09,1.1831
6.9568e-09,1.1525
6.9801e-09,1.1260
7.0034e-09,1.1040
7.0266e-09,1.0873
7.0499e-09,1.0764
7.0732e-09,1.0713
7.0964e-09,1.0728
7.1197e-09,1.0802
7.1430e-09,1.0920
7.1662e-09,1.1066
7.1895e-09,1.1224
7.2128e-09,1.1370
7.2360e-09,1.1482
7.2593e-09,1.1553
7.2826e-09,1.1597
7.3058e-09,1.1637
7.3291e-09,1.1686
7.3524e-09,1.1742
7.3756e-09,1.1798
7.3989e-09,1.1853
7.4222e-09,1.1919
7.4454e-09,1.2005
7.4687e-09,1.2110
7.4920e-09,1.2218
7.5152e-09,1.2299
7.5385e-09,1.2269
7.5618e-09,1.2057
7.5850e-09,1.1490
7.6083e-09,1.0683
7.6316e-09,0.9663
7.6548e-09,0.8461
7.6781e-09,0.7260
7.7014e-09,0.5962
7.7246e-09,0.4625
7.7479e-09,0.3343
7.7712e-09,0.2168
7.7944e-09,0.1198
7.8177e-09,0.0467
7.8410e-09,-0.0064
7.8642e-09,-0.0435
7.8875e-09,-0.0700
7.9108e-09,-0.0916
7.9340e-09,-0.1113
7.9573e-09,-0.1295
7.9806e-09,-0.1455
8.0038e-09,-0.1581
8.0271e-09,-0.1671
8.0504e-09,-0.1752
8.0736e-09,-0.1815
8.0969e-09,-0.1830
8.1202e-09,-0.1748
8.1435e-09,-0.1539
8.1667e-09,-0.1220
8.1900e-09,-0.0841
8.2133e-09,-0.0462
8.2365e-09,-0.0105
8.2598e-09,0.0223
8.2831e-09,0.0512
8.3063e-09,0.0754
8.3296e-09,0.0929
8.3529e-09,0.1020
8.3761e-09,0.1024
8.3994e-09,0.0957
8.4227e-09,0.0843
8.4459e-09,0.0721
8.4692e-09,0.0627
8.4925e-09,0.0578
8.5157e-09,0.0563
8.5390e-09,0.0558
8.5623e-09,0.0543
8.5855e-09,0.0520
8.6088e-09,0.0497
8.6321e-09,0.0478
8.6553e-09,0.0450
8.6786e-09,0.0388
8.7019e-09,0.0281
8.7251e-09,0.0139
8.7484e-09,-0.0015
8.7717e-09,-0.0155
8.7949e-09,-0.0267
8.8182e-09,-0.0344
8.8415e-09,-0.0389
8.8647e-09,-0.0407
8.8880e-09,-0.0401
8.9113e-09,-0.0373
8.9345e-09,-0.0322
8.9578e-09,-0.0248
8.9811e-09,-0.0164
9.0043e-09,-0.0090
9.0276e-09,-0.0046
9.0509e-09,-0.0037
9.0741e-09,-0.0052
9.0974e-09,-0.0071
9.1207e-09,-0.0081
9.1439e-09,-0.0079
9.1672e-09,-0.0072
9.1905e-09,-0.0065
9.2137e-09,-0.0054
9.2370e-09,-0.0033
9.2603e-09,0.0004
9.2835e-09,0.0052
9.3068e-09,0.0104
9.3301e-09,0.0149
9.3533e-09,0.0176
9.3766e-09,0.0182
9.3999e-09,0.0171
9.4231e-09,0.0186
9.4464e-09,0.0302
9.4697e-09,0.0696
9.4929e-09,0.1298
9.5162e-09,0.2096
9.5395e-09,0.3088
9.5627e-09,0.4108
9.5860e-09,0.5238
9.6093e-09,0.6442
9.6325e-09,0.7636
9.6558e-09,0.8774
9.6791e-09,0.9764
9.7023e-09,1.0555
9.7256e-09,1.1153
9.7489e-09,1.1582
9.7721e-09,1.1876
9.7954e-09,1.2092
9.8187e-09,1.2273
9.8419e-09,1.2432
9.8652e-09,1.2571
9.8885e-09,1.2678
9.9117e-09,1.2752
9.9350e-09,1.2827
9.9583e-09,1.2901
9.9815e-09,1.2957
1.00048e-08,1.2949
1.00281e-08,1.2789
1.00513e-08,1.2446
1.00746e-08,1.1752
1.00979e-08,1.0786
1.01211e-08,0.9625
1.01444e-08,0.8252
1.01677e-08,0.6873
1.01909e-08,0.5474
1.02142e-08,0.4061
1.02375e-08,0.2737
1.02607e-08,0.1550
1.02840e-08,0.0574
1.03073e-08,-0.0141
1.03305e-08,-0.0623
1.03538e-08,-0.0937
1.03771e-08,-0.1144
1.04003e-08,-0.1301
1.04236e-08,-0.1445
1.04469e-08,-0.1573
1.04702e-08,-0.1685
1.04934e-08,-0.1776
1.05167e-08,-0.1830
1.05400e-08,-0.1866
1.05632e-08,-0.1876
1.05865e-08,-0.1831
1.06098e-08,-0.1700
1.06330e-08,-0.1451
1.06563e-08,-0.1096
1.06796e-08,-0.0676
1.07028e-08,-0.0254
1.07261e-08,0.0131
1.07494e-08,0.0469
1.07726e-08,0.0750
1.07959e-08,0.0970
1.08192e-08,0.1122
1.08424e-08,0.1186
1.08657e-08,0.1160
1.08890e-08,0.1062
1.09122e-08,0.0923
1.09355e-08,0.0780
1.09588e-08,0.0667
1.09820e-08,0.0599
1.10053e-08,0.0569
1.10286e-08,0.0556
1.10518e-08,0.0541
1.10751e-08,0.0516
1.10984e-08,0.0485
1.11216e-08,0.0451
1.11449e-08,0.0406
1.11682e-08,0.0335
1.11914e-08,0.0222
1.12147e-08,0.0074
1.12380e-08,-0.0086
1.12612e-08,-0.0232
1.12845e-08,-0.0333
1.13078e-08,-0.0322
1.13310e-08,-0.0073
1.13543e-08,0.0495
1.13776e-08,0.1272
1.14008e-08,0.2302
1.14241e-08,0.3451
1.14474e-08,0.4630
1.14706e-08,0.5926
1.14939e-08,0.7205
1.15172e-08,0.8415
1.15404e-08,0.9491
1.15637e-08,1.0354
1.15870e-08,1.1010
1.16102e-08,1.1492
1.16335e-08,1.1832
1.16568e-08,1.2078
1.16800e-08,1.2280
1.17033e-08,1.2467
1.17266e-08,1.2649
1.17498e-08,1.2815
1.17731e-08,1.2947
1.17964e-08,1.3048
1.18196e-08,1.3134
1.18429e-08,1.3184
1.18662e-08,1.3172
1.18894e-08,1.3044
1.19127e-08,1.2736
1.19360e-08,1.2184
1.19592e-08,1.1295
1.19825e-08,1.0195
1.20058e-08,0.8908
1.20290e-08,0.7494
1.20523e-08,0.6124
1.20756e-08,0.4739
1.20988e-08,0.3390
1.21221e-08,0.2170
1.21454e-08,0.1103
1.21686e-08,0.0260
1.21919e-08,-0.0336
1.22152e-08,-0.0746
1.22384e-08,-0.1021
1.22617e-08,-0.1217
1.22850e-08,-0.1388
1.23082e-08,-0.1543
1.23315e-08,-0.1679
1.23548e-08,-0.1790
1.23780e-08,-0.1862
1.24013e-08,-0.1891
1.24246e-08,-0.1892
1.24478e-08,-0.1849
1.24711e-08,-0.1739
1.24944e-08,-0.1535
1.25176e-08,-0.1225
1.25409e-08,-0.0802
1.25642e-08,-0.0217
1.25874e-08,0.0633
1.26107e-08,0.1683
1.26340e-08,0.2880
1.26572e-08,0.4189
1.26805e-08,0.5453
1.27038e-08,0.6701
1.27270e-08,0.7926
1.27503e-08,0.9043
1.27736e-08,1.0031
1.27968e-08,1.0838
1.28201e-08,1.1439
1.28434e-08,1.1877
1.28667e-08,1.2187
1.28899e-08,1.2392
1.29132e-08,1.2539
1.29365e-08,1.2654
1.29597e-08,1.2752
1.29830e-08,1.2831
1.30063e-08,1.2868
1.30295e-08,1.2851
1.30528e-08,1.2800
1.30761e-08,1.2722
1.30993e-08,1.2615
1.31226e-08,1.2456
1.31459e-08,1.2225
1.31691e-08,1.1935
1.31924e-08,1.1625
1.32157e-08,1.1345
1.32389e-08,1.1115
1.32622e-08,1.0934
1.32855e-08,1.0809
1.33087e-08,1.0738
1.33320e-08,1.0723
1.33553e-08,1.0767
1.33785e-08,1.0860
1.34018e-08,1.0986
1.34251e-08,1.1135
1.34483e-08,1.1286
1.34716e-08,1.1416
1.34949e-08,1.1508
1.35181e-08,1.1566
1.35414e-08,1.1610
1.35647e-08,1.1659
1.35879e-08,1.1721
1.36112e-08,1.1787
1.36345e-08,1.1850
1.36577e-08,1.1913
1.36810e-08,1.1988
1.37043e-08,1.2081
1.37275e-08,1.2185
1.37508e-08,1.2282
1.37741e-08,1.2357
1.37973e-08,1.2402
1.38206e-08,1.2416
1.38439e-08,1.2401
1.38671e-08,1.2362
1.38904e-08,1.2308
1.39137e-08,1.2248
1.39369e-08,1.2184
1.39602e-08,1.2118
1.39835e-08,1.2052
1.40067e-08,1.1996
1.40300e-08,1.1960
1.40533e-08,1.1950
1.40765e-08,1.1961
1.40998e-08,1.1976
1.41231e-08,1.1982
1.41463e-08,1.1978
1.41696e-08,1.1968
1.41929e-08,1.1956
1.42161e-08,1.1943
1.42394e-08,1.1926
1.42627e-08,1.1905
1.42859e-08,1.1884
1.43092e-08,1.1865
1.43325e-08,1.1855
1.43557e-08,1.1857
1.43790e-08,1.1873
1.44023e-08,1.1852
1.44255e-08,1.1742
1.44488e-08,1.1372
1.44721e-08,1.0724
1.44953e-08,0.9872
1.45186e-08,0.8819
1.45419e-08,0.7701
1.45651e-08,0.6533
1.45884e-08,0.5290
1.46117e-08,0.4029
1.46349e-08,0.2834
1.46582e-08,0.1771
1.46815e-08,0.0912
1.47047e-08,0.0272
1.47280e-08,-0.0190
1.47513e-08,-0.0508
1.47745e-08,-0.0737
1.47978e-08,-0.0933
1.48211e-08,-0.1112
1.48443e-08,-0.1270
1.48676e-08,-0.1399
1.48909e-08,-0.1482
1.49141e-08,-0.1548
1.49374e-08,-0.1613
1.49607e-08,-0.1663
1.49839e-08,-0.1658
1.50072e-08,-0.1546
1.50305e-08,-0.1319
1.50537e-08,-0.1004
1.50770e-08,-0.0657
1.51003e-08,-0.0318
1.51236e-08,0.0004
1.51468e-08,0.0298
1.51701e-08,0.0556
1.51934e-08,0.0768
1.52166e-08,0.0914
1.52399e-08,0.0981
1.52632e-08,0.0969
1.52864e-08,0.0890
1.53097e-08,0.0774
1.53330e-08,0.0660
1.53562e-08,0.0583
1.53795e-08,0.0547
1.54028e-08,0.0534
1.54260e-08,0.0519
1.54493e-08,0.0493
1.54726e-08,0.0465
1.54958e-08,0.0445
1.55191e-08,0.0429
1.55424e-08,0.0398
1.55656e-08,0.0330
1.55889e-08,0.0222
1.56122e-08,0.0087
1.56354e-08,-0.0051
1.56587e-08,-0.0162
1.56820e-08,-0.0182
1.57052e-08,0.0019
1.57285e-08,0.0537
1.57518e-08,0.1273
1.57750e-08,0.2253
1.57983e-08,0.3370
1.58216e-08,0.4523
1.58448e-08,0.5796
1.58681e-08,0.7087
1.58914e-08,0.8318
1.59146e-08,0.9424
1.59379e-08,1.0314
1.59612e-08,1.0988
1.59844e-08,1.1481
1.60077e-08,1.1823
1.60310e-08,1.2068
1.60542e-08,1.2263
1.60775e-08,1.2439
1.61008e-08,1.2609
1.61240e-08,1.2764
1.61473e-08,1.2888
1.61706e-08,1.2989
1.61938e-08,1.3081
1.62171e-08,1.3151
1.62404e-08,1.3165
1.62636e-08,1.3066
1.62869e-08,1.2784
1.63102e-08,1.2267
1.63334e-08,1.1395
1.63567e-08,1.0307
1.63800e-08,0.9026
1.64032e-08,0.7602
1.64265e-08,0.6217
1.64498e-08,0.4811
1.64730e-08,0.3443
1.64963e-08,0.2202
