.HEADER
..NAMES
Time,V U2.J3
.DATA
5.6539e-09,-0.1188
5.6771e-09,-0.0708
5.7004e-09,0.0047
5.7237e-09,0.1093
5.7469e-09,0.2302
5.7702e-09,0.3634
5.7935e-09,0.4992
5.8168e-09,0.6289
5.8400e-09,0.7591
5.8633e-09,0.8802
5.8866e-09,0.9839
5.9098e-09,1.0725
5.9331e-09,1.1432
5.9564e-09,1.1926
5.9796e-09,1.2201
6.0029e-09,1.2369
6.0262e-09,1.2524
6.0494e-09,1.2640
6.0727e-09,1.2768
6.0960e-09,1.2907
6.1192e-09,1.2960
6.1425e-09,1.2934
6.1658e-09,1.2908
6.1890e-09,1.2848
6.2123e-09,1.2696
6.2356e-09,1.2509
6.2588e-09,1.2292
6.2821e-09,1.1919
6.3054e-09,1.1365
6.3286e-09,1.0517
6.3519e-09,0.9480
6.3752e-09,0.8324
6.3984e-09,0.7045
6.4217e-09,0.5827
6.4450e-09,0.4593
6.4682e-09,0.3363
6.4915e-09,0.2251
6.5148e-09,0.1294
6.5380e-09,0.0487
6.5613e-09,-0.0165
6.5846e-09,-0.0578
6.6078e-09,-0.0818
6.6311e-09,-0.1011
6.6544e-09,-0.1162
6.6776e-09,-0.1288
6.7009e-09,-0.1425
6.7242e-09,-0.1540
6.7474e-09,-0.1552
6.7707e-09,-0.1531
6.7940e-09,-0.1528
6.8172e-09,-0.1456
6.8405e-09,-0.1309
6.8638e-09,-0.1140
6.8870e-09,-0.0914
6.9103e-09,-0.0584
6.9336e-09,-0.0216
6.9568e-09,0.0121
6.9801e-09,0.0436
7.0034e-09,0.0687
7.0266e-09,0.0828
7.0499e-09,0.0916
7.0732e-09,0.1001
7.0964e-09,0.1025
7.1197e-09,0.0969
7.1430e-09,0.0896
7.1662e-09,0.0801
7.1895e-09,0.0672
7.2128e-09,0.0565
7.2360e-09,0.0516
7.2593e-09,0.0491
7.2826e-09,0.0476
7.3058e-09,0.0480
7.3291e-09,0.0458
7.3524e-09,0.0381
7.3756e-09,0.0297
7.3989e-09,0.0227
7.4222e-09,0.0139
7.4454e-09,0.0033
7.4687e-09,-0.0067
7.4920e-09,-0.0173
7.5152e-09,-0.0282
7.5385e-09,-0.0333
7.5618e-09,-0.0245
7.5850e-09,0.0129
7.6083e-09,0.0797
