.HEADER
..NAMES
Time,V U1.U1
.DATA
2.3727e-09,1.1944
2.3823e-09,1.1890
2.3920e-09,1.1838
2.4016e-09,1.1790
2.4113e-09,1.1750
2.4209e-09,1.1719
2.4305e-09,1.1697
2.4402e-09,1.1683
2.4498e-09,1.1676
2.4595e-09,1.1673
2.4691e-09,1.1672
2.4788e-09,1.1672
2.4884e-09,1.1672
2.4981e-09,1.1672
2.5077e-09,1.1671
2.5173e-09,1.1671
2.5270e-09,1.1671
2.5366e-09,1.1673
2.5463e-09,1.1676
2.5559e-09,1.1680
2.5656e-09,1.1685
2.5752e-09,1.1691
2.5849e-09,1.1697
2.5945e-09,1.1703
2.6042e-09,1.1709
2.6138e-09,1.1716
2.6234e-09,1.1724
2.6331e-09,1.1735
2.6427e-09,1.1748
2.6524e-09,1.1763
2.6620e-09,1.1782
2.6717e-09,1.1803
2.6813e-09,1.1826
2.6910e-09,1.1851
2.7006e-09,1.1876
2.7102e-09,1.1903
2.7199e-09,1.1929
2.7295e-09,1.1955
2.7392e-09,1.1980
2.7488e-09,1.2003
2.7585e-09,1.2023
2.7681e-09,1.2038
2.7778e-09,1.2049
2.7874e-09,1.2055
2.7970e-09,1.2056
2.8067e-09,1.2054
2.8163e-09,1.2048
2.8260e-09,1.2039
2.8356e-09,1.2029
2.8453e-09,1.2017
2.8549e-09,1.2006
2.8646e-09,1.1997
2.8742e-09,1.1989
2.8839e-09,1.1985
2.8935e-09,1.1984
2.9031e-09,1.1986
2.9128e-09,1.1989
2.9224e-09,1.1993
2.9321e-09,1.1997
2.9417e-09,1.2001
2.9514e-09,1.2004
2.9610e-09,1.2008
2.9707e-09,1.2011
2.9803e-09,1.2014
2.9900e-09,1.2018
2.9996e-09,1.2023
3.0092e-09,1.2027
3.0189e-09,1.2032
3.0285e-09,1.2037
3.0382e-09,1.2040
3.0478e-09,1.2042
3.0575e-09,1.2042
3.0671e-09,1.2040
3.0768e-09,1.2036
3.0864e-09,1.2032
3.0960e-09,1.2028
3.1057e-09,1.2024
3.1153e-09,1.2022
3.1250e-09,1.2021
3.1346e-09,1.2021
3.1443e-09,1.2024
3.1539e-09,1.2027
3.1636e-09,1.2032
3.1732e-09,1.2037
3.1828e-09,1.2042
3.1925e-09,1.2046
3.2021e-09,1.2049
3.2118e-09,1.2051
3.2214e-09,1.2052
3.2311e-09,1.2051
3.2407e-09,1.2049
3.2504e-09,1.2045
3.2600e-09,1.2041
3.2697e-09,1.2036
3.2793e-09,1.2030
3.2889e-09,1.2024
3.2986e-09,1.2018
3.3082e-09,1.2012
3.3179e-09,1.2006
3.3275e-09,1.2000
3.3372e-09,1.1994
3.3468e-09,1.1990
3.3565e-09,1.1986
3.3661e-09,1.1984
3.3757e-09,1.1983
3.3854e-09,1.1983
3.3950e-09,1.1983
3.4047e-09,1.1984
3.4143e-09,1.1985
3.4240e-09,1.1987
3.4336e-09,1.1989
3.4433e-09,1.1992
3.4529e-09,1.1994
3.4626e-09,1.1998
3.4722e-09,1.2001
3.4818e-09,1.2004
3.4915e-09,1.2006
3.5011e-09,1.2007
3.5108e-09,1.2008
3.5204e-09,1.2008
3.5301e-09,1.2006
3.5397e-09,1.2004
3.5494e-09,1.2002
3.5590e-09,1.1999
3.5687e-09,1.1997
3.5783e-09,1.1996
3.5879e-09,1.1995
3.5976e-09,1.1995
3.6072e-09,1.1997
3.6169e-09,1.1998
3.6265e-09,1.2000
3.6362e-09,1.2002
3.6458e-09,1.2004
3.6555e-09,1.2006
3.6651e-09,1.2007
3.6747e-09,1.2008
3.6844e-09,1.2008
3.6940e-09,1.2008
3.7037e-09,1.2008
3.7133e-09,1.2007
3.7230e-09,1.2007
3.7326e-09,1.2006
3.7423e-09,1.2006
3.7519e-09,1.2005
3.7616e-09,1.2005
3.7712e-09,1.2003
3.7808e-09,1.2002
3.7905e-09,1.2000
3.8001e-09,1.1998
3.8098e-09,1.1996
3.8194e-09,1.1995
3.8291e-09,1.1994
3.8387e-09,1.1994
3.8484e-09,1.1994
3.8580e-09,1.1995
3.8676e-09,1.1996
3.8773e-09,1.1997
3.8869e-09,1.1999
3.8966e-09,1.2001
3.9062e-09,1.2003
3.9159e-09,1.2004
3.9255e-09,1.2006
3.9352e-09,1.2007
3.9448e-09,1.2008
3.9545e-09,1.2009
3.9641e-09,1.2010
3.9737e-09,1.2010
3.9834e-09,1.2009
3.9930e-09,1.2009
4.0027e-09,1.2008
4.0123e-09,1.2007
4.0220e-09,1.2006
4.0316e-09,1.2005
4.0413e-09,1.2004
4.0509e-09,1.2004
4.0605e-09,1.2003
4.0702e-09,1.2003
4.0798e-09,1.2003
4.0895e-09,1.2004
4.0991e-09,1.2004
4.1088e-09,1.2004
4.1184e-09,1.2002
4.1281e-09,1.1993
4.1377e-09,1.1961
4.1474e-09,1.1884
4.1570e-09,1.1734
4.1666e-09,1.1486
4.1763e-09,1.1120
4.1859e-09,1.0635
4.1956e-09,1.0042
4.2052e-09,0.9362
4.2149e-09,0.8621
4.2245e-09,0.7842
4.2342e-09,0.7045
4.2438e-09,0.6240
4.2534e-09,0.5434
4.2631e-09,0.4631
4.2727e-09,0.3833
4.2824e-09,0.3044
4.2920e-09,0.2268
4.3017e-09,0.1509
4.3113e-09,0.0777
4.3210e-09,0.0084
4.3306e-09,-0.0557
4.3402e-09,-0.1134
4.3499e-09,-0.1642
4.3595e-09,-0.2072
4.3692e-09,-0.2419
4.3788e-09,-0.2682
4.3885e-09,-0.2869
4.3981e-09,-0.2993
4.4078e-09,-0.3068
4.4174e-09,-0.3109
4.4271e-09,-0.3128
4.4367e-09,-0.3137
4.4463e-09,-0.3141
4.4560e-09,-0.3141
4.4656e-09,-0.3136
4.4753e-09,-0.3123
4.4849e-09,-0.3097
4.4946e-09,-0.3058
4.5042e-09,-0.3003
4.5139e-09,-0.2935
4.5235e-09,-0.2858
4.5331e-09,-0.2776
4.5428e-09,-0.2692
4.5524e-09,-0.2609
4.5621e-09,-0.2526
4.5717e-09,-0.2443
4.5814e-09,-0.2359
4.5910e-09,-0.2273
4.6007e-09,-0.2187
4.6103e-09,-0.2104
4.6200e-09,-0.2032
4.6296e-09,-0.1980
4.6392e-09,-0.1953
4.6489e-09,-0.1955
4.6585e-09,-0.1984
4.6682e-09,-0.2036
4.6778e-09,-0.2101
4.6875e-09,-0.2170
4.6971e-09,-0.2239
4.7068e-09,-0.2302
4.7164e-09,-0.2360
4.7261e-09,-0.2414
4.7357e-09,-0.2465
4.7453e-09,-0.2512
4.7550e-09,-0.2554
4.7646e-09,-0.2586
4.7743e-09,-0.2606
4.7839e-09,-0.2612
4.7936e-09,-0.2599
4.8032e-09,-0.2564
4.8129e-09,-0.2505
4.8225e-09,-0.2421
4.8321e-09,-0.2313
4.8418e-09,-0.2184
4.8514e-09,-0.2038
4.8611e-09,-0.1879
4.8707e-09,-0.1711
4.8804e-09,-0.1541
4.8900e-09,-0.1373
4.8997e-09,-0.1213
4.9093e-09,-0.1062
4.9190e-09,-0.0923
4.9286e-09,-0.0794
4.9382e-09,-0.0671
4.9479e-09,-0.0551
4.9575e-09,-0.0431
4.9672e-09,-0.0310
4.9768e-09,-0.0188
4.9865e-09,-0.0066
4.9961e-09,0.0050
5.0058e-09,0.0159
5.0154e-09,0.0258
5.0250e-09,0.0346
5.0347e-09,0.0425
5.0443e-09,0.0496
5.0540e-09,0.0563
5.0636e-09,0.0628
5.0733e-09,0.0690
5.0829e-09,0.0751
5.0926e-09,0.0806
5.1022e-09,0.0855
5.1119e-09,0.0894
5.1215e-09,0.0920
5.1311e-09,0.0934
5.1408e-09,0.0937
5.1504e-09,0.0928
5.1601e-09,0.0911
5.1697e-09,0.0887
5.1794e-09,0.0855
5.1890e-09,0.0816
5.1987e-09,0.0772
5.2083e-09,0.0723
5.2179e-09,0.0670
5.2276e-09,0.0617
5.2372e-09,0.0566
5.2469e-09,0.0518
5.2565e-09,0.0475
5.2662e-09,0.0438
5.2758e-09,0.0409
5.2855e-09,0.0390
5.2951e-09,0.0380
5.3047e-09,0.0380
5.3144e-09,0.0390
5.3240e-09,0.0409
5.3337e-09,0.0434
5.3433e-09,0.0462
5.3530e-09,0.0491
5.3626e-09,0.0519
5.3723e-09,0.0542
5.3819e-09,0.0561
5.3916e-09,0.0575
5.4012e-09,0.0585
5.4108e-09,0.0592
5.4205e-09,0.0598
5.4301e-09,0.0603
5.4398e-09,0.0607
5.4494e-09,0.0610
5.4591e-09,0.0610
5.4687e-09,0.0604
5.4784e-09,0.0592
5.4880e-09,0.0573
5.4976e-09,0.0548
5.5073e-09,0.0520
5.5169e-09,0.0489
5.5266e-09,0.0458
5.5362e-09,0.0429
5.5459e-09,0.0402
5.5555e-09,0.0377
5.5652e-09,0.0354
5.5748e-09,0.0331
5.5845e-09,0.0307
5.5941e-09,0.0280
5.6037e-09,0.0251
5.6134e-09,0.0219
5.6230e-09,0.0183
5.6327e-09,0.0145
5.6423e-09,0.0104
5.6520e-09,0.0062
5.6616e-09,0.0019
5.6713e-09,-0.0023
5.6809e-09,-0.0065
5.6905e-09,-0.0105
5.7002e-09,-0.0142
5.7098e-09,-0.0175
5.7195e-09,-0.0205
5.7291e-09,-0.0231
5.7388e-09,-0.0253
5.7484e-09,-0.0272
5.7581e-09,-0.0287
5.7677e-09,-0.0297
5.7774e-09,-0.0302
5.7870e-09,-0.0301
5.7966e-09,-0.0296
5.8063e-09,-0.0286
5.8159e-09,-0.0272
5.8256e-09,-0.0256
5.8352e-09,-0.0240
5.8449e-09,-0.0223
5.8545e-09,-0.0208
5.8642e-09,-0.0193
5.8738e-09,-0.0179
5.8835e-09,-0.0166
5.8931e-09,-0.0154
5.9027e-09,-0.0142
5.9124e-09,-0.0132
