.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
5.7469e-09,0.5334
5.7702e-09,0.5281
5.7935e-09,0.5214
5.8168e-09,0.5138
5.8400e-09,0.5071
5.8633e-09,0.5023
5.8866e-09,0.4986
5.9098e-09,0.4954
5.9331e-09,0.4951
5.9564e-09,0.5009
5.9796e-09,0.5163
6.0029e-09,0.5503
6.0262e-09,0.6187
6.0494e-09,0.7189
6.0727e-09,0.8312
6.0960e-09,0.9298
6.1192e-09,1.0046
6.1425e-09,1.0623
6.1658e-09,1.1135
6.1890e-09,1.1581
6.2123e-09,1.1877
6.2356e-09,1.2005
6.2588e-09,1.2008
6.2821e-09,1.1967
6.3054e-09,1.1941
6.3286e-09,1.1942
6.3519e-09,1.1952
6.3752e-09,1.1970
6.3984e-09,1.2014
6.4217e-09,1.2094
6.4450e-09,1.2191
6.4682e-09,1.2257
6.4915e-09,1.2261
6.5148e-09,1.2219
6.5380e-09,1.2165
6.5613e-09,1.2105
6.5846e-09,1.2004
6.6078e-09,1.1792
6.6311e-09,1.1351
6.6544e-09,1.0595
6.6776e-09,0.9640
6.7009e-09,0.8706
6.7242e-09,0.7977
6.7474e-09,0.7448
6.7707e-09,0.7005
6.7940e-09,0.6553
6.8172e-09,0.6139
6.8405e-09,0.5848
6.8638e-09,0.5686
6.8870e-09,0.5607
6.9103e-09,0.5552
6.9336e-09,0.5491
6.9568e-09,0.5425
6.9801e-09,0.5373
7.0034e-09,0.5324
7.0266e-09,0.5264
7.0499e-09,0.5190
7.0732e-09,0.5114
7.0964e-09,0.5054
7.1197e-09,0.5012
7.1430e-09,0.4975
7.1662e-09,0.4948
7.1895e-09,0.4959
7.2128e-09,0.5043
7.2360e-09,0.5233
7.2593e-09,0.5657
7.2826e-09,0.6448
7.3058e-09,0.7527
7.3291e-09,0.8646
7.3524e-09,0.9564
7.3756e-09,1.0242
7.3989e-09,1.0782
7.4222e-09,1.1282
7.4454e-09,1.1697
7.4687e-09,1.1945
7.4920e-09,1.2024
7.5152e-09,1.1998
7.5385e-09,1.1953
7.5618e-09,1.1935
7.5850e-09,1.1943
7.6083e-09,1.1956
7.6316e-09,1.1979
7.6548e-09,1.2031
7.6781e-09,1.2120
7.7014e-09,1.2216
7.7246e-09,1.2268
7.7479e-09,1.2255
7.7712e-09,1.2205
7.7944e-09,1.2151
7.8177e-09,1.2086
7.8410e-09,1.1962
7.8642e-09,1.1698
7.8875e-09,1.1167
7.9108e-09,1.0338
7.9340e-09,0.9372
7.9573e-09,0.8488
7.9806e-09,0.7822
8.0038e-09,0.7322
8.0271e-09,0.6876
8.0504e-09,0.6424
8.0736e-09,0.6044
8.0969e-09,0.5791
8.1202e-09,0.5656
8.1435e-09,0.5585
8.1667e-09,0.5530
8.1900e-09,0.5469
8.2133e-09,0.5409
8.2365e-09,0.5361
8.2598e-09,0.5309
8.2831e-09,0.5245
8.3063e-09,0.5170
8.3296e-09,0.5098
8.3529e-09,0.5044
8.3761e-09,0.5003
8.3994e-09,0.4966
8.4227e-09,0.4944
8.4459e-09,0.4973
8.4692e-09,0.5082
8.4925e-09,0.5317
8.5157e-09,0.5838
8.5390e-09,0.6728
8.5623e-09,0.7850
8.5855e-09,0.8933
8.6088e-09,0.9778
8.6321e-09,1.0405
8.6553e-09,1.0934
8.6786e-09,1.1423
8.7019e-09,1.1796
8.7251e-09,1.1991
8.7484e-09,1.2029
8.7717e-09,1.1990
8.7949e-09,1.1950
8.8182e-09,1.1941
8.8415e-09,1.1949
8.8647e-09,1.1961
8.8880e-09,1.1988
8.9113e-09,1.2052
8.9345e-09,1.2148
8.9578e-09,1.2237
8.9811e-09,1.2270
9.0043e-09,1.2242
9.0276e-09,1.2189
9.0509e-09,1.2135
9.0741e-09,1.2062
9.0974e-09,1.1909
9.1207e-09,1.1590
9.1439e-09,1.0977
9.1672e-09,1.0097
9.1905e-09,0.9126
9.2137e-09,0.8283
9.2370e-09,0.7661
9.2603e-09,0.7187
9.2835e-09,0.6743
9.3068e-09,0.6305
9.3301e-09,0.5954
9.3533e-09,0.5731
9.3766e-09,0.5618
9.3999e-09,0.5558
9.4231e-09,0.5507
9.4464e-09,0.5447
9.4697e-09,0.5391
9.4929e-09,0.5343
9.5162e-09,0.5291
9.5395e-09,0.5225
9.5627e-09,0.5151
9.5860e-09,0.5083
9.6093e-09,0.5032
9.6325e-09,0.4992
9.6558e-09,0.4957
9.6791e-09,0.4947
9.7023e-09,0.4994
9.7256e-09,0.5128
9.7489e-09,0.5426
9.7721e-09,0.6055
9.7954e-09,0.7029
9.8187e-09,0.8158
9.8419e-09,0.9178
9.8652e-09,0.9954
9.8885e-09,1.0548
9.9117e-09,1.1070
9.9350e-09,1.1538
9.9583e-09,1.1858
9.9815e-09,1.2005
1.00048e-08,1.2017
1.00281e-08,1.1976
1.00513e-08,1.1946
1.00746e-08,1.1944
1.00979e-08,1.1952
1.01211e-08,1.1966
1.01444e-08,1.2003
1.01677e-08,1.2079
1.01909e-08,1.2177
1.02142e-08,1.2252
1.02375e-08,1.2265
1.02607e-08,1.2226
1.02840e-08,1.2174
1.03073e-08,1.2118
1.03305e-08,1.2029
1.03538e-08,1.1843
1.03771e-08,1.1459
1.04003e-08,1.0769
1.04236e-08,0.9841
1.04469e-08,0.8877
1.04702e-08,0.8088
1.04934e-08,0.7517
1.05167e-08,0.7068
1.05400e-08,0.6626
1.05632e-08,0.6201
1.05865e-08,0.5878
1.06098e-08,0.5688
1.06330e-08,0.5598
1.06563e-08,0.5546
1.06796e-08,0.5494
1.07028e-08,0.5431
1.07261e-08,0.5376
1.07494e-08,0.5328
1.07726e-08,0.5274
1.07959e-08,0.5206
1.08192e-08,0.5131
1.08424e-08,0.5066
1.08657e-08,0.5019
1.08890e-08,0.4982
1.09122e-08,0.4952
1.09355e-08,0.4953
