.HEADER
..NAMES
Time,V U2.P7
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0028
3.723e-10,0.0064
3.955e-10,0.0259
4.188e-10,0.0862
4.421e-10,0.1998
4.653e-10,0.3197
4.886e-10,0.4243
5.119e-10,0.5428
5.351e-10,0.6857
5.584e-10,0.8262
5.817e-10,0.9570
6.049e-10,1.0734
6.282e-10,1.1570
6.515e-10,1.2087
6.747e-10,1.2421
6.980e-10,1.2664
7.213e-10,1.2802
7.445e-10,1.2871
7.678e-10,1.2958
7.911e-10,1.3089
8.143e-10,1.3205
8.376e-10,1.3254
8.609e-10,1.3301
8.841e-10,1.3417
9.074e-10,1.3575
9.307e-10,1.3620
9.539e-10,1.3425
9.772e-10,1.3050
1.0005e-09,1.2646
1.0237e-09,1.2259
1.0470e-09,1.1880
1.0703e-09,1.1527
1.0935e-09,1.1179
1.1168e-09,1.0850
1.1401e-09,1.0646
1.1633e-09,1.0635
1.1866e-09,1.0758
1.2099e-09,1.0939
1.2332e-09,1.1160
1.2564e-09,1.1392
1.2797e-09,1.1571
1.3030e-09,1.1653
1.3262e-09,1.1667
1.3495e-09,1.1672
1.3728e-09,1.1686
1.3960e-09,1.1681
1.4193e-09,1.1630
1.4426e-09,1.1553
1.4658e-09,1.1518
1.4891e-09,1.1587
1.5124e-09,1.1759
1.5356e-09,1.1980
1.5589e-09,1.2188
1.5822e-09,1.2343
1.6054e-09,1.2406
1.6287e-09,1.2246
1.6520e-09,1.1651
1.6752e-09,1.0441
1.6985e-09,0.9039
1.7218e-09,0.7774
1.7450e-09,0.6398
1.7683e-09,0.4732
1.7916e-09,0.3083
1.8148e-09,0.1646
1.8381e-09,0.0460
1.8614e-09,-0.0336
1.8846e-09,-0.0779
1.9079e-09,-0.1039
1.9312e-09,-0.1230
1.9544e-09,-0.1324
1.9777e-09,-0.1342
2.0010e-09,-0.1395
2.0242e-09,-0.1552
2.0475e-09,-0.1769
2.0708e-09,-0.1955
2.0940e-09,-0.2125
2.1173e-09,-0.2323
2.1406e-09,-0.2517
2.1638e-09,-0.2562
2.1871e-09,-0.2321
2.2104e-09,-0.1837
2.2336e-09,-0.1287
2.2569e-09,-0.0753
2.2802e-09,-0.0216
2.3034e-09,0.0304
2.3267e-09,0.0790
2.3500e-09,0.1210
2.3732e-09,0.1452
2.3965e-09,0.1451
2.4198e-09,0.1288
2.4430e-09,0.1077
2.4663e-09,0.0852
2.4896e-09,0.0624
2.5128e-09,0.0446
2.5361e-09,0.0375
2.5594e-09,0.0404
2.5826e-09,0.0478
2.6059e-09,0.0557
2.6292e-09,0.0646
2.6524e-09,0.0757
2.6757e-09,0.0863
2.6990e-09,0.0892
2.7222e-09,0.0783
2.7455e-09,0.0543
2.7688e-09,0.0241
2.7920e-09,-0.0049
2.8153e-09,-0.0286
2.8386e-09,-0.0478
2.8618e-09,-0.0645
2.8851e-09,-0.0756
2.9084e-09,-0.0758
2.9316e-09,-0.0648
2.9549e-09,-0.0472
2.9782e-09,-0.0275
3.0014e-09,-0.0082
3.0247e-09,0.0076
3.0480e-09,0.0167
3.0712e-09,0.0175
3.0945e-09,0.0116
3.1178e-09,0.0025
3.1410e-09,-0.0068
3.1643e-09,-0.0150
3.1876e-09,-0.0228
3.2108e-09,-0.0297
3.2341e-09,-0.0325
3.2574e-09,-0.0274
3.2806e-09,-0.0141
3.3039e-09,0.0031
3.3272e-09,0.0190
3.3504e-09,0.0307
3.3737e-09,0.0385
3.3970e-09,0.0429
3.4202e-09,0.0431
3.4435e-09,0.0379
3.4668e-09,0.0281
3.4901e-09,0.0157
3.5133e-09,0.0028
3.5366e-09,-0.0085
3.5599e-09,-0.0163
3.5831e-09,-0.0193
3.6064e-09,-0.0169
3.6297e-09,-0.0099
3.6529e-09,-0.0011
3.6762e-09,0.0068
3.6995e-09,0.0128
3.7227e-09,0.0173
3.7460e-09,0.0207
3.7693e-09,0.0214
3.7925e-09,0.0177
3.8158e-09,0.0095
3.8391e-09,-0.0008
3.8623e-09,-0.0102
3.8856e-09,-0.0167
3.9089e-09,-0.0198
3.9321e-09,-0.0198
3.9554e-09,-0.0170
3.9787e-09,-0.0118
4.0019e-09,-0.0047
4.0252e-09,0.0030
4.0485e-09,0.0101
4.0717e-09,0.0156
4.0950e-09,0.0188
4.1183e-09,0.0189
4.1415e-09,0.0157
4.1648e-09,0.0097
4.1881e-09,0.0029
4.2113e-09,-0.0028
4.2346e-09,-0.0065
4.2579e-09,-0.0086
4.2811e-09,-0.0093
4.3044e-09,-0.0085
4.3277e-09,-0.0053
4.3509e-09,-0.0000
4.3742e-09,0.0063
