.HEADER
..NAMES
Time,V U2.D7
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0027
3.955e-10,0.0027
4.188e-10,0.0027
4.421e-10,0.0027
4.653e-10,0.0027
4.886e-10,0.0027
5.119e-10,0.0027
5.351e-10,0.0027
5.584e-10,0.0027
5.817e-10,0.0027
6.049e-10,0.0027
6.282e-10,0.0027
6.515e-10,0.0028
6.747e-10,0.0065
6.980e-10,0.0259
7.213e-10,0.0853
7.445e-10,0.1858
7.678e-10,0.2812
7.911e-10,0.3583
8.143e-10,0.4606
8.376e-10,0.5902
8.609e-10,0.7184
8.841e-10,0.8403
9.074e-10,0.9530
9.307e-10,1.0440
9.539e-10,1.1159
9.772e-10,1.1806
1.0005e-09,1.2286
1.0237e-09,1.2543
1.0470e-09,1.2674
1.0703e-09,1.2748
1.0935e-09,1.2758
1.1168e-09,1.2729
1.1401e-09,1.2788
1.1633e-09,1.2969
1.1866e-09,1.3161
1.2099e-09,1.3213
1.2332e-09,1.3080
1.2564e-09,1.2912
1.2797e-09,1.2769
1.3030e-09,1.2425
1.3262e-09,1.1632
1.3495e-09,1.0279
1.3728e-09,0.8815
1.3960e-09,0.7633
1.4193e-09,0.6428
1.4426e-09,0.4941
1.4658e-09,0.3409
1.4891e-09,0.2017
1.5124e-09,0.0811
1.5356e-09,-0.0101
1.5589e-09,-0.0722
1.5822e-09,-0.1185
1.6054e-09,-0.1454
1.6287e-09,-0.1541
1.6520e-09,-0.1574
1.6752e-09,-0.1633
1.6985e-09,-0.1661
1.7218e-09,-0.1611
1.7450e-09,-0.1625
1.7683e-09,-0.1806
1.7916e-09,-0.2044
1.8148e-09,-0.2122
1.8381e-09,-0.1922
1.8614e-09,-0.1570
1.8846e-09,-0.1266
1.9079e-09,-0.0996
1.9312e-09,-0.0559
1.9544e-09,0.0281
1.9777e-09,0.1685
2.0010e-09,0.3207
2.0242e-09,0.4331
2.0475e-09,0.5342
2.0708e-09,0.6684
2.0940e-09,0.8071
2.1173e-09,0.9227
2.1406e-09,1.0246
2.1638e-09,1.1060
2.1871e-09,1.1589
2.2104e-09,1.1963
2.2336e-09,1.2273
2.2569e-09,1.2509
2.2802e-09,1.2695
2.3034e-09,1.2868
2.3267e-09,1.2935
2.3500e-09,1.2854
2.3732e-09,1.2802
2.3965e-09,1.2921
2.4198e-09,1.3115
2.4430e-09,1.3149
2.4663e-09,1.2900
2.4896e-09,1.2516
2.5128e-09,1.2243
2.5361e-09,1.2000
2.5594e-09,1.1476
2.5826e-09,1.0452
2.6059e-09,0.9033
2.6292e-09,0.7719
2.6524e-09,0.6726
2.6757e-09,0.5596
2.6990e-09,0.4243
2.7222e-09,0.2968
2.7455e-09,0.1813
2.7688e-09,0.0803
2.7920e-09,0.0003
2.8153e-09,-0.0578
2.8386e-09,-0.0998
2.8618e-09,-0.1249
2.8851e-09,-0.1405
2.9084e-09,-0.1575
2.9316e-09,-0.1709
2.9549e-09,-0.1696
2.9782e-09,-0.1578
3.0014e-09,-0.1573
3.0247e-09,-0.1748
3.0480e-09,-0.1910
3.0712e-09,-0.1853
3.0945e-09,-0.1548
3.1178e-09,-0.1190
3.1410e-09,-0.0939
3.1643e-09,-0.0706
3.1876e-09,-0.0387
3.2108e-09,-0.0021
3.2341e-09,0.0342
3.2574e-09,0.0663
3.2806e-09,0.0885
3.3039e-09,0.1022
3.3272e-09,0.1110
3.3504e-09,0.1120
3.3737e-09,0.1063
3.3970e-09,0.1008
3.4202e-09,0.0951
3.4435e-09,0.0806
3.4668e-09,0.0578
3.4901e-09,0.0398
3.5133e-09,0.0367
3.5366e-09,0.0442
3.5599e-09,0.0506
3.5831e-09,0.0481
3.6064e-09,0.0397
3.6297e-09,0.0335
3.6529e-09,0.0306
3.6762e-09,0.0251
3.6995e-09,0.0136
3.7227e-09,-0.0023
3.7460e-09,-0.0182
3.7693e-09,-0.0296
3.7925e-09,-0.0346
3.8158e-09,-0.0247
3.8391e-09,0.0253
3.8623e-09,0.1267
3.8856e-09,0.2312
3.9089e-09,0.3119
3.9321e-09,0.4119
3.9554e-09,0.5522
3.9787e-09,0.6997
4.0019e-09,0.8341
4.0252e-09,0.9531
4.0485e-09,1.0462
4.0717e-09,1.1181
4.0950e-09,1.1842
4.1183e-09,1.2347
4.1415e-09,1.2591
4.1648e-09,1.2664
4.1881e-09,1.2714
4.2113e-09,1.2756
4.2346e-09,1.2776
4.2579e-09,1.2869
4.2811e-09,1.3079
4.3044e-09,1.3320
4.3277e-09,1.3417
4.3509e-09,1.3287
4.3742e-09,1.3084
4.3975e-09,1.2961
4.4207e-09,1.2829
