.HEADER
..NAMES
Time,V U2.B7&A7
.DATA
5.7469e-09,1.2140
5.7702e-09,1.2124
5.7935e-09,1.2093
5.8168e-09,1.2132
5.8400e-09,1.2219
5.8633e-09,1.2249
5.8866e-09,1.2153
5.9098e-09,1.1997
5.9331e-09,1.1889
5.9564e-09,1.1810
5.9796e-09,1.1574
6.0029e-09,1.0942
6.0262e-09,0.9840
6.0494e-09,0.8759
6.0727e-09,0.8039
6.0960e-09,0.7546
6.1192e-09,0.7108
6.1425e-09,0.6712
6.1658e-09,0.6408
6.1890e-09,0.6172
6.2123e-09,0.5929
6.2356e-09,0.5738
6.2588e-09,0.5646
6.2821e-09,0.5575
6.3054e-09,0.5444
6.3286e-09,0.5284
6.3519e-09,0.5169
6.3752e-09,0.5136
6.3984e-09,0.5172
6.4217e-09,0.5178
6.4450e-09,0.5076
6.4682e-09,0.4933
6.4915e-09,0.4872
6.5148e-09,0.4929
6.5380e-09,0.5025
6.5613e-09,0.5088
6.5846e-09,0.5171
6.6078e-09,0.5397
6.6311e-09,0.6048
6.6544e-09,0.7277
6.6776e-09,0.8557
6.7009e-09,0.9429
6.7242e-09,1.0049
6.7474e-09,1.0605
6.7707e-09,1.1108
6.7940e-09,1.1482
6.8172e-09,1.1681
6.8405e-09,1.1815
6.8638e-09,1.1906
6.8870e-09,1.1911
6.9103e-09,1.1890
6.9336e-09,1.1934
6.9568e-09,1.2021
6.9801e-09,1.2106
7.0034e-09,1.2143
7.0266e-09,1.2113
7.0499e-09,1.2095
7.0732e-09,1.2158
7.0964e-09,1.2240
7.1197e-09,1.2232
7.1430e-09,1.2106
7.1662e-09,1.1957
7.1895e-09,1.1873
7.2128e-09,1.1778
7.2360e-09,1.1461
7.2593e-09,1.0685
7.2826e-09,0.9536
7.3058e-09,0.8521
7.3291e-09,0.7876
7.3524e-09,0.7412
7.3756e-09,0.6989
7.3989e-09,0.6613
7.4222e-09,0.6333
7.4454e-09,0.6094
7.4687e-09,0.5859
7.4920e-09,0.5701
7.5152e-09,0.5626
7.5385e-09,0.5540
7.5618e-09,0.5394
7.5850e-09,0.5242
7.6083e-09,0.5150
7.6316e-09,0.5141
7.6548e-09,0.5180
7.6781e-09,0.5159
7.7014e-09,0.5036
7.7246e-09,0.4904
7.7479e-09,0.4876
7.7712e-09,0.4955
7.7944e-09,0.5046
7.8177e-09,0.5107
7.8410e-09,0.5215
7.8642e-09,0.5521
7.8875e-09,0.6332
7.9108e-09,0.7620
7.9340e-09,0.8785
7.9573e-09,0.9577
7.9806e-09,1.0185
8.0038e-09,1.0724
8.0271e-09,1.1199
8.0504e-09,1.1529
8.0736e-09,1.1713
8.0969e-09,1.1841
8.1202e-09,1.1908
8.1435e-09,1.1898
8.1667e-09,1.1897
8.1900e-09,1.1957
8.2133e-09,1.2042
8.2365e-09,1.2119
8.2598e-09,1.2139
8.2831e-09,1.2104
8.3063e-09,1.2107
8.3296e-09,1.2181
8.3529e-09,1.2245
8.3761e-09,1.2202
8.3994e-09,1.2062
8.4227e-09,1.1931
8.4459e-09,1.1856
8.4692e-09,1.1716
8.4925e-09,1.1294
8.5157e-09,1.0377
8.5390e-09,0.9212
