.HEADER
..NAMES
Time,V U2.R8
.DATA
5.6771e-09,0.0560
5.7004e-09,0.0435
5.7237e-09,0.0243
5.7469e-09,0.0007
5.7702e-09,-0.0220
5.7935e-09,-0.0396
5.8168e-09,-0.0514
5.8400e-09,-0.0583
5.8633e-09,-0.0614
5.8866e-09,-0.0606
5.9098e-09,-0.0541
5.9331e-09,-0.0407
5.9564e-09,-0.0226
5.9796e-09,-0.0051
6.0029e-09,0.0069
6.0262e-09,0.0125
6.0494e-09,0.0133
6.0727e-09,0.0107
6.0960e-09,0.0055
6.1192e-09,-0.0009
6.1425e-09,-0.0069
6.1658e-09,-0.0117
6.1890e-09,-0.0147
6.2123e-09,-0.0105
6.2356e-09,0.0165
6.2588e-09,0.0932
6.2821e-09,0.2151
6.3054e-09,0.3379
6.3286e-09,0.4542
6.3519e-09,0.5837
6.3752e-09,0.7269
6.3984e-09,0.8631
6.4217e-09,0.9831
6.4450e-09,1.0897
6.4682e-09,1.1706
6.4915e-09,1.2216
6.5148e-09,1.2494
6.5380e-09,1.2612
6.5613e-09,1.2667
6.5846e-09,1.2723
6.6078e-09,1.2841
6.6311e-09,1.3020
6.6544e-09,1.3151
6.6776e-09,1.3198
6.7009e-09,1.3236
6.7242e-09,1.3341
6.7474e-09,1.3500
6.7707e-09,1.3576
6.7940e-09,1.3449
6.8172e-09,1.3145
6.8405e-09,1.2772
6.8638e-09,1.2371
6.8870e-09,1.1940
6.9103e-09,1.1538
6.9336e-09,1.1221
6.9568e-09,1.0971
6.9801e-09,1.0779
7.0034e-09,1.0663
7.0266e-09,1.0578
7.0499e-09,1.0392
7.0732e-09,0.9921
7.0964e-09,0.9052
7.1197e-09,0.8090
7.1430e-09,0.7110
7.1662e-09,0.5903
7.1895e-09,0.4449
7.2128e-09,0.2994
7.2360e-09,0.1719
7.2593e-09,0.0564
7.2826e-09,-0.0407
7.3058e-09,-0.1080
7.3291e-09,-0.1475
7.3524e-09,-0.1632
7.3756e-09,-0.1639
7.3989e-09,-0.1558
7.4222e-09,-0.1450
7.4454e-09,-0.1388
7.4687e-09,-0.1338
7.4920e-09,-0.1274
7.5152e-09,-0.1260
7.5385e-09,-0.1351
7.5618e-09,-0.1519
7.5850e-09,-0.1659
7.6083e-09,-0.1668
7.6316e-09,-0.1543
7.6548e-09,-0.1346
7.6781e-09,-0.1079
7.7014e-09,-0.0697
7.7246e-09,-0.0241
7.7479e-09,0.0200
7.7712e-09,0.0599
7.7944e-09,0.0952
7.8177e-09,0.1224
7.8410e-09,0.1374
7.8642e-09,0.1386
7.8875e-09,0.1268
7.9108e-09,0.1049
7.9340e-09,0.0794
7.9573e-09,0.0575
7.9806e-09,0.0423
8.0038e-09,0.0310
8.0271e-09,0.0217
8.0504e-09,0.0175
8.0736e-09,0.0203
8.0969e-09,0.0285
8.1202e-09,0.0376
8.1435e-09,0.0443
8.1667e-09,0.0473
8.1900e-09,0.0458
8.2133e-09,0.0379
8.2365e-09,0.0229
8.2598e-09,0.0041
