.HEADER
..NAMES
Time,V U2.J3
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0027
3.955e-10,0.0027
4.188e-10,0.0027
4.421e-10,0.0027
4.653e-10,0.0027
4.886e-10,0.0027
5.119e-10,0.0027
5.351e-10,0.0027
5.584e-10,0.0047
5.817e-10,0.0148
6.049e-10,0.0488
6.282e-10,0.1074
6.515e-10,0.1853
6.747e-10,0.2846
6.980e-10,0.3970
7.213e-10,0.5126
7.445e-10,0.6313
7.678e-10,0.7518
7.911e-10,0.8617
8.143e-10,0.9591
8.376e-10,1.0464
8.609e-10,1.1134
8.841e-10,1.1568
9.074e-10,1.1857
9.307e-10,1.2081
9.539e-10,1.2236
9.772e-10,1.2376
1.0005e-09,1.2560
1.0237e-09,1.2701
1.0470e-09,1.2780
1.0703e-09,1.2868
1.0935e-09,1.2934
1.1168e-09,1.2915
1.1401e-09,1.2857
1.1633e-09,1.2772
1.1866e-09,1.2584
1.2099e-09,1.2297
1.2332e-09,1.1987
1.2564e-09,1.1670
1.2797e-09,1.1361
1.3030e-09,1.1140
1.3262e-09,1.1020
1.3495e-09,1.0932
1.3728e-09,1.0860
1.3960e-09,1.0779
1.4193e-09,1.0526
1.4426e-09,0.9986
1.4658e-09,0.9292
1.4891e-09,0.8440
1.5124e-09,0.7358
1.5356e-09,0.6230
1.5589e-09,0.5057
1.5822e-09,0.3800
1.6054e-09,0.2634
1.6287e-09,0.1637
1.6520e-09,0.0794
1.6752e-09,0.0136
1.6985e-09,-0.0264
1.7218e-09,-0.0456
1.7450e-09,-0.0605
1.7683e-09,-0.0693
1.7916e-09,-0.0728
1.8148e-09,-0.0766
1.8381e-09,-0.0595
1.8614e-09,-0.0012
1.8846e-09,0.0738
1.9079e-09,0.1688
1.9312e-09,0.2931
1.9544e-09,0.4197
1.9777e-09,0.5558
2.0010e-09,0.7043
2.0242e-09,0.8528
2.0475e-09,0.9927
2.0708e-09,1.1178
2.0940e-09,1.2255
2.1173e-09,1.2971
2.1406e-09,1.3360
2.1638e-09,1.3652
2.1871e-09,1.3813
2.2104e-09,1.3814
2.2336e-09,1.3735
2.2569e-09,1.3367
2.2802e-09,1.2604
2.3034e-09,1.1633
2.3267e-09,1.0471
2.3500e-09,0.9156
2.3732e-09,0.7788
2.3965e-09,0.6421
2.4198e-09,0.5008
2.4430e-09,0.3533
2.4663e-09,0.2128
2.4896e-09,0.0839
2.5128e-09,-0.0268
2.5361e-09,-0.1071
2.5594e-09,-0.1610
2.5826e-09,-0.2025
2.6059e-09,-0.2356
2.6292e-09,-0.2559
2.6524e-09,-0.2615
2.6757e-09,-0.2287
2.6990e-09,-0.1490
2.7222e-09,-0.0413
2.7455e-09,0.0940
2.7688e-09,0.2467
2.7920e-09,0.3951
2.8153e-09,0.5484
2.8386e-09,0.7090
2.8618e-09,0.8640
2.8851e-09,1.0123
2.9084e-09,1.1461
2.9316e-09,1.2512
2.9549e-09,1.3189
2.9782e-09,1.3589
3.0014e-09,1.3908
3.0247e-09,1.4116
3.0480e-09,1.4275
3.0712e-09,1.4457
3.0945e-09,1.4497
3.1178e-09,1.4360
3.1410e-09,1.4177
3.1643e-09,1.3966
3.1876e-09,1.3687
3.2108e-09,1.3426
3.2341e-09,1.3188
3.2574e-09,1.2835
3.2806e-09,1.2342
3.3039e-09,1.1825
3.3272e-09,1.1336
3.3504e-09,1.0888
3.3737e-09,1.0597
3.3970e-09,1.0464
3.4202e-09,1.0350
3.4435e-09,1.0253
3.4668e-09,1.0169
3.4901e-09,1.0027
3.5133e-09,0.9624
3.5366e-09,0.9108
3.5599e-09,0.8498
3.5831e-09,0.7611
3.6064e-09,0.6610
3.6297e-09,0.5530
3.6529e-09,0.4373
3.6762e-09,0.3218
3.6995e-09,0.2250
3.7227e-09,0.1480
3.7460e-09,0.0788
3.7693e-09,0.0310
3.7925e-09,0.0044
3.8158e-09,-0.0160
3.8391e-09,-0.0318
3.8623e-09,-0.0382
3.8856e-09,-0.0416
3.9089e-09,-0.0419
3.9321e-09,-0.0060
3.9554e-09,0.0553
3.9787e-09,0.1308
4.0019e-09,0.2357
4.0252e-09,0.3596
4.0485e-09,0.4918
4.0717e-09,0.6309
4.0950e-09,0.7806
4.1183e-09,0.9217
4.1415e-09,1.0468
4.1648e-09,1.1619
4.1881e-09,1.2504
4.2113e-09,1.3052
4.2346e-09,1.3387
4.2579e-09,1.3633
4.2811e-09,1.3715
4.3044e-09,1.3640
4.3277e-09,1.3451
4.3509e-09,1.2895
4.3742e-09,1.2034
4.3975e-09,1.1037
4.4207e-09,0.9816
4.4440e-09,0.8474
