.HEADER
..NAMES
Time,V U2.J7
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0027
3.955e-10,0.0027
4.188e-10,0.0027
4.421e-10,0.0027
4.653e-10,0.0027
4.886e-10,0.0027
5.119e-10,0.0027
5.351e-10,0.0027
5.584e-10,0.0033
5.817e-10,0.0091
6.049e-10,0.0317
6.282e-10,0.0818
6.515e-10,0.1532
6.747e-10,0.2419
6.980e-10,0.3417
7.213e-10,0.4463
7.445e-10,0.5603
7.678e-10,0.6773
7.911e-10,0.7933
8.143e-10,0.9032
8.376e-10,0.9982
8.609e-10,1.0745
8.841e-10,1.1331
9.074e-10,1.1743
9.307e-10,1.2016
9.539e-10,1.2206
9.772e-10,1.2312
1.0005e-09,1.2299
1.0237e-09,1.1972
1.0470e-09,1.1356
1.0703e-09,1.0523
1.0935e-09,0.9533
1.1168e-09,0.8510
1.1401e-09,0.7388
1.1633e-09,0.6172
1.1866e-09,0.4890
1.2099e-09,0.3556
1.2332e-09,0.2286
1.2564e-09,0.1181
1.2797e-09,0.0258
1.3030e-09,-0.0474
1.3262e-09,-0.1027
1.3495e-09,-0.1452
1.3728e-09,-0.1796
1.3960e-09,-0.2088
1.4193e-09,-0.2308
1.4426e-09,-0.2411
1.4658e-09,-0.2396
1.4891e-09,-0.2327
1.5124e-09,-0.2262
1.5356e-09,-0.2212
1.5589e-09,-0.2156
1.5822e-09,-0.2038
1.6054e-09,-0.1826
1.6287e-09,-0.1531
1.6520e-09,-0.1193
1.6752e-09,-0.0857
1.6985e-09,-0.0531
1.7218e-09,-0.0213
1.7450e-09,0.0097
1.7683e-09,0.0395
1.7916e-09,0.0676
1.8148e-09,0.0935
1.8381e-09,0.1189
1.8614e-09,0.1529
1.8846e-09,0.2021
1.9079e-09,0.2641
1.9312e-09,0.3412
1.9544e-09,0.4301
1.9777e-09,0.5263
2.0010e-09,0.6299
2.0242e-09,0.7318
2.0475e-09,0.8302
2.0708e-09,0.9230
2.0940e-09,1.0038
2.1173e-09,1.0705
2.1406e-09,1.1218
2.1638e-09,1.1564
2.1871e-09,1.1770
2.2104e-09,1.1888
2.2336e-09,1.1973
2.2569e-09,1.2054
2.2802e-09,1.2128
2.3034e-09,1.2190
2.3267e-09,1.2252
2.3500e-09,1.2326
2.3732e-09,1.2406
2.3965e-09,1.2477
2.4198e-09,1.2524
2.4430e-09,1.2525
2.4663e-09,1.2467
2.4896e-09,1.2344
2.5128e-09,1.2167
2.5361e-09,1.1956
2.5594e-09,1.1731
2.5826e-09,1.1523
2.6059e-09,1.1351
2.6292e-09,1.1217
2.6524e-09,1.1123
2.6757e-09,1.1077
2.6990e-09,1.1094
2.7222e-09,1.1174
2.7455e-09,1.1297
2.7688e-09,1.1436
2.7920e-09,1.1568
2.8153e-09,1.1674
2.8386e-09,1.1751
2.8618e-09,1.1800
2.8851e-09,1.1829
2.9084e-09,1.1841
2.9316e-09,1.1842
2.9549e-09,1.1838
2.9782e-09,1.1836
3.0014e-09,1.1842
3.0247e-09,1.1862
3.0480e-09,1.1877
3.0712e-09,1.1827
3.0945e-09,1.1582
3.1178e-09,1.1027
3.1410e-09,1.0271
3.1643e-09,0.9324
3.1876e-09,0.8270
3.2108e-09,0.7155
3.2341e-09,0.5907
3.2574e-09,0.4647
3.2806e-09,0.3390
3.3039e-09,0.2213
3.3272e-09,0.1212
3.3504e-09,0.0427
3.3737e-09,-0.0162
3.3970e-09,-0.0556
3.4202e-09,-0.0807
3.4435e-09,-0.0979
3.4668e-09,-0.1125
3.4901e-09,-0.1265
3.5133e-09,-0.1370
3.5366e-09,-0.1430
3.5599e-09,-0.1471
3.5831e-09,-0.1536
3.6064e-09,-0.1618
3.6297e-09,-0.1684
3.6529e-09,-0.1689
3.6762e-09,-0.1591
3.6995e-09,-0.1396
3.7227e-09,-0.1122
3.7460e-09,-0.0811
3.7693e-09,-0.0485
3.7925e-09,-0.0152
3.8158e-09,0.0168
3.8391e-09,0.0461
3.8623e-09,0.0713
3.8856e-09,0.0913
3.9089e-09,0.1039
3.9321e-09,0.1067
3.9554e-09,0.0998
3.9787e-09,0.0874
4.0019e-09,0.0744
4.0252e-09,0.0642
4.0485e-09,0.0575
4.0717e-09,0.0528
4.0950e-09,0.0487
4.1183e-09,0.0450
4.1415e-09,0.0427
4.1648e-09,0.0425
4.1881e-09,0.0436
4.2113e-09,0.0438
4.2346e-09,0.0415
4.2579e-09,0.0359
4.2811e-09,0.0269
4.3044e-09,0.0149
4.3277e-09,0.0017
4.3509e-09,-0.0104
4.3742e-09,-0.0201
4.3975e-09,-0.0275
4.4207e-09,-0.0334
