.HEADER
..NAMES
Time,V U2.B8
.DATA
5.6306e-09,0.0627
5.6539e-09,0.0475
5.6771e-09,0.0392
5.7004e-09,0.0409
5.7237e-09,0.0482
5.7469e-09,0.0559
5.7702e-09,0.0601
5.7935e-09,0.0554
5.8168e-09,0.0415
5.8400e-09,0.0247
5.8633e-09,0.0106
5.8866e-09,0.0022
5.9098e-09,-0.0021
5.9331e-09,-0.0097
5.9564e-09,-0.0252
5.9796e-09,-0.0427
6.0029e-09,-0.0525
6.0262e-09,-0.0515
6.0494e-09,-0.0440
6.0727e-09,-0.0348
6.0960e-09,-0.0253
6.1192e-09,-0.0159
6.1425e-09,-0.0075
6.1658e-09,-0.0007
6.1890e-09,0.0038
6.2123e-09,0.0046
6.2356e-09,0.0003
6.2588e-09,-0.0079
6.2821e-09,-0.0156
6.3054e-09,-0.0178
6.3286e-09,-0.0124
6.3519e-09,-0.0024
6.3752e-09,0.0056
6.3984e-09,0.0124
6.4217e-09,0.0352
6.4450e-09,0.1003
6.4682e-09,0.2081
6.4915e-09,0.3106
6.5148e-09,0.3964
6.5380e-09,0.4947
6.5613e-09,0.6028
6.5846e-09,0.7083
6.6078e-09,0.8204
6.6311e-09,0.9307
6.6544e-09,1.0247
6.6776e-09,1.0996
6.7009e-09,1.1537
6.7242e-09,1.1907
6.7474e-09,1.2217
6.7707e-09,1.2540
6.7940e-09,1.2829
6.8172e-09,1.2973
6.8405e-09,1.2990
6.8638e-09,1.3033
6.8870e-09,1.3190
6.9103e-09,1.3348
6.9336e-09,1.3338
6.9568e-09,1.3158
6.9801e-09,1.2906
7.0034e-09,1.2592
7.0266e-09,1.2262
7.0499e-09,1.2010
7.0732e-09,1.1815
7.0964e-09,1.1621
7.1197e-09,1.1416
7.1430e-09,1.1183
7.1662e-09,1.0971
7.1895e-09,1.0884
7.2128e-09,1.0880
7.2360e-09,1.0715
7.2593e-09,1.0129
7.2826e-09,0.9046
7.3058e-09,0.8010
7.3291e-09,0.7267
7.3524e-09,0.6396
7.3756e-09,0.5274
7.3989e-09,0.4099
7.4222e-09,0.2842
7.4454e-09,0.1627
7.4687e-09,0.0657
7.4920e-09,-0.0006
7.5152e-09,-0.0392
7.5385e-09,-0.0586
7.5618e-09,-0.0735
7.5850e-09,-0.0945
7.6083e-09,-0.1165
7.6316e-09,-0.1245
7.6548e-09,-0.1085
7.6781e-09,-0.0517
7.7014e-09,0.0562
7.7246e-09,0.1561
7.7479e-09,0.2400
7.7712e-09,0.3588
7.7944e-09,0.5030
7.8177e-09,0.6529
7.8410e-09,0.8175
7.8642e-09,0.9718
7.8875e-09,1.0997
7.9108e-09,1.2082
7.9340e-09,1.2936
7.9573e-09,1.3570
7.9806e-09,1.4016
8.0038e-09,1.4268
8.0271e-09,1.4313
8.0504e-09,1.4092
8.0736e-09,1.3612
8.0969e-09,1.2793
8.1202e-09,1.1755
8.1435e-09,1.0817
8.1667e-09,0.9803
8.1900e-09,0.8449
8.2133e-09,0.6981
8.2365e-09,0.5474
8.2598e-09,0.3866
8.2831e-09,0.2366
8.3063e-09,0.1017
8.3296e-09,-0.0199
8.3529e-09,-0.1188
8.3761e-09,-0.1951
8.3994e-09,-0.2525
8.4227e-09,-0.2891
8.4459e-09,-0.3048
8.4692e-09,-0.3023
8.4925e-09,-0.2760
8.5157e-09,-0.1901
8.5390e-09,-0.0468
8.5623e-09,0.0791
8.5855e-09,0.1917
8.6088e-09,0.3361
8.6321e-09,0.4888
8.6553e-09,0.6471
8.6786e-09,0.8212
8.7019e-09,0.9801
8.7251e-09,1.1186
8.7484e-09,1.2360
8.7717e-09,1.3231
8.7949e-09,1.3855
8.8182e-09,1.4299
8.8415e-09,1.4620
8.8647e-09,1.4832
8.8880e-09,1.4850
8.9113e-09,1.4707
8.9345e-09,1.4598
8.9578e-09,1.4613
8.9811e-09,1.4585
9.0043e-09,1.4297
9.0276e-09,1.3827
9.0509e-09,1.3325
9.0741e-09,1.2782
9.0974e-09,1.2289
9.1207e-09,1.1914
9.1439e-09,1.1552
9.1672e-09,1.1192
9.1905e-09,1.0852
9.2137e-09,1.0494
9.2370e-09,1.0193
9.2603e-09,1.0058
9.2835e-09,1.0077
9.3068e-09,1.0041
9.3301e-09,0.9728
9.3533e-09,0.8951
9.3766e-09,0.8012
9.3999e-09,0.7309
9.4231e-09,0.6685
9.4464e-09,0.5750
9.4697e-09,0.4641
9.4929e-09,0.3499
9.5162e-09,0.2335
9.5395e-09,0.1358
9.5627e-09,0.0674
9.5860e-09,0.0219
9.6093e-09,-0.0060
9.6325e-09,-0.0255
9.6558e-09,-0.0491
9.6791e-09,-0.0741
9.7023e-09,-0.0876
9.7256e-09,-0.0876
9.7489e-09,-0.0882
9.7721e-09,-0.1060
9.7954e-09,-0.1372
9.8187e-09,-0.1589
9.8419e-09,-0.1565
9.8652e-09,-0.1398
9.8885e-09,-0.1201
9.9117e-09,-0.0973
9.9350e-09,-0.0751
9.9583e-09,-0.0557
9.9815e-09,-0.0310
1.00048e-08,0.0019
1.00281e-08,0.0379
1.00513e-08,0.0711
1.00746e-08,0.0904
1.00979e-08,0.0887
1.01211e-08,0.0751
1.01444e-08,0.0648
1.01677e-08,0.0619
1.01909e-08,0.0589
1.02142e-08,0.0496
1.02375e-08,0.0378
1.02607e-08,0.0325
1.02840e-08,0.0363
1.03073e-08,0.0448
1.03305e-08,0.0534
1.03538e-08,0.0579
1.03771e-08,0.0537
1.04003e-08,0.0410
1.04236e-08,0.0260
1.04469e-08,0.0143
1.04702e-08,0.0076
1.04934e-08,0.0029
1.05167e-08,-0.0069
1.05400e-08,-0.0236
1.05632e-08,-0.0346
1.05865e-08,-0.0153
1.06098e-08,0.0603
1.06330e-08,0.1806
1.06563e-08,0.2881
1.06796e-08,0.3783
1.07028e-08,0.4850
1.07261e-08,0.6027
1.07494e-08,0.7208
1.07726e-08,0.8459
1.07959e-08,0.9620
1.08192e-08,1.0538
1.08424e-08,1.1212
1.08657e-08,1.1670
1.08890e-08,1.2000
1.09122e-08,1.2313
1.09355e-08,1.2647
1.09588e-08,1.2912
1.09820e-08,1.3014
1.10053e-08,1.3034
1.10286e-08,1.3153
1.10518e-08,1.3419
1.10751e-08,1.3650
1.10984e-08,1.3638
1.11216e-08,1.3400
1.11449e-08,1.3060
1.11682e-08,1.2656
1.11914e-08,1.2271
1.12147e-08,1.1992
1.12380e-08,1.1763
1.12612e-08,1.1517
1.12845e-08,1.1254
1.13078e-08,1.0986
1.13310e-08,1.0794
1.13543e-08,1.0777
1.13776e-08,1.0850
1.14008e-08,1.0725
1.14241e-08,1.0148
1.14474e-08,0.9075
1.14706e-08,0.8043
1.14939e-08,0.7305
1.15172e-08,0.6445
1.15404e-08,0.5303
1.15637e-08,0.4072
1.15870e-08,0.2765
1.16102e-08,0.1521
1.16335e-08,0.0565
1.16568e-08,-0.0045
1.16800e-08,-0.0375
1.17033e-08,-0.0533
1.17266e-08,-0.0672
1.17498e-08,-0.0880
1.17731e-08,-0.1086
1.17964e-08,-0.1143
1.18196e-08,-0.0976
1.18429e-08,-0.0424
1.18662e-08,0.0621
1.18894e-08,0.1586
1.19127e-08,0.2381
1.19360e-08,0.3545
1.19592e-08,0.4997
1.19825e-08,0.6508
1.20058e-08,0.8149
1.20290e-08,0.9692
1.20523e-08,1.0980
1.20756e-08,1.2085
1.20988e-08,1.2974
1.21221e-08,1.3632
1.21454e-08,1.4075
1.21686e-08,1.4299
1.21919e-08,1.4311
1.22152e-08,1.4070
1.22384e-08,1.3585
1.22617e-08,1.2767
1.22850e-08,1.1730
1.23082e-08,1.0795
1.23315e-08,0.9783
1.23548e-08,0.8425
1.23780e-08,0.6976
1.24013e-08,0.5503
1.24246e-08,0.3915
1.24478e-08,0.2421
1.24711e-08,0.1069
1.24944e-08,-0.0161
1.25176e-08,-0.1160
1.25409e-08,-0.1924
1.25642e-08,-0.2503
1.25874e-08,-0.2885
1.26107e-08,-0.3057
1.26340e-08,-0.3058
1.26572e-08,-0.2991
1.26805e-08,-0.2958
1.27038e-08,-0.2942
1.27270e-08,-0.2829
1.27503e-08,-0.2559
1.27736e-08,-0.2236
1.27968e-08,-0.1929
1.28201e-08,-0.1583
1.28434e-08,-0.1228
1.28667e-08,-0.0900
1.28899e-08,-0.0524
1.29132e-08,-0.0106
1.29365e-08,0.0313
1.29597e-08,0.0736
1.29830e-08,0.1084
1.30063e-08,0.1294
1.30295e-08,0.1412
1.30528e-08,0.1490
1.30761e-08,0.1529
1.30993e-08,0.1493
1.31226e-08,0.1365
1.31459e-08,0.1195
1.31691e-08,0.1049
1.31924e-08,0.0942
1.32157e-08,0.0850
1.32389e-08,0.0759
1.32622e-08,0.0668
1.32855e-08,0.0551
1.33087e-08,0.0405
1.33320e-08,0.0265
1.33553e-08,0.0147
1.33785e-08,0.0051
1.34018e-08,-0.0029
1.34251e-08,-0.0138
1.34483e-08,-0.0289
1.34716e-08,-0.0407
1.34949e-08,-0.0328
1.35181e-08,0.0203
1.35414e-08,0.1279
1.35647e-08,0.2383
1.35879e-08,0.3278
1.36112e-08,0.4310
1.36345e-08,0.5534
1.36577e-08,0.6764
1.36810e-08,0.8071
1.37043e-08,0.9352
1.37275e-08,1.0411
1.37508e-08,1.1228
1.37741e-08,1.1806
1.37973e-08,1.2185
1.38206e-08,1.2469
1.38439e-08,1.2740
1.38671e-08,1.2976
1.38904e-08,1.3090
1.39137e-08,1.3105
1.39369e-08,1.3171
1.39602e-08,1.3388
1.39835e-08,1.3637
1.40067e-08,1.3689
1.40300e-08,1.3503
1.40533e-08,1.3207
1.40765e-08,1.2844
1.40998e-08,1.2456
1.41231e-08,1.2144
1.41463e-08,1.1884
1.41696e-08,1.1605
1.41929e-08,1.1315
1.42161e-08,1.1019
1.42394e-08,1.0766
1.42627e-08,1.0663
1.42859e-08,1.0735
1.43092e-08,1.0886
1.43325e-08,1.1006
1.43557e-08,1.1091
1.43790e-08,1.1206
1.44023e-08,1.1366
1.44255e-08,1.1501
1.44488e-08,1.1550
1.44721e-08,1.1524
1.44953e-08,1.1469
1.45186e-08,1.1429
1.45419e-08,1.1456
1.45651e-08,1.1590
1.45884e-08,1.1796
1.46117e-08,1.2004
1.46349e-08,1.2162
1.46582e-08,1.2243
1.46815e-08,1.2284
1.47047e-08,1.2358
1.47280e-08,1.2466
1.47513e-08,1.2539
1.47745e-08,1.2529
1.47978e-08,1.2452
1.48211e-08,1.2355
1.48443e-08,1.2262
1.48676e-08,1.2176
1.48909e-08,1.2096
1.49141e-08,1.2027
1.49374e-08,1.1974
1.49607e-08,1.1944
1.49839e-08,1.1957
1.50072e-08,1.2017
1.50305e-08,1.2096
1.50537e-08,1.2144
1.50770e-08,1.2121
1.51003e-08,1.2026
1.51236e-08,1.1871
1.51468e-08,1.1557
1.51701e-08,1.0945
1.51934e-08,0.9864
1.52166e-08,0.8705
1.52399e-08,0.7785
1.52632e-08,0.6839
1.52864e-08,0.5692
1.53097e-08,0.4520
1.53330e-08,0.3326
1.53562e-08,0.2155
1.53795e-08,0.1152
1.54028e-08,0.0365
1.54260e-08,-0.0205
1.54493e-08,-0.0574
1.54726e-08,-0.0833
1.54958e-08,-0.1089
1.55191e-08,-0.1367
1.55424e-08,-0.1574
1.55656e-08,-0.1572
1.55889e-08,-0.1087
1.56122e-08,0.0068
1.56354e-08,0.1225
1.56587e-08,0.2140
1.56820e-08,0.3360
1.57052e-08,0.4876
1.57285e-08,0.6425
1.57518e-08,0.8102
1.57750e-08,0.9714
1.57983e-08,1.1044
1.58216e-08,1.2126
1.58448e-08,1.2935
1.58681e-08,1.3497
1.58914e-08,1.3901
1.59146e-08,1.4194
1.59379e-08,1.4350
1.59612e-08,1.4301
1.59844e-08,1.4104
1.60077e-08,1.3977
1.60310e-08,1.4056
1.60542e-08,1.4207
1.60775e-08,1.4154
1.61008e-08,1.3863
1.61240e-08,1.3508
1.61473e-08,1.3104
1.61706e-08,1.2663
1.61938e-08,1.2290
1.62171e-08,1.1928
1.62404e-08,1.1507
1.62636e-08,1.1082
1.62869e-08,1.0669
1.63102e-08,1.0325
1.63334e-08,1.0172
1.63567e-08,1.0218
1.63800e-08,1.0351
1.64032e-08,1.0463
1.64265e-08,1.0568
1.64498e-08,1.0757
1.64730e-08,1.1039
1.64963e-08,1.1303
1.65196e-08,1.1456
1.65428e-08,1.1502
1.65661e-08,1.1496
1.65894e-08,1.1480
1.66126e-08,1.1515
1.66359e-08,1.1649
1.66592e-08,1.1840
1.66824e-08,1.2028
1.67057e-08,1.2181
1.67290e-08,1.2275
1.67522e-08,1.2350
1.67755e-08,1.2479
1.67988e-08,1.2639
1.68220e-08,1.2738
1.68453e-08,1.2728
1.68686e-08,1.2639
1.68918e-08,1.2534
1.69151e-08,1.2435
1.69384e-08,1.2331
1.69616e-08,1.2213
1.69849e-08,1.2090
1.70082e-08,1.1976
1.70314e-08,1.1893
1.70547e-08,1.1871
1.70780e-08,1.1919
1.71012e-08,1.2002
1.71245e-08,1.2064
1.71478e-08,1.2060
1.71710e-08,1.1986
1.71943e-08,1.1890
1.72176e-08,1.1716
1.72408e-08,1.1319
1.72641e-08,1.0455
1.72874e-08,0.9246
1.73106e-08,0.8157
1.73339e-08,0.7274
1.73572e-08,0.6236
1.73804e-08,0.5077
1.74037e-08,0.3923
1.74270e-08,0.2734
1.74502e-08,0.1630
1.74735e-08,0.0737
1.74968e-08,0.0076
1.75201e-08,-0.0364
1.75433e-08,-0.0642
1.75666e-08,-0.0890
1.75899e-08,-0.1181
1.76131e-08,-0.1458
1.76364e-08,-0.1616
1.76597e-08,-0.1675
1.76829e-08,-0.1781
1.77062e-08,-0.1974
1.77295e-08,-0.2101
1.77527e-08,-0.1998
1.77760e-08,-0.1715
1.77993e-08,-0.1379
1.78225e-08,-0.1015
1.78458e-08,-0.0665
1.78691e-08,-0.0392
1.78923e-08,-0.0153
1.79156e-08,0.0106
1.79389e-08,0.0389
1.79621e-08,0.0689
1.79854e-08,0.0937
1.80087e-08,0.1029
1.80319e-08,0.0963
1.80552e-08,0.0853
1.80785e-08,0.0793
1.81017e-08,0.0769
1.81250e-08,0.0717
1.81483e-08,0.0640
1.81715e-08,0.0599
1.81948e-08,0.0617
1.82181e-08,0.0658
1.82413e-08,0.0683
1.82646e-08,0.0669
1.82879e-08,0.0584
1.83111e-08,0.0417
1.83344e-08,0.0214
1.83577e-08,0.0032
1.83809e-08,-0.0084
1.84042e-08,-0.0128
1.84275e-08,-0.0159
1.84507e-08,-0.0241
1.84740e-08,-0.0320
1.84973e-08,-0.0182
1.85205e-08,0.0467
1.85438e-08,0.1636
1.85671e-08,0.2723
1.85903e-08,0.3622
1.86136e-08,0.4689
1.86369e-08,0.5877
1.86601e-08,0.7039
1.86834e-08,0.8277
1.87067e-08,0.9457
1.87299e-08,1.0423
1.87532e-08,1.1161
1.87765e-08,1.1674
1.87997e-08,1.2028
1.88230e-08,1.2345
1.88463e-08,1.2692
1.88695e-08,1.2996
1.88928e-08,1.3132
1.89161e-08,1.3138
1.89393e-08,1.3197
1.89626e-08,1.3402
1.89859e-08,1.3610
1.90091e-08,1.3608
1.90324e-08,1.3395
1.90557e-08,1.3094
1.90789e-08,1.2717
1.91022e-08,1.2327
1.91255e-08,1.2031
1.91487e-08,1.1794
1.91720e-08,1.1551
1.91953e-08,1.1302
1.92185e-08,1.1036
1.92418e-08,1.0819
1.92651e-08,1.0764
1.92883e-08,1.0872
1.93116e-08,1.1021
1.93349e-08,1.1105
1.93581e-08,1.1141
1.93814e-08,1.1217
1.94047e-08,1.1343
1.94279e-08,1.1455
1.94512e-08,1.1503
1.94745e-08,1.1499
1.94977e-08,1.1473
1.95210e-08,1.1453
1.95443e-08,1.1496
1.95675e-08,1.1643
1.95908e-08,1.1854
1.96141e-08,1.2061
1.96373e-08,1.2208
1.96606e-08,1.2266
1.96839e-08,1.2290
1.97071e-08,1.2299
1.97304e-08,1.2126
1.97537e-08,1.1537
1.97769e-08,1.0381
1.98002e-08,0.9140
1.98235e-08,0.8148
1.98468e-08,0.7093
1.98700e-08,0.5845
1.98933e-08,0.4589
1.99166e-08,0.3289
1.99398e-08,0.2021
1.99631e-08,0.0958
1.99864e-08,0.0162
2.00096e-08,-0.0361
2.00329e-08,-0.0662
2.00562e-08,-0.0885
2.00794e-08,-0.1157
2.01027e-08,-0.1475
2.01260e-08,-0.1700
2.01492e-08,-0.1670
2.01725e-08,-0.1123
2.01958e-08,0.0019
2.02190e-08,0.1103
2.02423e-08,0.1984
2.02656e-08,0.3221
2.02888e-08,0.4768
2.03121e-08,0.6387
2.03354e-08,0.8150
2.03586e-08,0.9810
2.03819e-08,1.1162
2.04052e-08,1.2253
2.04284e-08,1.3069
2.04517e-08,1.3652
2.04750e-08,1.4078
2.04982e-08,1.4359
2.05215e-08,1.4457
2.05448e-08,1.4335
2.05680e-08,1.4099
2.05913e-08,1.3978
2.06146e-08,1.4078
2.06378e-08,1.4228
2.06611e-08,1.4156
2.06844e-08,1.3857
2.07076e-08,1.3502
2.07309e-08,1.3106
2.07542e-08,1.2693
2.07774e-08,1.2344
2.08007e-08,1.1973
2.08240e-08,1.1518
2.08472e-08,1.1047
2.08705e-08,1.0595
2.08938e-08,1.0245
2.09170e-08,1.0106
2.09403e-08,1.0154
2.09636e-08,1.0171
2.09868e-08,0.9925
2.10101e-08,0.9278
2.10334e-08,0.8367
2.10566e-08,0.7619
2.10799e-08,0.7055
2.11032e-08,0.6211
2.11264e-08,0.5067
2.11497e-08,0.3845
2.11730e-08,0.2576
2.11962e-08,0.1448
2.12195e-08,0.0630
2.12428e-08,0.0084
2.12660e-08,-0.0265
2.12893e-08,-0.0481
2.13126e-08,-0.0672
2.13358e-08,-0.0843
2.13591e-08,-0.0906
2.13824e-08,-0.0828
2.14056e-08,-0.0580
2.14289e-08,0.0077
2.14522e-08,0.1121
2.14754e-08,0.2013
2.14987e-08,0.2845
2.15220e-08,0.4058
2.15452e-08,0.5470
2.15685e-08,0.6906
2.15918e-08,0.8447
2.16150e-08,0.9881
2.16383e-08,1.1119
2.16616e-08,1.2205
2.16848e-08,1.3062
2.17081e-08,1.3661
2.17314e-08,1.4030
2.17546e-08,1.4209
2.17779e-08,1.4226
2.18012e-08,1.4104
2.18244e-08,1.3928
2.18477e-08,1.3847
2.18710e-08,1.3905
2.18942e-08,1.3933
2.19175e-08,1.3759
2.19408e-08,1.3469
2.19640e-08,1.3194
2.19873e-08,1.2893
2.20106e-08,1.2578
2.20338e-08,1.2289
2.20571e-08,1.1950
2.20804e-08,1.1560
2.21037e-08,1.1186
2.21269e-08,1.0825
2.21502e-08,1.0523
2.21735e-08,1.0356
2.21967e-08,1.0305
2.22200e-08,1.0172
2.22433e-08,0.9807
2.22665e-08,0.9042
2.22898e-08,0.8147
2.23131e-08,0.7472
2.23363e-08,0.6846
2.23596e-08,0.5887
2.23829e-08,0.4731
2.24061e-08,0.3533
2.24294e-08,0.2317
2.24527e-08,0.1270
2.24759e-08,0.0496
2.24992e-08,-0.0047
2.25225e-08,-0.0396
2.25457e-08,-0.0614
2.25690e-08,-0.0806
2.25923e-08,-0.0979
2.26155e-08,-0.1042
2.26388e-08,-0.0954
2.26621e-08,-0.0607
2.26853e-08,0.0272
2.27086e-08,0.1398
2.27319e-08,0.2271
2.27551e-08,0.3228
2.27784e-08,0.4541
2.28017e-08,0.5938
2.28249e-08,0.7400
2.28482e-08,0.8937
2.28715e-08,1.0308
2.28947e-08,1.1490
2.29180e-08,1.2482
2.29413e-08,1.3229
2.29645e-08,1.3746
2.29878e-08,1.4077
2.30111e-08,1.4243
2.30343e-08,1.4240
2.30576e-08,1.4091
2.30809e-08,1.3925
2.31041e-08,1.3896
2.31274e-08,1.3982
2.31507e-08,1.3970
2.31739e-08,1.3736
2.31972e-08,1.3421
2.32205e-08,1.3105
2.32437e-08,1.2747
2.32670e-08,1.2418
2.32903e-08,1.2126
2.33135e-08,1.1784
2.33368e-08,1.1413
2.33601e-08,1.1051
2.33833e-08,1.0700
2.34066e-08,1.0444
2.34299e-08,1.0342
2.34531e-08,1.0356
2.34764e-08,1.0416
2.34997e-08,1.0501
2.35229e-08,1.0664
2.35462e-08,1.0932
2.35695e-08,1.1222
2.35927e-08,1.1425
2.36160e-08,1.1517
2.36393e-08,1.1549
2.36625e-08,1.1562
2.36858e-08,1.1592
2.37091e-08,1.1685
2.37323e-08,1.1832
2.37556e-08,1.1979
2.37789e-08,1.2107
2.38021e-08,1.2199
2.38254e-08,1.2259
2.38487e-08,1.2343
2.38719e-08,1.2470
2.38952e-08,1.2584
2.39185e-08,1.2631
2.39417e-08,1.2613
2.39650e-08,1.2566
2.39883e-08,1.2511
2.40115e-08,1.2432
2.40348e-08,1.2315
2.40581e-08,1.2174
2.40813e-08,1.2036
2.41046e-08,1.1928
2.41279e-08,1.1874
2.41511e-08,1.1887
2.41744e-08,1.1945
2.41977e-08,1.2002
2.42209e-08,1.2022
2.42442e-08,1.1988
2.42675e-08,1.1925
2.42907e-08,1.1881
2.43140e-08,1.1870
2.43373e-08,1.1865
2.43605e-08,1.1843
2.43838e-08,1.1811
2.44071e-08,1.1786
2.44303e-08,1.1779
2.44536e-08,1.1791
2.44769e-08,1.1819
2.45002e-08,1.1858
2.45234e-08,1.1903
2.45467e-08,1.1952
2.45700e-08,1.2008
2.45932e-08,1.2071
2.46165e-08,1.2129
2.46398e-08,1.2159
