.HEADER
..NAMES
Time,V U2.E2
.DATA
5.7469e-09,0.5128
5.7702e-09,0.5135
5.7935e-09,0.5141
5.8168e-09,0.5146
5.8400e-09,0.5149
5.8633e-09,0.5146
5.8866e-09,0.5138
5.9098e-09,0.5133
5.9331e-09,0.5136
5.9564e-09,0.5142
5.9796e-09,0.5142
6.0029e-09,0.5136
6.0262e-09,0.5129
6.0494e-09,0.5130
6.0727e-09,0.5137
6.0960e-09,0.5146
6.1192e-09,0.5149
6.1425e-09,0.5146
6.1658e-09,0.5139
6.1890e-09,0.5134
6.2123e-09,0.5134
6.2356e-09,0.5135
6.2588e-09,0.5138
6.2821e-09,0.5140
6.3054e-09,0.5139
6.3286e-09,0.5135
6.3519e-09,0.5133
6.3752e-09,0.5135
6.3984e-09,0.5180
6.4217e-09,0.5474
6.4450e-09,0.6410
6.4682e-09,0.7761
6.4915e-09,0.8794
6.5148e-09,0.9519
6.5380e-09,1.0279
6.5613e-09,1.0850
6.5846e-09,1.1207
6.6078e-09,1.1485
6.6311e-09,1.1643
6.6544e-09,1.1748
6.6776e-09,1.1828
6.7009e-09,1.1836
6.7242e-09,1.1858
6.7474e-09,1.1940
6.7707e-09,1.2034
6.7940e-09,1.2064
6.8172e-09,1.1859
6.8405e-09,1.1274
6.8638e-09,1.0234
6.8870e-09,0.9185
6.9103e-09,0.8567
6.9336e-09,0.8094
6.9568e-09,0.7479
6.9801e-09,0.6979
7.0034e-09,0.6613
7.0266e-09,0.6246
7.0499e-09,0.5951
7.0732e-09,0.5733
7.0964e-09,0.5568
7.1197e-09,0.5460
7.1430e-09,0.5339
7.1662e-09,0.5193
7.1895e-09,0.5111
7.2128e-09,0.5119
7.2360e-09,0.5184
7.2593e-09,0.5249
7.2826e-09,0.5230
7.3058e-09,0.5084
7.3291e-09,0.4920
7.3524e-09,0.4876
7.3756e-09,0.4914
7.3989e-09,0.4929
7.4222e-09,0.4945
7.4454e-09,0.5002
7.4687e-09,0.5051
7.4920e-09,0.5080
7.5152e-09,0.5123
7.5385e-09,0.5177
7.5618e-09,0.5223
7.5850e-09,0.5239
7.6083e-09,0.5207
7.6316e-09,0.5167
7.6548e-09,0.5164
7.6781e-09,0.5191
7.7014e-09,0.5222
7.7246e-09,0.5228
7.7479e-09,0.5188
7.7712e-09,0.5132
7.7944e-09,0.5112
7.8177e-09,0.5129
7.8410e-09,0.5146
7.8642e-09,0.5158
7.8875e-09,0.5172
7.9108e-09,0.5176
7.9340e-09,0.5163
7.9573e-09,0.5149
7.9806e-09,0.5149
8.0038e-09,0.5155
8.0271e-09,0.5152
8.0504e-09,0.5131
8.0736e-09,0.5105
8.0969e-09,0.5098
8.1202e-09,0.5111
8.1435e-09,0.5133
8.1667e-09,0.5147
8.1900e-09,0.5144
8.2133e-09,0.5128
8.2365e-09,0.5120
8.2598e-09,0.5124
8.2831e-09,0.5132
8.3063e-09,0.5139
8.3296e-09,0.5146
8.3529e-09,0.5146
8.3761e-09,0.5138
8.3994e-09,0.5129
8.4227e-09,0.5128
8.4459e-09,0.5134
8.4692e-09,0.5139
8.4925e-09,0.5136
8.5157e-09,0.5127
8.5390e-09,0.5123
8.5623e-09,0.5128
8.5855e-09,0.5138
8.6088e-09,0.5145
8.6321e-09,0.5145
8.6553e-09,0.5138
8.6786e-09,0.5131
8.7019e-09,0.5128
8.7251e-09,0.5129
8.7484e-09,0.5132
8.7717e-09,0.5136
8.7949e-09,0.5137
8.8182e-09,0.5133
8.8415e-09,0.5129
8.8647e-09,0.5128
8.8880e-09,0.5131
8.9113e-09,0.5135
8.9345e-09,0.5136
8.9578e-09,0.5132
8.9811e-09,0.5129
9.0043e-09,0.5130
9.0276e-09,0.5132
9.0509e-09,0.5135
9.0741e-09,0.5136
9.0974e-09,0.5134
9.1207e-09,0.5131
9.1439e-09,0.5129
9.1672e-09,0.5129
9.1905e-09,0.5131
9.2137e-09,0.5133
9.2370e-09,0.5135
9.2603e-09,0.5134
9.2835e-09,0.5132
9.3068e-09,0.5148
9.3301e-09,0.5327
9.3533e-09,0.6049
9.3766e-09,0.7372
9.3999e-09,0.8550
9.4231e-09,0.9303
9.4464e-09,1.0053
9.4697e-09,1.0705
9.4929e-09,1.1108
9.5162e-09,1.1411
9.5395e-09,1.1607
9.5627e-09,1.1718
9.5860e-09,1.1813
9.6093e-09,1.1833
9.6325e-09,1.1840
9.6558e-09,1.1906
9.6791e-09,1.2006
9.7023e-09,1.2083
9.7256e-09,1.2085
9.7489e-09,1.1999
9.7721e-09,1.1891
9.7954e-09,1.1898
9.8187e-09,1.2059
9.8419e-09,1.2194
9.8652e-09,1.2180
9.8885e-09,1.2124
9.9117e-09,1.2090
9.9350e-09,1.2033
9.9583e-09,1.1971
9.9815e-09,1.1943
1.00048e-08,1.1935
1.00281e-08,1.1932
1.00513e-08,1.1920
1.00746e-08,1.1896
1.00979e-08,1.1905
1.01211e-08,1.1958
1.01444e-08,1.2010
1.01677e-08,1.2030
1.01909e-08,1.2006
1.02142e-08,1.1953
1.02375e-08,1.1927
1.02607e-08,1.1956
1.02840e-08,1.2001
1.03073e-08,1.2015
1.03305e-08,1.2006
1.03538e-08,1.2000
1.03771e-08,1.1988
