.HEADER
..NAMES
Time,V U2.K7&K8
.DATA
5.7469e-09,0.8587
5.7702e-09,0.7570
5.7935e-09,0.6527
5.8168e-09,0.5514
5.8400e-09,0.4384
5.8633e-09,0.3382
5.8866e-09,0.2816
5.9098e-09,0.2705
5.9331e-09,0.2745
5.9564e-09,0.2756
5.9796e-09,0.2827
6.0029e-09,0.2897
6.0262e-09,0.2833
6.0494e-09,0.2624
6.0727e-09,0.2379
6.0960e-09,0.2214
6.1192e-09,0.2202
6.1425e-09,0.2417
6.1658e-09,0.3031
6.1890e-09,0.4090
6.2123e-09,0.5207
6.2356e-09,0.6212
6.2588e-09,0.7278
6.2821e-09,0.8285
6.3054e-09,0.8910
6.3286e-09,0.9052
6.3519e-09,0.8994
6.3752e-09,0.8972
6.3984e-09,0.8947
6.4217e-09,0.8914
6.4450e-09,0.8963
6.4682e-09,0.9135
6.4915e-09,0.9355
6.5148e-09,0.9509
6.5380e-09,0.9472
6.5613e-09,0.9139
6.5846e-09,0.8404
6.6078e-09,0.7353
6.6311e-09,0.6330
6.6544e-09,0.5296
6.6776e-09,0.4160
6.7009e-09,0.3230
6.7242e-09,0.2765
6.7474e-09,0.2715
6.7707e-09,0.2750
6.7940e-09,0.2765
6.8172e-09,0.2847
6.8405e-09,0.2898
6.8638e-09,0.2800
6.8870e-09,0.2573
6.9103e-09,0.2336
6.9336e-09,0.2197
6.9568e-09,0.2224
6.9801e-09,0.2501
7.0034e-09,0.3215
7.0266e-09,0.4326
7.0499e-09,0.5414
7.0732e-09,0.6420
7.0964e-09,0.7495
7.1197e-09,0.8452
7.1430e-09,0.8975
7.1662e-09,0.9046
7.1895e-09,0.8986
7.2128e-09,0.8970
7.2360e-09,0.8940
7.2593e-09,0.8915
7.2826e-09,0.8989
7.3058e-09,0.9178
7.3291e-09,0.9394
7.3524e-09,0.9521
7.3756e-09,0.9432
7.3989e-09,0.9028
7.4222e-09,0.8207
7.4454e-09,0.7140
7.4687e-09,0.6133
7.4920e-09,0.5071
7.5152e-09,0.3945
7.5385e-09,0.3097
7.5618e-09,0.2732
7.5850e-09,0.2726
7.6083e-09,0.2751
7.6316e-09,0.2777
7.6548e-09,0.2866
7.6781e-09,0.2892
7.7014e-09,0.2762
7.7246e-09,0.2522
7.7479e-09,0.2297
7.7712e-09,0.2187
7.7944e-09,0.2254
7.8177e-09,0.2603
7.8410e-09,0.3416
7.8642e-09,0.4560
7.8875e-09,0.5616
7.9108e-09,0.6632
7.9340e-09,0.7708
7.9573e-09,0.8600
7.9806e-09,0.9020
8.0038e-09,0.9035
8.0271e-09,0.8980
8.0504e-09,0.8967
8.0736e-09,0.8932
8.0969e-09,0.8919
8.1202e-09,0.9019
8.1435e-09,0.9223
8.1667e-09,0.9431
8.1900e-09,0.9525
8.2133e-09,0.9379
8.2365e-09,0.8899
8.2598e-09,0.8000
8.2831e-09,0.6932
8.3063e-09,0.5933
8.3296e-09,0.4842
8.3529e-09,0.3743
8.3761e-09,0.2984
8.3994e-09,0.2714
8.4227e-09,0.2736
8.4459e-09,0.2752
8.4692e-09,0.2793
8.4925e-09,0.2882
8.5157e-09,0.2879
8.5390e-09,0.2719
8.5623e-09,0.2471
8.5855e-09,0.2264
8.6088e-09,0.2184
8.6321e-09,0.2296
8.6553e-09,0.2724
8.6786e-09,0.3632
8.7019e-09,0.4783
8.7251e-09,0.5812
8.7484e-09,0.6845
8.7717e-09,0.7910
8.7949e-09,0.8723
8.8182e-09,0.9044
8.8415e-09,0.9020
8.8647e-09,0.8976
8.8880e-09,0.8962
8.9113e-09,0.8924
8.9345e-09,0.8929
8.9578e-09,0.9054
8.9811e-09,0.9268
9.0043e-09,0.9462
9.0276e-09,0.9518
9.0509e-09,0.9313
9.0741e-09,0.8751
9.0974e-09,0.7787
9.1207e-09,0.6730
9.1439e-09,0.5729
9.1672e-09,0.4613
9.1905e-09,0.3556
9.2137e-09,0.2893
9.2370e-09,0.2708
9.2603e-09,0.2743
9.2835e-09,0.2753
9.3068e-09,0.2810
9.3301e-09,0.2893
9.3533e-09,0.2859
9.3766e-09,0.2672
9.3999e-09,0.2423
9.4231e-09,0.2236
9.4464e-09,0.2189
9.4697e-09,0.2349
9.4929e-09,0.2866
9.5162e-09,0.3856
9.5395e-09,0.4997
9.5627e-09,0.6008
9.5860e-09,0.7058
9.6093e-09,0.8101
9.6325e-09,0.8825
9.6558e-09,0.9053
9.6791e-09,0.9006
9.7023e-09,0.8974
9.7256e-09,0.8955
9.7489e-09,0.8918
9.7721e-09,0.8944
9.7954e-09,0.9093
9.8187e-09,0.9311
9.8419e-09,0.9488
9.8652e-09,0.9501
9.8885e-09,0.9233
9.9117e-09,0.8586
9.9350e-09,0.7572
9.9583e-09,0.6533
9.9815e-09,0.5518
1.00048e-08,0.4386
1.00281e-08,0.3387
1.00513e-08,0.2822
1.00746e-08,0.2709
1.00979e-08,0.2746
1.01211e-08,0.2757
1.01444e-08,0.2829
1.01677e-08,0.2898
1.01909e-08,0.2832
1.02142e-08,0.2624
1.02375e-08,0.2379
1.02607e-08,0.2214
1.02840e-08,0.2202
1.03073e-08,0.2416
1.03305e-08,0.3027
1.03538e-08,0.4086
1.03771e-08,0.5203
1.04003e-08,0.6208
1.04236e-08,0.7272
1.04469e-08,0.8278
1.04702e-08,0.8906
1.04934e-08,0.9052
1.05167e-08,0.8994
1.05400e-08,0.8972
1.05632e-08,0.8947
1.05865e-08,0.8914
1.06098e-08,0.8964
1.06330e-08,0.9134
1.06563e-08,0.9353
1.06796e-08,0.9507
1.07028e-08,0.9472
1.07261e-08,0.9139
1.07494e-08,0.8405
1.07726e-08,0.7359
1.07959e-08,0.6337
1.08192e-08,0.5300
1.08424e-08,0.4165
1.08657e-08,0.3236
1.08890e-08,0.2770
1.09122e-08,0.2716
1.09355e-08,0.2748
1.09588e-08,0.2765
1.09820e-08,0.2848
1.10053e-08,0.2897
1.10286e-08,0.2800
1.10518e-08,0.2574
1.10751e-08,0.2337
1.10984e-08,0.2198
1.11216e-08,0.2223
1.11449e-08,0.2499
1.11682e-08,0.3208
1.11914e-08,0.4316
1.12147e-08,0.5402
1.12380e-08,0.6411
1.12612e-08,0.7484
1.12845e-08,0.8438
1.13078e-08,0.8966
1.13310e-08,0.9043
1.13543e-08,0.8986
1.13776e-08,0.8969
1.14008e-08,0.8938
1.14241e-08,0.8915
1.14474e-08,0.8989
1.14706e-08,0.9177
1.14939e-08,0.9392
1.15172e-08,0.9519
1.15404e-08,0.9431
1.15637e-08,0.9029
1.15870e-08,0.8211
1.16102e-08,0.7149
1.16335e-08,0.6141
1.16568e-08,0.5078
1.16800e-08,0.3953
1.17033e-08,0.3104
1.17266e-08,0.2735
1.17498e-08,0.2724
1.17731e-08,0.2748
1.17964e-08,0.2776
1.18196e-08,0.2865
1.18429e-08,0.2891
1.18662e-08,0.2762
1.18894e-08,0.2524
1.19127e-08,0.2300
1.19360e-08,0.2188
1.19592e-08,0.2254
1.19825e-08,0.2599
1.20058e-08,0.3406
1.20290e-08,0.4543
1.20523e-08,0.5598
1.20756e-08,0.6618
1.20988e-08,0.7692
1.21221e-08,0.8581
1.21454e-08,0.9008
1.21686e-08,0.9031
1.21919e-08,0.8980
1.22152e-08,0.8966
1.22384e-08,0.8930
1.22617e-08,0.8920
1.22850e-08,0.9019
1.23082e-08,0.9221
1.23315e-08,0.9427
1.23548e-08,0.9523
1.23780e-08,0.9379
1.24013e-08,0.8901
1.24246e-08,0.8007
1.24478e-08,0.6943
1.24711e-08,0.5942
1.24944e-08,0.4851
1.25176e-08,0.3753
1.25409e-08,0.2991
1.25642e-08,0.2715
1.25874e-08,0.2732
1.26107e-08,0.2748
1.26340e-08,0.2791
1.26572e-08,0.2879
1.26805e-08,0.2878
1.27038e-08,0.2721
1.27270e-08,0.2475
1.27503e-08,0.2267
1.27736e-08,0.2185
1.27968e-08,0.2295
1.28201e-08,0.2719
1.28434e-08,0.3619
1.28667e-08,0.4763
1.28899e-08,0.5793
1.29132e-08,0.6829
1.29365e-08,0.7893
1.29597e-08,0.8705
1.29830e-08,0.9032
1.30063e-08,0.9016
1.30295e-08,0.8976
1.30528e-08,0.8960
1.30761e-08,0.8921
1.30993e-08,0.8929
1.31226e-08,0.9054
1.31459e-08,0.9265
1.31691e-08,0.9459
1.31924e-08,0.9517
1.32157e-08,0.9314
1.32389e-08,0.8755
1.32622e-08,0.7791
1.32855e-08,0.6733
1.33087e-08,0.5732
1.33320e-08,0.4617
1.33553e-08,0.3559
1.33785e-08,0.2890
1.34018e-08,0.2701
1.34251e-08,0.2737
1.34483e-08,0.2749
1.34716e-08,0.2806
1.34949e-08,0.2889
1.35181e-08,0.2859
1.35414e-08,0.2675
1.35647e-08,0.2426
1.35879e-08,0.2238
1.36112e-08,0.2189
1.36345e-08,0.2347
1.36577e-08,0.2859
1.36810e-08,0.3843
1.37043e-08,0.4977
1.37275e-08,0.5991
1.37508e-08,0.7045
1.37741e-08,0.8085
1.37973e-08,0.8808
1.38206e-08,0.9041
1.38439e-08,0.9000
1.38671e-08,0.8972
1.38904e-08,0.8950
1.39137e-08,0.8914
1.39369e-08,0.8943
1.39602e-08,0.9093
1.39835e-08,0.9310
1.40067e-08,0.9486
1.40300e-08,0.9500
1.40533e-08,0.9235
1.40765e-08,0.8589
1.40998e-08,0.7570
1.41231e-08,0.6527
1.41463e-08,0.5516
1.41696e-08,0.4384
1.41929e-08,0.3380
1.42161e-08,0.2809
1.42394e-08,0.2698
1.42627e-08,0.2740
1.42859e-08,0.2752
1.43092e-08,0.2823
1.43325e-08,0.2895
1.43557e-08,0.2834
