.HEADER
..NAMES
Time,V U2.B7&A7
.DATA
0.0e+00,1.2000
2.33e-11,1.2000
4.65e-11,1.2000
6.98e-11,1.2000
9.31e-11,1.2000
1.163e-10,1.2000
1.396e-10,1.2000
1.629e-10,1.2000
1.861e-10,1.2000
2.094e-10,1.2000
2.327e-10,1.2000
2.559e-10,1.2000
2.792e-10,1.2000
3.025e-10,1.2000
3.257e-10,1.2000
3.490e-10,1.2000
3.723e-10,1.2000
3.955e-10,1.2000
4.188e-10,1.2000
4.421e-10,1.2000
4.653e-10,1.2000
4.886e-10,1.2000
5.119e-10,1.2000
5.351e-10,1.2000
5.584e-10,1.2000
5.817e-10,1.2000
6.049e-10,1.2000
6.282e-10,1.2000
6.515e-10,1.2000
6.747e-10,1.2000
6.980e-10,1.2000
7.213e-10,1.1999
7.445e-10,1.1968
7.678e-10,1.1775
7.911e-10,1.1216
8.143e-10,1.0156
8.376e-10,0.9005
8.609e-10,0.8189
8.841e-10,0.7666
9.074e-10,0.7209
9.307e-10,0.6789
9.539e-10,0.6455
9.772e-10,0.6218
1.0005e-09,0.6002
1.0237e-09,0.5817
1.0470e-09,0.5700
1.0703e-09,0.5594
1.0935e-09,0.5449
1.1168e-09,0.5305
1.1401e-09,0.5212
1.1633e-09,0.5196
1.1866e-09,0.5335
1.2099e-09,0.5834
1.2332e-09,0.6869
1.2564e-09,0.8047
1.2797e-09,0.8916
1.3030e-09,0.9616
1.3262e-09,1.0317
1.3495e-09,1.0966
1.3728e-09,1.1451
1.3960e-09,1.1720
1.4193e-09,1.1858
1.4426e-09,1.1942
1.4658e-09,1.1973
1.4891e-09,1.1971
1.5124e-09,1.1979
1.5356e-09,1.1989
1.5589e-09,1.2018
1.5822e-09,1.2024
1.6054e-09,1.1804
1.6287e-09,1.1165
1.6520e-09,1.0119
1.6752e-09,0.9109
1.6985e-09,0.8362
1.7218e-09,0.7717
1.7450e-09,0.7095
1.7683e-09,0.6603
1.7916e-09,0.6270
1.8148e-09,0.6022
1.8381e-09,0.5784
1.8614e-09,0.5609
1.8846e-09,0.5517
1.9079e-09,0.5429
1.9312e-09,0.5307
1.9544e-09,0.5198
1.9777e-09,0.5137
2.0010e-09,0.5159
2.0242e-09,0.5352
2.0475e-09,0.5954
2.0708e-09,0.7068
2.0940e-09,0.8234
2.1173e-09,0.9082
2.1406e-09,0.9776
2.1638e-09,1.0435
2.1871e-09,1.1027
2.2104e-09,1.1475
2.2336e-09,1.1735
2.2569e-09,1.1878
2.2802e-09,1.1960
2.3034e-09,1.1990
2.3267e-09,1.2000
2.3500e-09,1.2016
2.3732e-09,1.2024
2.3965e-09,1.2048
2.4198e-09,1.2017
2.4430e-09,1.1719
2.4663e-09,1.0969
2.4896e-09,0.9877
2.5128e-09,0.8917
2.5361e-09,0.8225
2.5594e-09,0.7598
2.5826e-09,0.6996
2.6059e-09,0.6524
2.6292e-09,0.6210
2.6524e-09,0.5971
2.6757e-09,0.5745
2.6990e-09,0.5587
2.7222e-09,0.5498
2.7455e-09,0.5402
2.7688e-09,0.5281
2.7920e-09,0.5183
2.8153e-09,0.5133
2.8386e-09,0.5178
2.8618e-09,0.5431
2.8851e-09,0.6147
2.9084e-09,0.7317
2.9316e-09,0.8425
2.9549e-09,0.9220
2.9782e-09,0.9911
3.0014e-09,1.0567
3.0247e-09,1.1134
3.0480e-09,1.1539
3.0712e-09,1.1766
3.0945e-09,1.1899
3.1178e-09,1.1972
3.1410e-09,1.1991
3.1643e-09,1.2000
3.1876e-09,1.2016
3.2108e-09,1.2028
3.2341e-09,1.2053
3.2574e-09,1.1985
3.2806e-09,1.1610
3.3039e-09,1.0765
3.3272e-09,0.9665
3.3504e-09,0.8762
3.3737e-09,0.8101
3.3970e-09,0.7471
3.4202e-09,0.6890
3.4435e-09,0.6451
3.4668e-09,0.6161
3.4901e-09,0.5923
3.5133e-09,0.5707
3.5366e-09,0.5568
3.5599e-09,0.5483
3.5831e-09,0.5379
3.6064e-09,0.5257
3.6297e-09,0.5169
3.6529e-09,0.5133
3.6762e-09,0.5207
3.6995e-09,0.5527
3.7227e-09,0.6355
3.7460e-09,0.7561
3.7693e-09,0.8602
3.7925e-09,0.9358
3.8158e-09,1.0042
3.8391e-09,1.0687
3.8623e-09,1.1230
3.8856e-09,1.1596
3.9089e-09,1.1797
3.9321e-09,1.1918
3.9554e-09,1.1979
3.9787e-09,1.1993
4.0019e-09,1.2004
4.0252e-09,1.2018
4.0485e-09,1.2032
4.0717e-09,1.2054
4.0950e-09,1.1941
4.1183e-09,1.1481
4.1415e-09,1.0547
4.1648e-09,0.9459
4.1881e-09,0.8619
4.2113e-09,0.7979
4.2346e-09,0.7347
4.2579e-09,0.6790
4.2811e-09,0.6384
4.3044e-09,0.6114
4.3277e-09,0.5878
4.3509e-09,0.5672
4.3742e-09,0.5550
4.3975e-09,0.5466
4.4207e-09,0.5355
4.4440e-09,0.5236
4.4673e-09,0.5157
4.4905e-09,0.5136
4.5138e-09,0.5244
4.5371e-09,0.5646
4.5603e-09,0.6582
4.5836e-09,0.7796
4.6069e-09,0.8766
4.6301e-09,0.9494
4.6534e-09,1.0174
4.6767e-09,1.0804
4.6999e-09,1.1317
4.7232e-09,1.1645
4.7465e-09,1.1825
4.7697e-09,1.1934
4.7930e-09,1.1984
4.8163e-09,1.1994
4.8395e-09,1.2008
4.8628e-09,1.2020
4.8861e-09,1.2037
4.9093e-09,1.2050
4.9326e-09,1.1883
4.9559e-09,1.1331
4.9791e-09,1.0323
5.0024e-09,0.9265
5.0257e-09,0.8484
5.0489e-09,0.7855
5.0722e-09,0.7227
5.0955e-09,0.6697
5.1187e-09,0.6322
5.1420e-09,0.6068
5.1653e-09,0.5833
5.1885e-09,0.5641
5.2118e-09,0.5533
5.2351e-09,0.5447
5.2583e-09,0.5330
5.2816e-09,0.5217
5.3049e-09,0.5146
5.3281e-09,0.5144
5.3514e-09,0.5292
5.3747e-09,0.5788
5.3979e-09,0.6820
5.4212e-09,0.8019
5.4445e-09,0.8920
5.4677e-09,0.9630
5.4910e-09,1.0305
5.5143e-09,1.0917
5.5375e-09,1.1397
5.5608e-09,1.1689
5.5841e-09,1.1851
5.6073e-09,1.1948
5.6306e-09,1.1987
5.6539e-09,1.1995
5.6771e-09,1.2011
5.7004e-09,1.2022
5.7237e-09,1.2043
5.7469e-09,1.2038
5.7702e-09,1.1809
5.7935e-09,1.1160
5.8168e-09,1.0097
5.8400e-09,0.9085
5.8633e-09,0.8356
5.8866e-09,0.7730
5.9098e-09,0.7111
5.9331e-09,0.6610
5.9564e-09,0.6267
5.9796e-09,0.6021
6.0029e-09,0.5790
