.HEADER
..NAMES
Time,V U2.H3
.DATA
5.7237e-09,1.1997
5.7469e-09,1.1999
5.7702e-09,1.2002
5.7935e-09,1.2005
5.8168e-09,1.2007
5.8400e-09,1.2006
5.8633e-09,1.2002
5.8866e-09,1.1996
5.9098e-09,1.1992
5.9331e-09,1.1990
5.9564e-09,1.1981
5.9796e-09,1.1888
6.0029e-09,1.1647
6.0262e-09,1.1059
6.0494e-09,1.0268
6.0727e-09,0.9293
6.0960e-09,0.8206
6.1192e-09,0.7099
6.1425e-09,0.5890
6.1658e-09,0.4665
6.1890e-09,0.3441
6.2123e-09,0.2294
6.2356e-09,0.1312
6.2588e-09,0.0547
6.2821e-09,-0.0030
6.3054e-09,-0.0436
6.3286e-09,-0.0705
6.3519e-09,-0.0898
6.3752e-09,-0.1068
6.3984e-09,-0.1240
6.4217e-09,-0.1380
6.4450e-09,-0.1474
6.4682e-09,-0.1529
6.4915e-09,-0.1583
6.5148e-09,-0.1643
6.5380e-09,-0.1686
6.5613e-09,-0.1676
6.5846e-09,-0.1559
6.6078e-09,-0.1330
6.6311e-09,-0.1020
6.6544e-09,-0.0691
6.6776e-09,-0.0368
6.7009e-09,-0.0052
6.7242e-09,0.0243
6.7474e-09,0.0504
6.7707e-09,0.0722
6.7940e-09,0.0890
6.8172e-09,0.0990
6.8405e-09,0.1003
6.8638e-09,0.0935
6.8870e-09,0.0818
6.9103e-09,0.0691
6.9336e-09,0.0591
6.9568e-09,0.0539
6.9801e-09,0.0520
7.0034e-09,0.0502
7.0266e-09,0.0470
7.0499e-09,0.0439
7.0732e-09,0.0423
7.0964e-09,0.0417
7.1197e-09,0.0401
7.1430e-09,0.0359
7.1662e-09,0.0283
7.1895e-09,0.0173
7.2128e-09,0.0042
7.2360e-09,-0.0086
7.2593e-09,-0.0196
7.2826e-09,-0.0280
7.3058e-09,-0.0336
7.3291e-09,-0.0367
7.3524e-09,-0.0381
7.3756e-09,-0.0381
7.3989e-09,-0.0358
7.4222e-09,-0.0298
7.4454e-09,-0.0210
7.4687e-09,-0.0122
7.4920e-09,-0.0058
7.5152e-09,-0.0027
7.5385e-09,-0.0025
7.5618e-09,-0.0038
7.5850e-09,-0.0049
7.6083e-09,-0.0053
7.6316e-09,-0.0052
7.6548e-09,-0.0052
7.6781e-09,-0.0052
7.7014e-09,-0.0046
7.7246e-09,-0.0031
7.7479e-09,-0.0006
7.7712e-09,0.0034
7.7944e-09,0.0083
7.8177e-09,0.0128
7.8410e-09,0.0155
7.8642e-09,0.0161
7.8875e-09,0.0152
7.9108e-09,0.0138
7.9340e-09,0.0122
7.9573e-09,0.0103
7.9806e-09,0.0077
8.0038e-09,0.0039
8.0271e-09,-0.0003
8.0504e-09,-0.0034
8.0736e-09,-0.0047
8.0969e-09,-0.0042
8.1202e-09,-0.0026
8.1435e-09,-0.0006
8.1667e-09,0.0011
8.1900e-09,0.0018
8.2133e-09,0.0017
8.2365e-09,0.0013
8.2598e-09,0.0010
8.2831e-09,0.0008
8.3063e-09,0.0004
8.3296e-09,-0.0006
8.3529e-09,-0.0023
8.3761e-09,-0.0044
8.3994e-09,-0.0058
8.4227e-09,-0.0060
8.4459e-09,-0.0052
8.4692e-09,-0.0038
8.4925e-09,-0.0025
8.5157e-09,-0.0013
8.5390e-09,-0.0001
8.5623e-09,0.0011
8.5855e-09,0.0024
8.6088e-09,0.0035
8.6321e-09,0.0040
