.HEADER
..NAMES
Time,V U2.F7
.DATA
5.6539e-09,1.0358
5.6771e-09,0.9182
5.7004e-09,0.7975
5.7237e-09,0.6587
5.7469e-09,0.5095
5.7702e-09,0.3535
5.7935e-09,0.1996
5.8168e-09,0.0657
5.8400e-09,-0.0417
5.8633e-09,-0.1214
5.8866e-09,-0.1732
5.9098e-09,-0.2110
5.9331e-09,-0.2429
5.9564e-09,-0.2673
5.9796e-09,-0.2821
6.0029e-09,-0.2805
6.0262e-09,-0.2651
6.0494e-09,-0.2465
6.0727e-09,-0.2308
6.0960e-09,-0.2191
6.1192e-09,-0.2041
6.1425e-09,-0.1793
6.1658e-09,-0.1447
6.1890e-09,-0.1024
6.2123e-09,-0.0582
6.2356e-09,-0.0172
6.2588e-09,0.0194
6.2821e-09,0.0509
6.3054e-09,0.0790
6.3286e-09,0.1068
6.3519e-09,0.1312
6.3752e-09,0.1470
6.3984e-09,0.1498
6.4217e-09,0.1389
6.4450e-09,0.1217
6.4682e-09,0.1067
6.4915e-09,0.0972
6.5148e-09,0.0919
6.5380e-09,0.0860
6.5613e-09,0.0764
6.5846e-09,0.0638
6.6078e-09,0.0504
6.6311e-09,0.0389
6.6544e-09,0.0301
6.6776e-09,0.0230
6.7009e-09,0.0154
6.7242e-09,0.0044
6.7474e-09,-0.0106
6.7707e-09,-0.0268
6.7940e-09,-0.0398
6.8172e-09,-0.0466
6.8405e-09,-0.0480
6.8638e-09,-0.0473
6.8870e-09,-0.0471
6.9103e-09,-0.0468
6.9336e-09,-0.0440
6.9568e-09,-0.0372
6.9801e-09,-0.0273
7.0034e-09,-0.0172
7.0266e-09,-0.0097
7.0499e-09,-0.0063
7.0732e-09,-0.0063
7.0964e-09,-0.0076
7.1197e-09,-0.0076
7.1430e-09,-0.0046
7.1662e-09,0.0007
7.1895e-09,0.0059
7.2128e-09,0.0086
7.2360e-09,0.0090
7.2593e-09,0.0089
7.2826e-09,0.0108
7.3058e-09,0.0150
7.3291e-09,0.0196
7.3524e-09,0.0223
7.3756e-09,0.0216
7.3989e-09,0.0182
7.4222e-09,0.0138
7.4454e-09,0.0097
7.4687e-09,0.0069
7.4920e-09,0.0050
7.5152e-09,0.0033
7.5385e-09,0.0011
7.5618e-09,-0.0016
7.5850e-09,-0.0035
7.6083e-09,-0.0036
7.6316e-09,-0.0002
7.6548e-09,0.0110
7.6781e-09,0.0415
7.7014e-09,0.0995
7.7246e-09,0.1767
7.7479e-09,0.2727
7.7712e-09,0.3792
7.7944e-09,0.4865
7.8177e-09,0.6010
7.8410e-09,0.7165
7.8642e-09,0.8270
7.8875e-09,0.9307
7.9108e-09,1.0195
7.9340e-09,1.0892
7.9573e-09,1.1417
7.9806e-09,1.1768
8.0038e-09,1.2001
8.0271e-09,1.2194
8.0504e-09,1.2321
8.0736e-09,1.2270
8.0969e-09,1.1891
8.1202e-09,1.1208
8.1435e-09,1.0264
8.1667e-09,0.9149
8.1900e-09,0.7987
8.2133e-09,0.6712
8.2365e-09,0.5332
8.2598e-09,0.3915
8.2831e-09,0.2511
8.3063e-09,0.1228
8.3296e-09,0.0179
8.3529e-09,-0.0626
8.3761e-09,-0.1179
8.3994e-09,-0.1528
8.4227e-09,-0.1801
8.4459e-09,-0.2045
8.4692e-09,-0.2217
8.4925e-09,-0.2142
8.5157e-09,-0.1545
8.5390e-09,-0.0606
8.5623e-09,0.0603
8.5855e-09,0.1961
8.6088e-09,0.3236
8.6321e-09,0.4649
8.6553e-09,0.6194
8.6786e-09,0.7775
8.7019e-09,0.9376
8.7251e-09,1.0810
8.7484e-09,1.1944
8.7717e-09,1.2795
8.7949e-09,1.3332
8.8182e-09,1.3641
8.8415e-09,1.3904
8.8647e-09,1.4111
8.8880e-09,1.4204
8.9113e-09,1.3969
8.9345e-09,1.3283
8.9578e-09,1.2289
8.9811e-09,1.1065
9.0043e-09,0.9805
9.0276e-09,0.8528
9.0509e-09,0.7077
9.0741e-09,0.5511
9.0974e-09,0.3884
9.1207e-09,0.2279
9.1439e-09,0.0879
9.1672e-09,-0.0237
9.1905e-09,-0.1072
9.2137e-09,-0.1627
9.2370e-09,-0.2035
9.2603e-09,-0.2401
9.2835e-09,-0.2705
9.3068e-09,-0.2861
9.3301e-09,-0.2593
9.3533e-09,-0.1759
9.3766e-09,-0.0632
9.3999e-09,0.0697
9.4231e-09,0.2062
9.4464e-09,0.3376
9.4697e-09,0.4895
9.4929e-09,0.6542
9.5162e-09,0.8233
9.5395e-09,0.9888
9.5627e-09,1.1283
9.5860e-09,1.2343
9.6093e-09,1.3102
9.6325e-09,1.3565
9.6558e-09,1.3880
9.6791e-09,1.4189
9.7023e-09,1.4449
9.7256e-09,1.4605
9.7489e-09,1.4588
9.7721e-09,1.4400
9.7954e-09,1.4169
9.8187e-09,1.3969
9.8419e-09,1.3805
9.8652e-09,1.3579
9.8885e-09,1.3208
9.9117e-09,1.2718
9.9350e-09,1.2163
9.9583e-09,1.1632
9.9815e-09,1.1200
1.00048e-08,1.0872
1.00281e-08,1.0634
1.00513e-08,1.0451
1.00746e-08,1.0270
1.00979e-08,1.0113
1.01211e-08,1.0049
1.01444e-08,1.0130
1.01677e-08,1.0364
1.01909e-08,1.0660
1.02142e-08,1.0899
1.02375e-08,1.1039
1.02607e-08,1.1104
1.02840e-08,1.1170
1.03073e-08,1.1285
1.03305e-08,1.1447
1.03538e-08,1.1628
1.03771e-08,1.1793
1.04003e-08,1.1927
1.04236e-08,1.2038
1.04469e-08,1.2146
1.04702e-08,1.2276
1.04934e-08,1.2434
1.05167e-08,1.2582
1.05400e-08,1.2670
1.05632e-08,1.2671
1.05865e-08,1.2604
1.06098e-08,1.2526
1.06330e-08,1.2474
1.06563e-08,1.2440
1.06796e-08,1.2388
1.07028e-08,1.2291
1.07261e-08,1.2161
1.07494e-08,1.2036
1.07726e-08,1.1956
1.07959e-08,1.1934
1.08192e-08,1.1959
1.08424e-08,1.1996
1.08657e-08,1.2007
1.08890e-08,1.1970
1.09122e-08,1.1896
1.09355e-08,1.1819
1.09588e-08,1.1708
1.09820e-08,1.1518
1.10053e-08,1.1027
1.10286e-08,1.0253
1.10518e-08,0.9271
1.10751e-08,0.8125
1.10984e-08,0.7008
1.11216e-08,0.5908
1.11449e-08,0.4771
1.11682e-08,0.3647
1.11914e-08,0.2569
1.12147e-08,0.1580
1.12380e-08,0.0787
1.12612e-08,0.0205
1.12845e-08,-0.0185
1.13078e-08,-0.0413
1.13310e-08,-0.0606
1.13543e-08,-0.0842
1.13776e-08,-0.1097
1.14008e-08,-0.1221
1.14241e-08,-0.0880
1.14474e-08,-0.0139
1.14706e-08,0.0929
1.14939e-08,0.2228
1.15172e-08,0.3475
1.15404e-08,0.4811
1.15637e-08,0.6303
1.15870e-08,0.7827
1.16102e-08,0.9368
1.16335e-08,1.0780
1.16568e-08,1.1886
1.16800e-08,1.2685
1.17033e-08,1.3170
1.17266e-08,1.3388
1.17498e-08,1.3542
1.17731e-08,1.3704
1.17964e-08,1.3863
1.18196e-08,1.3970
1.18429e-08,1.3945
1.18662e-08,1.3828
1.18894e-08,1.3704
1.19127e-08,1.3626
1.19360e-08,1.3562
1.19592e-08,1.3401
1.19825e-08,1.3096
1.20058e-08,1.2662
1.20290e-08,1.2148
1.20523e-08,1.1649
1.20756e-08,1.1227
1.20988e-08,1.0901
1.21221e-08,1.0681
1.21454e-08,1.0524
1.21686e-08,1.0391
1.21919e-08,1.0309
1.22152e-08,1.0321
1.22384e-08,1.0470
1.22617e-08,1.0739
1.22850e-08,1.1024
1.23082e-08,1.1231
1.23315e-08,1.1332
1.23548e-08,1.1360
1.23780e-08,1.1385
1.24013e-08,1.1445
1.24246e-08,1.1542
1.24478e-08,1.1661
1.24711e-08,1.1775
1.24944e-08,1.1879
1.25176e-08,1.1978
1.25409e-08,1.2089
1.25642e-08,1.2234
1.25874e-08,1.2405
1.26107e-08,1.2558
1.26340e-08,1.2643
1.26572e-08,1.2636
1.26805e-08,1.2561
1.27038e-08,1.2473
1.27270e-08,1.2403
1.27503e-08,1.2343
1.27736e-08,1.2271
1.27968e-08,1.2169
1.28201e-08,1.2055
1.28434e-08,1.1961
1.28667e-08,1.1914
1.28899e-08,1.1922
1.29132e-08,1.1968
1.29365e-08,1.2020
1.29597e-08,1.2041
1.29830e-08,1.2013
1.30063e-08,1.1947
1.30295e-08,1.1855
1.30528e-08,1.1693
1.30761e-08,1.1353
1.30993e-08,1.0699
1.31226e-08,0.9795
1.31459e-08,0.8724
1.31691e-08,0.7564
1.31924e-08,0.6455
1.32157e-08,0.5333
1.32389e-08,0.4198
1.32622e-08,0.3105
1.32855e-08,0.2076
1.33087e-08,0.1180
1.33320e-08,0.0492
1.33553e-08,-0.0002
1.33785e-08,-0.0319
1.34018e-08,-0.0523
1.34251e-08,-0.0736
1.34483e-08,-0.0989
1.34716e-08,-0.1206
1.34949e-08,-0.1139
1.35181e-08,-0.0577
1.35414e-08,0.0336
1.35647e-08,0.1534
1.35879e-08,0.2845
1.36112e-08,0.4129
1.36345e-08,0.5564
1.36577e-08,0.7090
1.36810e-08,0.8628
1.37043e-08,1.0122
1.37275e-08,1.1386
1.37508e-08,1.2329
1.37741e-08,1.2970
1.37973e-08,1.3305
1.38206e-08,1.3464
1.38439e-08,1.3618
1.38671e-08,1.3781
1.38904e-08,1.3926
1.39137e-08,1.3980
