.HEADER
..NAMES
Time,V U2.G2
.DATA
5.6539e-09,1.1484
5.6771e-09,1.1543
5.7004e-09,1.1576
5.7237e-09,1.1578
5.7469e-09,1.1564
5.7702e-09,1.1560
5.7935e-09,1.1586
5.8168e-09,1.1656
5.8400e-09,1.1770
5.8633e-09,1.1911
5.8866e-09,1.2054
5.9098e-09,1.2176
5.9331e-09,1.2261
5.9564e-09,1.2270
5.9796e-09,1.2151
6.0029e-09,1.1748
6.0262e-09,1.0993
6.0494e-09,0.9992
6.0727e-09,0.8782
6.0960e-09,0.7539
6.1192e-09,0.6359
6.1425e-09,0.5143
6.1658e-09,0.3963
6.1890e-09,0.2829
6.2123e-09,0.1763
6.2356e-09,0.0878
6.2588e-09,0.0219
6.2821e-09,-0.0256
6.3054e-09,-0.0553
6.3286e-09,-0.0728
6.3519e-09,-0.0916
6.3752e-09,-0.1144
6.3984e-09,-0.1397
6.4217e-09,-0.1648
6.4450e-09,-0.1801
6.4682e-09,-0.1829
6.4915e-09,-0.1762
6.5148e-09,-0.1628
6.5380e-09,-0.1437
6.5613e-09,-0.1177
6.5846e-09,-0.0842
6.6078e-09,-0.0441
6.6311e-09,-0.0032
6.6544e-09,0.0326
6.6776e-09,0.0611
6.7009e-09,0.0808
6.7242e-09,0.0922
6.7474e-09,0.0986
6.7707e-09,0.1017
6.7940e-09,0.1023
6.8172e-09,0.1007
6.8405e-09,0.0951
6.8638e-09,0.0846
6.8870e-09,0.0721
6.9103e-09,0.0621
6.9336e-09,0.0578
6.9568e-09,0.0595
6.9801e-09,0.0626
7.0034e-09,0.0617
7.0266e-09,0.0541
7.0499e-09,0.0404
7.0732e-09,0.0234
7.0964e-09,0.0064
7.1197e-09,-0.0084
7.1430e-09,-0.0202
7.1662e-09,-0.0292
7.1895e-09,-0.0357
7.2128e-09,-0.0405
7.2360e-09,-0.0431
7.2593e-09,-0.0427
7.2826e-09,-0.0387
7.3058e-09,-0.0321
7.3291e-09,-0.0251
7.3524e-09,-0.0198
7.3756e-09,-0.0168
7.3989e-09,-0.0148
7.4222e-09,-0.0123
7.4454e-09,-0.0089
7.4687e-09,-0.0055
7.4920e-09,-0.0038
7.5152e-09,-0.0041
7.5385e-09,-0.0053
7.5618e-09,-0.0053
7.5850e-09,-0.0028
7.6083e-09,0.0026
7.6316e-09,0.0099
7.6548e-09,0.0169
7.6781e-09,0.0216
7.7014e-09,0.0224
7.7246e-09,0.0199
7.7479e-09,0.0157
7.7712e-09,0.0119
7.7944e-09,0.0097
7.8177e-09,0.0084
7.8410e-09,0.0070
7.8642e-09,0.0046
7.8875e-09,0.0017
7.9108e-09,-0.0006
7.9340e-09,-0.0017
7.9573e-09,-0.0015
7.9806e-09,-0.0007
8.0038e-09,-0.0001
8.0271e-09,-0.0000
8.0504e-09,-0.0004
8.0736e-09,-0.0011
8.0969e-09,-0.0017
8.1202e-09,-0.0021
8.1435e-09,-0.0027
8.1667e-09,-0.0038
8.1900e-09,-0.0056
8.2133e-09,-0.0075
8.2365e-09,-0.0084
8.2598e-09,-0.0074
8.2831e-09,-0.0046
8.3063e-09,-0.0010
8.3296e-09,0.0019
8.3529e-09,0.0031
8.3761e-09,0.0028
8.3994e-09,0.0017
8.4227e-09,0.0009
8.4459e-09,0.0008
8.4692e-09,0.0013
8.4925e-09,0.0021
8.5157e-09,0.0024
8.5390e-09,0.0021
8.5623e-09,0.0012
