.HEADER
..NAMES
Time,V U2.D7
.DATA
5.6771e-09,-0.1872
5.7004e-09,-0.1669
5.7237e-09,-0.1465
5.7469e-09,-0.1325
5.7702e-09,-0.1111
5.7935e-09,-0.0770
5.8168e-09,-0.0378
5.8400e-09,0.0021
5.8633e-09,0.0368
5.8866e-09,0.0595
5.9098e-09,0.0769
5.9331e-09,0.0957
5.9564e-09,0.1090
5.9796e-09,0.1112
6.0029e-09,0.1068
6.0262e-09,0.0973
6.0494e-09,0.0797
6.0727e-09,0.0587
6.0960e-09,0.0451
6.1192e-09,0.0424
6.1425e-09,0.0453
6.1658e-09,0.0471
6.1890e-09,0.0448
6.2123e-09,0.0420
6.2356e-09,0.0426
6.2588e-09,0.0438
6.2821e-09,0.0389
6.3054e-09,0.0264
6.3286e-09,0.0089
6.3519e-09,-0.0075
6.3752e-09,-0.0179
6.3984e-09,-0.0246
6.4217e-09,-0.0320
6.4450e-09,-0.0389
6.4682e-09,-0.0427
6.4915e-09,-0.0445
6.5148e-09,-0.0433
6.5380e-09,-0.0361
6.5613e-09,-0.0239
6.5846e-09,-0.0119
6.6078e-09,-0.0033
6.6311e-09,0.0015
6.6544e-09,0.0040
6.6776e-09,0.0062
6.7009e-09,0.0074
6.7242e-09,0.0046
6.7474e-09,-0.0025
6.7707e-09,-0.0093
6.7940e-09,-0.0112
6.8172e-09,-0.0043
6.8405e-09,0.0216
6.8638e-09,0.0850
6.8870e-09,0.1868
6.9103e-09,0.2842
6.9336e-09,0.3638
6.9568e-09,0.4658
6.9801e-09,0.5975
7.0034e-09,0.7251
7.0266e-09,0.8439
7.0499e-09,0.9530
7.0732e-09,1.0387
7.0964e-09,1.1067
7.1197e-09,1.1682
7.1430e-09,1.2147
7.1662e-09,1.2385
7.1895e-09,1.2491
7.2128e-09,1.2570
7.2360e-09,1.2619
7.2593e-09,1.2661
7.2826e-09,1.2784
7.3058e-09,1.2999
7.3291e-09,1.3198
7.3524e-09,1.3241
7.3756e-09,1.3102
7.3989e-09,1.2921
7.4222e-09,1.2799
7.4454e-09,1.2637
7.4687e-09,1.2357
7.4920e-09,1.2022
7.5152e-09,1.1675
7.5385e-09,1.1366
7.5618e-09,1.1172
7.5850e-09,1.1054
7.6083e-09,1.0923
7.6316e-09,1.0826
7.6548e-09,1.0840
7.6781e-09,1.0939
7.7014e-09,1.1084
7.7246e-09,1.1287
7.7479e-09,1.1519
7.7712e-09,1.1687
7.7944e-09,1.1747
7.8177e-09,1.1731
7.8410e-09,1.1706
7.8642e-09,1.1710
7.8875e-09,1.1731
7.9108e-09,1.1729
7.9340e-09,1.1719
7.9573e-09,1.1755
7.9806e-09,1.1861
8.0038e-09,1.2020
8.0271e-09,1.2175
8.0504e-09,1.2214
8.0736e-09,1.2004
8.0969e-09,1.1428
8.1202e-09,1.0417
8.1435e-09,0.9376
8.1667e-09,0.8538
8.1900e-09,0.7462
8.2133e-09,0.5999
8.2365e-09,0.4497
8.2598e-09,0.3099
8.2831e-09,0.1832
8.3063e-09,0.0831
8.3296e-09,0.0084
8.3529e-09,-0.0575
8.3761e-09,-0.1062
8.3994e-09,-0.1286
8.4227e-09,-0.1330
8.4459e-09,-0.1318
8.4692e-09,-0.1301
8.4925e-09,-0.1306
8.5157e-09,-0.1437
8.5390e-09,-0.1688
8.5623e-09,-0.1921
8.5855e-09,-0.1997
8.6088e-09,-0.1877
8.6321e-09,-0.1696
8.6553e-09,-0.1570
8.6786e-09,-0.1401
8.7019e-09,-0.1076
8.7251e-09,-0.0648
8.7484e-09,-0.0184
8.7717e-09,0.0258
8.7949e-09,0.0585
8.8182e-09,0.0818
8.8415e-09,0.1050
8.8647e-09,0.1247
8.8880e-09,0.1318
8.9113e-09,0.1334
8.9345e-09,0.1483
8.9578e-09,0.1964
8.9811e-09,0.2660
9.0043e-09,0.3276
9.0276e-09,0.4003
9.0509e-09,0.5160
9.0741e-09,0.6463
9.0974e-09,0.7656
9.1207e-09,0.8819
9.1439e-09,0.9885
9.1672e-09,1.0741
9.1905e-09,1.1419
9.2137e-09,1.1924
9.2370e-09,1.2158
9.2603e-09,1.2198
9.2835e-09,1.2212
9.3068e-09,1.2139
9.3301e-09,1.1798
9.3533e-09,1.0999
9.3766e-09,0.9989
9.3999e-09,0.9199
9.4231e-09,0.8520
9.4464e-09,0.7444
9.4697e-09,0.6107
9.4929e-09,0.4876
9.5162e-09,0.3650
9.5395e-09,0.2409
9.5627e-09,0.1293
9.5860e-09,0.0275
9.6093e-09,-0.0686
9.6325e-09,-0.1446
9.6558e-09,-0.1938
9.6791e-09,-0.2299
9.7023e-09,-0.2549
9.7256e-09,-0.2567
9.7489e-09,-0.2442
9.7721e-09,-0.2389
9.7954e-09,-0.2428
9.8187e-09,-0.2390
9.8419e-09,-0.2169
9.8652e-09,-0.1847
9.8885e-09,-0.1592
9.9117e-09,-0.1434
9.9350e-09,-0.1226
9.9583e-09,-0.0924
