.HEADER
..NAMES
Time,V U2.P2
.DATA
5.7004e-09,-0.1320
5.7237e-09,-0.1421
5.7469e-09,-0.1545
5.7702e-09,-0.1642
5.7935e-09,-0.1689
5.8168e-09,-0.1714
5.8400e-09,-0.1762
5.8633e-09,-0.1844
5.8866e-09,-0.1909
5.9098e-09,-0.1847
5.9331e-09,-0.1591
5.9564e-09,-0.1211
5.9796e-09,-0.0829
6.0029e-09,-0.0430
6.0262e-09,0.0045
6.0494e-09,0.0523
6.0727e-09,0.0899
6.0960e-09,0.1175
6.1192e-09,0.1367
6.1425e-09,0.1432
6.1658e-09,0.1340
6.1890e-09,0.1132
6.2123e-09,0.0944
6.2356e-09,0.1000
6.2588e-09,0.1585
6.2821e-09,0.2616
6.3054e-09,0.3659
6.3286e-09,0.4721
6.3519e-09,0.6066
6.3752e-09,0.7591
6.3984e-09,0.8961
6.4217e-09,1.0112
6.4450e-09,1.1015
6.4682e-09,1.1613
6.4915e-09,1.1936
6.5148e-09,1.2047
6.5380e-09,1.2036
6.5613e-09,1.2026
6.5846e-09,1.2102
6.6078e-09,1.2229
6.6311e-09,1.2337
6.6544e-09,1.2432
6.6776e-09,1.2570
6.7009e-09,1.2798
6.7242e-09,1.3093
6.7474e-09,1.3322
6.7707e-09,1.3326
6.7940e-09,1.3089
6.8172e-09,1.2756
6.8405e-09,1.2401
6.8638e-09,1.1975
6.8870e-09,1.1507
6.9103e-09,1.1112
6.9336e-09,1.0830
6.9568e-09,1.0646
6.9801e-09,1.0582
7.0034e-09,1.0675
7.0266e-09,1.0919
7.0499e-09,1.1254
7.0732e-09,1.1570
7.0964e-09,1.1772
7.1197e-09,1.1851
7.1430e-09,1.1863
7.1662e-09,1.1859
7.1895e-09,1.1841
7.2128e-09,1.1790
7.2360e-09,1.1695
7.2593e-09,1.1590
7.2826e-09,1.1545
7.3058e-09,1.1594
7.3291e-09,1.1719
7.3524e-09,1.1891
7.3756e-09,1.2103
7.3989e-09,1.2324
7.4222e-09,1.2491
7.4454e-09,1.2583
7.4687e-09,1.2623
7.4920e-09,1.2627
7.5152e-09,1.2578
7.5385e-09,1.2451
7.5618e-09,1.2253
7.5850e-09,1.2034
7.6083e-09,1.1863
7.6316e-09,1.1781
7.6548e-09,1.1781
7.6781e-09,1.1833
7.7014e-09,1.1907
7.7246e-09,1.1985
7.7479e-09,1.2059
7.7712e-09,1.2124
7.7944e-09,1.2166
7.8177e-09,1.2177
7.8410e-09,1.2137
7.8642e-09,1.1934
7.8875e-09,1.1419
7.9108e-09,1.0400
7.9340e-09,0.9039
7.9573e-09,0.7772
7.9806e-09,0.6553
8.0038e-09,0.5084
8.0271e-09,0.3477
8.0504e-09,0.2123
8.0736e-09,0.1055
8.0969e-09,0.0231
8.1202e-09,-0.0330
8.1435e-09,-0.0663
8.1667e-09,-0.0847
8.1900e-09,-0.0995
8.2133e-09,-0.1184
8.2365e-09,-0.1424
8.2598e-09,-0.1644
8.2831e-09,-0.1782
8.3063e-09,-0.1847
8.3296e-09,-0.1891
8.3529e-09,-0.1956
8.3761e-09,-0.2015
8.3994e-09,-0.1965
8.4227e-09,-0.1701
8.4459e-09,-0.1264
8.4692e-09,-0.0814
8.4925e-09,-0.0416
8.5157e-09,0.0009
8.5390e-09,0.0459
8.5623e-09,0.0830
8.5855e-09,0.1086
8.6088e-09,0.1257
8.6321e-09,0.1323
8.6553e-09,0.1246
8.6786e-09,0.1043
8.7019e-09,0.0825
8.7251e-09,0.0795
8.7484e-09,0.1216
8.7717e-09,0.2203
8.7949e-09,0.3334
8.8182e-09,0.4382
8.8415e-09,0.5593
8.8647e-09,0.7067
8.8880e-09,0.8499
8.9113e-09,0.9697
8.9345e-09,1.0663
8.9578e-09,1.1338
8.9811e-09,1.1724
9.0043e-09,1.1895
9.0276e-09,1.1930
9.0509e-09,1.1938
9.0741e-09,1.2025
