.HEADER
..NAMES
Time,V U2.T2
.DATA
5.6073e-09,1.0421
5.6306e-09,1.0919
5.6539e-09,1.1203
5.6771e-09,1.1399
5.7004e-09,1.1622
5.7237e-09,1.1931
5.7469e-09,1.2320
5.7702e-09,1.2743
5.7935e-09,1.3083
5.8168e-09,1.3236
5.8400e-09,1.3202
5.8633e-09,1.3093
5.8866e-09,1.3001
5.9098e-09,1.2853
5.9331e-09,1.2502
5.9564e-09,1.1956
5.9796e-09,1.1405
6.0029e-09,1.1020
6.0262e-09,1.0837
6.0494e-09,1.0807
6.0727e-09,1.0855
6.0960e-09,1.0909
6.1192e-09,1.0952
6.1425e-09,1.1008
6.1658e-09,1.1079
6.1890e-09,1.1040
6.2123e-09,1.0700
6.2356e-09,0.9778
6.2588e-09,0.8376
6.2821e-09,0.6940
6.3054e-09,0.5716
6.3286e-09,0.4544
6.3519e-09,0.3306
6.3752e-09,0.2148
6.3984e-09,0.1165
6.4217e-09,0.0386
6.4450e-09,-0.0116
6.4682e-09,-0.0344
6.4915e-09,-0.0416
6.5148e-09,-0.0481
6.5380e-09,-0.0645
6.5613e-09,-0.0938
6.5846e-09,-0.1327
6.6078e-09,-0.1677
6.6311e-09,-0.1850
6.6544e-09,-0.1821
6.6776e-09,-0.1680
6.7009e-09,-0.1524
6.7242e-09,-0.1318
6.7474e-09,-0.0945
6.7707e-09,-0.0387
6.7940e-09,0.0209
6.8172e-09,0.0689
6.8405e-09,0.1003
6.8638e-09,0.1164
6.8870e-09,0.1199
6.9103e-09,0.1161
6.9336e-09,0.1097
6.9568e-09,0.1012
6.9801e-09,0.0898
7.0034e-09,0.0763
7.0266e-09,0.0626
7.0499e-09,0.0523
7.0732e-09,0.0501
7.0964e-09,0.0580
7.1197e-09,0.0703
7.1430e-09,0.0757
7.1662e-09,0.0665
7.1895e-09,0.0451
7.2128e-09,0.0204
7.2360e-09,-0.0012
7.2593e-09,-0.0196
7.2826e-09,-0.0367
7.3058e-09,-0.0520
7.3291e-09,-0.0629
7.3524e-09,-0.0668
7.3756e-09,-0.0625
7.3989e-09,-0.0509
7.4222e-09,-0.0356
7.4454e-09,-0.0210
7.4687e-09,-0.0106
7.4920e-09,-0.0058
7.5152e-09,-0.0053
7.5385e-09,-0.0062
7.5618e-09,-0.0058
7.5850e-09,-0.0046
7.6083e-09,-0.0052
7.6316e-09,-0.0087
7.6548e-09,-0.0117
7.6781e-09,-0.0096
7.7014e-09,-0.0006
7.7246e-09,0.0125
7.7479e-09,0.0249
7.7712e-09,0.0328
7.7944e-09,0.0352
7.8177e-09,0.0329
7.8410e-09,0.0282
7.8642e-09,0.0273
7.8875e-09,0.0449
7.9108e-09,0.1091
7.9340e-09,0.2255
7.9573e-09,0.3519
7.9806e-09,0.4627
8.0038e-09,0.5742
8.0271e-09,0.7065
8.0504e-09,0.8463
8.0736e-09,0.9729
8.0969e-09,1.0782
8.1202e-09,1.1536
8.1435e-09,1.1995
8.1667e-09,1.2251
8.1900e-09,1.2396
8.2133e-09,1.2509
8.2365e-09,1.2626
8.2598e-09,1.2792
8.2831e-09,1.2978
8.3063e-09,1.3102
8.3296e-09,1.3115
8.3529e-09,1.3061
8.3761e-09,1.3014
8.3994e-09,1.2939
8.4227e-09,1.2688
8.4459e-09,1.2209
8.4692e-09,1.1644
8.4925e-09,1.1174
8.5157e-09,1.0853
8.5390e-09,1.0646
8.5623e-09,1.0522
8.5855e-09,1.0461
8.6088e-09,1.0461
8.6321e-09,1.0542
8.6553e-09,1.0708
8.6786e-09,1.0928
8.7019e-09,1.1162
8.7251e-09,1.1375
8.7484e-09,1.1526
8.7717e-09,1.1576
8.7949e-09,1.1543
8.8182e-09,1.1512
8.8415e-09,1.1564
8.8647e-09,1.1702
8.8880e-09,1.1863
8.9113e-09,1.2003
8.9345e-09,1.2143
8.9578e-09,1.2314
8.9811e-09,1.2503
9.0043e-09,1.2658
9.0276e-09,1.2732
9.0509e-09,1.2709
9.0741e-09,1.2606
9.0974e-09,1.2465
9.1207e-09,1.2321
9.1439e-09,1.2195
9.1672e-09,1.2096
9.1905e-09,1.2025
9.2137e-09,1.1972
