.HEADER
..NAMES
Time,V U2.M2
.DATA
5.6306e-09,1.2277
5.6539e-09,1.2559
5.6771e-09,1.2704
5.7004e-09,1.2821
5.7237e-09,1.2951
5.7469e-09,1.3084
5.7702e-09,1.3141
5.7935e-09,1.3145
5.8168e-09,1.3172
5.8400e-09,1.3256
5.8633e-09,1.3283
5.8866e-09,1.3087
5.9098e-09,1.2700
5.9331e-09,1.2258
5.9564e-09,1.1825
5.9796e-09,1.1423
6.0029e-09,1.1087
6.0262e-09,1.0832
6.0494e-09,1.0642
6.0727e-09,1.0524
6.0960e-09,1.0507
6.1192e-09,1.0615
6.1425e-09,1.0846
6.1658e-09,1.1079
6.1890e-09,1.1054
6.2123e-09,1.0545
6.2356e-09,0.9416
6.2588e-09,0.8139
6.2821e-09,0.6961
6.3054e-09,0.5713
6.3286e-09,0.4240
6.3519e-09,0.2750
6.3752e-09,0.1498
6.3984e-09,0.0508
6.4217e-09,-0.0123
6.4450e-09,-0.0445
6.4682e-09,-0.0567
6.4915e-09,-0.0626
6.5148e-09,-0.0753
6.5380e-09,-0.0952
6.5613e-09,-0.1179
6.5846e-09,-0.1333
6.6078e-09,-0.1447
6.6311e-09,-0.1620
6.6544e-09,-0.1863
6.6776e-09,-0.2024
6.7009e-09,-0.1881
6.7242e-09,-0.1441
6.7474e-09,-0.0893
6.7707e-09,-0.0360
6.7940e-09,0.0136
6.8172e-09,0.0568
6.8405e-09,0.0907
6.8638e-09,0.1159
6.8870e-09,0.1315
6.9103e-09,0.1336
6.9336e-09,0.1197
6.9568e-09,0.0927
6.9801e-09,0.0629
7.0034e-09,0.0435
7.0266e-09,0.0399
7.0499e-09,0.0456
7.0732e-09,0.0501
7.0964e-09,0.0511
7.1197e-09,0.0534
7.1430e-09,0.0598
7.1662e-09,0.0642
7.1895e-09,0.0586
7.2128e-09,0.0412
7.2360e-09,0.0153
7.2593e-09,-0.0144
7.2826e-09,-0.0407
7.3058e-09,-0.0573
7.3291e-09,-0.0627
7.3524e-09,-0.0605
7.3756e-09,-0.0555
7.3989e-09,-0.0488
7.4222e-09,-0.0378
7.4454e-09,-0.0205
7.4687e-09,-0.0007
7.4920e-09,0.0132
7.5152e-09,0.0162
7.5385e-09,0.0105
7.5618e-09,0.0019
7.5850e-09,-0.0052
7.6083e-09,-0.0099
7.6316e-09,-0.0127
7.6548e-09,-0.0132
7.6781e-09,-0.0111
7.7014e-09,-0.0057
7.7246e-09,0.0041
7.7479e-09,0.0178
7.7712e-09,0.0315
7.7944e-09,0.0398
7.8177e-09,0.0395
7.8410e-09,0.0324
7.8642e-09,0.0230
7.8875e-09,0.0150
7.9108e-09,0.0082
7.9340e-09,0.0009
7.9573e-09,-0.0071
7.9806e-09,-0.0130
8.0038e-09,-0.0143
8.0271e-09,-0.0105
8.0504e-09,-0.0032
8.0736e-09,0.0047
8.0969e-09,0.0104
8.1202e-09,0.0123
8.1435e-09,0.0108
8.1667e-09,0.0079
8.1900e-09,0.0048
8.2133e-09,0.0009
8.2365e-09,-0.0047
8.2598e-09,-0.0112
8.2831e-09,-0.0158
8.3063e-09,-0.0159
8.3296e-09,-0.0110
8.3529e-09,-0.0037
8.3761e-09,0.0031
8.3994e-09,0.0079
8.4227e-09,0.0106
8.4459e-09,0.0121
8.4692e-09,0.0126
8.4925e-09,0.0121
8.5157e-09,0.0100
8.5390e-09,0.0058
8.5623e-09,0.0006
8.5855e-09,-0.0038
8.6088e-09,-0.0055
8.6321e-09,-0.0040
8.6553e-09,-0.0008
8.6786e-09,0.0048
8.7019e-09,0.0230
8.7251e-09,0.0767
8.7484e-09,0.1852
8.7717e-09,0.3096
8.7949e-09,0.4265
8.8182e-09,0.5481
8.8415e-09,0.6853
8.8647e-09,0.8244
8.8880e-09,0.9514
8.9113e-09,1.0647
8.9345e-09,1.1519
8.9578e-09,1.2114
8.9811e-09,1.2464
9.0043e-09,1.2647
9.0276e-09,1.2787
9.0509e-09,1.2940
9.0741e-09,1.3107
9.0974e-09,1.3197
9.1207e-09,1.3201
9.1439e-09,1.3195
9.1672e-09,1.3241
9.1905e-09,1.3273
9.2137e-09,1.3119
9.2370e-09,1.2758
9.2603e-09,1.2319
9.2835e-09,1.1886
9.3068e-09,1.1484
9.3301e-09,1.1149
9.3533e-09,1.0904
9.3766e-09,1.0725
9.3999e-09,1.0602
9.4231e-09,1.0555
9.4464e-09,1.0615
9.4697e-09,1.0801
9.4929e-09,1.1035
9.5162e-09,1.1069
9.5395e-09,1.0674
9.5627e-09,0.9637
9.5860e-09,0.8346
9.6093e-09,0.7170
9.6325e-09,0.5971
9.6558e-09,0.4559
9.6791e-09,0.3058
9.7023e-09,0.1767
9.7256e-09,0.0717
9.7489e-09,0.0005
9.7721e-09,-0.0379
9.7954e-09,-0.0542
9.8187e-09,-0.0609
9.8419e-09,-0.0731
9.8652e-09,-0.0930
9.8885e-09,-0.1167
9.9117e-09,-0.1338
9.9350e-09,-0.1437
9.9583e-09,-0.1577
9.9815e-09,-0.1797
1.00048e-08,-0.1988
1.00281e-08,-0.1913
1.00513e-08,-0.1520
1.00746e-08,-0.0985
1.00979e-08,-0.0454
1.01211e-08,0.0042
1.01444e-08,0.0481
1.01677e-08,0.0828
1.01909e-08,0.1091
1.02142e-08,0.1271
1.02375e-08,0.1328
1.02607e-08,0.1231
1.02840e-08,0.0989
1.03073e-08,0.0691
1.03305e-08,0.0471
1.03538e-08,0.0409
1.03771e-08,0.0460
1.04003e-08,0.0511
1.04236e-08,0.0519
1.04469e-08,0.0525
1.04702e-08,0.0574
1.04934e-08,0.0624
1.05167e-08,0.0589
1.05400e-08,0.0441
1.05632e-08,0.0202
1.05865e-08,-0.0086
1.06098e-08,-0.0357
1.06330e-08,-0.0542
1.06563e-08,-0.0613
1.06796e-08,-0.0599
1.07028e-08,-0.0553
1.07261e-08,-0.0495
1.07494e-08,-0.0404
1.07726e-08,-0.0248
1.07959e-08,-0.0053
1.08192e-08,0.0103
