.HEADER
..NAMES
Time,V U2.C2
.DATA
5.6771e-09,1.2527
5.7004e-09,1.2419
5.7237e-09,1.2295
5.7469e-09,1.2158
5.7702e-09,1.2019
5.7935e-09,1.1903
5.8168e-09,1.1846
5.8400e-09,1.1863
5.8633e-09,1.1926
5.8866e-09,1.1970
5.9098e-09,1.1961
5.9331e-09,1.1908
5.9564e-09,1.1850
5.9796e-09,1.1820
6.0029e-09,1.1817
6.0262e-09,1.1810
6.0494e-09,1.1791
6.0727e-09,1.1776
6.0960e-09,1.1771
6.1192e-09,1.1778
6.1425e-09,1.1807
6.1658e-09,1.1855
6.1890e-09,1.1906
6.2123e-09,1.1945
6.2356e-09,1.1981
6.2588e-09,1.2029
6.2821e-09,1.2096
6.3054e-09,1.2161
6.3286e-09,1.2191
6.3519e-09,1.2169
6.3752e-09,1.2113
6.3984e-09,1.2057
6.4217e-09,1.2025
6.4450e-09,1.2021
6.4682e-09,1.2034
6.4915e-09,1.2051
6.5148e-09,1.2065
6.5380e-09,1.2070
6.5613e-09,1.2069
6.5846e-09,1.2074
6.6078e-09,1.2083
6.6311e-09,1.2083
6.6544e-09,1.2065
6.6776e-09,1.2037
6.7009e-09,1.2015
6.7242e-09,1.2005
6.7474e-09,1.2003
6.7707e-09,1.1991
6.7940e-09,1.1927
6.8172e-09,1.1672
6.8405e-09,1.1100
6.8638e-09,1.0061
6.8870e-09,0.8938
6.9103e-09,0.8083
6.9336e-09,0.7114
6.9568e-09,0.5862
6.9801e-09,0.4615
7.0034e-09,0.3374
7.0266e-09,0.2119
7.0499e-09,0.1044
7.0732e-09,0.0232
7.0964e-09,-0.0374
7.1197e-09,-0.0784
7.1430e-09,-0.1057
7.1662e-09,-0.1282
7.1895e-09,-0.1467
7.2128e-09,-0.1541
7.2360e-09,-0.1448
7.2593e-09,-0.1023
7.2826e-09,0.0008
7.3058e-09,0.1119
7.3291e-09,0.1986
7.3524e-09,0.3211
7.3756e-09,0.4810
7.3989e-09,0.6359
7.4222e-09,0.7998
7.4454e-09,0.9667
7.4687e-09,1.1039
7.4920e-09,1.2139
7.5152e-09,1.3034
7.5385e-09,1.3663
7.5618e-09,1.4081
7.5850e-09,1.4374
7.6083e-09,1.4514
7.6316e-09,1.4388
7.6548e-09,1.3963
7.6781e-09,1.3216
7.7014e-09,1.2150
7.7246e-09,1.1109
7.7479e-09,1.0113
7.7712e-09,0.8733
7.7944e-09,0.7179
7.8177e-09,0.5705
7.8410e-09,0.4074
7.8642e-09,0.2454
7.8875e-09,0.1082
7.9108e-09,-0.0147
7.9340e-09,-0.1209
7.9573e-09,-0.2015
7.9806e-09,-0.2621
8.0038e-09,-0.3028
8.0271e-09,-0.3173
8.0504e-09,-0.3092
8.0736e-09,-0.2832
8.0969e-09,-0.2111
8.1202e-09,-0.0717
8.1435e-09,0.0574
8.1667e-09,0.1610
8.1900e-09,0.3092
8.2133e-09,0.4761
8.2365e-09,0.6354
8.2598e-09,0.8110
8.2831e-09,0.9787
8.3063e-09,1.1177
8.3296e-09,1.2367
8.3529e-09,1.3316
8.3761e-09,1.3960
8.3994e-09,1.4411
8.4227e-09,1.4753
8.4459e-09,1.4942
8.4692e-09,1.4925
8.4925e-09,1.4762
8.5157e-09,1.4619
8.5390e-09,1.4578
8.5623e-09,1.4537
8.5855e-09,1.4284
8.6088e-09,1.3818
8.6321e-09,1.3356
8.6553e-09,1.2895
8.6786e-09,1.2376
8.7019e-09,1.1951
