.HEADER
..NAMES
Time,V U2.T3
.DATA
5.6771e-09,-0.1746
5.7004e-09,-0.1722
5.7237e-09,-0.1607
5.7469e-09,-0.1451
5.7702e-09,-0.1282
5.7935e-09,-0.1127
5.8168e-09,-0.1073
5.8400e-09,-0.1233
5.8633e-09,-0.1586
5.8866e-09,-0.1960
5.9098e-09,-0.2174
5.9331e-09,-0.2179
5.9564e-09,-0.2060
5.9796e-09,-0.1866
6.0029e-09,-0.1530
6.0262e-09,-0.1018
6.0494e-09,-0.0416
6.0727e-09,0.0187
6.0960e-09,0.0760
6.1192e-09,0.1236
6.1425e-09,0.1508
6.1658e-09,0.1537
6.1890e-09,0.1386
6.2123e-09,0.1148
6.2356e-09,0.0885
6.2588e-09,0.0624
6.2821e-09,0.0373
6.3054e-09,0.0147
6.3286e-09,0.0000
6.3519e-09,0.0007
6.3752e-09,0.0175
6.3984e-09,0.0427
6.4217e-09,0.0660
6.4450e-09,0.0820
6.4682e-09,0.0896
6.4915e-09,0.0880
6.5148e-09,0.0761
6.5380e-09,0.0551
6.5613e-09,0.0287
6.5846e-09,-0.0009
6.6078e-09,-0.0327
6.6311e-09,-0.0623
6.6544e-09,-0.0818
6.6776e-09,-0.0862
6.7009e-09,-0.0770
6.7242e-09,-0.0594
6.7474e-09,-0.0385
6.7707e-09,-0.0175
6.7940e-09,0.0022
6.8172e-09,0.0195
6.8405e-09,0.0317
6.8638e-09,0.0350
6.8870e-09,0.0280
6.9103e-09,0.0128
6.9336e-09,-0.0060
6.9568e-09,-0.0239
6.9801e-09,-0.0373
7.0034e-09,-0.0434
7.0266e-09,-0.0414
7.0499e-09,-0.0331
7.0732e-09,-0.0209
7.0964e-09,-0.0054
7.1197e-09,0.0130
7.1430e-09,0.0319
7.1662e-09,0.0469
7.1895e-09,0.0540
7.2128e-09,0.0519
7.2360e-09,0.0424
7.2593e-09,0.0285
7.2826e-09,0.0131
7.3058e-09,-0.0016
7.3291e-09,-0.0143
7.3524e-09,-0.0236
7.3756e-09,-0.0280
7.3989e-09,-0.0263
7.4222e-09,-0.0187
