.HEADER
..NAMES
Time,V U2.E7
.DATA
5.7469e-09,1.1250
5.7702e-09,1.1325
5.7935e-09,1.1445
5.8168e-09,1.1523
5.8400e-09,1.1656
5.8633e-09,1.1845
5.8866e-09,1.1940
5.9098e-09,1.1978
5.9331e-09,1.2013
5.9564e-09,1.1997
5.9796e-09,1.2061
6.0029e-09,1.2172
6.0262e-09,1.2228
6.0494e-09,1.2257
6.0727e-09,1.2180
6.0960e-09,1.2066
6.1192e-09,1.1986
6.1425e-09,1.1916
6.1658e-09,1.1895
6.1890e-09,1.1890
6.2123e-09,1.1883
6.2356e-09,1.1894
6.2588e-09,1.1900
6.2821e-09,1.1898
6.3054e-09,1.1912
6.3286e-09,1.1940
6.3519e-09,1.1970
6.3752e-09,1.1934
6.3984e-09,1.1731
6.4217e-09,1.1143
6.4450e-09,1.0283
6.4682e-09,0.9287
6.4915e-09,0.8255
6.5148e-09,0.7523
6.5380e-09,0.7043
6.5613e-09,0.6713
6.5846e-09,0.6546
6.6078e-09,0.6357
6.6311e-09,0.6120
6.6544e-09,0.5904
6.6776e-09,0.5685
6.7009e-09,0.5499
6.7242e-09,0.5424
6.7474e-09,0.5380
6.7707e-09,0.5313
6.7940e-09,0.5229
6.8172e-09,0.5082
6.8405e-09,0.4956
6.8638e-09,0.4907
6.8870e-09,0.4902
6.9103e-09,0.4951
6.9336e-09,0.4989
6.9568e-09,0.5008
6.9801e-09,0.5039
7.0034e-09,0.5080
7.0266e-09,0.5145
7.0499e-09,0.5215
7.0732e-09,0.5266
7.0964e-09,0.5290
7.1197e-09,0.5284
7.1430e-09,0.5241
7.1662e-09,0.5194
7.1895e-09,0.5164
7.2128e-09,0.5159
7.2360e-09,0.5194
7.2593e-09,0.5229
7.2826e-09,0.5240
7.3058e-09,0.5230
7.3291e-09,0.5201
7.3524e-09,0.5185
7.3756e-09,0.5188
7.3989e-09,0.5194
7.4222e-09,0.5198
7.4454e-09,0.5188
7.4687e-09,0.5167
7.4920e-09,0.5146
7.5152e-09,0.5128
7.5385e-09,0.5115
7.5618e-09,0.5115
7.5850e-09,0.5124
7.6083e-09,0.5136
7.6316e-09,0.5175
7.6548e-09,0.5369
7.6781e-09,0.5999
7.7014e-09,0.6890
7.7246e-09,0.8061
7.7479e-09,0.9333
7.7712e-09,1.0208
7.7944e-09,1.0850
7.8177e-09,1.1201
