.HEADER
..NAMES
Time,V U2.N7
.DATA
5.6073e-09,-0.0030
5.6306e-09,-0.0031
5.6539e-09,-0.0031
5.6771e-09,-0.0031
5.7004e-09,-0.0027
5.7237e-09,-0.0016
5.7469e-09,0.0003
5.7702e-09,0.0021
5.7935e-09,0.0033
5.8168e-09,0.0034
5.8400e-09,0.0025
5.8633e-09,0.0011
5.8866e-09,-0.0002
5.9098e-09,-0.0012
5.9331e-09,-0.0015
5.9564e-09,-0.0014
5.9796e-09,-0.0011
6.0029e-09,-0.0005
6.0262e-09,0.0003
6.0494e-09,0.0013
6.0727e-09,0.0024
6.0960e-09,0.0031
6.1192e-09,0.0031
6.1425e-09,0.0025
6.1658e-09,0.0017
6.1890e-09,0.0010
6.2123e-09,0.0005
6.2356e-09,0.0002
6.2588e-09,-0.0002
6.2821e-09,-0.0006
6.3054e-09,-0.0009
6.3286e-09,-0.0009
6.3519e-09,-0.0003
6.3752e-09,0.0005
6.3984e-09,0.0015
6.4217e-09,0.0020
6.4450e-09,0.0021
6.4682e-09,0.0016
6.4915e-09,0.0010
6.5148e-09,0.0003
6.5380e-09,-0.0001
6.5613e-09,-0.0004
6.5846e-09,-0.0005
6.6078e-09,-0.0006
6.6311e-09,-0.0004
6.6544e-09,-0.0000
6.6776e-09,0.0005
6.7009e-09,0.0010
6.7242e-09,0.0014
6.7474e-09,0.0014
6.7707e-09,0.0013
6.7940e-09,0.0011
6.8172e-09,0.0010
6.8405e-09,0.0008
6.8638e-09,0.0007
6.8870e-09,0.0004
6.9103e-09,0.0001
6.9336e-09,-0.0002
6.9568e-09,-0.0002
6.9801e-09,0.0001
7.0034e-09,0.0006
7.0266e-09,0.0011
7.0499e-09,0.0014
7.0732e-09,0.0014
7.0964e-09,0.0012
7.1197e-09,0.0010
7.1430e-09,0.0007
7.1662e-09,0.0005
7.1895e-09,0.0004
7.2128e-09,0.0002
7.2360e-09,0.0001
7.2593e-09,0.0001
7.2826e-09,0.0003
7.3058e-09,0.0005
7.3291e-09,0.0007
7.3524e-09,0.0009
7.3756e-09,0.0009
7.3989e-09,0.0009
7.4222e-09,0.0009
7.4454e-09,0.0009
7.4687e-09,0.0009
7.4920e-09,0.0008
7.5152e-09,0.0006
7.5385e-09,0.0004
7.5618e-09,0.0002
7.5850e-09,0.0002
7.6083e-09,0.0004
7.6316e-09,0.0006
7.6548e-09,0.0008
7.6781e-09,0.0010
7.7014e-09,0.0010
7.7246e-09,0.0010
7.7479e-09,0.0009
7.7712e-09,0.0008
7.7944e-09,0.0007
7.8177e-09,0.0006
7.8410e-09,0.0008
7.8642e-09,0.0047
7.8875e-09,0.0254
7.9108e-09,0.0886
7.9340e-09,0.2063
7.9573e-09,0.3386
7.9806e-09,0.4674
8.0038e-09,0.6085
8.0271e-09,0.7601
8.0504e-09,0.9018
8.0736e-09,1.0224
8.0969e-09,1.1154
8.1202e-09,1.1792
8.1435e-09,1.2166
8.1667e-09,1.2388
8.1900e-09,1.2537
8.2133e-09,1.2670
8.2365e-09,1.2819
8.2598e-09,1.3002
8.2831e-09,1.3175
8.3063e-09,1.3249
8.3296e-09,1.3213
8.3529e-09,1.3129
8.3761e-09,1.3064
8.3994e-09,1.2964
8.4227e-09,1.2687
8.4459e-09,1.2227
8.4692e-09,1.1710
8.4925e-09,1.1235
8.5157e-09,1.0842
8.5390e-09,1.0561
8.5623e-09,1.0408
8.5855e-09,1.0375
8.6088e-09,1.0452
8.6321e-09,1.0621
8.6553e-09,1.0844
8.6786e-09,1.1076
8.7019e-09,1.1287
8.7251e-09,1.1459
8.7484e-09,1.1556
8.7717e-09,1.1563
8.7949e-09,1.1528
8.8182e-09,1.1530
8.8415e-09,1.1616
8.8647e-09,1.1753
8.8880e-09,1.1888
8.9113e-09,1.2008
8.9345e-09,1.2140
8.9578e-09,1.2299
8.9811e-09,1.2468
9.0043e-09,1.2614
9.0276e-09,1.2702
9.0509e-09,1.2710
9.0741e-09,1.2639
9.0974e-09,1.2506
9.1207e-09,1.2340
9.1439e-09,1.2174
9.1672e-09,1.2043
9.1905e-09,1.1960
