.HEADER
..NAMES
Time,V U2.K7&K8
.DATA
0.0e+00,-0.6157
2.33e-11,-0.6157
4.65e-11,-0.6157
6.98e-11,-0.6157
9.31e-11,-0.6157
1.163e-10,-0.6157
1.396e-10,-0.6157
1.629e-10,-0.6157
1.861e-10,-0.6157
2.094e-10,-0.6157
2.327e-10,-0.6157
2.559e-10,-0.6157
2.792e-10,-0.6157
3.025e-10,-0.6157
3.257e-10,-0.6157
3.490e-10,-0.6157
3.723e-10,-0.6157
3.955e-10,-0.6157
4.188e-10,-0.6157
4.421e-10,-0.6157
4.653e-10,-0.6157
4.886e-10,-0.6157
5.119e-10,-0.6157
5.351e-10,-0.6157
5.584e-10,-0.6157
5.817e-10,-0.6157
6.049e-10,-0.6157
6.282e-10,-0.6157
6.515e-10,-0.6157
6.747e-10,-0.6156
6.980e-10,-0.6126
7.213e-10,-0.5951
7.445e-10,-0.5398
7.678e-10,-0.4128
7.911e-10,-0.2485
8.143e-10,-0.0916
8.376e-10,0.0914
8.609e-10,0.3017
8.841e-10,0.4815
9.074e-10,0.5795
9.307e-10,0.6137
9.539e-10,0.6338
9.772e-10,0.6390
1.0005e-09,0.6213
1.0237e-09,0.6028
1.0470e-09,0.6100
1.0703e-09,0.6409
1.0935e-09,0.6735
1.1168e-09,0.6909
1.1401e-09,0.6761
1.1633e-09,0.5993
1.1866e-09,0.4283
1.2099e-09,0.2189
1.2332e-09,0.0182
1.2564e-09,-0.2031
1.2797e-09,-0.4232
1.3030e-09,-0.5807
1.3262e-09,-0.6377
1.3495e-09,-0.6348
1.3728e-09,-0.6253
1.3960e-09,-0.6088
1.4193e-09,-0.5883
1.4426e-09,-0.5886
1.4658e-09,-0.6223
1.4891e-09,-0.6731
1.5124e-09,-0.7144
1.5356e-09,-0.7271
1.5589e-09,-0.6932
1.5822e-09,-0.5843
1.6054e-09,-0.3839
1.6287e-09,-0.1598
1.6520e-09,0.0461
1.6752e-09,0.2581
1.6985e-09,0.4544
1.7218e-09,0.5822
1.7450e-09,0.6166
1.7683e-09,0.6044
1.7916e-09,0.5958
1.8148e-09,0.5906
1.8381e-09,0.5895
1.8614e-09,0.6077
1.8846e-09,0.6512
1.9079e-09,0.7011
1.9312e-09,0.7323
1.9544e-09,0.7288
1.9777e-09,0.6760
2.0010e-09,0.5486
2.0242e-09,0.3391
2.0475e-09,0.1241
2.0708e-09,-0.0681
2.0940e-09,-0.2703
2.1173e-09,-0.4557
2.1406e-09,-0.5704
2.1638e-09,-0.5967
2.1871e-09,-0.5920
2.2104e-09,-0.5980
2.2336e-09,-0.6021
2.2569e-09,-0.6046
2.2802e-09,-0.6246
2.3034e-09,-0.6660
2.3267e-09,-0.7072
2.3500e-09,-0.7263
2.3732e-09,-0.7117
2.3965e-09,-0.6522
2.4198e-09,-0.5200
2.4430e-09,-0.3140
2.4663e-09,-0.1072
2.4896e-09,0.0817
2.5128e-09,0.2798
2.5361e-09,0.4595
2.5594e-09,0.5710
2.5826e-09,0.6010
2.6059e-09,0.6016
2.6292e-09,0.6075
2.6524e-09,0.6105
2.6757e-09,0.6130
2.6990e-09,0.6303
2.7222e-09,0.6659
2.7455e-09,0.7018
2.7688e-09,0.7187
2.7920e-09,0.7040
2.8153e-09,0.6427
2.8386e-09,0.5052
2.8618e-09,0.2975
2.8851e-09,0.0974
2.9084e-09,-0.0914
2.9316e-09,-0.2957
2.9549e-09,-0.4773
2.9782e-09,-0.5818
3.0014e-09,-0.6041
3.0247e-09,-0.6055
3.0480e-09,-0.6129
3.0712e-09,-0.6115
3.0945e-09,-0.6092
3.1178e-09,-0.6269
3.1410e-09,-0.6653
3.1643e-09,-0.7018
3.1876e-09,-0.7173
3.2108e-09,-0.7000
3.2341e-09,-0.6351
3.2574e-09,-0.4904
3.2806e-09,-0.2802
3.3039e-09,-0.0781
3.3272e-09,0.1157
3.3504e-09,0.3190
3.3737e-09,0.4935
3.3970e-09,0.5903
3.4202e-09,0.6093
3.4435e-09,0.6077
3.4668e-09,0.6097
3.4901e-09,0.6074
3.5133e-09,0.6086
3.5366e-09,0.6293
3.5599e-09,0.6684
3.5831e-09,0.7049
3.6064e-09,0.7203
3.6297e-09,0.7006
3.6529e-09,0.6285
3.6762e-09,0.4723
3.6995e-09,0.2578
3.7227e-09,0.0603
3.7460e-09,-0.1346
3.7693e-09,-0.3404
3.7925e-09,-0.5104
3.8158e-09,-0.5943
3.8391e-09,-0.6044
3.8623e-09,-0.6047
3.8856e-09,-0.6096
3.9089e-09,-0.6060
3.9321e-09,-0.6073
3.9554e-09,-0.6322
3.9787e-09,-0.6746
4.0019e-09,-0.7098
4.0252e-09,-0.7205
4.0485e-09,-0.6947
4.0717e-09,-0.6153
4.0950e-09,-0.4511
4.1183e-09,-0.2357
4.1415e-09,-0.0374
4.1648e-09,0.1588
4.1881e-09,0.3594
4.2113e-09,0.5201
4.2346e-09,0.5972
4.2579e-09,0.6063
4.2811e-09,0.6052
4.3044e-09,0.6076
4.3277e-09,0.6060
4.3509e-09,0.6116
4.3742e-09,0.6380
4.3975e-09,0.6789
4.4207e-09,0.7120
4.4440e-09,0.7206
4.4673e-09,0.6910
4.4905e-09,0.6035
4.5138e-09,0.4296
4.5371e-09,0.2143
4.5603e-09,0.0219
4.5836e-09,-0.1756
4.6069e-09,-0.3780
4.6301e-09,-0.5332
4.6534e-09,-0.5984
4.6767e-09,-0.6024
4.6999e-09,-0.6055
4.7232e-09,-0.6099
4.7465e-09,-0.6062
4.7697e-09,-0.6115
4.7930e-09,-0.6411
4.8163e-09,-0.6835
4.8395e-09,-0.7141
4.8628e-09,-0.7179
4.8861e-09,-0.6830
4.9093e-09,-0.5887
4.9326e-09,-0.4090
4.9559e-09,-0.1941
4.9791e-09,-0.0001
5.0024e-09,0.1984
5.0257e-09,0.3953
5.0489e-09,0.5418
5.0722e-09,0.6022
5.0955e-09,0.6058
5.1187e-09,0.6066
5.1420e-09,0.6083
5.1653e-09,0.6067
5.1885e-09,0.6153
5.2118e-09,0.6455
5.2351e-09,0.6863
5.2583e-09,0.7153
5.2816e-09,0.7176
5.3049e-09,0.6788
5.3281e-09,0.5759
5.3514e-09,0.3873
5.3747e-09,0.1747
5.3979e-09,-0.0151
5.4212e-09,-0.2165
5.4445e-09,-0.4144
5.4677e-09,-0.5539
5.4910e-09,-0.6021
5.5143e-09,-0.6027
5.5375e-09,-0.6074
5.5608e-09,-0.6098
5.5841e-09,-0.6057
5.6073e-09,-0.6151
5.6306e-09,-0.6489
5.6539e-09,-0.6908
5.6771e-09,-0.7171
5.7004e-09,-0.7143
5.7237e-09,-0.6703
5.7469e-09,-0.5598
5.7702e-09,-0.3665
5.7935e-09,-0.1542
5.8168e-09,0.0381
5.8400e-09,0.2392
5.8633e-09,0.4304
5.8866e-09,0.5612
5.9098e-09,0.6054
5.9331e-09,0.6054
5.9564e-09,0.6072
5.9796e-09,0.6078
6.0029e-09,0.6067
6.0262e-09,0.6194
6.0494e-09,0.6534
6.0727e-09,0.6936
6.0960e-09,0.7184
6.1192e-09,0.7138
6.1425e-09,0.6648
6.1658e-09,0.5447
6.1890e-09,0.3437
6.2123e-09,0.1355
6.2356e-09,-0.0539
6.2588e-09,-0.2581
6.2821e-09,-0.4490
6.3054e-09,-0.5707
6.3286e-09,-0.6035
6.3519e-09,-0.6026
6.3752e-09,-0.6085
6.3984e-09,-0.6089
6.4217e-09,-0.6056
6.4450e-09,-0.6200
6.4682e-09,-0.6576
6.4915e-09,-0.6980
6.5148e-09,-0.7193
6.5380e-09,-0.7094
6.5613e-09,-0.6548
6.5846e-09,-0.5268
6.6078e-09,-0.3226
6.6311e-09,-0.1146
6.6544e-09,0.0774
6.6776e-09,0.2799
6.7009e-09,0.4630
6.7242e-09,0.5767
6.7474e-09,0.6067
6.7707e-09,0.6051
6.7940e-09,0.6076
6.8172e-09,0.6073
6.8405e-09,0.6076
6.8638e-09,0.6247
6.8870e-09,0.6618
6.9103e-09,0.7004
6.9336e-09,0.7204
6.9568e-09,0.7080
6.9801e-09,0.6477
7.0034e-09,0.5095
7.0266e-09,0.2998
7.0499e-09,0.0973
7.0732e-09,-0.0935
7.0964e-09,-0.2993
7.1197e-09,-0.4806
7.1430e-09,-0.5837
7.1662e-09,-0.6037
7.1895e-09,-0.6033
7.2128e-09,-0.6096
7.2360e-09,-0.6079
7.2593e-09,-0.6065
7.2826e-09,-0.6261
7.3058e-09,-0.6664
7.3291e-09,-0.7042
7.3524e-09,-0.7202
7.3756e-09,-0.7026
7.3989e-09,-0.6363
7.4222e-09,-0.4904
7.4454e-09,-0.2788
7.4687e-09,-0.0760
7.4920e-09,0.1174
7.5152e-09,0.3199
7.5385e-09,0.4928
7.5618e-09,0.5886
7.5850e-09,0.6070
7.6083e-09,0.6053
7.6316e-09,0.6080
7.6548e-09,0.6068
7.6781e-09,0.6093
7.7014e-09,0.6308
7.7246e-09,0.6701
7.7479e-09,0.7063
7.7712e-09,0.7210
7.7944e-09,0.7004
7.8177e-09,0.6274
7.8410e-09,0.4711
7.8642e-09,0.2565
7.8875e-09,0.0598
7.9108e-09,-0.1341
7.9340e-09,-0.3396
7.9573e-09,-0.5090
7.9806e-09,-0.5929
8.0038e-09,-0.6033
8.0271e-09,-0.6044
8.0504e-09,-0.6101
8.0736e-09,-0.6068
8.0969e-09,-0.6082
8.1202e-09,-0.6330
8.1435e-09,-0.6750
8.1667e-09,-0.7096
8.1900e-09,-0.7198
8.2133e-09,-0.6939
8.2365e-09,-0.6144
8.2598e-09,-0.4511
8.2831e-09,-0.2359
8.3063e-09,-0.0381
8.3296e-09,0.1578
8.3529e-09,0.3585
8.3761e-09,0.5191
8.3994e-09,0.5970
8.4227e-09,0.6064
8.4459e-09,0.6057
8.4692e-09,0.6080
8.4925e-09,0.6064
8.5157e-09,0.6117
8.5390e-09,0.6378
8.5623e-09,0.6784
8.5855e-09,0.7114
8.6088e-09,0.7202
8.6321e-09,0.6908
8.6553e-09,0.6036
8.6786e-09,0.4302
8.7019e-09,0.2149
8.7251e-09,0.0227
8.7484e-09,-0.1751
8.7717e-09,-0.3779
8.7949e-09,-0.5332
8.8182e-09,-0.5986
8.8415e-09,-0.6026
8.8647e-09,-0.6058
8.8880e-09,-0.6101
8.9113e-09,-0.6060
8.9345e-09,-0.6111
8.9578e-09,-0.6407
8.9811e-09,-0.6832
9.0043e-09,-0.7139
9.0276e-09,-0.7179
9.0509e-09,-0.6832
9.0741e-09,-0.5890
9.0974e-09,-0.4097
9.1207e-09,-0.1946
9.1439e-09,-0.0005
9.1672e-09,0.1982
9.1905e-09,0.3951
9.2137e-09,0.5415
9.2370e-09,0.6021
9.2603e-09,0.6058
9.2835e-09,0.6064
9.3068e-09,0.6079
9.3301e-09,0.6064
9.3533e-09,0.6152
9.3766e-09,0.6454
9.3999e-09,0.6861
9.4231e-09,0.7153
9.4464e-09,0.7177
9.4697e-09,0.6790
9.4929e-09,0.5761
9.5162e-09,0.3877
9.5395e-09,0.1751
9.5627e-09,-0.0147
9.5860e-09,-0.2162
9.6093e-09,-0.4141
9.6325e-09,-0.5535
9.6558e-09,-0.6017
9.6791e-09,-0.6025
9.7023e-09,-0.6074
9.7256e-09,-0.6097
9.7489e-09,-0.6055
9.7721e-09,-0.6151
9.7954e-09,-0.6490
9.8187e-09,-0.6908
9.8419e-09,-0.7170
9.8652e-09,-0.7144
9.8885e-09,-0.6703
9.9117e-09,-0.5599
9.9350e-09,-0.3671
9.9583e-09,-0.1548
9.9815e-09,0.0376
1.00048e-08,0.2387
1.00281e-08,0.4295
1.00513e-08,0.5603
1.00746e-08,0.6051
1.00979e-08,0.6054
1.01211e-08,0.6071
1.01444e-08,0.6076
1.01677e-08,0.6067
1.01909e-08,0.6195
1.02142e-08,0.6533
1.02375e-08,0.6934
1.02607e-08,0.7183
1.02840e-08,0.7137
1.03073e-08,0.6648
1.03305e-08,0.5449
1.03538e-08,0.3445
1.03771e-08,0.1367
1.04003e-08,-0.0529
1.04236e-08,-0.2573
1.04469e-08,-0.4479
1.04702e-08,-0.5698
1.04934e-08,-0.6031
1.05167e-08,-0.6027
1.05400e-08,-0.6087
1.05632e-08,-0.6088
1.05865e-08,-0.6057
1.06098e-08,-0.6200
1.06330e-08,-0.6575
1.06563e-08,-0.6977
1.06796e-08,-0.7191
1.07028e-08,-0.7093
1.07261e-08,-0.6549
1.07494e-08,-0.5273
1.07726e-08,-0.3239
1.07959e-08,-0.1162
1.08192e-08,0.0762
1.08424e-08,0.2787
1.08657e-08,0.4614
1.08890e-08,0.5755
1.09122e-08,0.6064
1.09355e-08,0.6053
1.09588e-08,0.6076
1.09820e-08,0.6072
1.10053e-08,0.6077
1.10286e-08,0.6247
1.10518e-08,0.6615
1.10751e-08,0.7000
1.10984e-08,0.7201
1.11216e-08,0.7080
1.11449e-08,0.6478
1.11682e-08,0.5103
1.11914e-08,0.3014
1.12147e-08,0.0993
1.12380e-08,-0.0920
1.12612e-08,-0.2977
1.12845e-08,-0.4787
1.13078e-08,-0.5824
