.HEADER
..NAMES
Time,V U2.N8
.DATA
5.7004e-09,1.2086
5.7237e-09,1.2083
5.7469e-09,1.2066
5.7702e-09,1.2042
5.7935e-09,1.2015
5.8168e-09,1.1993
5.8400e-09,1.1979
5.8633e-09,1.1973
5.8866e-09,1.1976
5.9098e-09,1.1985
5.9331e-09,1.1999
5.9564e-09,1.2016
5.9796e-09,1.2032
6.0029e-09,1.2045
6.0262e-09,1.2055
6.0494e-09,1.2059
6.0727e-09,1.2058
6.0960e-09,1.2053
6.1192e-09,1.2045
6.1425e-09,1.2034
6.1658e-09,1.2018
6.1890e-09,1.1940
6.2123e-09,1.1724
6.2356e-09,1.1188
6.2588e-09,1.0323
6.2821e-09,0.9211
6.3054e-09,0.7986
6.3286e-09,0.6636
6.3519e-09,0.5220
6.3752e-09,0.3812
6.3984e-09,0.2474
6.4217e-09,0.1285
6.4450e-09,0.0315
6.4682e-09,-0.0385
6.4915e-09,-0.0861
6.5148e-09,-0.1175
6.5380e-09,-0.1363
6.5613e-09,-0.1455
6.5846e-09,-0.1520
6.6078e-09,-0.1606
6.6311e-09,-0.1688
6.6544e-09,-0.1729
6.6776e-09,-0.1741
6.7009e-09,-0.1752
6.7242e-09,-0.1777
6.7474e-09,-0.1810
6.7707e-09,-0.1813
6.7940e-09,-0.1722
6.8172e-09,-0.1491
6.8405e-09,-0.1132
6.8638e-09,-0.0700
6.8870e-09,-0.0251
6.9103e-09,0.0179
6.9336e-09,0.0561
6.9568e-09,0.0866
6.9801e-09,0.1075
7.0034e-09,0.1191
7.0266e-09,0.1233
7.0499e-09,0.1259
7.0732e-09,0.1395
7.0964e-09,0.1806
7.1197e-09,0.2469
7.1430e-09,0.3344
7.1662e-09,0.4404
7.1895e-09,0.5635
7.2128e-09,0.6940
7.2360e-09,0.8224
7.2593e-09,0.9421
7.2826e-09,1.0474
7.3058e-09,1.1312
7.3291e-09,1.1917
7.3524e-09,1.2316
7.3756e-09,1.2531
7.3989e-09,1.2575
7.4222e-09,1.2509
7.4454e-09,1.2428
7.4687e-09,1.2381
7.4920e-09,1.2357
7.5152e-09,1.2367
7.5385e-09,1.2430
7.5618e-09,1.2548
7.5850e-09,1.2701
7.6083e-09,1.2857
7.6316e-09,1.2968
7.6548e-09,1.2979
7.6781e-09,1.2859
7.7014e-09,1.2622
7.7246e-09,1.2302
7.7479e-09,1.1937
7.7712e-09,1.1563
7.7944e-09,1.1229
7.8177e-09,1.0979
7.8410e-09,1.0829
7.8642e-09,1.0773
7.8875e-09,1.0801
7.9108e-09,1.0908
7.9340e-09,1.1082
7.9573e-09,1.1300
7.9806e-09,1.1529
8.0038e-09,1.1735
8.0271e-09,1.1889
8.0504e-09,1.1979
8.0736e-09,1.2010
8.0969e-09,1.1997
8.1202e-09,1.1949
8.1435e-09,1.1875
8.1667e-09,1.1796
8.1900e-09,1.1740
8.2133e-09,1.1729
8.2365e-09,1.1771
8.2598e-09,1.1867
8.2831e-09,1.2007
8.3063e-09,1.2170
8.3296e-09,1.2326
8.3529e-09,1.2448
8.3761e-09,1.2518
8.3994e-09,1.2528
8.4227e-09,1.2487
8.4459e-09,1.2411
8.4692e-09,1.2316
8.4925e-09,1.2208
8.5157e-09,1.2092
8.5390e-09,1.1982
8.5623e-09,1.1892
8.5855e-09,1.1834
8.6088e-09,1.1814
8.6321e-09,1.1831
8.6553e-09,1.1878
8.6786e-09,1.1914
8.7019e-09,1.1849
8.7251e-09,1.1536
8.7484e-09,1.0832
8.7717e-09,0.9816
8.7949e-09,0.8605
8.8182e-09,0.7247
8.8415e-09,0.5771
8.8647e-09,0.4269
8.8880e-09,0.2819
8.9113e-09,0.1515
8.9345e-09,0.0433
8.9578e-09,-0.0348
8.9811e-09,-0.0852
9.0043e-09,-0.1157
9.0276e-09,-0.1324
9.0509e-09,-0.1386
9.0741e-09,-0.1401
9.0974e-09,-0.1440
9.1207e-09,-0.1507
9.1439e-09,-0.1558
9.1672e-09,-0.1589
9.1905e-09,-0.1628
9.2137e-09,-0.1693
9.2370e-09,-0.1779
9.2603e-09,-0.1855
9.2835e-09,-0.1852
9.3068e-09,-0.1702
9.3301e-09,-0.1387
9.3533e-09,-0.0954
9.3766e-09,-0.0468
9.3999e-09,0.0018
9.4231e-09,0.0467
9.4464e-09,0.0841
9.4697e-09,0.1110
9.4929e-09,0.1263
9.5162e-09,0.1313
9.5395e-09,0.1305
9.5627e-09,0.1332
9.5860e-09,0.1593
9.6093e-09,0.2128
9.6325e-09,0.2916
9.6558e-09,0.3887
9.6791e-09,0.5067
9.7023e-09,0.6365
9.7256e-09,0.7682
9.7489e-09,0.8946
9.7721e-09,1.0089
9.7954e-09,1.1049
9.8187e-09,1.1771
9.8419e-09,1.2263
9.8652e-09,1.2553
9.8885e-09,1.2649
9.9117e-09,1.2590
9.9350e-09,1.2473
9.9583e-09,1.2379
9.9815e-09,1.2322
1.00048e-08,1.2300
1.00281e-08,1.2336
1.00513e-08,1.2441
1.00746e-08,1.2598
1.00979e-08,1.2779
1.01211e-08,1.2937
1.01444e-08,1.3013
1.01677e-08,1.2960
1.01909e-08,1.2772
1.02142e-08,1.2479
1.02375e-08,1.2120
1.02607e-08,1.1733
1.02840e-08,1.1366
1.03073e-08,1.1065
1.03305e-08,1.0862
1.03538e-08,1.0758
1.03771e-08,1.0744
1.04003e-08,1.0814
1.04236e-08,1.0963
1.04469e-08,1.1175
1.04702e-08,1.1419
1.04934e-08,1.1658
1.05167e-08,1.1854
1.05400e-08,1.1983
1.05632e-08,1.2041
1.05865e-08,1.2042
1.06098e-08,1.1999
1.06330e-08,1.1921
1.06563e-08,1.1828
1.06796e-08,1.1748
1.07028e-08,1.1709
1.07261e-08,1.1725
1.07494e-08,1.1799
1.07726e-08,1.1925
1.07959e-08,1.2087
1.08192e-08,1.2256
1.08424e-08,1.2401
1.08657e-08,1.2501
1.08890e-08,1.2542
1.09122e-08,1.2524
1.09355e-08,1.2463
1.09588e-08,1.2376
1.09820e-08,1.2271
1.10053e-08,1.2152
1.10286e-08,1.2030
1.10518e-08,1.1920
1.10751e-08,1.1838
1.10984e-08,1.1796
1.11216e-08,1.1796
1.11449e-08,1.1836
1.11682e-08,1.1894
1.11914e-08,1.1887
1.12147e-08,1.1712
1.12380e-08,1.1163
1.12612e-08,1.0270
1.12845e-08,0.9118
1.13078e-08,0.7824
1.13310e-08,0.6383
1.13543e-08,0.4877
1.13776e-08,0.3395
1.14008e-08,0.2018
1.14241e-08,0.0834
1.14474e-08,-0.0075
1.14706e-08,-0.0683
1.14939e-08,-0.1061
1.15172e-08,-0.1280
1.15404e-08,-0.1379
1.15637e-08,-0.1400
1.15870e-08,-0.1420
1.16102e-08,-0.1476
1.16335e-08,-0.1532
1.16568e-08,-0.1566
1.16800e-08,-0.1598
1.17033e-08,-0.1654
1.17266e-08,-0.1737
1.17498e-08,-0.1830
1.17731e-08,-0.1873
1.17964e-08,-0.1791
1.18196e-08,-0.1540
1.18429e-08,-0.1146
1.18662e-08,-0.0672
1.18894e-08,-0.0179
1.19127e-08,0.0290
1.19360e-08,0.0701
1.19592e-08,0.1015
1.19825e-08,0.1216
1.20058e-08,0.1305
1.20290e-08,0.1314
1.20523e-08,0.1310
1.20756e-08,0.1457
1.20988e-08,0.1887
1.21221e-08,0.2580
1.21454e-08,0.3474
1.21686e-08,0.4575
1.21919e-08,0.5833
1.22152e-08,0.7155
1.22384e-08,0.8448
1.22617e-08,0.9645
1.22850e-08,1.0692
1.23082e-08,1.1512
1.23315e-08,1.2095
1.23548e-08,1.2466
1.23780e-08,1.2637
1.24013e-08,1.2630
1.24246e-08,1.2521
1.24478e-08,1.2411
1.24711e-08,1.2339
1.24944e-08,1.2301
1.25176e-08,1.2311
1.25409e-08,1.2388
1.25642e-08,1.2527
1.25874e-08,1.2703
1.26107e-08,1.2877
1.26340e-08,1.2993
1.26572e-08,1.2994
1.26805e-08,1.2859
1.27038e-08,1.2605
1.27270e-08,1.2270
1.27503e-08,1.1891
1.27736e-08,1.1509
1.27968e-08,1.1177
1.28201e-08,1.0932
1.28434e-08,1.0758
1.28667e-08,1.0572
1.28899e-08,1.0236
1.29132e-08,0.9614
1.29365e-08,0.8786
1.29597e-08,0.7838
1.29830e-08,0.6780
1.30063e-08,0.5588
1.30295e-08,0.4317
1.30528e-08,0.3020
1.30761e-08,0.1785
1.30993e-08,0.0692
1.31226e-08,-0.0174
1.31459e-08,-0.0815
1.31691e-08,-0.1273
1.31924e-08,-0.1563
1.32157e-08,-0.1692
1.32389e-08,-0.1706
1.32622e-08,-0.1677
1.32855e-08,-0.1620
1.33087e-08,-0.1513
1.33320e-08,-0.1382
1.33553e-08,-0.1280
1.33785e-08,-0.1245
1.34018e-08,-0.1282
1.34251e-08,-0.1359
1.34483e-08,-0.1398
1.34716e-08,-0.1327
1.34949e-08,-0.1129
1.35181e-08,-0.0840
1.35414e-08,-0.0505
1.35647e-08,-0.0153
1.35879e-08,0.0200
1.36112e-08,0.0529
1.36345e-08,0.0805
1.36577e-08,0.1013
1.36810e-08,0.1150
1.37043e-08,0.1208
1.37275e-08,0.1184
1.37508e-08,0.1080
1.37741e-08,0.0919
1.37973e-08,0.0736
1.38206e-08,0.0568
1.38439e-08,0.0434
1.38671e-08,0.0333
1.38904e-08,0.0252
1.39137e-08,0.0187
1.39369e-08,0.0156
1.39602e-08,0.0174
1.39835e-08,0.0228
1.40067e-08,0.0283
1.40300e-08,0.0302
1.40533e-08,0.0266
1.40765e-08,0.0171
1.40998e-08,0.0033
1.41231e-08,-0.0120
1.41463e-08,-0.0259
1.41696e-08,-0.0365
1.41929e-08,-0.0429
1.42161e-08,-0.0450
1.42394e-08,-0.0442
1.42627e-08,-0.0417
1.42859e-08,-0.0374
1.43092e-08,-0.0305
1.43325e-08,-0.0209
1.43557e-08,-0.0101
1.43790e-08,-0.0002
1.44023e-08,0.0069
1.44255e-08,0.0106
1.44488e-08,0.0116
1.44721e-08,0.0106
1.44953e-08,0.0083
1.45186e-08,0.0057
1.45419e-08,0.0077
1.45651e-08,0.0275
1.45884e-08,0.0826
1.46117e-08,0.1697
1.46349e-08,0.2799
1.46582e-08,0.4058
1.46815e-08,0.5452
1.47047e-08,0.6892
1.47280e-08,0.8282
1.47513e-08,0.9555
1.47745e-08,1.0639
1.47978e-08,1.1460
1.48211e-08,1.2024
1.48443e-08,1.2393
1.48676e-08,1.2619
1.48909e-08,1.2719
1.49141e-08,1.2740
1.49374e-08,1.2763
1.49607e-08,1.2821
1.49839e-08,1.2882
1.50072e-08,1.2928
1.50305e-08,1.2975
1.50537e-08,1.3038
1.50770e-08,1.3117
1.51003e-08,1.3194
1.51236e-08,1.3219
1.51468e-08,1.3130
1.51701e-08,1.2895
1.51934e-08,1.2541
1.52166e-08,1.2127
1.52399e-08,1.1702
1.52632e-08,1.1305
1.52864e-08,1.0977
1.53097e-08,1.0755
1.53330e-08,1.0642
1.53562e-08,1.0560
1.53795e-08,1.0397
1.54028e-08,0.9942
1.54260e-08,0.9221
1.54493e-08,0.8298
1.54726e-08,0.7255
1.54958e-08,0.6048
1.55191e-08,0.4730
1.55424e-08,0.3379
1.55656e-08,0.2082
1.55889e-08,0.0936
1.56122e-08,0.0019
1.56354e-08,-0.0647
1.56587e-08,-0.1117
1.56820e-08,-0.1422
1.57052e-08,-0.1568
1.57285e-08,-0.1575
1.57518e-08,-0.1519
1.57750e-08,-0.1448
1.57983e-08,-0.1353
1.58216e-08,-0.1241
1.58448e-08,-0.1159
1.58681e-08,-0.1150
1.58914e-08,-0.1225
1.59146e-08,-0.1354
1.59379e-08,-0.1462
1.59612e-08,-0.1464
1.59844e-08,-0.1314
1.60077e-08,-0.1037
1.60310e-08,-0.0685
1.60542e-08,-0.0300
1.60775e-08,0.0095
1.61008e-08,0.0470
1.61240e-08,0.0787
1.61473e-08,0.1020
1.61706e-08,0.1163
1.61938e-08,0.1220
1.62171e-08,0.1196
1.62404e-08,0.1095
1.62636e-08,0.0935
1.62869e-08,0.0745
1.63102e-08,0.0560
1.63334e-08,0.0407
1.63567e-08,0.0294
1.63800e-08,0.0213
1.64032e-08,0.0157
1.64265e-08,0.0138
1.64498e-08,0.0172
1.64730e-08,0.0249
1.64963e-08,0.0332
1.65196e-08,0.0376
1.65428e-08,0.0355
1.65661e-08,0.0262
1.65894e-08,0.0113
1.66126e-08,-0.0062
1.66359e-08,-0.0230
1.66592e-08,-0.0365
1.66824e-08,-0.0451
1.67057e-08,-0.0484
1.67290e-08,-0.0474
1.67522e-08,-0.0439
1.67755e-08,-0.0387
1.67988e-08,-0.0315
1.68220e-08,-0.0219
1.68453e-08,-0.0109
1.68686e-08,-0.0003
1.68918e-08,0.0078
1.69151e-08,0.0125
1.69384e-08,0.0140
1.69616e-08,0.0130
1.69849e-08,0.0100
1.70082e-08,0.0056
1.70314e-08,0.0031
1.70547e-08,0.0123
1.70780e-08,0.0525
1.71012e-08,0.1286
1.71245e-08,0.2332
1.71478e-08,0.3543
1.71710e-08,0.4914
1.71943e-08,0.6355
1.72176e-08,0.7778
1.72408e-08,0.9104
1.72641e-08,1.0261
1.72874e-08,1.1182
1.73106e-08,1.1831
1.73339e-08,1.2259
1.73572e-08,1.2532
1.73804e-08,1.2675
1.74037e-08,1.2717
1.74270e-08,1.2732
1.74502e-08,1.2782
1.74735e-08,1.2851
1.74968e-08,1.2907
1.75201e-08,1.2956
1.75433e-08,1.3018
1.75666e-08,1.3097
