.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
0.0e+00,1.2000
2.33e-11,1.2000
4.65e-11,1.2000
6.98e-11,1.2000
9.31e-11,1.2000
1.163e-10,1.2000
1.396e-10,1.2000
1.629e-10,1.2000
1.861e-10,1.2000
2.094e-10,1.2000
2.327e-10,1.2000
2.559e-10,1.2000
2.792e-10,1.2000
3.025e-10,1.2000
3.257e-10,1.2000
3.490e-10,1.2000
3.723e-10,1.2000
3.955e-10,1.2000
4.188e-10,1.2000
4.421e-10,1.2000
4.653e-10,1.2000
4.886e-10,1.2000
5.119e-10,1.2000
5.351e-10,1.2000
5.584e-10,1.2000
5.817e-10,1.2000
6.049e-10,1.2000
6.282e-10,1.2000
6.515e-10,1.2000
6.747e-10,1.2000
6.980e-10,1.2000
7.213e-10,1.1999
7.445e-10,1.1987
7.678e-10,1.1906
7.911e-10,1.1635
8.143e-10,1.1020
8.376e-10,1.0105
8.609e-10,0.9114
8.841e-10,0.8297
9.074e-10,0.7725
9.307e-10,0.7282
9.539e-10,0.6831
9.772e-10,0.6353
1.0005e-09,0.5949
1.0237e-09,0.5694
1.0470e-09,0.5595
1.0703e-09,0.5568
1.0935e-09,0.5525
1.1168e-09,0.5439
1.1401e-09,0.5351
1.1633e-09,0.5308
1.1866e-09,0.5337
1.2099e-09,0.5532
1.2332e-09,0.6074
1.2564e-09,0.6983
1.2797e-09,0.8047
1.3030e-09,0.8978
1.3262e-09,0.9669
1.3495e-09,1.0230
1.3728e-09,1.0812
1.3960e-09,1.1418
1.4193e-09,1.1914
1.4426e-09,1.2177
1.4658e-09,1.2198
1.4891e-09,1.2096
1.5124e-09,1.2019
1.5356e-09,1.2021
1.5589e-09,1.2053
1.5822e-09,1.2032
1.6054e-09,1.1892
1.6287e-09,1.1563
1.6520e-09,1.0952
1.6752e-09,1.0102
1.6985e-09,0.9185
1.7218e-09,0.8405
1.7450e-09,0.7812
1.7683e-09,0.7308
1.7916e-09,0.6777
1.8148e-09,0.6229
1.8381e-09,0.5772
1.8614e-09,0.5487
1.8846e-09,0.5377
1.9079e-09,0.5346
1.9312e-09,0.5293
1.9544e-09,0.5196
1.9777e-09,0.5111
2.0010e-09,0.5104
2.0242e-09,0.5213
2.0475e-09,0.5539
2.0708e-09,0.6214
2.0940e-09,0.7195
2.1173e-09,0.8254
2.1406e-09,0.9141
2.1638e-09,0.9807
2.1871e-09,1.0366
2.2104e-09,1.0940
2.2336e-09,1.1504
2.2569e-09,1.1932
2.2802e-09,1.2138
2.3034e-09,1.2140
2.3267e-09,1.2060
2.3500e-09,1.2019
2.3732e-09,1.2045
2.3965e-09,1.2079
2.4198e-09,1.2044
2.4430e-09,1.1882
2.4663e-09,1.1502
2.4896e-09,1.0829
2.5128e-09,0.9937
2.5361e-09,0.9022
2.5594e-09,0.8275
2.5826e-09,0.7702
2.6059e-09,0.7194
2.6292e-09,0.6650
2.6524e-09,0.6112
2.6757e-09,0.5687
2.6990e-09,0.5444
2.7222e-09,0.5359
2.7455e-09,0.5329
2.7688e-09,0.5266
2.7920e-09,0.5169
2.8153e-09,0.5100
2.8386e-09,0.5118
2.8618e-09,0.5259
2.8851e-09,0.5643
2.9084e-09,0.6387
2.9316e-09,0.7406
2.9549e-09,0.8450
2.9782e-09,0.9291
3.0014e-09,0.9923
3.0247e-09,1.0477
3.0480e-09,1.1055
3.0712e-09,1.1603
3.0945e-09,1.1994
3.1178e-09,1.2156
3.1410e-09,1.2130
3.1643e-09,1.2048
3.1876e-09,1.2020
3.2108e-09,1.2053
3.2341e-09,1.2079
3.2574e-09,1.2023
3.2806e-09,1.1826
3.3039e-09,1.1388
3.3272e-09,1.0661
3.3504e-09,0.9748
3.3737e-09,0.8857
3.3970e-09,0.8151
3.4202e-09,0.7602
3.4435e-09,0.7091
3.4668e-09,0.6540
3.4901e-09,0.6017
3.5133e-09,0.5625
3.5366e-09,0.5418
3.5599e-09,0.5352
3.5831e-09,0.5320
3.6064e-09,0.5248
3.6297e-09,0.5151
3.6529e-09,0.5096
3.6762e-09,0.5133
3.6995e-09,0.5308
3.7227e-09,0.5761
3.7460e-09,0.6575
3.7693e-09,0.7622
3.7925e-09,0.8637
3.8158e-09,0.9428
3.8391e-09,1.0033
3.8623e-09,1.0589
3.8856e-09,1.1171
3.9089e-09,1.1697
3.9321e-09,1.2044
3.9554e-09,1.2160
3.9787e-09,1.2112
4.0019e-09,1.2036
4.0252e-09,1.2023
4.0485e-09,1.2061
4.0717e-09,1.2076
4.0950e-09,1.1996
4.1183e-09,1.1762
4.1415e-09,1.1265
4.1648e-09,1.0488
4.1881e-09,0.9561
4.2113e-09,0.8700
4.2346e-09,0.8033
4.2579e-09,0.7502
4.2811e-09,0.6985
4.3044e-09,0.6430
4.3277e-09,0.5926
4.3509e-09,0.5569
4.3742e-09,0.5398
4.3975e-09,0.5348
4.4207e-09,0.5310
4.4440e-09,0.5228
4.4673e-09,0.5134
4.4905e-09,0.5095
4.5138e-09,0.5155
4.5371e-09,0.5372
4.5603e-09,0.5896
4.5836e-09,0.6772
4.6069e-09,0.7835
4.6301e-09,0.8814
4.6534e-09,0.9559
4.6767e-09,1.0141
4.6999e-09,1.0702
4.7232e-09,1.1283
4.7465e-09,1.1783
4.7697e-09,1.2085
4.7930e-09,1.2159
4.8163e-09,1.2094
4.8395e-09,1.2027
4.8628e-09,1.2029
4.8861e-09,1.2069
4.9093e-09,1.2070
4.9326e-09,1.1964
4.9559e-09,1.1687
4.9791e-09,1.1129
5.0024e-09,1.0307
5.0257e-09,0.9377
5.0489e-09,0.8552
5.0722e-09,0.7921
5.0955e-09,0.7403
5.1187e-09,0.6877
5.1420e-09,0.6322
5.1653e-09,0.5841
5.1885e-09,0.5521
5.2118e-09,0.5383
5.2351e-09,0.5343
5.2583e-09,0.5298
5.2816e-09,0.5209
5.3049e-09,0.5120
5.3281e-09,0.5098
5.3514e-09,0.5182
5.3747e-09,0.5447
5.3979e-09,0.6045
5.4212e-09,0.6978
5.4445e-09,0.8045
5.4677e-09,0.8980
5.4910e-09,0.9682
5.5143e-09,1.0250
5.5375e-09,1.0817
5.5608e-09,1.1394
5.5841e-09,1.1861
5.6073e-09,1.2116
5.6306e-09,1.2152
5.6539e-09,1.2077
5.6771e-09,1.2021
5.7004e-09,1.2036
5.7237e-09,1.2075
5.7469e-09,1.2059
5.7702e-09,1.1926
5.7935e-09,1.1600
5.8168e-09,1.0983
5.8400e-09,1.0123
5.8633e-09,0.9198
5.8866e-09,0.8413
5.9098e-09,0.7814
5.9331e-09,0.7303
5.9564e-09,0.6767
5.9796e-09,0.6217
6.0029e-09,0.5763
