.HEADER
..NAMES
Time,V U2.H2
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0027
3.723e-10,0.0027
3.955e-10,0.0027
4.188e-10,0.0027
4.421e-10,0.0027
4.653e-10,0.0027
4.886e-10,0.0027
5.119e-10,0.0027
5.351e-10,0.0027
5.584e-10,0.0035
5.817e-10,0.0103
6.049e-10,0.0359
6.282e-10,0.0884
6.515e-10,0.1604
6.747e-10,0.2493
6.980e-10,0.3512
7.213e-10,0.4599
7.445e-10,0.5786
7.678e-10,0.6985
7.911e-10,0.8124
8.143e-10,0.9206
8.376e-10,1.0171
8.609e-10,1.0951
8.841e-10,1.1510
9.074e-10,1.1866
9.307e-10,1.2104
9.539e-10,1.2280
9.772e-10,1.2419
1.0005e-09,1.2521
1.0237e-09,1.2587
1.0470e-09,1.2643
1.0703e-09,1.2699
1.0935e-09,1.2761
1.1168e-09,1.2822
1.1401e-09,1.2865
1.1633e-09,1.2871
1.1866e-09,1.2808
1.2099e-09,1.2663
1.2332e-09,1.2435
1.2564e-09,1.2156
1.2797e-09,1.1876
1.3030e-09,1.1621
1.3262e-09,1.1395
1.3495e-09,1.1189
1.3728e-09,1.1007
1.3960e-09,1.0889
1.4193e-09,1.0852
1.4426e-09,1.0894
1.4658e-09,1.1001
1.4891e-09,1.1154
1.5124e-09,1.1330
1.5356e-09,1.1490
1.5589e-09,1.1608
1.5822e-09,1.1682
1.6054e-09,1.1734
1.6287e-09,1.1779
1.6520e-09,1.1812
1.6752e-09,1.1821
1.6985e-09,1.1814
1.7218e-09,1.1808
1.7450e-09,1.1823
1.7683e-09,1.1869
1.7916e-09,1.1928
1.8148e-09,1.1921
1.8381e-09,1.1756
1.8614e-09,1.1250
1.8846e-09,1.0530
1.9079e-09,0.9630
1.9312e-09,0.8541
1.9544e-09,0.7403
1.9777e-09,0.6138
2.0010e-09,0.4828
2.0242e-09,0.3563
2.0475e-09,0.2340
2.0708e-09,0.1245
2.0940e-09,0.0367
2.1173e-09,-0.0253
2.1406e-09,-0.0628
2.1638e-09,-0.0865
2.1871e-09,-0.1023
2.2104e-09,-0.1142
2.2336e-09,-0.1228
2.2569e-09,-0.1274
2.2802e-09,-0.1315
2.3034e-09,-0.1352
2.3267e-09,-0.1408
2.3500e-09,-0.1482
2.3732e-09,-0.1550
2.3965e-09,-0.1585
2.4198e-09,-0.1536
2.4430e-09,-0.1384
2.4663e-09,-0.1127
2.4896e-09,-0.0798
2.5128e-09,-0.0457
2.5361e-09,-0.0129
2.5594e-09,0.0181
2.5826e-09,0.0477
2.6059e-09,0.0760
2.6292e-09,0.0985
2.6524e-09,0.1145
2.6757e-09,0.1298
2.6990e-09,0.1594
2.7222e-09,0.2056
2.7455e-09,0.2636
2.7688e-09,0.3400
2.7920e-09,0.4298
2.8153e-09,0.5322
2.8386e-09,0.6454
2.8618e-09,0.7552
2.8851e-09,0.8614
2.9084e-09,0.9631
2.9316e-09,1.0522
2.9549e-09,1.1224
2.9782e-09,1.1690
3.0014e-09,1.1958
3.0247e-09,1.2100
3.0480e-09,1.2159
3.0712e-09,1.2171
3.0945e-09,1.2156
3.1178e-09,1.2147
3.1410e-09,1.2166
3.1643e-09,1.2210
3.1876e-09,1.2276
3.2108e-09,1.2353
3.2341e-09,1.2440
3.2574e-09,1.2520
3.2806e-09,1.2557
3.3039e-09,1.2519
3.3272e-09,1.2386
3.3504e-09,1.2185
3.3737e-09,1.1956
3.3970e-09,1.1718
3.4202e-09,1.1482
3.4435e-09,1.1257
3.4668e-09,1.1073
3.4901e-09,1.0963
3.5133e-09,1.0929
3.5366e-09,1.0965
3.5599e-09,1.1069
3.5831e-09,1.1235
3.6064e-09,1.1434
3.6297e-09,1.1617
3.6529e-09,1.1755
3.6762e-09,1.1847
3.6995e-09,1.1909
3.7227e-09,1.1948
3.7460e-09,1.1956
3.7693e-09,1.1937
3.7925e-09,1.1902
3.8158e-09,1.1868
3.8391e-09,1.1848
3.8623e-09,1.1848
3.8856e-09,1.1824
3.9089e-09,1.1733
3.9321e-09,1.1386
3.9554e-09,1.0788
3.9787e-09,1.0023
4.0019e-09,0.9037
4.0252e-09,0.7966
4.0485e-09,0.6790
4.0717e-09,0.5495
4.0950e-09,0.4229
4.1183e-09,0.2989
4.1415e-09,0.1817
4.1648e-09,0.0818
4.1881e-09,0.0046
4.2113e-09,-0.0476
4.2346e-09,-0.0795
4.2579e-09,-0.1000
4.2811e-09,-0.1139
4.3044e-09,-0.1224
4.3277e-09,-0.1178
4.3509e-09,-0.0795
4.3742e-09,-0.0101
4.3975e-09,0.0791
4.4207e-09,0.1868
4.4440e-09,0.2985
