.HEADER
..NAMES
Time,V U2.B7&A7
.DATA
5.5143e-09,-0.4471
5.5375e-09,-0.5238
5.5608e-09,-0.5710
5.5841e-09,-0.6109
5.6073e-09,-0.6371
5.6306e-09,-0.6450
5.6539e-09,-0.6509
5.6771e-09,-0.6668
5.7004e-09,-0.6848
5.7237e-09,-0.6937
5.7469e-09,-0.6891
5.7702e-09,-0.6488
5.7935e-09,-0.5267
5.8168e-09,-0.3020
5.8400e-09,-0.0753
5.8633e-09,0.0861
5.8866e-09,0.2222
5.9098e-09,0.3551
5.9331e-09,0.4647
5.9564e-09,0.5319
5.9796e-09,0.5712
6.0029e-09,0.6115
6.0262e-09,0.6393
6.0494e-09,0.6447
6.0727e-09,0.6472
6.0960e-09,0.6639
6.1192e-09,0.6854
6.1425e-09,0.6957
6.1658e-09,0.6864
6.1890e-09,0.6383
6.2123e-09,0.5080
6.2356e-09,0.2816
6.2588e-09,0.0586
6.2821e-09,-0.1016
6.3054e-09,-0.2361
6.3286e-09,-0.3613
6.3519e-09,-0.4654
6.3752e-09,-0.5348
6.3984e-09,-0.5791
6.4217e-09,-0.6177
6.4450e-09,-0.6398
6.4682e-09,-0.6457
6.4915e-09,-0.6532
6.5148e-09,-0.6708
6.5380e-09,-0.6874
6.5613e-09,-0.6942
6.5846e-09,-0.6850
6.6078e-09,-0.6330
6.6311e-09,-0.4881
6.6544e-09,-0.2523
6.6776e-09,-0.0375
6.7009e-09,0.1138
6.7242e-09,0.2496
6.7474e-09,0.3799
6.7707e-09,0.4820
6.7940e-09,0.5407
6.8172e-09,0.5789
6.8405e-09,0.6188
6.8638e-09,0.6419
6.8870e-09,0.6445
6.9103e-09,0.6491
6.9336e-09,0.6684
6.9568e-09,0.6887
6.9801e-09,0.6959
7.0034e-09,0.6807
7.0266e-09,0.6209
7.0499e-09,0.4683
7.0732e-09,0.2325
7.0964e-09,0.0215
7.1197e-09,-0.1296
7.1430e-09,-0.2623
7.1662e-09,-0.3845
7.1895e-09,-0.4825
7.2128e-09,-0.5448
7.2360e-09,-0.5873
7.2593e-09,-0.6239
7.2826e-09,-0.6417
7.3058e-09,-0.6463
7.3291e-09,-0.6559
7.3524e-09,-0.6747
7.3756e-09,-0.6896
7.3989e-09,-0.6942
7.4222e-09,-0.6792
7.4454e-09,-0.6134
7.4687e-09,-0.4452
7.4920e-09,-0.2035
7.5152e-09,-0.0028
7.5385e-09,0.1411
7.5618e-09,0.2769
7.5850e-09,0.4035
7.6083e-09,0.4974
7.6316e-09,0.5487
7.6548e-09,0.5868
7.6781e-09,0.6255
7.7014e-09,0.6434
7.7246e-09,0.6444
7.7479e-09,0.6518
7.7712e-09,0.6731
7.7944e-09,0.6914
7.8177e-09,0.6952
7.8410e-09,0.6734
7.8642e-09,0.5995
7.8875e-09,0.4247
7.9108e-09,0.1846
7.9340e-09,-0.0127
7.9573e-09,-0.1568
7.9806e-09,-0.2881
8.0038e-09,-0.4066
8.0271e-09,-0.4980
8.0504e-09,-0.5539
8.0736e-09,-0.5954
8.0969e-09,-0.6293
8.1202e-09,-0.6430
8.1435e-09,-0.6473
8.1667e-09,-0.6592
8.1900e-09,-0.6784
8.2133e-09,-0.6913
8.2365e-09,-0.6935
8.2598e-09,-0.6715
8.2831e-09,-0.5894
8.3063e-09,-0.3989
8.3296e-09,-0.1573
8.3529e-09,0.0287
8.3761e-09,0.1679
8.3994e-09,0.3038
8.4227e-09,0.4256
8.4459e-09,0.5106
8.4692e-09,0.5560
8.4925e-09,0.5950
8.5157e-09,0.6312
8.5390e-09,0.6442
8.5623e-09,0.6446
8.5855e-09,0.6552
8.6088e-09,0.6776
8.6321e-09,0.6935
8.6553e-09,0.6934
8.6786e-09,0.6641
8.7019e-09,0.5738
8.7251e-09,0.3783
8.7484e-09,0.1398
8.7717e-09,-0.0435
8.7949e-09,-0.1832
8.8182e-09,-0.3131
8.8415e-09,-0.4273
8.8647e-09,-0.5115
8.8880e-09,-0.5623
8.9113e-09,-0.6033
8.9345e-09,-0.6336
8.9578e-09,-0.6438
8.9811e-09,-0.6487
9.0043e-09,-0.6629
9.0276e-09,-0.6818
9.0509e-09,-0.6926
9.0741e-09,-0.6918
9.0974e-09,-0.6616
9.1207e-09,-0.5607
9.1439e-09,-0.3506
9.1672e-09,-0.1146
9.1905e-09,0.0576
9.2137e-09,0.1946
9.2370e-09,0.3297
9.2603e-09,0.4458
9.2835e-09,0.5218
9.3068e-09,0.5632
9.3301e-09,0.6032
9.3533e-09,0.6357
9.3766e-09,0.6444
9.3999e-09,0.6455
9.4231e-09,0.6593
9.4464e-09,0.6817
9.4697e-09,0.6948
9.4929e-09,0.6906
9.5162e-09,0.6527
9.5395e-09,0.5434
9.5627e-09,0.3302
9.5860e-09,0.0980
9.6093e-09,-0.0724
9.6325e-09,-0.2093
9.6558e-09,-0.3374
9.6791e-09,-0.4466
9.7023e-09,-0.5234
9.7256e-09,-0.5704
9.7489e-09,-0.6107
9.7721e-09,-0.6369
9.7954e-09,-0.6445
9.8187e-09,-0.6505
9.8419e-09,-0.6667
9.8652e-09,-0.6848
9.8885e-09,-0.6935
9.9117e-09,-0.6891
9.9350e-09,-0.6489
9.9583e-09,-0.5270
9.9815e-09,-0.3016
1.00048e-08,-0.0752
1.00281e-08,0.0852
1.00513e-08,0.2215
1.00746e-08,0.3548
1.00979e-08,0.4643
1.01211e-08,0.5315
1.01444e-08,0.5706
1.01677e-08,0.6111
1.01909e-08,0.6390
1.02142e-08,0.6443
1.02375e-08,0.6469
1.02607e-08,0.6637
1.02840e-08,0.6853
1.03073e-08,0.6956
1.03305e-08,0.6864
1.03538e-08,0.6385
1.03771e-08,0.5084
1.04003e-08,0.2816
1.04236e-08,0.0595
1.04469e-08,-0.1002
1.04702e-08,-0.2352
1.04934e-08,-0.3608
1.05167e-08,-0.4645
1.05400e-08,-0.5339
1.05632e-08,-0.5784
1.05865e-08,-0.6176
1.06098e-08,-0.6395
1.06330e-08,-0.6451
1.06563e-08,-0.6529
1.06796e-08,-0.6707
1.07028e-08,-0.6874
1.07261e-08,-0.6940
1.07494e-08,-0.6849
1.07726e-08,-0.6332
1.07959e-08,-0.4888
1.08192e-08,-0.2529
1.08424e-08,-0.0391
1.08657e-08,0.1120
1.08890e-08,0.2485
1.09122e-08,0.3788
1.09355e-08,0.4809
1.09588e-08,0.5400
1.09820e-08,0.5783
