.HEADER
..NAMES
Time,V U2.R7
.DATA
0.0e+00,0.0027
2.33e-11,0.0027
4.65e-11,0.0027
6.98e-11,0.0027
9.31e-11,0.0027
1.163e-10,0.0027
1.396e-10,0.0027
1.629e-10,0.0027
1.861e-10,0.0027
2.094e-10,0.0027
2.327e-10,0.0027
2.559e-10,0.0027
2.792e-10,0.0027
3.025e-10,0.0027
3.257e-10,0.0027
3.490e-10,0.0030
3.723e-10,0.0091
3.955e-10,0.0362
4.188e-10,0.1137
4.421e-10,0.2397
4.653e-10,0.3631
4.886e-10,0.4808
5.119e-10,0.6161
5.351e-10,0.7645
5.584e-10,0.8993
5.817e-10,1.0171
6.049e-10,1.1116
6.282e-10,1.1790
6.515e-10,1.2212
6.747e-10,1.2427
6.980e-10,1.2552
7.213e-10,1.2659
7.445e-10,1.2818
7.678e-10,1.3024
7.911e-10,1.3191
8.143e-10,1.3251
8.376e-10,1.3227
8.609e-10,1.3194
8.841e-10,1.3200
9.074e-10,1.3143
9.307e-10,1.2853
9.539e-10,1.2383
9.772e-10,1.1908
1.0005e-09,1.1477
1.0237e-09,1.1087
1.0470e-09,1.0785
1.0703e-09,1.0609
1.0935e-09,1.0541
1.1168e-09,1.0557
1.1401e-09,1.0642
1.1633e-09,1.0792
1.1866e-09,1.0924
1.2099e-09,1.0846
1.2332e-09,1.0302
1.2564e-09,0.9114
1.2797e-09,0.7723
1.3030e-09,0.6408
1.3262e-09,0.5072
1.3495e-09,0.3616
1.3728e-09,0.2275
1.3960e-09,0.1130
1.4193e-09,0.0249
1.4426e-09,-0.0302
1.4658e-09,-0.0565
1.4891e-09,-0.0621
1.5124e-09,-0.0600
1.5356e-09,-0.0603
1.5589e-09,-0.0726
1.5822e-09,-0.0986
1.6054e-09,-0.1293
1.6287e-09,-0.1517
1.6520e-09,-0.1631
1.6752e-09,-0.1695
1.6985e-09,-0.1760
1.7218e-09,-0.1776
1.7450e-09,-0.1574
1.7683e-09,-0.1098
1.7916e-09,-0.0504
1.8148e-09,0.0070
1.8381e-09,0.0577
1.8614e-09,0.0969
1.8846e-09,0.1203
1.9079e-09,0.1293
1.9312e-09,0.1273
1.9544e-09,0.1173
1.9777e-09,0.1016
2.0010e-09,0.0811
2.0242e-09,0.0595
2.0475e-09,0.0506
2.0708e-09,0.0811
2.0940e-09,0.1829
2.1173e-09,0.3217
2.1406e-09,0.4492
2.1638e-09,0.5684
2.1871e-09,0.7004
2.2104e-09,0.8305
2.2336e-09,0.9447
2.2569e-09,1.0373
2.2802e-09,1.1011
2.3034e-09,1.1387
2.3267e-09,1.1546
2.3500e-09,1.1593
2.3732e-09,1.1665
2.3965e-09,1.1857
2.4198e-09,1.2211
2.4430e-09,1.2643
2.4663e-09,1.2993
2.4896e-09,1.3183
2.5128e-09,1.3253
2.5361e-09,1.3310
2.5594e-09,1.3372
2.5826e-09,1.3268
2.6059e-09,1.2860
2.6292e-09,1.2288
2.6524e-09,1.1738
2.6757e-09,1.1275
2.6990e-09,1.0930
2.7222e-09,1.0742
2.7455e-09,1.0704
2.7688e-09,1.0770
2.7920e-09,1.0889
2.8153e-09,1.1035
2.8386e-09,1.1198
2.8618e-09,1.1245
2.8851e-09,1.0989
2.9084e-09,1.0091
2.9316e-09,0.8660
2.9549e-09,0.7156
2.9782e-09,0.5745
3.0014e-09,0.4258
3.0247e-09,0.2811
3.0480e-09,0.1579
3.0712e-09,0.0578
3.0945e-09,-0.0126
3.1178e-09,-0.0505
3.1410e-09,-0.0624
3.1643e-09,-0.0592
3.1876e-09,-0.0545
3.2108e-09,-0.0589
3.2341e-09,-0.0798
3.2574e-09,-0.1147
3.2806e-09,-0.1493
3.3039e-09,-0.1718
3.3272e-09,-0.1814
3.3504e-09,-0.1849
3.3737e-09,-0.1859
3.3970e-09,-0.1758
3.4202e-09,-0.1391
3.4435e-09,-0.0808
3.4668e-09,-0.0175
3.4901e-09,0.0412
3.5133e-09,0.0902
3.5366e-09,0.1225
3.5599e-09,0.1360
3.5831e-09,0.1351
3.6064e-09,0.1244
3.6297e-09,0.1083
3.6529e-09,0.0886
3.6762e-09,0.0668
3.6995e-09,0.0453
3.7227e-09,0.0301
3.7460e-09,0.0290
3.7693e-09,0.0425
3.7925e-09,0.0613
3.8158e-09,0.0739
3.8391e-09,0.0746
3.8623e-09,0.0660
3.8856e-09,0.0536
3.9089e-09,0.0378
3.9321e-09,0.0171
3.9554e-09,-0.0067
3.9787e-09,-0.0304
4.0019e-09,-0.0518
4.0252e-09,-0.0679
4.0485e-09,-0.0741
4.0717e-09,-0.0683
4.0950e-09,-0.0524
4.1183e-09,-0.0322
4.1415e-09,-0.0143
4.1648e-09,-0.0024
4.1881e-09,0.0042
4.2113e-09,0.0087
4.2346e-09,0.0116
4.2579e-09,0.0100
4.2811e-09,0.0023
4.3044e-09,-0.0090
4.3277e-09,-0.0187
4.3509e-09,-0.0221
4.3742e-09,-0.0183
4.3975e-09,-0.0090
