.HEADER
..NAMES
Time,V U2.N3
.DATA
5.6073e-09,-0.0464
5.6306e-09,-0.0691
5.6539e-09,-0.0732
5.6771e-09,-0.0703
5.7004e-09,-0.0702
5.7237e-09,-0.0796
5.7469e-09,-0.1008
5.7702e-09,-0.1298
5.7935e-09,-0.1564
5.8168e-09,-0.1740
5.8400e-09,-0.1839
5.8633e-09,-0.1903
5.8866e-09,-0.1899
5.9098e-09,-0.1709
5.9331e-09,-0.1265
5.9564e-09,-0.0652
5.9796e-09,-0.0010
6.0029e-09,0.0569
6.0262e-09,0.1024
6.0494e-09,0.1309
6.0727e-09,0.1427
6.0960e-09,0.1404
6.1192e-09,0.1268
6.1425e-09,0.1056
6.1658e-09,0.0818
6.1890e-09,0.0607
6.2123e-09,0.0526
6.2356e-09,0.0771
6.2588e-09,0.1622
6.2821e-09,0.2920
6.3054e-09,0.4253
6.3286e-09,0.5538
6.3519e-09,0.6891
6.3752e-09,0.8223
6.3984e-09,0.9401
6.4217e-09,1.0352
6.4450e-09,1.0995
6.4682e-09,1.1333
6.4915e-09,1.1456
6.5148e-09,1.1517
6.5380e-09,1.1612
6.5613e-09,1.1808
6.5846e-09,1.2111
6.6078e-09,1.2501
6.6311e-09,1.2889
6.6544e-09,1.3170
6.6776e-09,1.3308
6.7009e-09,1.3361
6.7242e-09,1.3379
6.7474e-09,1.3294
6.7707e-09,1.2986
6.7940e-09,1.2471
6.8172e-09,1.1892
6.8405e-09,1.1372
6.8638e-09,1.0979
6.8870e-09,1.0740
6.9103e-09,1.0639
6.9336e-09,1.0647
6.9568e-09,1.0751
6.9801e-09,1.0940
7.0034e-09,1.1162
7.0266e-09,1.1254
7.0499e-09,1.1020
7.0732e-09,1.0202
7.0964e-09,0.8859
7.1197e-09,0.7383
7.1430e-09,0.5912
7.1662e-09,0.4355
7.1895e-09,0.2824
7.2128e-09,0.1532
7.2360e-09,0.0520
7.2593e-09,-0.0177
7.2826e-09,-0.0569
7.3058e-09,-0.0698
7.3291e-09,-0.0702
7.3524e-09,-0.0677
7.3756e-09,-0.0718
7.3989e-09,-0.0865
7.4222e-09,-0.1125
7.4454e-09,-0.1422
7.4687e-09,-0.1658
7.4920e-09,-0.1799
7.5152e-09,-0.1881
7.5385e-09,-0.1924
7.5618e-09,-0.1854
7.5850e-09,-0.1553
7.6083e-09,-0.1018
7.6316e-09,-0.0377
7.6548e-09,0.0247
7.6781e-09,0.0782
7.7014e-09,0.1169
7.7246e-09,0.1381
7.7479e-09,0.1433
7.7712e-09,0.1356
7.7944e-09,0.1179
7.8177e-09,0.0948
7.8410e-09,0.0715
7.8642e-09,0.0543
7.8875e-09,0.0566
7.9108e-09,0.1032
7.9340e-09,0.2116
7.9573e-09,0.3463
7.9806e-09,0.4768
8.0038e-09,0.6066
8.0271e-09,0.7431
8.0504e-09,0.8708
8.0736e-09,0.9806
8.0969e-09,1.0635
8.1202e-09,1.1152
8.1435e-09,1.1387
8.1667e-09,1.1472
8.1900e-09,1.1540
8.2133e-09,1.1676
8.2365e-09,1.1919
8.2598e-09,1.2264
8.2831e-09,1.2669
8.3063e-09,1.3026
8.3296e-09,1.3248
8.3529e-09,1.3340
8.3761e-09,1.3376
8.3994e-09,1.3365
8.4227e-09,1.3199
8.4459e-09,1.2795
8.4692e-09,1.2236
8.4925e-09,1.1671
8.5157e-09,1.1198
8.5390e-09,1.0868
8.5623e-09,1.0690
8.5855e-09,1.0636
8.6088e-09,1.0682
8.6321e-09,1.0822
8.6553e-09,1.1034
8.6786e-09,1.1228
8.7019e-09,1.1213
8.7251e-09,1.0774
8.7484e-09,0.9698
8.7717e-09,0.8265
8.7949e-09,0.6796
8.8182e-09,0.5304
8.8415e-09,0.3724
8.8647e-09,0.2279
8.8880e-09,0.1097
8.9113e-09,0.0212
8.9345e-09,-0.0362
8.9578e-09,-0.0636
8.9811e-09,-0.0701
9.0043e-09,-0.0686
9.0276e-09,-0.0680
9.0509e-09,-0.0763
9.0741e-09,-0.0959
9.0974e-09,-0.1248
9.1207e-09,-0.1529
9.1439e-09,-0.1725
9.1672e-09,-0.1835
9.1905e-09,-0.1903
9.2137e-09,-0.1915
9.2370e-09,-0.1763
9.2603e-09,-0.1358
9.2835e-09,-0.0763
9.3068e-09,-0.0118
9.3301e-09,0.0476
9.3533e-09,0.0956
9.3766e-09,0.1272
9.3999e-09,0.1417
9.4231e-09,0.1414
9.4464e-09,0.1293
9.4697e-09,0.1088
9.4929e-09,0.0851
9.5162e-09,0.0627
9.5395e-09,0.0445
9.5627e-09,0.0337
9.5860e-09,0.0334
9.6093e-09,0.0432
9.6325e-09,0.0569
9.6558e-09,0.0660
9.6791e-09,0.0662
9.7023e-09,0.0596
9.7256e-09,0.0494
9.7489e-09,0.0358
9.7721e-09,0.0170
9.7954e-09,-0.0072
9.8187e-09,-0.0334
9.8419e-09,-0.0571
9.8652e-09,-0.0733
9.8885e-09,-0.0786
9.9117e-09,-0.0731
9.9350e-09,-0.0592
9.9583e-09,-0.0409
9.9815e-09,-0.0223
