.HEADER
..NAMES
Time,V U2.N2
.DATA
5.6073e-09,0.9900
5.6306e-09,1.0866
5.6539e-09,1.1599
5.6771e-09,1.2118
5.7004e-09,1.2454
5.7237e-09,1.2591
5.7469e-09,1.2574
5.7702e-09,1.2511
5.7935e-09,1.2481
5.8168e-09,1.2465
5.8400e-09,1.2454
5.8633e-09,1.2482
5.8866e-09,1.2558
5.9098e-09,1.2651
5.9331e-09,1.2748
5.9564e-09,1.2835
5.9796e-09,1.2868
6.0029e-09,1.2787
6.0262e-09,1.2594
6.0494e-09,1.2325
6.0727e-09,1.1999
6.0960e-09,1.1638
6.1192e-09,1.1304
6.1425e-09,1.1051
6.1658e-09,1.0886
6.1890e-09,1.0796
6.2123e-09,1.0783
6.2356e-09,1.0855
6.2588e-09,1.0998
6.2821e-09,1.1191
6.3054e-09,1.1412
6.3286e-09,1.1629
6.3519e-09,1.1797
6.3752e-09,1.1898
6.3984e-09,1.1944
6.4217e-09,1.1949
6.4450e-09,1.1918
6.4682e-09,1.1865
6.4915e-09,1.1815
6.5148e-09,1.1785
6.5380e-09,1.1780
6.5613e-09,1.1807
6.5846e-09,1.1875
6.6078e-09,1.1988
6.6311e-09,1.2127
6.6544e-09,1.2272
6.6776e-09,1.2396
6.7009e-09,1.2475
6.7242e-09,1.2493
6.7474e-09,1.2458
6.7707e-09,1.2390
6.7940e-09,1.2302
6.8172e-09,1.2198
6.8405e-09,1.2089
6.8638e-09,1.1986
6.8870e-09,1.1901
6.9103e-09,1.1840
6.9336e-09,1.1813
6.9568e-09,1.1823
6.9801e-09,1.1866
7.0034e-09,1.1927
7.0266e-09,1.1992
7.0499e-09,1.2045
7.0732e-09,1.2076
7.0964e-09,1.2080
7.1197e-09,1.2064
7.1430e-09,1.2033
7.1662e-09,1.1988
7.1895e-09,1.1931
7.2128e-09,1.1873
7.2360e-09,1.1828
7.2593e-09,1.1805
7.2826e-09,1.1810
7.3058e-09,1.1844
7.3291e-09,1.1898
7.3524e-09,1.1961
7.3756e-09,1.2019
7.3989e-09,1.2068
7.4222e-09,1.2103
7.4454e-09,1.2122
7.4687e-09,1.2127
7.4920e-09,1.2121
7.5152e-09,1.2103
7.5385e-09,1.2070
7.5618e-09,1.2027
7.5850e-09,1.1984
7.6083e-09,1.1951
7.6316e-09,1.1934
7.6548e-09,1.1936
7.6781e-09,1.1954
7.7014e-09,1.1981
7.7246e-09,1.2011
7.7479e-09,1.2040
7.7712e-09,1.2064
7.7944e-09,1.2079
7.8177e-09,1.2083
7.8410e-09,1.2074
7.8642e-09,1.2055
7.8875e-09,1.2027
7.9108e-09,1.1994
7.9340e-09,1.1963
7.9573e-09,1.1941
7.9806e-09,1.1931
8.0038e-09,1.1933
8.0271e-09,1.1943
8.0504e-09,1.1958
8.0736e-09,1.1975
8.0969e-09,1.1993
8.1202e-09,1.2013
8.1435e-09,1.2032
8.1667e-09,1.2046
8.1900e-09,1.2052
8.2133e-09,1.2049
8.2365e-09,1.2036
8.2598e-09,1.2016
8.2831e-09,1.1994
8.3063e-09,1.1976
8.3296e-09,1.1965
8.3529e-09,1.1963
8.3761e-09,1.1967
8.3994e-09,1.1977
8.4227e-09,1.1989
8.4459e-09,1.2003
8.4692e-09,1.2018
8.4925e-09,1.2031
8.5157e-09,1.2040
8.5390e-09,1.2042
8.5623e-09,1.2038
8.5855e-09,1.2028
8.6088e-09,1.2016
8.6321e-09,1.2004
8.6553e-09,1.1994
8.6786e-09,1.1986
8.7019e-09,1.1981
8.7251e-09,1.1978
8.7484e-09,1.1978
8.7717e-09,1.1982
8.7949e-09,1.1989
8.8182e-09,1.2000
8.8415e-09,1.2012
8.8647e-09,1.2023
8.8880e-09,1.2029
8.9113e-09,1.2028
8.9345e-09,1.2022
8.9578e-09,1.2014
8.9811e-09,1.2004
9.0043e-09,1.1996
9.0276e-09,1.1990
9.0509e-09,1.1987
9.0741e-09,1.1985
9.0974e-09,1.1986
9.1207e-09,1.1989
9.1439e-09,1.1994
9.1672e-09,1.2001
9.1905e-09,1.2008
9.2137e-09,1.2014
9.2370e-09,1.2017
9.2603e-09,1.2018
9.2835e-09,1.2017
9.3068e-09,1.2014
9.3301e-09,1.2011
9.3533e-09,1.2006
9.3766e-09,1.2001
9.3999e-09,1.1996
9.4231e-09,1.1992
9.4464e-09,1.1989
9.4697e-09,1.1990
9.4929e-09,1.1994
9.5162e-09,1.2000
9.5395e-09,1.2006
9.5627e-09,1.2011
9.5860e-09,1.2014
9.6093e-09,1.2014
9.6325e-09,1.2012
9.6558e-09,1.2010
9.6791e-09,1.2007
9.7023e-09,1.2005
9.7256e-09,1.2002
9.7489e-09,1.1999
9.7721e-09,1.1997
9.7954e-09,1.1995
9.8187e-09,1.1995
9.8419e-09,1.1996
9.8652e-09,1.1999
9.8885e-09,1.2002
9.9117e-09,1.2005
9.9350e-09,1.2007
9.9583e-09,1.2009
9.9815e-09,1.2010
1.00048e-08,1.2010
1.00281e-08,1.2009
1.00513e-08,1.2007
1.00746e-08,1.2004
1.00979e-08,1.2001
1.01211e-08,1.1998
1.01444e-08,1.1996
1.01677e-08,1.1997
1.01909e-08,1.1998
1.02142e-08,1.2001
1.02375e-08,1.2003
1.02607e-08,1.2005
1.02840e-08,1.2006
1.03073e-08,1.2006
1.03305e-08,1.2001
1.03538e-08,1.1926
1.03771e-08,1.1702
1.04003e-08,1.1121
1.04236e-08,1.0218
1.04469e-08,0.9076
1.04702e-08,0.7852
1.04934e-08,0.6512
1.05167e-08,0.5100
1.05400e-08,0.3715
1.05632e-08,0.2400
1.05865e-08,0.1232
1.06098e-08,0.0270
1.06330e-08,-0.0419
1.06563e-08,-0.0876
1.06796e-08,-0.1175
1.07028e-08,-0.1327
1.07261e-08,-0.1385
1.07494e-08,-0.1445
