.HEADER
..NAMES
Time,V U2.L8
.DATA
5.6539e-09,1.2261
5.6771e-09,1.2433
5.7004e-09,1.2574
5.7237e-09,1.2643
5.7469e-09,1.2634
5.7702e-09,1.2566
5.7935e-09,1.2460
5.8168e-09,1.2336
5.8400e-09,1.2213
5.8633e-09,1.2111
5.8866e-09,1.2030
5.9098e-09,1.1959
5.9331e-09,1.1899
5.9564e-09,1.1872
5.9796e-09,1.1897
6.0029e-09,1.1959
6.0262e-09,1.2013
6.0494e-09,1.2023
6.0727e-09,1.1985
6.0960e-09,1.1925
6.1192e-09,1.1870
6.1425e-09,1.1831
6.1658e-09,1.1803
6.1890e-09,1.1780
6.2123e-09,1.1764
6.2356e-09,1.1766
6.2588e-09,1.1794
6.2821e-09,1.1847
6.3054e-09,1.1921
6.3286e-09,1.2005
6.3519e-09,1.2081
6.3752e-09,1.2126
6.3984e-09,1.2133
6.4217e-09,1.2117
6.4450e-09,1.2098
6.4682e-09,1.2083
6.4915e-09,1.2067
6.5148e-09,1.2041
6.5380e-09,1.2008
6.5613e-09,1.1985
6.5846e-09,1.1987
6.6078e-09,1.2013
6.6311e-09,1.2050
6.6544e-09,1.2083
6.6776e-09,1.2099
6.7009e-09,1.2097
6.7242e-09,1.2080
6.7474e-09,1.2055
6.7707e-09,1.2028
6.7940e-09,1.2003
6.8172e-09,1.1980
6.8405e-09,1.1954
6.8638e-09,1.1928
6.8870e-09,1.1911
6.9103e-09,1.1914
6.9336e-09,1.1937
6.9568e-09,1.1970
6.9801e-09,1.2000
7.0034e-09,1.2016
7.0266e-09,1.2022
7.0499e-09,1.2022
7.0732e-09,1.2022
7.0964e-09,1.2019
7.1197e-09,1.2010
7.1430e-09,1.1995
7.1662e-09,1.1979
7.1895e-09,1.1968
7.2128e-09,1.1965
7.2360e-09,1.1975
7.2593e-09,1.1995
7.2826e-09,1.2018
7.3058e-09,1.2036
7.3291e-09,1.2044
7.3524e-09,1.2044
7.3756e-09,1.2040
7.3989e-09,1.2037
7.4222e-09,1.2033
7.4454e-09,1.2024
7.4687e-09,1.2009
7.4920e-09,1.1991
7.5152e-09,1.1979
7.5385e-09,1.1975
7.5618e-09,1.1981
7.5850e-09,1.1992
7.6083e-09,1.2002
7.6316e-09,1.2011
7.6548e-09,1.2015
7.6781e-09,1.2017
7.7014e-09,1.2018
7.7246e-09,1.2017
7.7479e-09,1.2014
7.7712e-09,1.2006
7.7944e-09,1.1995
7.8177e-09,1.1984
7.8410e-09,1.1943
7.8642e-09,1.1742
7.8875e-09,1.1207
7.9108e-09,1.0112
7.9340e-09,0.8716
7.9573e-09,0.7362
7.9806e-09,0.6083
8.0038e-09,0.4651
8.0271e-09,0.3165
8.0504e-09,0.1804
8.0736e-09,0.0671
8.0969e-09,-0.0171
8.1202e-09,-0.0710
8.1435e-09,-0.1017
8.1667e-09,-0.1197
8.1900e-09,-0.1329
8.2133e-09,-0.1457
8.2365e-09,-0.1618
8.2598e-09,-0.1807
8.2831e-09,-0.1952
8.3063e-09,-0.1980
8.3296e-09,-0.1904
8.3529e-09,-0.1816
8.3761e-09,-0.1746
8.3994e-09,-0.1595
8.4227e-09,-0.1231
8.4459e-09,-0.0688
8.4692e-09,-0.0116
8.4925e-09,0.0381
8.5157e-09,0.0777
8.5390e-09,0.1065
8.5623e-09,0.1258
8.5855e-09,0.1366
8.6088e-09,0.1383
8.6321e-09,0.1304
8.6553e-09,0.1156
8.6786e-09,0.0978
8.7019e-09,0.0845
8.7251e-09,0.0902
8.7484e-09,0.1443
8.7717e-09,0.2544
8.7949e-09,0.3811
8.8182e-09,0.4978
8.8415e-09,0.6132
8.8647e-09,0.7353
8.8880e-09,0.8542
8.9113e-09,0.9623
8.9345e-09,1.0497
8.9578e-09,1.1076
8.9811e-09,1.1382
9.0043e-09,1.1529
9.0276e-09,1.1643
9.0509e-09,1.1802
9.0741e-09,1.2040
9.0974e-09,1.2364
