.HEADER
..NAMES
Time,V U2.R3
.DATA
5.6539e-09,0.0263
5.6771e-09,0.0091
5.7004e-09,-0.0115
5.7237e-09,-0.0330
5.7469e-09,-0.0508
5.7702e-09,-0.0615
5.7935e-09,-0.0644
5.8168e-09,-0.0608
5.8400e-09,-0.0536
5.8633e-09,-0.0454
5.8866e-09,-0.0360
5.9098e-09,-0.0242
5.9331e-09,-0.0100
5.9564e-09,0.0024
5.9796e-09,0.0081
6.0029e-09,0.0061
6.0262e-09,-0.0002
6.0494e-09,-0.0066
6.0727e-09,-0.0106
6.0960e-09,-0.0118
6.1192e-09,-0.0107
6.1425e-09,-0.0076
6.1658e-09,-0.0034
6.1890e-09,0.0013
6.2123e-09,0.0066
6.2356e-09,0.0133
6.2588e-09,0.0211
6.2821e-09,0.0280
6.3054e-09,0.0318
6.3286e-09,0.0303
6.3519e-09,0.0241
6.3752e-09,0.0159
6.3984e-09,0.0085
6.4217e-09,0.0029
6.4450e-09,-0.0019
6.4682e-09,-0.0066
6.4915e-09,-0.0102
6.5148e-09,-0.0114
6.5380e-09,-0.0095
6.5613e-09,-0.0052
6.5846e-09,0.0003
6.6078e-09,0.0051
6.6311e-09,0.0078
6.6544e-09,0.0076
6.6776e-09,0.0047
6.7009e-09,0.0006
6.7242e-09,-0.0030
6.7474e-09,-0.0054
6.7707e-09,-0.0070
6.7940e-09,-0.0088
6.8172e-09,-0.0108
6.8405e-09,-0.0120
6.8638e-09,-0.0109
6.8870e-09,-0.0073
6.9103e-09,-0.0023
6.9336e-09,0.0025
6.9568e-09,0.0059
6.9801e-09,0.0078
7.0034e-09,0.0083
7.0266e-09,0.0088
7.0499e-09,0.0166
7.0732e-09,0.0497
7.0964e-09,0.1347
7.1197e-09,0.2541
7.1430e-09,0.3678
7.1662e-09,0.4836
7.1895e-09,0.6231
7.2128e-09,0.7712
7.2360e-09,0.9074
7.2593e-09,1.0286
7.2826e-09,1.1271
7.3058e-09,1.1958
7.3291e-09,1.2384
7.3524e-09,1.2614
7.3756e-09,1.2734
7.3989e-09,1.2805
7.4222e-09,1.2883
7.4454e-09,1.3014
7.4687e-09,1.3146
7.4920e-09,1.3200
7.5152e-09,1.3190
7.5385e-09,1.3196
7.5618e-09,1.3268
7.5850e-09,1.3341
7.6083e-09,1.3257
7.6316e-09,1.2960
7.6548e-09,1.2561
7.6781e-09,1.2152
7.7014e-09,1.1725
7.7246e-09,1.1316
7.7479e-09,1.0985
7.7712e-09,1.0738
7.7944e-09,1.0578
7.8177e-09,1.0522
7.8410e-09,1.0561
7.8642e-09,1.0578
7.8875e-09,1.0404
7.9108e-09,0.9792
7.9340e-09,0.8745
7.9573e-09,0.7621
7.9806e-09,0.6447
8.0038e-09,0.5028
8.0271e-09,0.3495
8.0504e-09,0.2127
8.0736e-09,0.0953
8.0969e-09,-0.0029
8.1202e-09,-0.0721
8.1435e-09,-0.1111
8.1667e-09,-0.1254
8.1900e-09,-0.1250
8.2133e-09,-0.1181
8.2365e-09,-0.1116
8.2598e-09,-0.1133
8.2831e-09,-0.1219
8.3063e-09,-0.1290
8.3296e-09,-0.1344
8.3529e-09,-0.1437
8.3761e-09,-0.1587
8.3994e-09,-0.1740
8.4227e-09,-0.1763
8.4459e-09,-0.1573
8.4692e-09,-0.1229
8.4925e-09,-0.0811
8.5157e-09,-0.0318
8.5390e-09,0.0212
8.5623e-09,0.0673
8.5855e-09,0.1019
8.6088e-09,0.1252
8.6321e-09,0.1364
8.6553e-09,0.1353
8.6786e-09,0.1234
8.7019e-09,0.1028
8.7251e-09,0.0766
8.7484e-09,0.0503
8.7717e-09,0.0321
8.7949e-09,0.0261
8.8182e-09,0.0281
8.8415e-09,0.0319
8.8647e-09,0.0356
8.8880e-09,0.0400
8.9113e-09,0.0454
8.9345e-09,0.0493
8.9578e-09,0.0477
8.9811e-09,0.0395
9.0043e-09,0.0257
9.0276e-09,0.0064
9.0509e-09,-0.0170
9.0741e-09,-0.0399
9.0974e-09,-0.0573
9.1207e-09,-0.0664
9.1439e-09,-0.0667
9.1672e-09,-0.0600
9.1905e-09,-0.0494
9.2137e-09,-0.0367
9.2370e-09,-0.0223
9.2603e-09,-0.0067
9.2835e-09,0.0071
9.3068e-09,0.0150
9.3301e-09,0.0155
9.3533e-09,0.0107
9.3766e-09,0.0034
9.3999e-09,-0.0041
9.4231e-09,-0.0103
9.4464e-09,-0.0140
9.4697e-09,-0.0145
9.4929e-09,-0.0120
9.5162e-09,-0.0073
9.5395e-09,0.0031
9.5627e-09,0.0323
9.5860e-09,0.1048
9.6093e-09,0.2252
9.6325e-09,0.3496
9.6558e-09,0.4624
9.6791e-09,0.5869
9.7023e-09,0.7237
9.7256e-09,0.8526
9.7489e-09,0.9671
9.7721e-09,1.0664
9.7954e-09,1.1414
9.8187e-09,1.1919
9.8419e-09,1.2242
9.8652e-09,1.2451
9.8885e-09,1.2616
9.9117e-09,1.2777
9.9350e-09,1.2978
