.HEADER
..NAMES
Time,V U2.P7
.DATA
5.6306e-09,0.0713
5.6539e-09,0.0630
5.6771e-09,0.0442
5.7004e-09,0.0208
5.7237e-09,-0.0025
5.7469e-09,-0.0234
5.7702e-09,-0.0424
5.7935e-09,-0.0582
5.8168e-09,-0.0674
5.8400e-09,-0.0679
5.8633e-09,-0.0607
5.8866e-09,-0.0468
5.9098e-09,-0.0274
5.9331e-09,-0.0062
5.9564e-09,0.0108
5.9796e-09,0.0196
6.0029e-09,0.0203
6.0262e-09,0.0163
6.0494e-09,0.0106
6.0727e-09,0.0043
6.0960e-09,-0.0039
6.1192e-09,-0.0144
6.1425e-09,-0.0242
6.1658e-09,-0.0287
6.1890e-09,-0.0250
6.2123e-09,-0.0142
6.2356e-09,-0.0001
6.2588e-09,0.0135
6.2821e-09,0.0249
6.3054e-09,0.0333
6.3286e-09,0.0379
6.3519e-09,0.0382
6.3752e-09,0.0345
6.3984e-09,0.0274
6.4217e-09,0.0174
6.4450e-09,0.0051
6.4682e-09,-0.0071
6.4915e-09,-0.0162
6.5148e-09,-0.0198
6.5380e-09,-0.0175
6.5613e-09,-0.0114
6.5846e-09,-0.0045
6.6078e-09,0.0019
6.6311e-09,0.0079
6.6544e-09,0.0140
6.6776e-09,0.0191
6.7009e-09,0.0209
6.7242e-09,0.0181
6.7474e-09,0.0111
6.7707e-09,0.0021
6.7940e-09,-0.0066
6.8172e-09,-0.0133
6.8405e-09,-0.0170
6.8638e-09,-0.0176
6.8870e-09,-0.0154
6.9103e-09,-0.0112
6.9336e-09,-0.0057
6.9568e-09,0.0006
6.9801e-09,0.0074
7.0034e-09,0.0137
7.0266e-09,0.0193
7.0499e-09,0.0306
7.0732e-09,0.0662
7.0964e-09,0.1536
7.1197e-09,0.2713
7.1430e-09,0.3780
7.1662e-09,0.4833
7.1895e-09,0.6144
7.2128e-09,0.7571
7.2360e-09,0.8925
7.2593e-09,1.0202
7.2826e-09,1.1241
7.3058e-09,1.1942
7.3291e-09,1.2386
7.3524e-09,1.2693
7.3756e-09,1.2885
7.3989e-09,1.2960
7.4222e-09,1.2999
7.4454e-09,1.3069
7.4687e-09,1.3161
7.4920e-09,1.3202
7.5152e-09,1.3206
7.5385e-09,1.3259
7.5618e-09,1.3397
7.5850e-09,1.3521
7.6083e-09,1.3469
7.6316e-09,1.3201
7.6548e-09,1.2836
7.6781e-09,1.2472
7.7014e-09,1.2106
7.7246e-09,1.1749
7.7479e-09,1.1400
7.7712e-09,1.1041
7.7944e-09,1.0744
7.8177e-09,1.0615
7.8410e-09,1.0656
7.8642e-09,1.0791
7.8875e-09,1.0982
7.9108e-09,1.1216
7.9340e-09,1.1442
7.9573e-09,1.1594
7.9806e-09,1.1661
8.0038e-09,1.1690
8.0271e-09,1.1720
8.0504e-09,1.1742
8.0736e-09,1.1721
8.0969e-09,1.1650
8.1202e-09,1.1576
8.1435e-09,1.1571
8.1667e-09,1.1672
8.1900e-09,1.1852
8.2133e-09,1.2055
8.2365e-09,1.2228
8.2598e-09,1.2365
8.2831e-09,1.2490
8.3063e-09,1.2602
8.3296e-09,1.2660
8.3529e-09,1.2636
8.3761e-09,1.2545
8.3994e-09,1.2410
8.4227e-09,1.2243
8.4459e-09,1.2074
8.4692e-09,1.1943
8.4925e-09,1.1878
8.5157e-09,1.1876
8.5390e-09,1.1912
8.5623e-09,1.1954
8.5855e-09,1.1991
8.6088e-09,1.2035
8.6321e-09,1.2099
8.6553e-09,1.2166
8.6786e-09,1.2195
8.7019e-09,1.2157
8.7251e-09,1.2064
8.7484e-09,1.1953
8.7717e-09,1.1859
8.7949e-09,1.1792
8.8182e-09,1.1746
8.8415e-09,1.1726
8.8647e-09,1.1738
8.8880e-09,1.1783
8.9113e-09,1.1855
8.9345e-09,1.1946
8.9578e-09,1.2044
8.9811e-09,1.2133
9.0043e-09,1.2194
9.0276e-09,1.2211
9.0509e-09,1.2183
9.0741e-09,1.2127
9.0974e-09,1.2070
9.1207e-09,1.2026
9.1439e-09,1.1990
9.1672e-09,1.1951
9.1905e-09,1.1915
9.2137e-09,1.1903
9.2370e-09,1.1928
9.2603e-09,1.1986
9.2835e-09,1.2056
9.3068e-09,1.2118
9.3301e-09,1.2158
9.3533e-09,1.2174
9.3766e-09,1.2167
9.3999e-09,1.2140
9.4231e-09,1.2100
9.4464e-09,1.2051
9.4697e-09,1.2000
9.4929e-09,1.1951
9.5162e-09,1.1910
9.5395e-09,1.1887
9.5627e-09,1.1890
9.5860e-09,1.1921
9.6093e-09,1.1970
9.6325e-09,1.2016
9.6558e-09,1.2051
9.6791e-09,1.2074
9.7023e-09,1.2090
9.7256e-09,1.2100
9.7489e-09,1.2097
9.7721e-09,1.2075
9.7954e-09,1.2036
9.8187e-09,1.1991
9.8419e-09,1.1952
9.8652e-09,1.1930
9.8885e-09,1.1926
9.9117e-09,1.1940
9.9350e-09,1.1967
9.9583e-09,1.1999
9.9815e-09,1.2030
1.00048e-08,1.2057
1.00281e-08,1.2079
1.00513e-08,1.2094
1.00746e-08,1.2100
1.00979e-08,1.2091
1.01211e-08,1.2066
1.01444e-08,1.2032
1.01677e-08,1.1999
1.01909e-08,1.1976
1.02142e-08,1.1965
1.02375e-08,1.1962
1.02607e-08,1.1966
1.02840e-08,1.1976
1.03073e-08,1.1994
1.03305e-08,1.2020
1.03538e-08,1.2047
1.03771e-08,1.2069
1.04003e-08,1.2079
1.04236e-08,1.2076
1.04469e-08,1.2062
1.04702e-08,1.2040
1.04934e-08,1.2017
1.05167e-08,1.1997
1.05400e-08,1.1984
