.HEADER
..NAMES
Time,V U2.A3
.DATA
5.6306e-09,1.2710
5.6539e-09,1.2831
5.6771e-09,1.2998
5.7004e-09,1.3127
5.7237e-09,1.3131
5.7469e-09,1.3066
5.7702e-09,1.3016
5.7935e-09,1.2926
5.8168e-09,1.2704
5.8400e-09,1.2374
5.8633e-09,1.2019
5.8866e-09,1.1709
5.9098e-09,1.1473
5.9331e-09,1.1269
5.9564e-09,1.1042
5.9796e-09,1.0814
6.0029e-09,1.0682
6.0262e-09,1.0725
6.0494e-09,1.0919
6.0727e-09,1.1155
6.0960e-09,1.1359
6.1192e-09,1.1543
6.1425e-09,1.1725
6.1658e-09,1.1873
6.1890e-09,1.1942
6.2123e-09,1.1933
6.2356e-09,1.1876
6.2588e-09,1.1797
6.2821e-09,1.1724
6.3054e-09,1.1691
6.3286e-09,1.1713
6.3519e-09,1.1778
6.3752e-09,1.1864
6.3984e-09,1.1952
6.4217e-09,1.2031
6.4450e-09,1.2120
6.4682e-09,1.2238
6.4915e-09,1.2375
6.5148e-09,1.2484
6.5380e-09,1.2521
6.5613e-09,1.2493
6.5846e-09,1.2435
6.6078e-09,1.2362
6.6311e-09,1.2258
6.6544e-09,1.2110
6.6776e-09,1.1948
6.7009e-09,1.1821
6.7242e-09,1.1761
6.7474e-09,1.1771
6.7707e-09,1.1826
6.7940e-09,1.1896
6.8172e-09,1.1962
6.8405e-09,1.2020
6.8638e-09,1.2068
6.8870e-09,1.2100
6.9103e-09,1.2108
6.9336e-09,1.2096
6.9568e-09,1.2066
6.9801e-09,1.2020
7.0034e-09,1.1963
7.0266e-09,1.1907
7.0499e-09,1.1864
7.0732e-09,1.1830
7.0964e-09,1.1800
7.1197e-09,1.1782
7.1430e-09,1.1795
7.1662e-09,1.1852
7.1895e-09,1.1942
7.2128e-09,1.2040
7.2360e-09,1.2117
7.2593e-09,1.2163
7.2826e-09,1.2180
7.3058e-09,1.2176
7.3291e-09,1.2151
7.3524e-09,1.2104
7.3756e-09,1.2042
7.3989e-09,1.1982
7.4222e-09,1.1941
7.4454e-09,1.1922
7.4687e-09,1.1921
7.4920e-09,1.1929
7.5152e-09,1.1944
7.5385e-09,1.1963
7.5618e-09,1.1987
7.5850e-09,1.2018
7.6083e-09,1.2054
7.6316e-09,1.2056
7.6548e-09,1.1889
7.6781e-09,1.1396
7.7014e-09,1.0436
7.7246e-09,0.9323
7.7479e-09,0.8429
7.7712e-09,0.7553
7.7944e-09,0.6282
7.8177e-09,0.4799
7.8410e-09,0.3412
7.8642e-09,0.2241
7.8875e-09,0.1313
7.9108e-09,0.0541
7.9340e-09,-0.0181
7.9573e-09,-0.0799
7.9806e-09,-0.1191
8.0038e-09,-0.1320
8.0271e-09,-0.1280
8.0504e-09,-0.1247
8.0736e-09,-0.1302
8.0969e-09,-0.1403
8.1202e-09,-0.1503
8.1435e-09,-0.1622
8.1667e-09,-0.1754
8.1900e-09,-0.1816
8.2133e-09,-0.1756
8.2365e-09,-0.1657
8.2598e-09,-0.1581
8.2831e-09,-0.1431
8.3063e-09,-0.1125
8.3296e-09,-0.0715
8.3529e-09,-0.0301
8.3761e-09,0.0045
8.3994e-09,0.0313
8.4227e-09,0.0564
8.4459e-09,0.0844
8.4692e-09,0.1104
8.4925e-09,0.1281
8.5157e-09,0.1445
8.5390e-09,0.1842
8.5623e-09,0.2576
8.5855e-09,0.3295
8.6088e-09,0.3872
8.6321e-09,0.4658
8.6553e-09,0.5786
8.6786e-09,0.7024
8.7019e-09,0.8235
8.7251e-09,0.9333
8.7484e-09,1.0275
8.7717e-09,1.1113
8.7949e-09,1.1831
8.8182e-09,1.2339
8.8415e-09,1.2578
8.8647e-09,1.2586
8.8880e-09,1.2497
8.9113e-09,1.2438
8.9345e-09,1.2403
8.9578e-09,1.2338
8.9811e-09,1.2286
9.0043e-09,1.2332
9.0276e-09,1.2454
9.0509e-09,1.2536
9.0741e-09,1.2554
9.0974e-09,1.2599
9.1207e-09,1.2678
9.1439e-09,1.2692
9.1672e-09,1.2592
9.1905e-09,1.2395
9.2137e-09,1.2139
9.2370e-09,1.1875
9.2603e-09,1.1620
9.2835e-09,1.1345
9.3068e-09,1.1061
9.3301e-09,1.0836
9.3533e-09,1.0757
9.3766e-09,1.0842
9.3999e-09,1.1018
9.4231e-09,1.1205
9.4464e-09,1.1398
9.4697e-09,1.1617
9.4929e-09,1.1832
9.5162e-09,1.1984
9.5395e-09,1.2055
9.5627e-09,1.2071
9.5860e-09,1.2054
9.6093e-09,1.2006
9.6325e-09,1.1937
9.6558e-09,1.1866
9.6791e-09,1.1808
9.7023e-09,1.1772
9.7256e-09,1.1686
9.7489e-09,1.1400
9.7721e-09,1.0742
9.7954e-09,0.9773
9.8187e-09,0.8925
9.8419e-09,0.8300
9.8652e-09,0.7402
9.8885e-09,0.6075
9.9117e-09,0.4635
9.9350e-09,0.3313
9.9583e-09,0.2161
9.9815e-09,0.1164
1.00048e-08,0.0225
1.00281e-08,-0.0634
1.00513e-08,-0.1278
1.00746e-08,-0.1603
1.00979e-08,-0.1648
1.01211e-08,-0.1572
1.01444e-08,-0.1510
1.01677e-08,-0.1326
1.01909e-08,-0.0593
1.02142e-08,0.0689
1.02375e-08,0.1754
1.02607e-08,0.2437
1.02840e-08,0.3471
1.03073e-08,0.5021
1.03305e-08,0.6635
1.03538e-08,0.8078
1.03771e-08,0.9328
1.04003e-08,1.0425
1.04236e-08,1.1491
1.04469e-08,1.2503
1.04702e-08,1.3308
1.04934e-08,1.3796
1.05167e-08,1.4016
1.05400e-08,1.4141
1.05632e-08,1.4280
1.05865e-08,1.4347
1.06098e-08,1.4241
1.06330e-08,1.4055
1.06563e-08,1.3942
1.06796e-08,1.3849
1.07028e-08,1.3585
1.07261e-08,1.3202
1.07494e-08,1.2940
1.07726e-08,1.2814
1.07959e-08,1.2632
1.08192e-08,1.2328
1.08424e-08,1.1969
1.08657e-08,1.1644
1.08890e-08,1.1411
1.09122e-08,1.1238
1.09355e-08,1.1024
