.HEADER
..NAMES
Time,V U2.L2
.DATA
5.6771e-09,-0.1285
5.7004e-09,-0.1345
5.7237e-09,-0.1357
5.7469e-09,-0.1410
5.7702e-09,-0.1502
5.7935e-09,-0.1570
5.8168e-09,-0.1626
5.8400e-09,-0.1706
5.8633e-09,-0.1782
5.8866e-09,-0.1742
5.9098e-09,-0.1469
5.9331e-09,-0.1016
5.9564e-09,-0.0554
5.9796e-09,-0.0136
6.0029e-09,0.0281
6.0262e-09,0.0719
6.0494e-09,0.1140
6.0727e-09,0.1465
6.0960e-09,0.1595
6.1192e-09,0.1513
6.1425e-09,0.1295
6.1658e-09,0.1046
6.1890e-09,0.0825
6.2123e-09,0.0716
6.2356e-09,0.0922
6.2588e-09,0.1721
6.2821e-09,0.2855
6.3054e-09,0.3979
6.3286e-09,0.5204
6.3519e-09,0.6699
6.3752e-09,0.8259
6.3984e-09,0.9620
6.4217e-09,1.0659
6.4450e-09,1.1292
6.4682e-09,1.1622
6.4915e-09,1.1792
6.5148e-09,1.1922
6.5380e-09,1.2000
6.5613e-09,1.2007
6.5846e-09,1.2040
6.6078e-09,1.2197
6.6311e-09,1.2432
6.6544e-09,1.2682
6.6776e-09,1.2926
6.7009e-09,1.3167
6.7242e-09,1.3345
6.7474e-09,1.3314
6.7707e-09,1.3016
6.7940e-09,1.2596
6.8172e-09,1.2175
6.8405e-09,1.1757
6.8638e-09,1.1329
6.8870e-09,1.0913
6.9103e-09,1.0575
6.9336e-09,1.0419
6.9568e-09,1.0507
6.9801e-09,1.0777
7.0034e-09,1.1074
7.0266e-09,1.1185
7.0499e-09,1.0961
7.0732e-09,1.0172
7.0964e-09,0.8951
7.1197e-09,0.7669
7.1430e-09,0.6309
7.1662e-09,0.4678
7.1895e-09,0.2926
7.2128e-09,0.1361
7.2360e-09,0.0113
7.2593e-09,-0.0654
7.2826e-09,-0.0983
7.3058e-09,-0.1031
7.3291e-09,-0.0994
7.3524e-09,-0.0942
7.3756e-09,-0.0868
7.3989e-09,-0.0797
7.4222e-09,-0.0806
7.4454e-09,-0.0897
7.4687e-09,-0.1071
7.4920e-09,-0.1329
7.5152e-09,-0.1623
7.5385e-09,-0.1842
7.5618e-09,-0.1844
7.5850e-09,-0.1556
7.6083e-09,-0.1096
7.6316e-09,-0.0608
7.6548e-09,-0.0110
7.6781e-09,0.0414
7.7014e-09,0.0941
7.7246e-09,0.1409
7.7479e-09,0.1706
7.7712e-09,0.1732
7.7944e-09,0.1506
7.8177e-09,0.1146
7.8410e-09,0.0786
7.8642e-09,0.0483
7.8875e-09,0.0250
7.9108e-09,0.0109
7.9340e-09,0.0064
7.9573e-09,0.0092
7.9806e-09,0.0184
8.0038e-09,0.0331
8.0271e-09,0.0502
8.0504e-09,0.0628
8.0736e-09,0.0631
8.0969e-09,0.0484
8.1202e-09,0.0243
8.1435e-09,-0.0014
8.1667e-09,-0.0239
8.1900e-09,-0.0425
8.2133e-09,-0.0591
8.2365e-09,-0.0733
8.2598e-09,-0.0798
8.2831e-09,-0.0733
8.3063e-09,-0.0541
8.3296e-09,-0.0285
8.3529e-09,-0.0040
8.3761e-09,0.0153
8.3994e-09,0.0270
8.4227e-09,0.0311
8.4459e-09,0.0287
8.4692e-09,0.0217
8.4925e-09,0.0113
8.5157e-09,-0.0015
8.5390e-09,-0.0145
8.5623e-09,-0.0239
8.5855e-09,-0.0257
8.6088e-09,-0.0184
8.6321e-09,-0.0044
8.6553e-09,0.0109
8.6786e-09,0.0228
8.7019e-09,0.0300
8.7251e-09,0.0343
8.7484e-09,0.0367
8.7717e-09,0.0359
8.7949e-09,0.0297
8.8182e-09,0.0180
8.8415e-09,0.0037
8.8647e-09,-0.0096
8.8880e-09,-0.0187
8.9113e-09,-0.0225
8.9345e-09,-0.0216
8.9578e-09,-0.0172
8.9811e-09,-0.0107
9.0043e-09,-0.0030
9.0276e-09,0.0052
9.0509e-09,0.0130
9.0741e-09,0.0187
9.0974e-09,0.0200
9.1207e-09,0.0157
9.1439e-09,0.0069
9.1672e-09,-0.0030
9.1905e-09,-0.0107
9.2137e-09,-0.0147
9.2370e-09,-0.0156
9.2603e-09,-0.0147
9.2835e-09,-0.0121
9.3068e-09,-0.0074
9.3301e-09,-0.0005
9.3533e-09,0.0072
9.3766e-09,0.0138
9.3999e-09,0.0174
9.4231e-09,0.0175
9.4464e-09,0.0148
9.4697e-09,0.0106
9.4929e-09,0.0058
9.5162e-09,0.0022
9.5395e-09,0.0070
9.5627e-09,0.0380
9.5860e-09,0.1229
9.6093e-09,0.2458
9.6325e-09,0.3686
9.6558e-09,0.4969
9.6791e-09,0.6502
9.7023e-09,0.8127
9.7256e-09,0.9587
9.7489e-09,1.0796
9.7721e-09,1.1644
9.7954e-09,1.2153
9.8187e-09,1.2415
9.8419e-09,1.2563
9.8652e-09,1.2637
9.8885e-09,1.2646
9.9117e-09,1.2661
9.9350e-09,1.2751
9.9583e-09,1.2859
9.9815e-09,1.2937
1.00048e-08,1.3006
1.00281e-08,1.3103
1.00513e-08,1.3187
1.00746e-08,1.3120
1.00979e-08,1.2821
1.01211e-08,1.2404
1.01444e-08,1.1999
1.01677e-08,1.1615
1.01909e-08,1.1230
1.02142e-08,1.0858
1.02375e-08,1.0532
1.02607e-08,1.0333
1.02840e-08,1.0335
1.03073e-08,1.0525
1.03305e-08,1.0810
1.03538e-08,1.1107
1.03771e-08,1.1392
1.04003e-08,1.1642
1.04236e-08,1.1803
1.04469e-08,1.1861
1.04702e-08,1.1861
1.04934e-08,1.1838
1.05167e-08,1.1797
1.05400e-08,1.1735
1.05632e-08,1.1685
1.05865e-08,1.1713
1.06098e-08,1.1847
1.06330e-08,1.2048
1.06563e-08,1.2251
