.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
0.0e+00,0.5159
2.33e-11,0.5159
4.65e-11,0.5159
6.98e-11,0.5159
9.31e-11,0.5159
1.163e-10,0.5159
1.396e-10,0.5159
1.629e-10,0.5159
1.861e-10,0.5159
2.094e-10,0.5159
2.327e-10,0.5159
2.559e-10,0.5159
2.792e-10,0.5159
3.025e-10,0.5159
3.257e-10,0.5159
3.490e-10,0.5159
3.723e-10,0.5159
3.955e-10,0.5159
4.188e-10,0.5159
4.421e-10,0.5159
4.653e-10,0.5159
4.886e-10,0.5159
5.119e-10,0.5159
5.351e-10,0.5159
5.584e-10,0.5159
5.817e-10,0.5159
6.049e-10,0.5159
6.282e-10,0.5159
6.515e-10,0.5159
6.747e-10,0.5159
6.980e-10,0.5159
7.213e-10,0.5159
7.445e-10,0.5165
7.678e-10,0.5207
7.911e-10,0.5401
8.143e-10,0.5954
8.376e-10,0.6896
8.609e-10,0.8014
8.841e-10,0.9019
9.074e-10,0.9781
9.307e-10,1.0382
9.539e-10,1.0949
9.772e-10,1.1478
1.0005e-09,1.1853
1.0237e-09,1.2018
1.0470e-09,1.2025
1.0703e-09,1.1976
1.0935e-09,1.1944
1.1168e-09,1.1938
1.1401e-09,1.1930
1.1633e-09,1.1907
1.1866e-09,1.1840
1.2099e-09,1.1630
1.2332e-09,1.1105
1.2564e-09,1.0268
1.2797e-09,0.9305
1.3030e-09,0.8468
1.3262e-09,0.7843
1.3495e-09,0.7326
1.3728e-09,0.6774
1.3960e-09,0.6198
1.4193e-09,0.5743
1.4426e-09,0.5486
1.4658e-09,0.5389
1.4891e-09,0.5337
1.5124e-09,0.5258
1.5356e-09,0.5170
1.5589e-09,0.5137
1.5822e-09,0.5176
1.6054e-09,0.5270
1.6287e-09,0.5507
1.6520e-09,0.6084
1.6752e-09,0.7024
1.6985e-09,0.8116
1.7218e-09,0.9065
1.7450e-09,0.9764
1.7683e-09,1.0325
1.7916e-09,1.0908
1.8148e-09,1.1495
1.8381e-09,1.1931
1.8614e-09,1.2129
1.8846e-09,1.2137
1.9079e-09,1.2090
1.9312e-09,1.2084
1.9544e-09,1.2107
1.9777e-09,1.2095
2.0010e-09,1.2018
2.0242e-09,1.1864
2.0475e-09,1.1555
2.0708e-09,1.0959
2.0940e-09,1.0095
2.1173e-09,0.9145
2.1406e-09,0.8338
2.1638e-09,0.7734
2.1871e-09,0.7229
2.2104e-09,0.6688
2.2336e-09,0.6137
2.2569e-09,0.5705
2.2802e-09,0.5465
2.3034e-09,0.5377
2.3267e-09,0.5329
2.3500e-09,0.5249
2.3732e-09,0.5157
2.3965e-09,0.5119
2.4198e-09,0.5159
2.4430e-09,0.5276
2.4663e-09,0.5583
2.4896e-09,0.6246
2.5128e-09,0.7236
2.5361e-09,0.8321
2.5594e-09,0.9229
2.5826e-09,0.9903
2.6059e-09,1.0467
2.6292e-09,1.1052
2.6524e-09,1.1607
2.6757e-09,1.1989
2.6990e-09,1.2141
2.7222e-09,1.2129
2.7455e-09,1.2080
2.7688e-09,1.2073
2.7920e-09,1.2089
2.8153e-09,1.2072
2.8386e-09,1.1992
2.8618e-09,1.1826
2.8851e-09,1.1466
2.9084e-09,1.0806
2.9316e-09,0.9908
2.9549e-09,0.8976
2.9782e-09,0.8216
3.0014e-09,0.7640
3.0247e-09,0.7129
3.0480e-09,0.6572
3.0712e-09,0.6037
3.0945e-09,0.5643
3.1178e-09,0.5439
3.1410e-09,0.5363
3.1643e-09,0.5308
3.1876e-09,0.5223
3.2108e-09,0.5141
3.2341e-09,0.5122
3.2574e-09,0.5175
3.2806e-09,0.5313
3.3039e-09,0.5683
3.3272e-09,0.6425
3.3504e-09,0.7460
3.3737e-09,0.8526
3.3970e-09,0.9379
3.4202e-09,1.0016
3.4435e-09,1.0579
3.4668e-09,1.1171
3.4901e-09,1.1702
3.5133e-09,1.2036
3.5366e-09,1.2144
3.5599e-09,1.2115
3.5831e-09,1.2074
3.6064e-09,1.2078
3.6297e-09,1.2092
3.6529e-09,1.2062
3.6762e-09,1.1967
3.6995e-09,1.1776
3.7227e-09,1.1360
3.7460e-09,1.0641
3.7693e-09,0.9716
3.7925e-09,0.8806
3.8158e-09,0.8089
3.8391e-09,0.7539
3.8623e-09,0.7024
3.8856e-09,0.6459
3.9089e-09,0.5943
3.9321e-09,0.5587
3.9554e-09,0.5418
3.9787e-09,0.5355
4.0019e-09,0.5295
4.0252e-09,0.5204
4.0485e-09,0.5130
4.0717e-09,0.5127
4.0950e-09,0.5195
4.1183e-09,0.5362
4.1415e-09,0.5800
4.1648e-09,0.6614
4.1881e-09,0.7679
4.2113e-09,0.8715
4.2346e-09,0.9519
4.2579e-09,1.0126
4.2811e-09,1.0693
4.3044e-09,1.1285
4.3277e-09,1.1786
4.3509e-09,1.2074
4.3742e-09,1.2144
4.3975e-09,1.2104
4.4207e-09,1.2071
4.4440e-09,1.2082
4.4673e-09,1.2090
4.4905e-09,1.2049
4.5138e-09,1.1939
4.5371e-09,1.1716
4.5603e-09,1.1239
4.5836e-09,1.0466
4.6069e-09,0.9525
4.6301e-09,0.8646
4.6534e-09,0.7970
4.6767e-09,0.7440
4.6999e-09,0.6915
4.7232e-09,0.6349
4.7465e-09,0.5858
4.7697e-09,0.5540
4.7930e-09,0.5402
4.8163e-09,0.5346
4.8395e-09,0.5279
4.8628e-09,0.5186
4.8861e-09,0.5124
4.9093e-09,0.5135
4.9326e-09,0.5217
4.9559e-09,0.5422
4.9791e-09,0.5933
5.0024e-09,0.6814
5.0257e-09,0.7897
5.0489e-09,0.8895
5.0722e-09,0.9650
5.0955e-09,1.0236
5.1187e-09,1.0810
5.1420e-09,1.1397
