.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
5.5143e-09,-0.2910
5.5375e-09,-0.4014
5.5608e-09,-0.5153
5.5841e-09,-0.6082
5.6073e-09,-0.6614
5.6306e-09,-0.6763
5.6539e-09,-0.6741
5.6771e-09,-0.6760
5.7004e-09,-0.6867
5.7237e-09,-0.6955
5.7469e-09,-0.6912
5.7702e-09,-0.6683
5.7935e-09,-0.6106
5.8168e-09,-0.4901
5.8400e-09,-0.3100
5.8633e-09,-0.1085
5.8866e-09,0.0652
5.9098e-09,0.1961
5.9331e-09,0.3044
5.9564e-09,0.4162
5.9796e-09,0.5287
6.0029e-09,0.6165
6.0262e-09,0.6641
6.0494e-09,0.6761
6.0727e-09,0.6747
6.0960e-09,0.6788
6.1192e-09,0.6901
6.1425e-09,0.6973
6.1658e-09,0.6908
6.1890e-09,0.6654
6.2123e-09,0.6026
6.2356e-09,0.4752
6.2588e-09,0.2906
6.2821e-09,0.0900
6.3054e-09,-0.0786
6.3286e-09,-0.2052
6.3519e-09,-0.3122
6.3752e-09,-0.4245
6.3984e-09,-0.5364
6.4217e-09,-0.6223
6.4450e-09,-0.6670
6.4682e-09,-0.6763
6.4915e-09,-0.6735
6.5148e-09,-0.6775
6.5380e-09,-0.6891
6.5613e-09,-0.6959
6.5846e-09,-0.6883
6.6078e-09,-0.6605
6.6311e-09,-0.5920
6.6544e-09,-0.4579
6.6776e-09,-0.2694
6.7009e-09,-0.0698
6.7242e-09,0.0948
6.7474e-09,0.2187
6.7707e-09,0.3260
6.7940e-09,0.4395
6.8172e-09,0.5491
6.8405e-09,0.6295
6.8638e-09,0.6688
6.8870e-09,0.6760
6.9103e-09,0.6746
6.9336e-09,0.6807
6.9568e-09,0.6923
6.9801e-09,0.6972
7.0034e-09,0.6874
7.0266e-09,0.6569
7.0499e-09,0.5826
7.0732e-09,0.4417
7.0964e-09,0.2498
7.1197e-09,0.0521
7.1430e-09,-0.1072
7.1662e-09,-0.2274
7.1895e-09,-0.3339
7.2128e-09,-0.4479
7.2360e-09,-0.5566
7.2593e-09,-0.6349
7.2826e-09,-0.6711
7.3058e-09,-0.6758
7.3291e-09,-0.6733
7.3524e-09,-0.6794
7.3756e-09,-0.6912
7.3989e-09,-0.6957
7.4222e-09,-0.6846
7.4454e-09,-0.6512
7.4687e-09,-0.5706
7.4920e-09,-0.4233
7.5152e-09,-0.2283
7.5385e-09,-0.0327
