.HEADER
..NAMES
Time,V U2.T8
.DATA
5.6306e-09,1.1167
5.6539e-09,1.1893
5.6771e-09,1.2409
5.7004e-09,1.2740
5.7237e-09,1.2920
5.7469e-09,1.2970
5.7702e-09,1.2904
5.7935e-09,1.2707
5.8168e-09,1.2472
5.8400e-09,1.2338
5.8633e-09,1.2343
5.8866e-09,1.2449
5.9098e-09,1.2620
5.9331e-09,1.2808
5.9564e-09,1.2901
5.9796e-09,1.2849
6.0029e-09,1.2757
6.0262e-09,1.2710
6.0494e-09,1.2600
6.0727e-09,1.2270
6.0960e-09,1.1774
6.1192e-09,1.1307
6.1425e-09,1.0980
6.1658e-09,1.0779
6.1890e-09,1.0630
6.2123e-09,1.0392
6.2356e-09,0.9904
6.2588e-09,0.8983
6.2821e-09,0.7918
6.3054e-09,0.7025
6.3286e-09,0.6146
6.3519e-09,0.4884
6.3752e-09,0.3347
6.3984e-09,0.1973
6.4217e-09,0.0864
6.4450e-09,-0.0048
6.4682e-09,-0.0784
6.4915e-09,-0.1303
6.5148e-09,-0.1591
6.5380e-09,-0.1736
6.5613e-09,-0.1835
6.5846e-09,-0.1895
6.6078e-09,-0.1797
6.6311e-09,-0.1544
6.6544e-09,-0.1318
6.6776e-09,-0.1245
6.7009e-09,-0.1291
6.7242e-09,-0.1366
6.7474e-09,-0.1418
6.7707e-09,-0.1384
6.7940e-09,-0.1233
6.8172e-09,-0.1043
6.8405e-09,-0.0899
6.8638e-09,-0.0736
6.8870e-09,-0.0410
6.9103e-09,0.0072
6.9336e-09,0.0548
6.9568e-09,0.0901
6.9801e-09,0.1130
7.0034e-09,0.1264
7.0266e-09,0.1296
7.0499e-09,0.1222
7.0732e-09,0.1082
7.0964e-09,0.0940
7.1197e-09,0.0804
7.1430e-09,0.0619
7.1662e-09,0.0381
7.1895e-09,0.0181
7.2128e-09,0.0102
7.2360e-09,0.0124
7.2593e-09,0.0173
7.2826e-09,0.0209
7.3058e-09,0.0225
7.3291e-09,0.0223
7.3524e-09,0.0223
7.3756e-09,0.0238
7.3989e-09,0.0231
7.4222e-09,0.0143
7.4454e-09,-0.0034
7.4687e-09,-0.0242
7.4920e-09,-0.0414
7.5152e-09,-0.0522
7.5385e-09,-0.0573
7.5618e-09,-0.0569
7.5850e-09,-0.0509
7.6083e-09,-0.0411
7.6316e-09,-0.0304
7.6548e-09,-0.0197
7.6781e-09,-0.0072
7.7014e-09,0.0066
7.7246e-09,0.0171
7.7479e-09,0.0199
7.7712e-09,0.0161
7.7944e-09,0.0105
7.8177e-09,0.0061
7.8410e-09,0.0030
7.8642e-09,-0.0002
7.8875e-09,-0.0042
7.9108e-09,-0.0086
7.9340e-09,-0.0114
7.9573e-09,-0.0101
7.9806e-09,-0.0038
8.0038e-09,0.0056
8.0271e-09,0.0147
8.0504e-09,0.0215
8.0736e-09,0.0252
8.0969e-09,0.0262
8.1202e-09,0.0244
8.1435e-09,0.0201
8.1667e-09,0.0142
8.1900e-09,0.0071
8.2133e-09,-0.0011
8.2365e-09,-0.0096
8.2598e-09,-0.0155
8.2831e-09,-0.0167
8.3063e-09,-0.0136
8.3296e-09,-0.0089
8.3529e-09,-0.0050
8.3761e-09,-0.0020
8.3994e-09,0.0010
8.4227e-09,0.0043
8.4459e-09,0.0076
8.4692e-09,0.0098
8.4925e-09,0.0098
8.5157e-09,0.0073
8.5390e-09,0.0030
8.5623e-09,-0.0019
8.5855e-09,-0.0060
8.6088e-09,-0.0087
8.6321e-09,-0.0103
8.6553e-09,-0.0107
8.6786e-09,-0.0097
8.7019e-09,-0.0072
8.7251e-09,-0.0032
8.7484e-09,0.0020
8.7717e-09,0.0075
8.7949e-09,0.0116
8.8182e-09,0.0128
8.8415e-09,0.0112
8.8647e-09,0.0083
8.8880e-09,0.0053
8.9113e-09,0.0028
8.9345e-09,0.0003
8.9578e-09,-0.0022
8.9811e-09,-0.0044
9.0043e-09,-0.0056
9.0276e-09,-0.0055
9.0509e-09,-0.0041
9.0741e-09,-0.0017
9.0974e-09,0.0009
9.1207e-09,0.0031
9.1439e-09,0.0048
9.1672e-09,0.0060
9.1905e-09,0.0068
9.2137e-09,0.0071
9.2370e-09,0.0065
9.2603e-09,0.0046
9.2835e-09,0.0016
9.3068e-09,-0.0018
9.3301e-09,-0.0046
9.3533e-09,-0.0060
9.3766e-09,-0.0057
9.3999e-09,-0.0044
9.4231e-09,-0.0026
9.4464e-09,-0.0007
9.4697e-09,0.0013
9.4929e-09,0.0033
9.5162e-09,0.0051
9.5395e-09,0.0091
9.5627e-09,0.0264
9.5860e-09,0.0804
9.6093e-09,0.1848
9.6325e-09,0.3005
9.6558e-09,0.4013
9.6791e-09,0.5138
9.7023e-09,0.6663
9.7256e-09,0.8289
9.7489e-09,0.9632
9.7721e-09,1.0694
9.7954e-09,1.1539
9.8187e-09,1.2184
9.8419e-09,1.2615
9.8652e-09,1.2845
9.8885e-09,1.2937
9.9117e-09,1.2981
9.9350e-09,1.3018
9.9583e-09,1.2992
9.9815e-09,1.2924
1.00048e-08,1.2908
1.00281e-08,1.2977
1.00513e-08,1.3090
1.00746e-08,1.3205
1.00979e-08,1.3273
1.01211e-08,1.3201
1.01444e-08,1.2975
1.01677e-08,1.2717
1.01909e-08,1.2503
1.02142e-08,1.2237
1.02375e-08,1.1811
1.02607e-08,1.1312
1.02840e-08,1.0912
1.03073e-08,1.0675
1.03305e-08,1.0561
1.03538e-08,1.0543
1.03771e-08,1.0628
1.04003e-08,1.0817
1.04236e-08,1.1062
1.04469e-08,1.1294
1.04702e-08,1.1489
1.04934e-08,1.1676
1.05167e-08,1.1849
1.05400e-08,1.1947
1.05632e-08,1.1941
1.05865e-08,1.1871
1.06098e-08,1.1792
1.06330e-08,1.1738
1.06563e-08,1.1730
1.06796e-08,1.1770
1.07028e-08,1.1821
1.07261e-08,1.1868
1.07494e-08,1.1949
1.07726e-08,1.2103
1.07959e-08,1.2306
1.08192e-08,1.2483
1.08424e-08,1.2590
1.08657e-08,1.2629
1.08890e-08,1.2616
1.09122e-08,1.2548
1.09355e-08,1.2423
1.09588e-08,1.2264
1.09820e-08,1.2111
1.10053e-08,1.1979
1.10286e-08,1.1862
1.10518e-08,1.1767
1.10751e-08,1.1730
1.10984e-08,1.1767
1.11216e-08,1.1854
1.11449e-08,1.1945
1.11682e-08,1.2017
1.11914e-08,1.2062
1.12147e-08,1.2087
1.12380e-08,1.2100
1.12612e-08,1.2101
1.12845e-08,1.2078
1.13078e-08,1.2016
1.13310e-08,1.1926
1.13543e-08,1.1838
1.13776e-08,1.1776
1.14008e-08,1.1748
1.14241e-08,1.1747
1.14474e-08,1.1776
1.14706e-08,1.1834
1.14939e-08,1.1914
1.15172e-08,1.2000
1.15404e-08,1.2081
1.15637e-08,1.2154
1.15870e-08,1.2211
1.16102e-08,1.2230
1.16335e-08,1.2200
1.16568e-08,1.2136
1.16800e-08,1.2064
1.17033e-08,1.2004
1.17266e-08,1.1960
1.17498e-08,1.1929
1.17731e-08,1.1909
1.17964e-08,1.1904
1.18196e-08,1.1919
1.18429e-08,1.1955
1.18662e-08,1.2005
1.18894e-08,1.2056
1.19127e-08,1.2096
1.19360e-08,1.2118
1.19592e-08,1.2125
1.19825e-08,1.2116
1.20058e-08,1.2094
1.20290e-08,1.2058
1.20523e-08,1.2014
1.20756e-08,1.1968
1.20988e-08,1.1921
1.21221e-08,1.1884
1.21454e-08,1.1868
1.21686e-08,1.1882
1.21919e-08,1.1919
1.22152e-08,1.1964
1.22384e-08,1.2006
1.22617e-08,1.2041
1.22850e-08,1.2069
1.23082e-08,1.2087
1.23315e-08,1.2092
1.23548e-08,1.2081
1.23780e-08,1.2056
1.24013e-08,1.2023
1.24246e-08,1.1989
1.24478e-08,1.1962
1.24711e-08,1.1946
1.24944e-08,1.1941
1.25176e-08,1.1944
1.25409e-08,1.1954
1.25642e-08,1.1970
1.25874e-08,1.1992
1.26107e-08,1.2018
1.26340e-08,1.2046
1.26572e-08,1.2069
1.26805e-08,1.2082
1.27038e-08,1.2079
1.27270e-08,1.2062
1.27503e-08,1.2038
1.27736e-08,1.2012
1.27968e-08,1.1988
1.28201e-08,1.1967
1.28434e-08,1.1951
1.28667e-08,1.1944
1.28899e-08,1.1950
1.29132e-08,1.1966
1.29365e-08,1.1988
1.29597e-08,1.2012
1.29830e-08,1.2032
1.30063e-08,1.2044
1.30295e-08,1.2048
1.30528e-08,1.2046
1.30761e-08,1.2040
1.30993e-08,1.2030
1.31226e-08,1.2018
1.31459e-08,1.2003
1.31691e-08,1.1987
1.31924e-08,1.1974
1.32157e-08,1.1966
1.32389e-08,1.1965
1.32622e-08,1.1972
1.32855e-08,1.1983
1.33087e-08,1.1996
1.33320e-08,1.2011
1.33553e-08,1.2025
1.33785e-08,1.2038
1.34018e-08,1.2045
1.34251e-08,1.2045
1.34483e-08,1.2037
1.34716e-08,1.2023
1.34949e-08,1.2007
1.35181e-08,1.1992
1.35414e-08,1.1982
1.35647e-08,1.1977
1.35879e-08,1.1977
1.36112e-08,1.1982
1.36345e-08,1.1988
1.36577e-08,1.1996
1.36810e-08,1.1980
1.37043e-08,1.1812
1.37275e-08,1.1329
1.37508e-08,1.0328
1.37741e-08,0.9045
1.37973e-08,0.7899
1.38206e-08,0.6787
1.38439e-08,0.5308
1.38671e-08,0.3553
1.38904e-08,0.2037
1.39137e-08,0.0898
1.39369e-08,0.0009
1.39602e-08,-0.0672
1.39835e-08,-0.1147
1.40067e-08,-0.1410
1.40300e-08,-0.1515
1.40533e-08,-0.1553
1.40765e-08,-0.1599
1.40998e-08,-0.1618
1.41231e-08,-0.1574
1.41463e-08,-0.1560
1.41696e-08,-0.1646
1.41929e-08,-0.1792
1.42161e-08,-0.1926
1.42394e-08,-0.1997
1.42627e-08,-0.1938
1.42859e-08,-0.1702
1.43092e-08,-0.1375
1.43325e-08,-0.1078
1.43557e-08,-0.0772
1.43790e-08,-0.0318
1.44023e-08,0.0267
