.HEADER
..NAMES
Time,V U2.C8
.DATA
5.6771e-09,1.0946
5.7004e-09,0.9990
5.7237e-09,0.8708
5.7469e-09,0.7552
5.7702e-09,0.6531
5.7935e-09,0.5379
5.8168e-09,0.4171
5.8400e-09,0.3028
5.8633e-09,0.1917
5.8866e-09,0.0908
5.9098e-09,0.0036
5.9331e-09,-0.0622
5.9564e-09,-0.1021
5.9796e-09,-0.1231
6.0029e-09,-0.1352
6.0262e-09,-0.1482
6.0494e-09,-0.1621
6.0727e-09,-0.1696
6.0960e-09,-0.1692
6.1192e-09,-0.1701
6.1425e-09,-0.1761
6.1658e-09,-0.1735
6.1890e-09,-0.1523
6.2123e-09,-0.1219
6.2356e-09,-0.0888
6.2588e-09,-0.0528
6.2821e-09,-0.0188
6.3054e-09,0.0102
6.3286e-09,0.0346
6.3519e-09,0.0549
6.3752e-09,0.0747
6.3984e-09,0.0959
6.4217e-09,0.1131
6.4450e-09,0.1194
6.4682e-09,0.1123
6.4915e-09,0.0992
6.5148e-09,0.0878
6.5380e-09,0.0779
6.5613e-09,0.0672
6.5846e-09,0.0577
6.6078e-09,0.0535
6.6311e-09,0.0531
6.6544e-09,0.0522
6.6776e-09,0.0492
6.7009e-09,0.0428
6.7242e-09,0.0321
6.7474e-09,0.0177
6.7707e-09,0.0008
6.7940e-09,-0.0153
6.8172e-09,-0.0256
6.8405e-09,-0.0291
6.8638e-09,-0.0301
6.8870e-09,-0.0331
6.9103e-09,-0.0358
6.9336e-09,-0.0232
6.9568e-09,0.0315
6.9801e-09,0.1379
7.0034e-09,0.2538
7.0266e-09,0.3551
7.0499e-09,0.4597
7.0732e-09,0.5729
7.0964e-09,0.6890
7.1197e-09,0.8106
7.1430e-09,0.9283
7.1662e-09,1.0309
7.1895e-09,1.1128
7.2128e-09,1.1706
7.2360e-09,1.2095
7.2593e-09,1.2393
7.2826e-09,1.2688
7.3058e-09,1.2965
7.3291e-09,1.3119
7.3524e-09,1.3133
7.3756e-09,1.3140
7.3989e-09,1.3260
7.4222e-09,1.3411
7.4454e-09,1.3421
7.4687e-09,1.3248
7.4920e-09,1.2936
7.5152e-09,1.2514
7.5385e-09,1.1963
7.5618e-09,1.1209
7.5850e-09,1.0002
7.6083e-09,0.8615
7.6316e-09,0.7411
7.6548e-09,0.6235
7.6781e-09,0.4949
7.7014e-09,0.3710
7.7246e-09,0.2538
7.7479e-09,0.1430
7.7712e-09,0.0441
7.7944e-09,-0.0393
7.8177e-09,-0.0969
7.8410e-09,-0.1281
7.8642e-09,-0.1433
7.8875e-09,-0.1565
7.9108e-09,-0.1751
7.9340e-09,-0.1919
7.9573e-09,-0.1979
7.9806e-09,-0.1953
8.0038e-09,-0.1949
8.0271e-09,-0.1951
8.0504e-09,-0.1812
8.0736e-09,-0.1518
8.0969e-09,-0.1167
8.1202e-09,-0.0779
8.1435e-09,-0.0370
8.1667e-09,0.0001
8.1900e-09,0.0309
8.2133e-09,0.0542
8.2365e-09,0.0723
8.2598e-09,0.0914
8.2831e-09,0.1115
8.3063e-09,0.1253
8.3296e-09,0.1254
8.3529e-09,0.1132
8.3761e-09,0.0988
8.3994e-09,0.0879
