.HEADER
..NAMES
Time,V U2.M8
.DATA
5.7004e-09,-0.1495
5.7237e-09,-0.1665
5.7469e-09,-0.1859
5.7702e-09,-0.2054
5.7935e-09,-0.2150
5.8168e-09,-0.2099
5.8400e-09,-0.1966
5.8633e-09,-0.1845
5.8866e-09,-0.1715
5.9098e-09,-0.1429
5.9331e-09,-0.0908
5.9564e-09,-0.0287
5.9796e-09,0.0261
6.0029e-09,0.0694
6.0262e-09,0.1026
6.0494e-09,0.1263
6.0727e-09,0.1409
6.0960e-09,0.1465
6.1192e-09,0.1423
6.1425e-09,0.1302
6.1658e-09,0.1138
6.1890e-09,0.0966
6.2123e-09,0.0798
6.2356e-09,0.0670
6.2588e-09,0.0629
6.2821e-09,0.0675
6.3054e-09,0.0720
6.3286e-09,0.0674
6.3519e-09,0.0534
6.3752e-09,0.0371
6.3984e-09,0.0240
6.4217e-09,0.0115
6.4450e-09,-0.0050
6.4682e-09,-0.0254
6.4915e-09,-0.0453
6.5148e-09,-0.0604
6.5380e-09,-0.0676
6.5613e-09,-0.0668
6.5846e-09,-0.0598
6.6078e-09,-0.0488
6.6311e-09,-0.0358
6.6544e-09,-0.0236
6.6776e-09,-0.0148
6.7009e-09,-0.0089
6.7242e-09,-0.0035
6.7474e-09,0.0022
6.7707e-09,0.0050
6.7940e-09,0.0022
6.8172e-09,-0.0040
6.8405e-09,-0.0081
6.8638e-09,-0.0060
6.8870e-09,0.0013
6.9103e-09,0.0101
6.9336e-09,0.0174
6.9568e-09,0.0228
6.9801e-09,0.0268
7.0034e-09,0.0297
7.0266e-09,0.0313
7.0499e-09,0.0306
7.0732e-09,0.0274
7.0964e-09,0.0220
7.1197e-09,0.0146
7.1430e-09,0.0058
7.1662e-09,-0.0022
7.1895e-09,-0.0064
7.2128e-09,-0.0062
7.2360e-09,-0.0038
7.2593e-09,-0.0019
7.2826e-09,-0.0014
7.3058e-09,-0.0006
7.3291e-09,0.0014
7.3524e-09,0.0040
7.3756e-09,0.0052
7.3989e-09,0.0036
7.4222e-09,-0.0003
7.4454e-09,-0.0048
7.4687e-09,-0.0082
7.4920e-09,-0.0098
7.5152e-09,-0.0094
7.5385e-09,-0.0073
7.5618e-09,-0.0041
7.5850e-09,-0.0009
7.6083e-09,0.0016
7.6316e-09,0.0037
7.6548e-09,0.0062
7.6781e-09,0.0092
7.7014e-09,0.0113
7.7246e-09,0.0109
7.7479e-09,0.0083
7.7712e-09,0.0048
7.7944e-09,0.0023
7.8177e-09,0.0013
7.8410e-09,0.0014
7.8642e-09,0.0043
7.8875e-09,0.0213
7.9108e-09,0.0785
7.9340e-09,0.1905
7.9573e-09,0.3218
7.9806e-09,0.4452
8.0038e-09,0.5708
8.0271e-09,0.7113
8.0504e-09,0.8498
8.0736e-09,0.9740
8.0969e-09,1.0770
8.1202e-09,1.1532
8.1435e-09,1.2020
8.1667e-09,1.2306
8.1900e-09,1.2477
8.2133e-09,1.2596
8.2365e-09,1.2717
8.2598e-09,1.2892
8.2831e-09,1.3104
8.3063e-09,1.3253
8.3296e-09,1.3267
8.3529e-09,1.3188
8.3761e-09,1.3126
8.3994e-09,1.3085
8.4227e-09,1.2922
8.4459e-09,1.2542
8.4692e-09,1.2040
8.4925e-09,1.1556
8.5157e-09,1.1148
8.5390e-09,1.0836
8.5623e-09,1.0635
8.5855e-09,1.0533
8.6088e-09,1.0516
8.6321e-09,1.0587
8.6553e-09,1.0733
8.6786e-09,1.0920
8.7019e-09,1.1124
8.7251e-09,1.1336
8.7484e-09,1.1519
8.7717e-09,1.1608
8.7949e-09,1.1588
8.8182e-09,1.1531
8.8415e-09,1.1537
8.8647e-09,1.1633
8.8880e-09,1.1766
8.9113e-09,1.1883
8.9345e-09,1.1990
8.9578e-09,1.2123
8.9811e-09,1.2286
9.0043e-09,1.2456
9.0276e-09,1.2598
9.0509e-09,1.2675
9.0741e-09,1.2674
9.0974e-09,1.2562
9.1207e-09,1.2209
9.1439e-09,1.1454
9.1672e-09,1.0113
9.1905e-09,0.8587
9.2137e-09,0.7192
9.2370e-09,0.5845
9.2603e-09,0.4318
9.2835e-09,0.2799
9.3068e-09,0.1497
9.3301e-09,0.0468
9.3533e-09,-0.0252
9.3766e-09,-0.0726
9.3999e-09,-0.1026
9.4231e-09,-0.1248
9.4464e-09,-0.1428
9.4697e-09,-0.1602
9.4929e-09,-0.1803
9.5162e-09,-0.2019
9.5395e-09,-0.2154
9.5627e-09,-0.2138
9.5860e-09,-0.2018
9.6093e-09,-0.1893
9.6325e-09,-0.1767
9.6558e-09,-0.1503
9.6791e-09,-0.1002
9.7023e-09,-0.0376
9.7256e-09,0.0189
9.7489e-09,0.0638
9.7721e-09,0.0983
9.7954e-09,0.1232
9.8187e-09,0.1388
9.8419e-09,0.1452
9.8652e-09,0.1415
9.8885e-09,0.1295
9.9117e-09,0.1135
9.9350e-09,0.0971
9.9583e-09,0.0812
9.9815e-09,0.0684
1.00048e-08,0.0635
1.00281e-08,0.0676
1.00513e-08,0.0731
1.00746e-08,0.0703
1.00979e-08,0.0574
1.01211e-08,0.0409
1.01444e-08,0.0269
1.01677e-08,0.0141
1.01909e-08,-0.0025
1.02142e-08,-0.0231
1.02375e-08,-0.0436
1.02607e-08,-0.0594
1.02840e-08,-0.0674
1.03073e-08,-0.0672
1.03305e-08,-0.0607
1.03538e-08,-0.0494
1.03771e-08,-0.0276
1.04003e-08,0.0215
1.04236e-08,0.1239
1.04469e-08,0.2621
1.04702e-08,0.3928
1.04934e-08,0.5204
1.05167e-08,0.6607
1.05400e-08,0.8053
1.05632e-08,0.9324
1.05865e-08,1.0450
1.06098e-08,1.1360
1.06330e-08,1.2030
1.06563e-08,1.2459
1.06796e-08,1.2719
1.07028e-08,1.2886
1.07261e-08,1.3011
1.07494e-08,1.3159
1.07726e-08,1.3343
1.07959e-08,1.3484
1.08192e-08,1.3480
1.08424e-08,1.3344
1.08657e-08,1.3182
1.08890e-08,1.3063
1.09122e-08,1.2900
1.09355e-08,1.2562
1.09588e-08,1.2083
1.09820e-08,1.1608
1.10053e-08,1.1192
1.10286e-08,1.0848
1.10518e-08,1.0612
1.10751e-08,1.0491
1.10984e-08,1.0459
1.11216e-08,1.0501
1.11449e-08,1.0608
1.11682e-08,1.0757
1.11914e-08,1.0931
1.12147e-08,1.1130
1.12380e-08,1.1339
1.12612e-08,1.1491
1.12845e-08,1.1541
1.13078e-08,1.1523
1.13310e-08,1.1535
1.13543e-08,1.1632
1.13776e-08,1.1781
1.14008e-08,1.1923
1.14241e-08,1.2044
1.14474e-08,1.2171
1.14706e-08,1.2313
1.14939e-08,1.2454
1.15172e-08,1.2577
1.15404e-08,1.2660
1.15637e-08,1.2680
1.15870e-08,1.2624
1.16102e-08,1.2394
1.16335e-08,1.1848
1.16568e-08,1.0762
1.16800e-08,0.9255
1.17033e-08,0.7813
1.17266e-08,0.6490
1.17498e-08,0.5055
1.17731e-08,0.3476
1.17964e-08,0.2062
1.18196e-08,0.0883
1.18429e-08,0.0014
1.18662e-08,-0.0579
1.18894e-08,-0.0951
1.19127e-08,-0.1197
1.19360e-08,-0.1388
1.19592e-08,-0.1553
1.19825e-08,-0.1734
1.20058e-08,-0.1938
1.20290e-08,-0.2107
1.20523e-08,-0.2143
1.20756e-08,-0.2049
1.20988e-08,-0.1918
1.21221e-08,-0.1812
1.21454e-08,-0.1641
1.21686e-08,-0.1252
1.21919e-08,-0.0662
1.22152e-08,-0.0059
1.22384e-08,0.0437
1.22617e-08,0.0827
1.22850e-08,0.1123
1.23082e-08,0.1325
1.23315e-08,0.1438
1.23548e-08,0.1455
1.23780e-08,0.1376
1.24013e-08,0.1232
1.24246e-08,0.1063
1.24478e-08,0.0892
1.24711e-08,0.0736
1.24944e-08,0.0640
1.25176e-08,0.0642
1.25409e-08,0.0701
1.25642e-08,0.0715
1.25874e-08,0.0623
1.26107e-08,0.0464
1.26340e-08,0.0315
1.26572e-08,0.0196
1.26805e-08,0.0058
1.27038e-08,-0.0129
1.27270e-08,-0.0339
1.27503e-08,-0.0525
1.27736e-08,-0.0645
1.27968e-08,-0.0682
1.28201e-08,-0.0646
1.28434e-08,-0.0559
1.28667e-08,-0.0439
1.28899e-08,-0.0310
1.29132e-08,-0.0200
1.29365e-08,-0.0126
1.29597e-08,-0.0071
1.29830e-08,-0.0014
1.30063e-08,0.0036
1.30295e-08,0.0041
1.30528e-08,-0.0007
1.30761e-08,-0.0068
1.30993e-08,-0.0084
1.31226e-08,-0.0037
1.31459e-08,0.0046
1.31691e-08,0.0129
1.31924e-08,0.0194
1.32157e-08,0.0241
1.32389e-08,0.0277
1.32622e-08,0.0303
1.32855e-08,0.0311
1.33087e-08,0.0294
1.33320e-08,0.0253
1.33553e-08,0.0190
1.33785e-08,0.0108
1.34018e-08,0.0020
1.34251e-08,-0.0047
1.34483e-08,-0.0070
1.34716e-08,-0.0055
1.34949e-08,-0.0031
1.35181e-08,-0.0019
1.35414e-08,-0.0015
1.35647e-08,-0.0002
1.35879e-08,0.0023
1.36112e-08,0.0046
1.36345e-08,0.0047
1.36577e-08,0.0019
1.36810e-08,-0.0025
1.37043e-08,-0.0067
1.37275e-08,-0.0094
1.37508e-08,-0.0101
1.37741e-08,-0.0090
1.37973e-08,-0.0063
1.38206e-08,-0.0030
1.38439e-08,-0.0001
1.38671e-08,0.0021
1.38904e-08,0.0044
1.39137e-08,0.0072
1.39369e-08,0.0101
1.39602e-08,0.0112
1.39835e-08,0.0098
1.40067e-08,0.0065
1.40300e-08,0.0033
1.40533e-08,0.0015
1.40765e-08,0.0010
1.40998e-08,0.0012
1.41231e-08,0.0014
1.41463e-08,0.0018
1.41696e-08,0.0027
1.41929e-08,0.0040
1.42161e-08,0.0056
1.42394e-08,0.0069
1.42627e-08,0.0076
1.42859e-08,0.0071
1.43092e-08,0.0053
1.43325e-08,0.0026
1.43557e-08,0.0001
1.43790e-08,-0.0012
1.44023e-08,-0.0013
1.44255e-08,-0.0009
1.44488e-08,-0.0008
1.44721e-08,-0.0009
1.44953e-08,-0.0004
1.45186e-08,0.0008
1.45419e-08,0.0026
1.45651e-08,0.0042
1.45884e-08,0.0048
1.46117e-08,0.0045
1.46349e-08,0.0036
1.46582e-08,0.0024
1.46815e-08,0.0014
1.47047e-08,0.0008
1.47280e-08,0.0007
1.47513e-08,0.0007
1.47745e-08,0.0008
1.47978e-08,0.0010
1.48211e-08,0.0015
1.48443e-08,0.0026
1.48676e-08,0.0040
1.48909e-08,0.0050
1.49141e-08,0.0052
1.49374e-08,0.0045
1.49607e-08,0.0035
1.49839e-08,0.0027
1.50072e-08,0.0022
1.50305e-08,0.0019
1.50537e-08,0.0017
