.HEADER
..NAMES
Time,V U2.K3
.DATA
5.6073e-09,0.1457
5.6306e-09,0.0509
5.6539e-09,-0.0317
5.6771e-09,-0.1031
5.7004e-09,-0.1573
5.7237e-09,-0.1834
5.7469e-09,-0.1872
5.7702e-09,-0.1804
5.7935e-09,-0.1700
5.8168e-09,-0.1597
5.8400e-09,-0.1505
5.8633e-09,-0.1483
5.8866e-09,-0.1595
5.9098e-09,-0.1803
5.9331e-09,-0.1995
5.9564e-09,-0.2093
5.9796e-09,-0.2064
6.0029e-09,-0.1936
6.0262e-09,-0.1731
6.0494e-09,-0.1441
6.0727e-09,-0.1069
6.0960e-09,-0.0660
6.1192e-09,-0.0256
6.1425e-09,0.0121
6.1658e-09,0.0473
6.1890e-09,0.0808
6.2123e-09,0.1093
6.2356e-09,0.1291
6.2588e-09,0.1368
6.2821e-09,0.1308
6.3054e-09,0.1128
6.3286e-09,0.0881
6.3519e-09,0.0630
6.3752e-09,0.0423
6.3984e-09,0.0287
6.4217e-09,0.0224
6.4450e-09,0.0233
6.4682e-09,0.0300
6.4915e-09,0.0390
6.5148e-09,0.0461
6.5380e-09,0.0489
6.5613e-09,0.0481
6.5846e-09,0.0459
6.6078e-09,0.0429
6.6311e-09,0.0386
6.6544e-09,0.0378
6.6776e-09,0.0569
6.7009e-09,0.1105
6.7242e-09,0.1892
6.7474e-09,0.2897
6.7707e-09,0.4033
6.7940e-09,0.5349
6.8172e-09,0.6834
6.8405e-09,0.8308
6.8638e-09,0.9595
6.8870e-09,1.0639
6.9103e-09,1.1497
6.9336e-09,1.2227
6.9568e-09,1.2813
6.9801e-09,1.3139
7.0034e-09,1.3217
7.0266e-09,1.3178
7.0499e-09,1.3102
7.0732e-09,1.3022
7.0964e-09,1.2919
7.1197e-09,1.2822
7.1430e-09,1.2826
7.1662e-09,1.2961
7.1895e-09,1.3154
7.2128e-09,1.3320
7.2360e-09,1.3402
7.2593e-09,1.3402
7.2826e-09,1.3330
7.3058e-09,1.3163
7.3291e-09,1.2872
7.3524e-09,1.2488
7.3756e-09,1.2071
7.3989e-09,1.1677
7.4222e-09,1.1337
7.4454e-09,1.1046
7.4687e-09,1.0812
7.4920e-09,1.0654
7.5152e-09,1.0589
7.5385e-09,1.0640
7.5618e-09,1.0803
7.5850e-09,1.1046
7.6083e-09,1.1314
7.6316e-09,1.1564
7.6548e-09,1.1770
7.6781e-09,1.1923
7.7014e-09,1.2004
7.7246e-09,1.1997
7.7479e-09,1.1916
7.7712e-09,1.1805
7.7944e-09,1.1713
7.8177e-09,1.1662
7.8410e-09,1.1641
7.8642e-09,1.1645
7.8875e-09,1.1692
7.9108e-09,1.1796
7.9340e-09,1.1939
7.9573e-09,1.2089
7.9806e-09,1.2227
8.0038e-09,1.2362
8.0271e-09,1.2497
8.0504e-09,1.2607
8.0736e-09,1.2649
8.0969e-09,1.2601
8.1202e-09,1.2485
8.1435e-09,1.2339
8.1667e-09,1.2187
8.1900e-09,1.2037
8.2133e-09,1.1900
8.2365e-09,1.1801
8.2598e-09,1.1761
8.2831e-09,1.1779
8.3063e-09,1.1830
8.3296e-09,1.1894
8.3529e-09,1.1959
8.3761e-09,1.2025
8.3994e-09,1.2087
8.4227e-09,1.2134
8.4459e-09,1.2158
8.4692e-09,1.2155
8.4925e-09,1.2126
8.5157e-09,1.2071
8.5390e-09,1.1993
8.5623e-09,1.1902
8.5855e-09,1.1811
8.6088e-09,1.1742
8.6321e-09,1.1712
8.6553e-09,1.1727
8.6786e-09,1.1780
8.7019e-09,1.1856
8.7251e-09,1.1939
8.7484e-09,1.2020
8.7717e-09,1.2092
8.7949e-09,1.2147
8.8182e-09,1.2176
8.8415e-09,1.2176
8.8647e-09,1.2156
8.8880e-09,1.2127
8.9113e-09,1.2093
8.9345e-09,1.2050
8.9578e-09,1.1996
8.9811e-09,1.1939
9.0043e-09,1.1896
9.0276e-09,1.1878
9.0509e-09,1.1884
9.0741e-09,1.1910
9.0974e-09,1.1955
9.1207e-09,1.2013
9.1439e-09,1.2073
9.1672e-09,1.2120
9.1905e-09,1.2141
9.2137e-09,1.2138
9.2370e-09,1.2118
9.2603e-09,1.2089
9.2835e-09,1.2053
9.3068e-09,1.2013
9.3301e-09,1.1973
9.3533e-09,1.1941
9.3766e-09,1.1920
9.3999e-09,1.1909
9.4231e-09,1.1904
9.4464e-09,1.1909
9.4697e-09,1.1926
9.4929e-09,1.1958
9.5162e-09,1.1999
9.5395e-09,1.2042
9.5627e-09,1.2076
9.5860e-09,1.2094
9.6093e-09,1.2095
9.6325e-09,1.2080
9.6558e-09,1.2054
9.6791e-09,1.2021
9.7023e-09,1.1988
9.7256e-09,1.1962
9.7489e-09,1.1946
9.7721e-09,1.1941
9.7954e-09,1.1944
9.8187e-09,1.1952
9.8419e-09,1.1964
9.8652e-09,1.1981
9.8885e-09,1.2001
9.9117e-09,1.2023
9.9350e-09,1.2043
9.9583e-09,1.2059
9.9815e-09,1.2070
1.00048e-08,1.2073
1.00281e-08,1.2064
1.00513e-08,1.2042
1.00746e-08,1.2014
1.00979e-08,1.1986
1.01211e-08,1.1965
1.01444e-08,1.1954
1.01677e-08,1.1952
1.01909e-08,1.1958
1.02142e-08,1.1970
1.02375e-08,1.1986
1.02607e-08,1.2002
1.02840e-08,1.2016
1.03073e-08,1.2026
1.03305e-08,1.2033
1.03538e-08,1.2033
1.03771e-08,1.1951
1.04003e-08,1.1713
1.04236e-08,1.1103
1.04469e-08,1.0159
1.04702e-08,0.8980
1.04934e-08,0.7626
1.05167e-08,0.6198
1.05400e-08,0.4668
1.05632e-08,0.3184
1.05865e-08,0.1918
1.06098e-08,0.0942
1.06330e-08,0.0184
1.06563e-08,-0.0457
1.06796e-08,-0.1009
1.07028e-08,-0.1411
1.07261e-08,-0.1580
1.07494e-08,-0.1602
1.07726e-08,-0.1583
1.07959e-08,-0.1560
1.08192e-08,-0.1532
1.08424e-08,-0.1501
1.08657e-08,-0.1533
1.08890e-08,-0.1695
1.09122e-08,-0.1936
1.09355e-08,-0.2140
1.09588e-08,-0.2220
1.09820e-08,-0.2153
1.10053e-08,-0.1963
1.10286e-08,-0.1673
1.10518e-08,-0.1279
1.10751e-08,-0.0807
1.10984e-08,-0.0328
1.11216e-08,0.0096
1.11449e-08,0.0439
1.11682e-08,0.0714
1.11914e-08,0.0948
1.12147e-08,0.1131
1.12380e-08,0.1239
1.12612e-08,0.1247
1.12845e-08,0.1142
1.13078e-08,0.0947
1.13310e-08,0.0712
1.13543e-08,0.0490
1.13776e-08,0.0317
1.14008e-08,0.0214
1.14241e-08,0.0191
1.14474e-08,0.0251
1.14706e-08,0.0375
1.14939e-08,0.0510
1.15172e-08,0.0600
1.15404e-08,0.0616
1.15637e-08,0.0571
1.15870e-08,0.0494
1.16102e-08,0.0395
1.16335e-08,0.0289
1.16568e-08,0.0247
1.16800e-08,0.0469
1.17033e-08,0.1066
1.17266e-08,0.1923
1.17498e-08,0.2998
1.17731e-08,0.4190
1.17964e-08,0.5567
1.18196e-08,0.7088
1.18429e-08,0.8564
1.18662e-08,0.9830
1.18894e-08,1.0847
1.19127e-08,1.1686
1.19360e-08,1.2397
1.19592e-08,1.2942
1.19825e-08,1.3201
1.20058e-08,1.3211
1.20290e-08,1.3116
1.20523e-08,1.3001
1.20756e-08,1.2905
1.20988e-08,1.2807
1.21221e-08,1.2744
1.21454e-08,1.2805
1.21686e-08,1.2995
1.21919e-08,1.3225
1.22152e-08,1.3404
1.22384e-08,1.3477
1.22617e-08,1.3457
1.22850e-08,1.3359
1.23082e-08,1.3161
1.23315e-08,1.2843
1.23548e-08,1.2439
1.23780e-08,1.2009
1.24013e-08,1.1605
1.24246e-08,1.1255
1.24478e-08,1.0954
1.24711e-08,1.0718
1.24944e-08,1.0569
1.25176e-08,1.0530
1.25409e-08,1.0623
1.25642e-08,1.0834
1.25874e-08,1.1117
1.26107e-08,1.1407
1.26340e-08,1.1659
1.26572e-08,1.1851
1.26805e-08,1.1979
1.27038e-08,1.2028
1.27270e-08,1.1990
1.27503e-08,1.1886
1.27736e-08,1.1767
1.27968e-08,1.1678
1.28201e-08,1.1632
1.28434e-08,1.1613
1.28667e-08,1.1581
1.28899e-08,1.1476
1.29132e-08,1.1160
1.29365e-08,1.0496
1.29597e-08,0.9601
1.29830e-08,0.8480
1.30063e-08,0.7256
1.30295e-08,0.5914
1.30528e-08,0.4485
1.30761e-08,0.3128
1.30993e-08,0.1942
1.31226e-08,0.0941
1.31459e-08,0.0065
1.31691e-08,-0.0707
1.31924e-08,-0.1346
1.32157e-08,-0.1735
1.32389e-08,-0.1879
1.32622e-08,-0.1897
1.32855e-08,-0.1838
1.33087e-08,-0.1747
1.33320e-08,-0.1632
1.33553e-08,-0.1544
1.33785e-08,-0.1572
1.34018e-08,-0.1718
1.34251e-08,-0.1885
1.34483e-08,-0.1992
1.34716e-08,-0.1997
1.34949e-08,-0.1907
1.35181e-08,-0.1748
1.35414e-08,-0.1507
1.35647e-08,-0.1174
1.35879e-08,-0.0789
1.36112e-08,-0.0404
1.36345e-08,-0.0041
1.36577e-08,0.0297
1.36810e-08,0.0626
1.37043e-08,0.0926
1.37275e-08,0.1159
1.37508e-08,0.1294
1.37741e-08,0.1308
1.37973e-08,0.1202
1.38206e-08,0.1008
1.38439e-08,0.0777
1.38671e-08,0.0558
1.38904e-08,0.0389
1.39137e-08,0.0285
1.39369e-08,0.0250
1.39602e-08,0.0280
1.39835e-08,0.0348
1.40067e-08,0.0416
1.40300e-08,0.0451
1.40533e-08,0.0450
1.40765e-08,0.0432
1.40998e-08,0.0406
1.41231e-08,0.0365
1.41463e-08,0.0344
1.41696e-08,0.0459
1.41929e-08,0.0895
1.42161e-08,0.1621
1.42394e-08,0.2557
1.42627e-08,0.3657
1.42859e-08,0.4890
1.43092e-08,0.6318
1.43325e-08,0.7791
1.43557e-08,0.9129
1.43790e-08,1.0238
1.44023e-08,1.1146
1.44255e-08,1.1926
1.44488e-08,1.2577
1.44721e-08,1.3013
1.44953e-08,1.3175
1.45186e-08,1.3177
1.45419e-08,1.3124
1.45651e-08,1.3055
1.45884e-08,1.2970
1.46117e-08,1.2870
1.46349e-08,1.2838
1.46582e-08,1.2937
1.46815e-08,1.3117
1.47047e-08,1.3290
1.47280e-08,1.3390
1.47513e-08,1.3401
1.47745e-08,1.3342
1.47978e-08,1.3204
1.48211e-08,1.2956
1.48443e-08,1.2604
1.48676e-08,1.2203
1.48909e-08,1.1810
1.49141e-08,1.1462
1.49374e-08,1.1162
1.49607e-08,1.0908
1.49839e-08,1.0722
1.50072e-08,1.0621
1.50305e-08,1.0629
1.50537e-08,1.0754
1.50770e-08,1.0970
1.51003e-08,1.1228
1.51236e-08,1.1480
1.51468e-08,1.1695
1.51701e-08,1.1860
1.51934e-08,1.1961
1.52166e-08,1.1982
1.52399e-08,1.1925
1.52632e-08,1.1826
1.52864e-08,1.1735
1.53097e-08,1.1681
1.53330e-08,1.1658
1.53562e-08,1.1648
1.53795e-08,1.1581
1.54028e-08,1.1401
1.54260e-08,1.0887
1.54493e-08,1.0075
1.54726e-08,0.9026
1.54958e-08,0.7804
1.55191e-08,0.6504
1.55424e-08,0.5093
1.55656e-08,0.3680
1.55889e-08,0.2408
1.56122e-08,0.1340
