.HEADER
..NAMES
Time,V U2.C3
.DATA
5.6073e-09,1.2368
5.6306e-09,1.2050
5.6539e-09,1.1829
5.6771e-09,1.1597
5.7004e-09,1.1350
5.7237e-09,1.1156
5.7469e-09,1.0981
5.7702e-09,1.0794
5.7935e-09,1.0683
5.8168e-09,1.0724
5.8400e-09,1.0863
5.8633e-09,1.0993
5.8866e-09,1.1072
5.9098e-09,1.1141
5.9331e-09,1.1267
5.9564e-09,1.1453
5.9796e-09,1.1634
6.0029e-09,1.1748
6.0262e-09,1.1777
6.0494e-09,1.1752
6.0727e-09,1.1752
6.0960e-09,1.1821
6.1192e-09,1.1917
6.1425e-09,1.2005
6.1658e-09,1.2096
6.1890e-09,1.2180
6.2123e-09,1.2242
6.2356e-09,1.2309
6.2588e-09,1.2404
6.2821e-09,1.2479
6.3054e-09,1.2471
6.3286e-09,1.2387
6.3519e-09,1.2289
6.3752e-09,1.2223
6.3984e-09,1.2188
6.4217e-09,1.2148
6.4450e-09,1.2079
6.4682e-09,1.1993
6.4915e-09,1.1916
6.5148e-09,1.1879
6.5380e-09,1.1889
6.5613e-09,1.1922
6.5846e-09,1.1947
6.6078e-09,1.1956
6.6311e-09,1.1954
6.6544e-09,1.1948
6.6776e-09,1.1947
6.7009e-09,1.1955
6.7242e-09,1.1948
6.7474e-09,1.1902
6.7707e-09,1.1841
6.7940e-09,1.1808
6.8172e-09,1.1824
6.8405e-09,1.1872
6.8638e-09,1.1920
6.8870e-09,1.1955
6.9103e-09,1.1979
6.9336e-09,1.2004
6.9568e-09,1.2036
6.9801e-09,1.2072
7.0034e-09,1.2099
7.0266e-09,1.2102
7.0499e-09,1.2083
7.0732e-09,1.2057
7.0964e-09,1.2039
7.1197e-09,1.2033
7.1430e-09,1.2031
7.1662e-09,1.2022
7.1895e-09,1.1998
7.2128e-09,1.1977
7.2360e-09,1.1979
7.2593e-09,1.2007
7.2826e-09,1.2040
7.3058e-09,1.2061
7.3291e-09,1.2062
7.3524e-09,1.2050
7.3756e-09,1.2035
7.3989e-09,1.2022
7.4222e-09,1.2009
7.4454e-09,1.1993
7.4687e-09,1.1970
7.4920e-09,1.1947
7.5152e-09,1.1931
7.5385e-09,1.1836
7.5618e-09,1.1507
7.5850e-09,1.0756
7.6083e-09,0.9608
7.6316e-09,0.8562
7.6548e-09,0.7703
7.6781e-09,0.6503
7.7014e-09,0.5065
7.7246e-09,0.3740
7.7479e-09,0.2554
7.7712e-09,0.1465
7.7944e-09,0.0530
7.8177e-09,-0.0167
7.8410e-09,-0.0669
7.8642e-09,-0.1040
7.8875e-09,-0.1301
7.9108e-09,-0.1452
7.9340e-09,-0.1473
7.9573e-09,-0.1417
7.9806e-09,-0.1397
8.0038e-09,-0.1494
8.0271e-09,-0.1677
8.0504e-09,-0.1827
8.0736e-09,-0.1800
8.0969e-09,-0.1588
8.1202e-09,-0.1372
8.1435e-09,-0.1189
8.1667e-09,-0.0869
8.1900e-09,-0.0272
8.2133e-09,0.0783
8.2365e-09,0.2301
8.2598e-09,0.3696
8.2831e-09,0.4740
8.3063e-09,0.5962
8.3296e-09,0.7418
8.3529e-09,0.8733
8.3761e-09,0.9875
8.3994e-09,1.0896
8.4227e-09,1.1685
8.4459e-09,1.2154
8.4692e-09,1.2401
8.4925e-09,1.2594
8.5157e-09,1.2790
8.5390e-09,1.2943
8.5623e-09,1.2959
8.5855e-09,1.2850
8.6088e-09,1.2777
8.6321e-09,1.2840
8.6553e-09,1.2988
8.6786e-09,1.3099
8.7019e-09,1.3007
8.7251e-09,1.2668
8.7484e-09,1.2294
8.7717e-09,1.2021
8.7949e-09,1.1735
8.8182e-09,1.1398
8.8415e-09,1.1109
8.8647e-09,1.0871
8.8880e-09,1.0644
8.9113e-09,1.0493
8.9345e-09,1.0511
8.9578e-09,1.0663
8.9811e-09,1.0833
9.0043e-09,1.0952
9.0276e-09,1.1047
9.0509e-09,1.1198
9.0741e-09,1.1429
9.0974e-09,1.1665
9.1207e-09,1.1812
9.1439e-09,1.1837
9.1672e-09,1.1780
9.1905e-09,1.1734
9.2137e-09,1.1762
9.2370e-09,1.1833
9.2603e-09,1.1906
9.2835e-09,1.1997
9.3068e-09,1.2111
9.3301e-09,1.2218
9.3533e-09,1.2328
9.3766e-09,1.2465
9.3999e-09,1.2581
9.4231e-09,1.2599
9.4464e-09,1.2511
9.4697e-09,1.2383
9.4929e-09,1.2284
9.5162e-09,1.2227
9.5395e-09,1.2173
9.5627e-09,1.2086
9.5860e-09,1.1975
9.6093e-09,1.1878
9.6325e-09,1.1829
9.6558e-09,1.1838
9.6791e-09,1.1879
9.7023e-09,1.1919
9.7256e-09,1.1947
9.7489e-09,1.1968
9.7721e-09,1.1982
9.7954e-09,1.1992
9.8187e-09,1.2003
9.8419e-09,1.1989
9.8652e-09,1.1926
9.8885e-09,1.1832
9.9117e-09,1.1764
9.9350e-09,1.1758
9.9583e-09,1.1804
9.9815e-09,1.1864
1.00048e-08,1.1914
1.00281e-08,1.1956
1.00513e-08,1.2000
1.00746e-08,1.2050
1.00979e-08,1.2100
1.01211e-08,1.2133
1.01444e-08,1.2137
1.01677e-08,1.2114
1.01909e-08,1.2080
1.02142e-08,1.2053
1.02375e-08,1.2038
1.02607e-08,1.2030
1.02840e-08,1.2014
1.03073e-08,1.1982
1.03305e-08,1.1951
1.03538e-08,1.1948
1.03771e-08,1.1980
1.04003e-08,1.2029
1.04236e-08,1.2066
1.04469e-08,1.2082
1.04702e-08,1.2080
1.04934e-08,1.2069
1.05167e-08,1.2054
1.05400e-08,1.2032
1.05632e-08,1.2002
1.05865e-08,1.1964
1.06098e-08,1.1928
1.06330e-08,1.1908
1.06563e-08,1.1913
1.06796e-08,1.1938
1.07028e-08,1.1969
1.07261e-08,1.1989
1.07494e-08,1.1996
1.07726e-08,1.2000
1.07959e-08,1.2010
1.08192e-08,1.2028
1.08424e-08,1.2042
1.08657e-08,1.2041
1.08890e-08,1.2027
1.09122e-08,1.2009
1.09355e-08,1.1994
1.09588e-08,1.1984
1.09820e-08,1.1978
1.10053e-08,1.1972
1.10286e-08,1.1967
1.10518e-08,1.1969
1.10751e-08,1.1982
1.10984e-08,1.2007
1.11216e-08,1.2036
1.11449e-08,1.2054
1.11682e-08,1.2056
1.11914e-08,1.2043
1.12147e-08,1.2026
1.12380e-08,1.2013
1.12612e-08,1.2003
1.12845e-08,1.1994
1.13078e-08,1.1984
1.13310e-08,1.1975
1.13543e-08,1.1973
1.13776e-08,1.1979
1.14008e-08,1.1990
1.14241e-08,1.2000
1.14474e-08,1.2005
1.14706e-08,1.2007
1.14939e-08,1.2008
1.15172e-08,1.2013
1.15404e-08,1.2020
1.15637e-08,1.2025
1.15870e-08,1.2022
1.16102e-08,1.2010
1.16335e-08,1.1995
1.16568e-08,1.1983
1.16800e-08,1.1978
1.17033e-08,1.1979
1.17266e-08,1.1982
1.17498e-08,1.1987
1.17731e-08,1.1994
1.17964e-08,1.2004
1.18196e-08,1.2016
1.18429e-08,1.2024
1.18662e-08,1.2026
1.18894e-08,1.2016
1.19127e-08,1.1910
1.19360e-08,1.1563
1.19592e-08,1.0788
1.19825e-08,0.9624
1.20058e-08,0.8594
1.20290e-08,0.7747
1.20523e-08,0.6524
1.20756e-08,0.5066
1.20988e-08,0.3745
1.21221e-08,0.2564
1.21454e-08,0.1484
1.21686e-08,0.0562
1.21919e-08,-0.0125
1.22152e-08,-0.0626
1.22384e-08,-0.1000
1.22617e-08,-0.1265
1.22850e-08,-0.1420
1.23082e-08,-0.1450
1.23315e-08,-0.1413
1.23548e-08,-0.1419
1.23780e-08,-0.1538
1.24013e-08,-0.1729
1.24246e-08,-0.1873
1.24478e-08,-0.1827
1.24711e-08,-0.1597
1.24944e-08,-0.1376
1.25176e-08,-0.1194
1.25409e-08,-0.0867
1.25642e-08,-0.0274
1.25874e-08,0.0756
1.26107e-08,0.2273
1.26340e-08,0.3688
1.26572e-08,0.4732
1.26805e-08,0.5925
1.27038e-08,0.7377
1.27270e-08,0.8714
1.27503e-08,0.9866
1.27736e-08,1.0886
1.27968e-08,1.1672
1.28201e-08,1.2150
1.28434e-08,1.2409
1.28667e-08,1.2611
1.28899e-08,1.2820
1.29132e-08,1.2979
1.29365e-08,1.2995
1.29597e-08,1.2875
1.29830e-08,1.2788
1.30063e-08,1.2839
1.30295e-08,1.2975
1.30528e-08,1.3083
1.30761e-08,1.2997
1.30993e-08,1.2659
1.31226e-08,1.2279
1.31459e-08,1.1998
1.31691e-08,1.1590
1.31924e-08,1.0848
1.32157e-08,0.9631
1.32389e-08,0.8188
1.32622e-08,0.6991
1.32855e-08,0.5919
1.33087e-08,0.4627
1.33320e-08,0.3327
1.33553e-08,0.2206
1.33785e-08,0.1154
1.34018e-08,0.0191
1.34251e-08,-0.0520
1.34483e-08,-0.0916
1.34716e-08,-0.1124
1.34949e-08,-0.1306
1.35181e-08,-0.1500
1.35414e-08,-0.1664
1.35647e-08,-0.1699
1.35879e-08,-0.1609
1.36112e-08,-0.1548
1.36345e-08,-0.1614
1.36577e-08,-0.1737
1.36810e-08,-0.1758
1.37043e-08,-0.1563
1.37275e-08,-0.1211
1.37508e-08,-0.0869
1.37741e-08,-0.0544
1.37973e-08,-0.0135
1.38206e-08,0.0451
1.38439e-08,0.1448
1.38671e-08,0.2845
1.38904e-08,0.4095
1.39137e-08,0.5080
1.39369e-08,0.6232
1.39602e-08,0.7517
1.39835e-08,0.8696
1.40067e-08,0.9756
1.40300e-08,1.0736
1.40533e-08,1.1507
1.40765e-08,1.1965
1.40998e-08,1.2237
1.41231e-08,1.2470
1.41463e-08,1.2707
1.41696e-08,1.2882
1.41929e-08,1.2900
1.42161e-08,1.2797
1.42394e-08,1.2701
1.42627e-08,1.2696
1.42859e-08,1.2772
1.43092e-08,1.2847
1.43325e-08,1.2763
1.43557e-08,1.2476
1.43790e-08,1.2174
1.44023e-08,1.1955
1.44255e-08,1.1723
