.HEADER
..NAMES
Time,V U2.K2
.DATA
5.7004e-09,0.1907
5.7237e-09,0.1110
5.7469e-09,0.0359
5.7702e-09,-0.0326
5.7935e-09,-0.0879
5.8168e-09,-0.1252
5.8400e-09,-0.1455
5.8633e-09,-0.1525
5.8866e-09,-0.1468
5.9098e-09,-0.1287
5.9331e-09,-0.1043
5.9564e-09,-0.0826
5.9796e-09,-0.0701
6.0029e-09,-0.0692
6.0262e-09,-0.0801
6.0494e-09,-0.0996
6.0727e-09,-0.1201
6.0960e-09,-0.1327
6.1192e-09,-0.1310
6.1425e-09,-0.1133
6.1658e-09,-0.0822
6.1890e-09,-0.0437
6.2123e-09,-0.0046
6.2356e-09,0.0287
6.2588e-09,0.0517
6.2821e-09,0.0616
6.3054e-09,0.0596
6.3286e-09,0.0503
6.3519e-09,0.0383
6.3752e-09,0.0273
6.3984e-09,0.0198
6.4217e-09,0.0181
6.4450e-09,0.0224
6.4682e-09,0.0313
6.4915e-09,0.0429
6.5148e-09,0.0560
6.5380e-09,0.0677
6.5613e-09,0.0740
6.5846e-09,0.0719
6.6078e-09,0.0635
6.6311e-09,0.0558
6.6544e-09,0.0673
6.6776e-09,0.1031
6.7009e-09,0.1590
6.7242e-09,0.2390
6.7474e-09,0.3381
6.7707e-09,0.4434
6.7940e-09,0.5370
6.8172e-09,0.6105
6.8405e-09,0.6705
6.8638e-09,0.7188
6.8870e-09,0.7540
6.9103e-09,0.7876
6.9336e-09,0.8316
6.9568e-09,0.8902
6.9801e-09,0.9578
7.0034e-09,1.0284
7.0266e-09,1.1009
7.0499e-09,1.1687
7.0732e-09,1.2235
7.0964e-09,1.2624
7.1197e-09,1.2870
7.1430e-09,1.2969
7.1662e-09,1.2898
7.1895e-09,1.2679
7.2128e-09,1.2394
7.2360e-09,1.2128
7.2593e-09,1.1944
7.2826e-09,1.1894
7.3058e-09,1.2001
7.3291e-09,1.2230
7.3524e-09,1.2492
7.3756e-09,1.2690
7.3989e-09,1.2752
7.4222e-09,1.2651
7.4454e-09,1.2403
7.4687e-09,1.2061
7.4920e-09,1.1696
7.5152e-09,1.1375
7.5385e-09,1.1159
7.5618e-09,1.1077
7.5850e-09,1.1116
7.6083e-09,1.1239
7.6316e-09,1.1406
7.6548e-09,1.1581
7.6781e-09,1.1725
7.7014e-09,1.1809
7.7246e-09,1.1829
7.7479e-09,1.1789
7.7712e-09,1.1694
7.7944e-09,1.1560
7.8177e-09,1.1429
7.8410e-09,1.1348
7.8642e-09,1.1350
7.8875e-09,1.1448
7.9108e-09,1.1635
7.9340e-09,1.1875
7.9573e-09,1.2106
7.9806e-09,1.2264
8.0038e-09,1.2314
8.0271e-09,1.2261
8.0504e-09,1.2132
8.0736e-09,1.1971
8.0969e-09,1.1830
8.1202e-09,1.1752
8.1435e-09,1.1755
8.1667e-09,1.1832
8.1900e-09,1.1961
8.2133e-09,1.2111
8.2365e-09,1.2247
8.2598e-09,1.2341
8.2831e-09,1.2377
8.3063e-09,1.2350
8.3296e-09,1.2266
8.3529e-09,1.2139
8.3761e-09,1.1993
8.3994e-09,1.1853
8.4227e-09,1.1749
8.4459e-09,1.1704
8.4692e-09,1.1731
8.4925e-09,1.1826
8.5157e-09,1.1967
8.5390e-09,1.2117
8.5623e-09,1.2232
8.5855e-09,1.2278
8.6088e-09,1.2241
8.6321e-09,1.2133
8.6553e-09,1.1986
8.6786e-09,1.1840
8.7019e-09,1.1732
8.7251e-09,1.1685
8.7484e-09,1.1706
8.7717e-09,1.1780
8.7949e-09,1.1884
8.8182e-09,1.1993
8.8415e-09,1.2085
8.8647e-09,1.2141
8.8880e-09,1.2155
8.9113e-09,1.2127
8.9345e-09,1.2064
8.9578e-09,1.1981
8.9811e-09,1.1896
9.0043e-09,1.1828
9.0276e-09,1.1794
9.0509e-09,1.1803
9.0741e-09,1.1850
9.0974e-09,1.1860
9.1207e-09,1.1756
9.1439e-09,1.1352
9.1672e-09,1.0707
9.1905e-09,0.9894
9.2137e-09,0.8900
9.2370e-09,0.7839
9.2603e-09,0.6819
9.2835e-09,0.5999
9.3068e-09,0.5375
9.3301e-09,0.4837
9.3533e-09,0.4368
9.3766e-09,0.3949
9.3999e-09,0.3463
9.4231e-09,0.2826
9.4464e-09,0.2059
9.4697e-09,0.1264
9.4929e-09,0.0501
9.5162e-09,-0.0209
9.5395e-09,-0.0800
9.5627e-09,-0.1215
9.5860e-09,-0.1454
9.6093e-09,-0.1553
9.6325e-09,-0.1517
9.6558e-09,-0.1347
9.6791e-09,-0.1095
9.7023e-09,-0.0856
9.7256e-09,-0.0702
9.7489e-09,-0.0665
9.7721e-09,-0.0753
9.7954e-09,-0.0944
9.8187e-09,-0.1163
9.8419e-09,-0.1319
9.8652e-09,-0.1340
9.8885e-09,-0.1197
9.9117e-09,-0.0908
9.9350e-09,-0.0527
9.9583e-09,-0.0124
9.9815e-09,0.0233
1.00048e-08,0.0493
1.00281e-08,0.0622
1.00513e-08,0.0623
1.00746e-08,0.0537
1.00979e-08,0.0414
1.01211e-08,0.0291
1.01444e-08,0.0200
1.01677e-08,0.0164
1.01909e-08,0.0193
1.02142e-08,0.0274
1.02375e-08,0.0390
1.02607e-08,0.0526
1.02840e-08,0.0657
1.03073e-08,0.0741
1.03305e-08,0.0740
1.03538e-08,0.0646
1.03771e-08,0.0473
1.04003e-08,0.0252
1.04236e-08,0.0033
1.04469e-08,-0.0125
1.04702e-08,-0.0182
1.04934e-08,-0.0138
1.05167e-08,-0.0023
1.05400e-08,0.0118
1.05632e-08,0.0239
1.05865e-08,0.0302
1.06098e-08,0.0284
1.06330e-08,0.0191
1.06563e-08,0.0048
1.06796e-08,-0.0113
1.07028e-08,-0.0257
1.07261e-08,-0.0357
1.07494e-08,-0.0395
1.07726e-08,-0.0369
1.07959e-08,-0.0288
1.08192e-08,-0.0169
1.08424e-08,-0.0034
1.08657e-08,0.0090
1.08890e-08,0.0180
1.09122e-08,0.0217
1.09355e-08,0.0190
1.09588e-08,0.0102
1.09820e-08,-0.0026
1.10053e-08,-0.0161
1.10286e-08,-0.0265
1.10518e-08,-0.0306
1.10751e-08,-0.0268
1.10984e-08,-0.0161
1.11216e-08,-0.0016
1.11449e-08,0.0128
1.11682e-08,0.0237
1.11914e-08,0.0287
1.12147e-08,0.0272
1.12380e-08,0.0204
1.12612e-08,0.0105
1.12845e-08,0.0003
1.13078e-08,-0.0080
1.13310e-08,-0.0129
1.13543e-08,-0.0136
1.13776e-08,-0.0103
1.14008e-08,-0.0039
1.14241e-08,0.0041
1.14474e-08,0.0120
1.14706e-08,0.0180
1.14939e-08,0.0208
1.15172e-08,0.0195
1.15404e-08,0.0144
1.15637e-08,0.0062
1.15870e-08,-0.0030
1.16102e-08,-0.0110
1.16335e-08,-0.0157
1.16568e-08,-0.0156
1.16800e-08,-0.0107
1.17033e-08,-0.0025
1.17266e-08,0.0066
1.17498e-08,0.0141
1.17731e-08,0.0179
1.17964e-08,0.0171
1.18196e-08,0.0122
1.18429e-08,0.0048
1.18662e-08,-0.0030
1.18894e-08,-0.0095
1.19127e-08,-0.0131
1.19360e-08,-0.0135
1.19592e-08,-0.0108
1.19825e-08,-0.0057
1.20058e-08,0.0007
1.20290e-08,0.0071
1.20523e-08,0.0121
1.20756e-08,0.0147
1.20988e-08,0.0144
1.21221e-08,0.0111
1.21454e-08,0.0055
1.21686e-08,-0.0012
1.21919e-08,-0.0073
1.22152e-08,-0.0114
1.22384e-08,-0.0122
1.22617e-08,-0.0095
1.22850e-08,-0.0040
1.23082e-08,0.0029
1.23315e-08,0.0094
1.23548e-08,0.0137
1.23780e-08,0.0148
1.24013e-08,0.0126
1.24246e-08,0.0079
1.24478e-08,0.0021
1.24711e-08,-0.0033
1.24944e-08,-0.0071
1.25176e-08,-0.0084
1.25409e-08,-0.0074
1.25642e-08,-0.0043
1.25874e-08,-0.0001
1.26107e-08,0.0043
1.26340e-08,0.0080
1.26572e-08,0.0103
1.26805e-08,0.0107
1.27038e-08,0.0091
1.27270e-08,0.0057
1.27503e-08,0.0013
1.27736e-08,-0.0030
1.27968e-08,-0.0062
1.28201e-08,-0.0074
1.28434e-08,-0.0063
1.28667e-08,-0.0031
1.28899e-08,0.0013
1.29132e-08,0.0058
1.29365e-08,0.0092
1.29597e-08,0.0105
